provincia,canton,disponibilidad_hospitalizacion,disponibilidad_uci,disponibilidad_hospitalizacion_covid,disponibilidad_uci_adulto_covid,porcentaje_ocupadas_hospitalizacion,porcentaje_ocupadas_uci,porcentaje_ocupadas_hospitalizacion_covid,porcentaje_ocupadas_uci_adulto_covid,created_at
Azuay,Cuenca,192,7,20,6,63,100,85,117,07/04/2020
Azuay,Cuenca,69,0,53,14,88,0,34,57,18/04/2020
Azuay,Cuenca,69,2,53,14,75,100,42,157,26/04/2020
Azuay,Cuenca,69,2,53,14,80,100,36,57,07/05/2020
Azuay,Cuenca,69,2,53,14,81,100,36,50,14/05/2020
Azuay,Cuenca,69,2,53,16,87,100,34,100,21/05/2020
Azuay,Cuenca,69,6,53,19,90,100,25,100,28/05/2020
Azuay,Cuenca,69,6,53,18,91,100,28,100,04/06/2020
Azuay,Cuenca,70,5,53,19,87,100,28,95,11/06/2020
Azuay,Cuenca,72,6,53,16,92,100,34,100,18/06/2020
Azuay,Cuenca,70,5,53,19,87,100,45,95,25/06/2020
Azuay,Cuenca,70,4,55,22,89,100,65,100,01/07/2020
Azuay,Cuenca,70,4,53,31,100,100,57,100,08/07/2020
Azuay,Cuenca,70,4,53,31,86,100,57,100,15/07/2020
Azuay,Cuenca,70,4,53,30,100,100,62,100,23/07/2020
Azuay,Cuenca,70,2,56,30,73,100,80,100,30/07/2020
Azuay,Cuenca,70,3,53,48,53,100,89,100,06/08/2020
Azuay,Cuenca,70,3,54,39,70,100,94,100,13/08/2020
Azuay,Cuenca,70,2,55,36,57,100,100,100,20/08/2020
Azuay,Cuenca,70,2,54,44,69,100,91,100,27/08/2020
Azuay,Cuenca,70,3,51,3,57,100,92,100,03/09/2020
Azuay,Cuenca,70,2,51,38,63,100,61,100,10/09/2020
Azuay,Cuenca,70,3,80,39,51,100,55,100,17/09/2020
Azuay,Cuenca,70,3,84,37,51,100,67,100,24/09/2020
Azuay,Cuenca,70,2,82,36,64,100,60,100,30/09/2020
Azuay,Cuenca,70,3,82,30,59,100,46,97,08/10/2020
Azuay,Cuenca,70,2,82,30,63,100,41,73,15/10/2020
Azuay,Cuenca,70,2,82,30,63,100,41,73,22/10/2020
Azuay,Cuenca,70,2,82,30,76,100,32,97,29/10/2020
Azuay,Cuenca,70,2,82,30,71,100,32,73,05/11/2020
Azuay,Cuenca,70,3,82,30,79,100,23,73,12/11/2020
Azuay,Girón,15,0,2,0,20,0,0,0,07/04/2020
Azuay,Girón,23,0,7,0,48,0,14,0,18/04/2020
Azuay,Girón,23,0,3,0,13,0,0,0,26/04/2020
Azuay,Girón,23,0,3,0,22,0,0,0,07/05/2020
Azuay,Girón,23,0,3,0,35,0,0,0,14/05/2020
Azuay,Girón,23,0,3,0,4,0,0,0,21/05/2020
Azuay,Girón,23,0,3,0,43,0,0,0,28/05/2020
Azuay,Girón,23,0,3,0,35,0,0,0,04/06/2020
Azuay,Girón,23,0,3,0,52,0,0,0,11/06/2020
Azuay,Girón,23,0,3,0,52,0,0,0,18/06/2020
Azuay,Girón,23,0,3,0,35,0,0,0,25/06/2020
Azuay,Girón,23,0,3,0,74,0,0,0,01/07/2020
Azuay,Girón,23,0,3,0,43,0,0,0,08/07/2020
Azuay,Girón,23,0,3,0,43,0,0,0,15/07/2020
Azuay,Girón,23,0,3,0,87,0,0,0,23/07/2020
Azuay,Girón,23,0,3,0,74,0,0,0,30/07/2020
Azuay,Girón,23,0,3,0,48,0,33,0,06/08/2020
Azuay,Girón,23,0,3,0,48,0,33,0,13/08/2020
Azuay,Girón,23,0,3,0,78,0,33,0,20/08/2020
Azuay,Girón,23,0,3,0,61,0,67,0,27/08/2020
Azuay,Girón,23,0,2,0,30,0,50,0,03/09/2020
Azuay,Girón,23,0,2,0,65,0,50,0,10/09/2020
Azuay,Girón,23,0,2,0,78,0,0,0,17/09/2020
Azuay,Girón,23,0,3,0,70,0,33,0,24/09/2020
Azuay,Girón,23,0,3,0,70,0,33,0,30/09/2020
Azuay,Girón,23,0,3,0,70,0,33,0,08/10/2020
Azuay,Girón,23,0,3,0,43,0,0,0,15/10/2020
Azuay,Girón,23,0,3,0,43,0,0,0,22/10/2020
Azuay,Girón,23,0,3,0,70,0,33,0,29/10/2020
Azuay,Girón,23,0,3,0,70,0,33,0,05/11/2020
Azuay,Girón,23,0,5,0,100,0,80,0,12/11/2020
Azuay,Gualaceo,25,0,2,0,36,0,0,0,07/04/2020
Azuay,Gualaceo,0,0,1,0,0,0,100,0,18/04/2020
Azuay,Gualaceo,25,0,1,0,36,0,0,0,26/04/2020
Azuay,Gualaceo,25,0,1,0,24,0,0,0,07/05/2020
Azuay,Gualaceo,25,0,1,0,16,0,0,0,14/05/2020
Azuay,Gualaceo,25,0,1,0,44,0,0,0,21/05/2020
Azuay,Gualaceo,25,0,1,0,44,0,0,0,28/05/2020
Azuay,Gualaceo,25,0,1,0,32,0,0,0,04/06/2020
Azuay,Gualaceo,25,0,1,0,60,0,0,0,11/06/2020
Azuay,Gualaceo,25,0,1,0,60,0,100,0,18/06/2020
Azuay,Gualaceo,25,0,1,0,32,0,0,0,25/06/2020
Azuay,Gualaceo,25,0,2,0,44,0,100,0,01/07/2020
Azuay,Gualaceo,25,0,1,0,32,0,0,0,08/07/2020
Azuay,Gualaceo,25,0,2,0,72,0,100,0,15/07/2020
Azuay,Gualaceo,25,0,1,0,28,0,100,0,23/07/2020
Azuay,Gualaceo,25,0,2,0,64,0,100,0,30/07/2020
Azuay,Gualaceo,25,0,1,0,44,0,0,0,06/08/2020
Azuay,Gualaceo,25,0,1,0,20,0,100,0,13/08/2020
Azuay,Gualaceo,25,0,6,0,80,0,100,0,20/08/2020
Azuay,Gualaceo,25,0,7,0,44,0,100,0,27/08/2020
Azuay,Gualaceo,25,0,9,0,24,0,100,0,03/09/2020
Azuay,Gualaceo,25,0,6,0,20,0,100,0,10/09/2020
Azuay,Gualaceo,25,0,3,0,28,0,100,0,17/09/2020
Azuay,Gualaceo,25,0,7,0,12,0,100,0,24/09/2020
Azuay,Gualaceo,25,0,4,0,36,0,100,0,30/09/2020
Azuay,Gualaceo,25,0,3,0,28,0,100,0,08/10/2020
Azuay,Gualaceo,25,0,4,0,20,0,100,0,15/10/2020
Azuay,Gualaceo,25,0,4,0,20,0,100,0,22/10/2020
Azuay,Gualaceo,25,0,2,0,52,0,100,0,29/10/2020
Azuay,Gualaceo,25,0,2,0,36,0,100,0,05/11/2020
Azuay,Gualaceo,25,0,2,0,16,0,100,0,12/11/2020
Azuay,Paute,30,0,3,0,40,0,0,0,07/04/2020
Azuay,Paute,26,0,7,0,69,0,0,0,18/04/2020
Azuay,Paute,26,0,3,0,42,0,0,0,26/04/2020
Azuay,Paute,26,0,3,0,54,0,0,0,07/05/2020
Azuay,Paute,26,0,3,0,42,0,0,0,14/05/2020
Azuay,Paute,26,0,3,0,31,0,0,0,21/05/2020
Azuay,Paute,26,0,3,0,50,0,0,0,28/05/2020
Azuay,Paute,26,0,3,0,50,0,33,0,04/06/2020
Azuay,Paute,26,0,3,0,62,0,0,0,11/06/2020
Azuay,Paute,26,0,3,0,65,0,0,0,18/06/2020
Azuay,Paute,26,0,3,0,46,0,0,0,25/06/2020
Azuay,Paute,26,0,3,0,54,0,0,0,01/07/2020
Azuay,Paute,26,0,3,0,50,0,0,0,08/07/2020
Azuay,Paute,26,0,3,0,38,0,0,0,15/07/2020
Azuay,Paute,26,0,3,0,65,0,0,0,23/07/2020
Azuay,Paute,26,0,3,0,65,0,0,0,30/07/2020
Azuay,Paute,26,0,4,0,54,0,75,0,06/08/2020
Azuay,Paute,26,0,5,0,38,0,80,0,13/08/2020
Azuay,Paute,26,0,5,0,46,0,80,0,20/08/2020
Azuay,Paute,26,0,5,0,46,0,80,0,27/08/2020
Azuay,Paute,26,0,7,0,31,0,100,0,03/09/2020
Azuay,Paute,26,0,5,0,69,0,100,0,10/09/2020
Azuay,Paute,28,0,5,0,100,0,100,0,17/09/2020
Azuay,Paute,26,0,4,0,96,0,75,0,24/09/2020
Azuay,Paute,26,0,8,0,58,0,88,0,30/09/2020
Azuay,Paute,26,0,6,0,65,0,83,0,08/10/2020
Azuay,Paute,26,0,3,0,85,0,0,0,15/10/2020
Azuay,Paute,26,0,3,0,85,0,0,0,22/10/2020
Azuay,Paute,26,0,3,0,58,0,67,0,29/10/2020
Azuay,Paute,26,0,3,0,85,0,67,0,05/11/2020
Azuay,Paute,26,0,5,0,81,0,100,0,12/11/2020
Azuay,Santa Isabel,22,0,4,0,32,0,25,0,07/04/2020
Azuay,Santa Isabel,22,0,6,0,55,0,0,0,18/04/2020
Azuay,Santa Isabel,22,0,4,0,41,0,0,0,26/04/2020
Azuay,Santa Isabel,22,0,4,0,41,0,25,0,07/05/2020
Azuay,Santa Isabel,22,0,4,0,36,0,25,0,14/05/2020
Azuay,Santa Isabel,22,0,4,0,55,0,0,0,21/05/2020
Azuay,Santa Isabel,22,0,4,0,36,0,0,0,28/05/2020
Azuay,Santa Isabel,22,0,4,0,59,0,0,0,04/06/2020
Azuay,Santa Isabel,22,0,4,0,55,0,0,0,11/06/2020
Azuay,Santa Isabel,22,0,4,0,68,0,25,0,18/06/2020
Azuay,Santa Isabel,22,0,4,0,55,0,0,0,25/06/2020
Azuay,Santa Isabel,22,0,4,0,50,0,0,0,01/07/2020
Azuay,Santa Isabel,22,0,4,0,50,0,0,0,08/07/2020
Azuay,Santa Isabel,22,0,4,0,50,0,0,0,15/07/2020
Azuay,Santa Isabel,22,0,4,0,50,0,0,0,23/07/2020
Azuay,Santa Isabel,22,0,4,0,50,0,0,0,30/07/2020
Azuay,Santa Isabel,22,0,4,0,50,0,0,0,06/08/2020
Azuay,Santa Isabel,22,0,4,0,50,0,0,0,13/08/2020
Azuay,Santa Isabel,22,0,4,0,77,0,25,0,20/08/2020
Azuay,Santa Isabel,22,0,4,0,27,0,25,0,27/08/2020
Azuay,Santa Isabel,22,0,4,0,27,0,25,0,03/09/2020
Azuay,Santa Isabel,22,0,4,0,27,0,25,0,10/09/2020
Azuay,Santa Isabel,22,0,4,0,50,0,75,0,17/09/2020
Azuay,Santa Isabel,22,0,4,0,18,0,50,0,24/09/2020
Azuay,Santa Isabel,22,0,4,0,55,0,0,0,30/09/2020
Azuay,Santa Isabel,22,0,4,0,55,0,25,0,08/10/2020
Azuay,Santa Isabel,22,0,4,0,50,0,50,0,15/10/2020
Azuay,Santa Isabel,22,0,4,0,50,0,50,0,22/10/2020
Azuay,Santa Isabel,22,0,4,0,50,0,50,0,29/10/2020
Azuay,Santa Isabel,22,0,4,0,50,0,50,0,05/11/2020
Azuay,Santa Isabel,22,0,4,0,50,0,50,0,12/11/2020
Azuay,Sígsig,18,0,3,0,39,0,100,0,07/04/2020
Azuay,Sígsig,18,0,4,0,44,0,0,0,18/04/2020
Azuay,Sígsig,18,0,2,0,33,0,0,0,26/04/2020
Azuay,Sígsig,18,0,2,0,89,0,0,0,07/05/2020
Azuay,Sígsig,18,0,2,0,56,0,0,0,14/05/2020
Azuay,Sígsig,18,0,2,0,0,0,0,0,21/05/2020
Azuay,Sígsig,18,0,2,0,72,0,0,0,28/05/2020
Azuay,Sígsig,18,0,2,0,100,0,50,0,04/06/2020
Azuay,Sígsig,18,0,2,0,72,0,0,0,11/06/2020
Azuay,Sígsig,18,0,2,0,61,0,50,0,18/06/2020
Azuay,Sígsig,18,0,2,0,56,0,0,0,25/06/2020
Azuay,Sígsig,18,0,2,0,78,0,50,0,01/07/2020
Azuay,Sígsig,18,0,2,0,78,0,50,0,08/07/2020
Azuay,Sígsig,18,0,2,0,78,0,0,0,15/07/2020
Azuay,Sígsig,18,0,2,0,78,0,0,0,23/07/2020
Azuay,Sígsig,18,0,4,0,50,0,100,0,30/07/2020
Azuay,Sígsig,18,0,4,0,50,0,100,0,06/08/2020
Azuay,Sígsig,18,0,4,0,50,0,100,0,13/08/2020
Azuay,Sígsig,18,0,6,0,39,0,100,0,20/08/2020
Azuay,Sígsig,18,0,7,0,61,0,100,0,27/08/2020
Azuay,Sígsig,18,0,8,0,89,0,100,0,03/09/2020
Azuay,Sígsig,18,0,4,0,56,0,100,0,10/09/2020
Azuay,Sígsig,18,0,7,0,56,0,100,0,17/09/2020
Azuay,Sígsig,18,0,7,0,50,0,100,0,24/09/2020
Azuay,Sígsig,18,0,7,0,44,0,100,0,30/09/2020
Azuay,Sígsig,18,0,3,0,100,0,100,0,08/10/2020
Azuay,Sígsig,18,0,5,0,100,0,100,0,15/10/2020
Azuay,Sígsig,18,0,5,0,100,0,100,0,22/10/2020
Azuay,Sígsig,18,0,3,0,67,0,100,0,29/10/2020
Azuay,Sígsig,18,0,3,0,56,0,100,0,05/11/2020
Azuay,Sígsig,18,0,3,0,100,0,100,0,12/11/2020
Bolívar,Chillanes,15,0,5,0,33,0,0,0,07/04/2020
Bolívar,Chillanes,15,0,5,0,20,0,0,0,18/04/2020
Bolívar,Chillanes,15,0,5,0,20,0,0,0,26/04/2020
Bolívar,Chillanes,15,0,5,0,33,0,0,0,07/05/2020
Bolívar,Chillanes,15,0,5,0,47,0,0,0,14/05/2020
Bolívar,Chillanes,15,0,5,0,7,0,0,0,21/05/2020
Bolívar,Chillanes,15,0,5,0,40,0,0,0,28/05/2020
Bolívar,Chillanes,15,0,5,0,40,0,0,0,04/06/2020
Bolívar,Chillanes,15,0,5,0,20,0,0,0,11/06/2020
Bolívar,Chillanes,15,0,5,0,27,0,0,0,18/06/2020
Bolívar,Chillanes,15,0,5,0,53,0,0,0,25/06/2020
Bolívar,Chillanes,15,0,5,0,33,0,0,0,01/07/2020
Bolívar,Chillanes,15,0,5,0,33,0,0,0,08/07/2020
Bolívar,Chillanes,15,0,5,0,33,0,0,0,15/07/2020
Bolívar,Chillanes,15,0,5,0,47,0,0,0,23/07/2020
Bolívar,Chillanes,15,0,5,0,80,0,0,0,30/07/2020
Bolívar,Chillanes,15,0,5,0,87,0,0,0,06/08/2020
Bolívar,Chillanes,15,0,5,0,47,0,0,0,13/08/2020
Bolívar,Chillanes,15,0,5,0,40,0,0,0,20/08/2020
Bolívar,Chillanes,15,0,5,0,87,0,0,0,27/08/2020
Bolívar,Chillanes,15,0,5,0,60,0,0,0,03/09/2020
Bolívar,Chillanes,15,0,5,0,53,0,0,0,10/09/2020
Bolívar,Chillanes,15,0,5,0,67,0,0,0,17/09/2020
Bolívar,Chillanes,15,0,5,0,53,0,0,0,24/09/2020
Bolívar,Chillanes,15,0,5,0,40,0,0,0,30/09/2020
Bolívar,Chillanes,15,0,5,0,40,0,0,0,08/10/2020
Bolívar,Chillanes,15,0,5,0,67,0,0,0,15/10/2020
Bolívar,Chillanes,15,0,5,0,67,0,0,0,22/10/2020
Bolívar,Chillanes,15,0,5,0,73,0,0,0,29/10/2020
Bolívar,Chillanes,15,0,5,0,67,0,0,0,05/11/2020
Bolívar,Chillanes,15,0,5,0,60,0,0,0,12/11/2020
Bolívar,Guaranda,35,0,50,3,43,0,16,100,07/04/2020
Bolívar,Guaranda,35,0,62,2,43,0,19,100,18/04/2020
Bolívar,Guaranda,35,0,62,6,37,0,23,33,26/04/2020
Bolívar,Guaranda,35,0,62,4,40,0,15,25,07/05/2020
Bolívar,Guaranda,35,0,62,4,74,0,16,75,14/05/2020
Bolívar,Guaranda,35,0,62,4,51,0,8,25,21/05/2020
Bolívar,Guaranda,35,0,62,4,49,0,11,75,28/05/2020
Bolívar,Guaranda,45,0,47,5,38,0,26,80,04/06/2020
Bolívar,Guaranda,45,0,45,7,53,0,36,29,11/06/2020
Bolívar,Guaranda,57,0,46,17,28,0,39,59,18/06/2020
Bolívar,Guaranda,57,0,46,17,35,0,43,41,25/06/2020
Bolívar,Guaranda,57,0,46,12,40,0,46,67,01/07/2020
Bolívar,Guaranda,57,0,46,15,23,0,48,40,08/07/2020
Bolívar,Guaranda,57,0,46,15,42,0,76,27,15/07/2020
Bolívar,Guaranda,57,0,46,10,44,0,67,50,23/07/2020
Bolívar,Guaranda,57,0,46,10,30,0,67,40,30/07/2020
Bolívar,Guaranda,57,0,50,7,82,0,46,71,06/08/2020
Bolívar,Guaranda,57,0,50,7,32,0,38,86,13/08/2020
Bolívar,Guaranda,57,0,50,7,39,0,46,86,20/08/2020
Bolívar,Guaranda,57,0,50,7,32,0,38,57,27/08/2020
Bolívar,Guaranda,57,0,42,0,23,0,57,0,03/09/2020
Bolívar,Guaranda,57,0,42,0,47,0,40,0,10/09/2020
Bolívar,Guaranda,57,0,42,0,30,0,29,0,17/09/2020
Bolívar,Guaranda,57,0,50,7,42,0,38,71,24/09/2020
Bolívar,Guaranda,57,0,50,7,40,0,16,29,30/09/2020
Bolívar,Guaranda,57,0,50,7,42,0,26,43,08/10/2020
Bolívar,Guaranda,57,0,50,7,42,0,12,0,15/10/2020
Bolívar,Guaranda,57,0,50,7,42,0,12,0,22/10/2020
Bolívar,Guaranda,57,0,50,7,67,0,12,29,29/10/2020
Bolívar,Guaranda,57,0,50,7,26,0,24,43,05/11/2020
Bolívar,Guaranda,57,0,50,7,56,0,32,86,12/11/2020
Bolívar,San Miguel,14,0,1,0,14,0,0,0,07/04/2020
Bolívar,San Miguel,15,0,0,0,40,0,0,0,18/04/2020
Bolívar,San Miguel,15,0,0,0,100,0,0,0,26/04/2020
Bolívar,San Miguel,15,0,0,0,93,0,0,0,07/05/2020
Bolívar,San Miguel,15,0,0,0,67,0,0,0,14/05/2020
Bolívar,San Miguel,15,0,0,0,40,0,0,0,21/05/2020
Bolívar,San Miguel,15,0,0,0,60,0,0,0,28/05/2020
Bolívar,San Miguel,15,0,0,0,27,0,0,0,04/06/2020
Bolívar,San Miguel,15,0,0,0,53,0,0,0,11/06/2020
Bolívar,San Miguel,15,0,0,0,47,0,0,0,18/06/2020
Bolívar,San Miguel,15,0,0,0,73,0,0,0,25/06/2020
Bolívar,San Miguel,15,0,0,0,67,0,0,0,01/07/2020
Bolívar,San Miguel,15,0,0,0,93,0,0,0,08/07/2020
