inec_provincia_id,provincia,total,acumuladas,lat,lng,semana
1,Azuay,36,36,-2.897414000000000,-79.00448100000000,1
2,Bolívar,9,9,-1.605556000000000,-79.00305600000000,1
4,Carchi,9,9,0.8121800000000000,-77.71633000000000,1
3,Cañar,15,15,-2.733333000000000,-78.83333300000000,1
6,Chimborazo,18,18,-1.674347000000000,-78.64829400000001,1
5,Cotopaxi,24,24,-0.9333330000000000,-78.61666700000001,1
7,El Oro,34,34,-3.266667000000000,-79.96666700000000,1
8,Esmeraldas,22,22,1.050000000000000,-79.20000000000000,1
20,Galápagos,0,0,-0.7999999999999999,-89.40000000000001,1
9,Guayas,232,232,-2.183333000000000,-79.88333299999999,1
10,Imbabura,27,27,0.3626780000000000,-78.13066700000000,1
11,Loja,27,27,-3.983333000000000,-79.20000000000000,1
12,Los Ríos,39,39,-1.800000000000000,-79.53333300000000,1
13,Manabí,58,58,-1.056181000000000,-80.45521700000000,1
14,Morona Santiago,8,8,-2.300000000000000,-78.11666700000001,1
15,Napo,0,0,-0.9890000000000000,-77.81590000000000,1
22,Orellana,9,9,-0.4666670000000000,-76.96666700000000,1
88,Otro,0,0,0,0,1
16,Pastaza,4,4,-1.066667000000000,-78.00111099999999,1
17,Pichincha,142,142,-0.2186110000000000,-78.50972200000000,1
24,Santa Elena,16,16,-2.226700000000000,-80.85830000000000,1
23,Sto. Domingo Tsáchilas,23,23,-0.2541670000000000,-79.17194400000000,1
21,Sucumbíos,5,5,0.08472200000000002,-76.88277800000000,1
18,Tungurahua,28,28,-1.241667000000000,-78.61972200000000,1
19,Zamora Chinchipe,5,5,-4.120000000000000,-78.80000000000000,1
1,Azuay,69,105,-2.897414000000000,-79.00448100000000,2
2,Bolívar,14,23,-1.605556000000000,-79.00305600000000,2
4,Carchi,17,26,0.8121800000000000,-77.71633000000000,2
3,Cañar,16,31,-2.733333000000000,-78.83333300000000,2
6,Chimborazo,33,51,-1.674347000000000,-78.64829400000001,2
5,Cotopaxi,44,68,-0.9333330000000000,-78.61666700000001,2
7,El Oro,49,83,-3.266667000000000,-79.96666700000000,2
8,Esmeraldas,28,50,1.050000000000000,-79.20000000000000,2
20,Galápagos,0,0,-0.7999999999999999,-89.40000000000001,2
9,Guayas,320,552,-2.183333000000000,-79.88333299999999,2
10,Imbabura,43,70,0.3626780000000000,-78.13066700000000,2
11,Loja,37,64,-3.983333000000000,-79.20000000000000,2
12,Los Ríos,58,97,-1.800000000000000,-79.53333300000000,2
13,Manabí,102,160,-1.056181000000000,-80.45521700000000,2
14,Morona Santiago,2,10,-2.300000000000000,-78.11666700000001,2
15,Napo,8,8,-0.9890000000000000,-77.81590000000000,2
22,Orellana,5,14,-0.4666670000000000,-76.96666700000000,2
88,Otro,0,0,0,0,2
