provincia,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Azuay,-2.897414000000000,-79.00448100000000,327,292,329,317,290,306,301,300,291,313,298,276
Bolívar,-1.605556000000000,-79.00305600000000,57,78,71,65,65,63,67,63,79,64,58,65
Carchi,0.8121800000000000,-77.71633000000000,63,42,60,45,56,64,57,51,44,55,54,56
Cañar,-2.733333000000000,-78.83333300000000,87,74,85,84,87,77,83,80,101,81,69,76
Chimborazo,-1.674347000000000,-78.64829400000001,156,187,206,194,194,184,179,181,177,169,180,183
Cotopaxi,-0.9333330000000000,-78.61666700000001,164,124,131,125,143,131,136,155,144,113,121,136
El Oro,-3.266667000000000,-79.96666700000000,222,208,245,227,231,211,232,206,198,225,198,197
Esmeraldas,1.050000000000000,-79.20000000000000,132,112,122,144,150,120,139,132,111,130,124,110
Galápagos,-0.8000000000000000,-89.40000000000001,1,1,2,2,3,5,3,8,4,5,1,4
Guayas,-2.183333000000000,-79.88333299999999,1555,1443,1596,1632,1797,1729,1545,1554,1528,1525,1522,1561
Imbabura,0.3626780000000000,-78.13066700000000,163,134,167,140,147,126,154,153,155,152,144,140
Loja,-3.983333000000000,-79.20000000000000,225,165,178,164,185,181,170,168,172,199,147,155
Los Ríos,-1.800000000000000,-79.53333300000000,280,227,253,248,263,247,273,284,226,282,242,275
Manabí,-1.056181000000000,-80.45521700000000,475,440,518,553,606,536,496,480,461,467,441,433
Morona Santiago,-2.300000000000000,-78.11666700000001,33,25,30,39,38,36,37,32,40,42,33,31
Napo,-0.9890000000000000,-77.81590000000000,27,18,28,28,37,31,32,28,34,23,31,18
Orellana,-0.4666670000000000,-76.96666700000000,31,25,30,26,38,27,34,28,29,38,34,39
Otro,0,0,1,1,2,0,3,0,2,2,1,1,1,0
Pastaza,-1.066667000000000,-78.00111099999999,22,20,16,17,25,19,17,28,22,18,18,19
Pichincha,-0.2186110000000000,-78.50972200000000,963,872,958,982,948,951,949,962,809,973,918,942
Santa Elena,-2.226700000000000,-80.85830000000000,108,80,115,111,120,113,100,92,83,121,78,87
Sto. Domingo Tsáchilas,-0.2541670000000000,-79.17194400000000,139,139,138,138,155,135,165,166,155,142,138,130
Sucumbíos,0.08472200000000001,-76.88277800000000,42,38,37,37,49,41,43,56,40,48,41,31
Tungurahua,-1.241667000000000,-78.61972200000000,212,211,202,205,211,224,238,243,213,217,203,202
Zamora Chinchipe,-4.120000000000000,-78.80000000000000,22,17,22,13,25,25,22,19,15,12,20,13
