inec_provincia_id,provincia,poblacion,lat,lng,Jan-2015,Feb-2015,Mar-2015,Apr-2015,May-2015,Jun-2015,Jul-2015,Aug-2015,Sep-2015,Oct-2015,Nov-2015,Dec-2015
01,Azuay,881394,-2.8974140000000004,-79.004481,327,292,329,317,290,306,301,300,291,313,298,276
02,Bolívar,209933,-1.6055560000000002,-79.003056,57,78,71,65,65,63,67,63,79,64,58,65
04,Carchi,186869,0.81218,-77.71633,63,42,60,45,56,64,57,51,44,55,54,56
03,Cañar,281396,-2.733333,-78.833333,87,74,85,84,87,77,83,80,101,81,69,76
06,Chimborazo,524004,-1.674347,-78.648294,156,187,206,194,194,184,179,181,177,169,180,183
05,Cotopaxi,488716,-0.933333,-78.616667,164,124,131,125,143,131,136,155,144,113,121,136
07,El Oro,715751,-3.2666670000000004,-79.966667,222,208,245,227,231,211,232,206,198,225,198,197
08,Esmeraldas,591083,1.05,-79.2,132,112,122,144,150,120,139,132,111,130,124,110
20,Galápagos,33042,-0.7999999999999999,-89.4,1,1,2,2,3,5,3,8,4,5,1,4
09,Guayas,4387434,-2.183333,-79.883333,1555,1443,1596,1632,1797,1729,1545,1554,1528,1525,1522,1561
10,Imbabura,476257,0.362678,-78.130667,163,134,167,140,147,126,154,153,155,152,144,140
11,Loja,521154,-3.9833330000000005,-79.2,225,165,178,164,185,181,170,168,172,199,147,155
12,Los Ríos,921763,-1.8,-79.533333,280,227,253,248,263,247,273,284,226,282,242,275
13,Manabí,1562079,-1.056181,-80.455217,475,440,518,553,606,536,496,480,461,467,441,433
14,Morona Santiago,196535,-2.3000000000000003,-78.116667,33,25,30,39,38,36,37,32,40,42,33,31
15,Napo,133705,-0.989,-77.8159,27,18,28,28,37,31,32,28,34,23,31,18
22,Orellana,161338,-0.466667,-76.966667,31,25,30,26,38,27,34,28,29,38,34,39
88,Otro,0,0,0,1,1,2,0,3,0,2,2,1,1,1,0
16,Pastaza,114202,-1.066667,-78.001111,22,20,16,17,25,19,17,28,22,18,18,19
17,Pichincha,3228233,-0.218611,-78.509722,963,872,958,982,948,951,949,962,809,973,918,942
24,Santa Elena,401178,-2.2267,-80.8583,108,80,115,111,120,113,100,92,83,121,78,87
23,Sto. Domingo Tsáchilas,511151,-0.254167,-79.171944,139,139,138,138,155,135,165,166,155,142,138,130
21,Sucumbíos,230503,0.08472200000000002,-76.882778,42,38,37,37,49,41,43,56,40,48,41,31
18,Tungurahua,590600,-1.241667,-78.619722,212,211,202,205,211,224,238,243,213,217,203,202
19,Zamora Chinchipe,120416,-4.12,-78.8,22,17,22,13,25,25,22,19,15,12,20,13
