provincia,poblacion,lat,lng,01/01/2016,02/01/2016,03/01/2016,04/01/2016,05/01/2016,06/01/2016,07/01/2016,08/01/2016,09/01/2016,10/01/2016,11/01/2016,12/01/2016,13/01/2016,14/01/2016,15/01/2016,16/01/2016,17/01/2016,18/01/2016,19/01/2016,20/01/2016,21/01/2016,22/01/2016,23/01/2016,24/01/2016,25/01/2016,26/01/2016,27/01/2016,28/01/2016,29/01/2016,30/01/2016,31/01/2016,01/02/2016,02/02/2016,03/02/2016,04/02/2016,05/02/2016,06/02/2016,07/02/2016,08/02/2016,09/02/2016,10/02/2016,11/02/2016,12/02/2016,13/02/2016,14/02/2016,15/02/2016,16/02/2016,17/02/2016,18/02/2016,19/02/2016,20/02/2016,21/02/2016,22/02/2016,23/02/2016,24/02/2016,25/02/2016,26/02/2016,27/02/2016,28/02/2016,29/02/2016,01/03/2016,02/03/2016,03/03/2016,04/03/2016,05/03/2016,06/03/2016,07/03/2016,08/03/2016,09/03/2016,10/03/2016,11/03/2016,12/03/2016,13/03/2016,14/03/2016,15/03/2016,16/03/2016,17/03/2016,18/03/2016,19/03/2016,20/03/2016,21/03/2016,22/03/2016,23/03/2016,24/03/2016,25/03/2016,26/03/2016,27/03/2016,28/03/2016,29/03/2016,30/03/2016,31/03/2016,01/04/2016,02/04/2016,03/04/2016,04/04/2016,05/04/2016,06/04/2016,07/04/2016,08/04/2016,09/04/2016,10/04/2016,11/04/2016,12/04/2016,13/04/2016,14/04/2016,15/04/2016,16/04/2016,17/04/2016,18/04/2016,19/04/2016,20/04/2016,21/04/2016,22/04/2016,23/04/2016,24/04/2016,25/04/2016,26/04/2016,27/04/2016,28/04/2016,29/04/2016,30/04/2016,01/05/2016,02/05/2016,03/05/2016,04/05/2016,05/05/2016,06/05/2016,07/05/2016,08/05/2016,09/05/2016,10/05/2016,11/05/2016,12/05/2016,13/05/2016,14/05/2016,15/05/2016,16/05/2016,17/05/2016,18/05/2016,19/05/2016,20/05/2016,21/05/2016,22/05/2016,23/05/2016,24/05/2016,25/05/2016,26/05/2016,27/05/2016,28/05/2016,29/05/2016,30/05/2016,31/05/2016,01/06/2016,02/06/2016,03/06/2016,04/06/2016,05/06/2016,06/06/2016,07/06/2016,08/06/2016,09/06/2016,10/06/2016,11/06/2016,12/06/2016,13/06/2016,14/06/2016,15/06/2016,16/06/2016,17/06/2016,18/06/2016,19/06/2016,20/06/2016,21/06/2016,22/06/2016,23/06/2016,24/06/2016,25/06/2016,26/06/2016,27/06/2016,28/06/2016,29/06/2016,30/06/2016,01/07/2016,02/07/2016,03/07/2016,04/07/2016,05/07/2016,06/07/2016,07/07/2016,08/07/2016,09/07/2016,10/07/2016,11/07/2016,12/07/2016,13/07/2016,14/07/2016,15/07/2016,16/07/2016,17/07/2016,18/07/2016,19/07/2016,20/07/2016,21/07/2016,22/07/2016,23/07/2016,24/07/2016,25/07/2016,26/07/2016,27/07/2016,28/07/2016,29/07/2016,30/07/2016,31/07/2016,01/08/2016,02/08/2016,03/08/2016,04/08/2016,05/08/2016,06/08/2016,07/08/2016,08/08/2016,09/08/2016,10/08/2016,11/08/2016,12/08/2016,13/08/2016,14/08/2016,15/08/2016,16/08/2016,17/08/2016,18/08/2016,19/08/2016,20/08/2016,21/08/2016,22/08/2016,23/08/2016,24/08/2016,25/08/2016,26/08/2016,27/08/2016,28/08/2016,29/08/2016,30/08/2016,31/08/2016,01/09/2016,02/09/2016,03/09/2016,04/09/2016,05/09/2016,06/09/2016,07/09/2016,08/09/2016,09/09/2016,10/09/2016,11/09/2016,12/09/2016,13/09/2016,14/09/2016,15/09/2016,16/09/2016,17/09/2016,18/09/2016,19/09/2016,20/09/2016,21/09/2016,22/09/2016,23/09/2016,24/09/2016,25/09/2016,26/09/2016,27/09/2016,28/09/2016,29/09/2016,30/09/2016,01/10/2016,02/10/2016,03/10/2016,04/10/2016,05/10/2016,06/10/2016,07/10/2016,08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,15/10/2016,16/10/2016,17/10/2016,18/10/2016,19/10/2016,20/10/2016,21/10/2016,22/10/2016,23/10/2016,24/10/2016,25/10/2016,26/10/2016,27/10/2016,28/10/2016,29/10/2016,30/10/2016,31/10/2016,01/11/2016,02/11/2016,03/11/2016,04/11/2016,05/11/2016,06/11/2016,07/11/2016,08/11/2016,09/11/2016,10/11/2016,11/11/2016,12/11/2016,13/11/2016,14/11/2016,15/11/2016,16/11/2016,17/11/2016,18/11/2016,19/11/2016,20/11/2016,21/11/2016,22/11/2016,23/11/2016,24/11/2016,25/11/2016,26/11/2016,27/11/2016,28/11/2016,29/11/2016,30/11/2016,01/12/2016,02/12/2016,03/12/2016,04/12/2016,05/12/2016,06/12/2016,07/12/2016,08/12/2016,09/12/2016,10/12/2016,11/12/2016,12/12/2016,13/12/2016,14/12/2016,15/12/2016,16/12/2016,17/12/2016,18/12/2016,19/12/2016,20/12/2016,21/12/2016,22/12/2016,23/12/2016,24/12/2016,25/12/2016,26/12/2016,27/12/2016,28/12/2016,29/12/2016,30/12/2016,31/12/2016
Azuay,881394,-2.897414000000000,-79.00448100000000,13,8,5,11,11,4,8,8,7,11,9,7,17,12,9,6,7,12,10,9,12,7,12,10,5,16,10,8,10,11,6,7,3,10,13,9,11,10,8,7,13,10,9,7,12,8,5,3,14,10,9,9,5,6,16,7,9,5,11,9,15,6,3,15,11,7,12,13,13,13,8,12,15,11,9,13,8,9,3,17,10,9,8,8,9,10,13,15,13,10,11,12,15,8,8,11,10,11,7,11,7,9,12,4,14,13,7,13,12,11,8,5,8,9,7,7,13,6,7,4,7,8,14,7,6,13,8,19,19,6,11,10,11,12,5,11,6,12,6,6,7,5,7,8,12,6,9,9,8,7,5,11,10,10,15,10,8,7,7,10,4,10,10,6,5,9,7,7,11,8,9,8,9,9,8,10,7,7,10,11,8,7,4,7,10,11,7,8,10,11,6,14,10,10,9,12,15,6,14,12,9,7,7,12,11,6,6,7,7,10,13,5,13,9,10,9,9,9,8,8,11,8,4,8,9,10,11,10,11,11,4,7,13,5,8,12,10,10,8,8,7,9,10,11,13,7,10,17,3,10,15,5,12,11,10,12,11,11,12,12,8,11,10,12,2,10,8,5,8,10,9,6,6,10,12,9,12,17,12,13,9,8,6,7,13,13,13,12,8,14,10,8,11,13,5,8,11,11,5,6,5,6,11,9,7,11,9,8,11,5,10,8,8,12,13,13,14,6,9,10,9,7,9,11,12,5,8,11,11,12,11,4,11,9,7,8,3,7,10,10,6,7,13,1,12,14,8,15,9,14,6,11,5,9,8,8,6,8,7,14,6,11,6,5,6,1
Bolívar,209933,-1.605556000000000,-79.00305600000000,5,3,3,1,2,0,1,1,2,1,2,3,3,2,1,1,1,1,4,2,4,2,1,1,2,5,3,1,4,3,1,2,0,1,1,6,3,3,6,3,5,2,3,3,1,2,4,3,3,6,3,4,2,0,1,3,1,3,3,2,1,2,5,0,3,5,4,2,2,1,5,4,5,3,4,1,4,5,5,1,3,2,4,3,1,0,2,2,3,5,3,2,3,2,0,5,2,3,2,5,5,3,3,6,3,3,3,5,5,4,2,5,6,4,5,2,4,3,4,1,1,0,2,4,3,7,2,3,3,6,2,3,3,5,4,4,0,1,4,4,1,4,1,1,2,4,5,3,4,3,1,2,2,2,1,2,5,0,2,2,3,2,1,5,7,3,1,0,0,0,2,0,3,1,2,3,1,2,2,0,3,0,3,2,2,1,1,3,1,4,6,3,1,1,2,2,1,1,3,4,3,1,3,0,3,0,1,2,2,2,4,2,2,1,0,3,4,0,2,1,1,1,1,3,7,3,6,1,6,0,3,2,4,6,1,2,1,5,2,5,2,1,1,1,3,3,2,7,4,3,4,3,1,0,4,1,3,5,5,2,1,3,4,2,2,1,4,0,0,2,2,4,3,2,2,4,1,5,0,3,4,2,3,0,0,5,1,2,7,2,1,5,2,3,6,6,2,8,5,3,2,1,1,2,2,3,6,3,1,0,2,2,3,1,4,9,3,7,2,2,4,5,4,1,1,1,4,1,4,2,1,2,1,0,2,3,5,1,0,4,2,3,3,1,2,3,3,2,1,4,5,0,1,2,0,1,5,0,3,5,7,0,4,3,3,0
Carchi,186869,0.8121800000000000,-77.71633000000000,2,1,4,1,2,1,0,4,3,1,1,2,3,3,1,3,0,5,1,2,4,1,6,4,1,1,3,1,3,2,3,0,4,9,4,1,1,1,1,2,2,1,2,2,2,4,2,2,2,1,3,4,1,2,4,1,1,0,2,2,2,4,4,4,3,4,1,0,4,2,2,2,2,2,1,1,1,1,3,2,0,4,1,0,3,1,3,2,1,1,3,5,1,0,0,4,0,2,2,1,0,2,4,0,6,2,4,3,3,4,4,2,2,1,2,0,0,3,4,2,1,3,3,1,2,3,4,2,3,2,3,3,2,3,3,1,3,5,5,2,1,1,0,1,1,2,3,2,2,1,3,0,1,3,1,1,1,4,2,2,1,3,1,1,0,1,1,1,0,3,2,3,1,2,4,0,3,1,3,1,1,2,3,1,6,1,2,2,2,3,2,0,5,2,4,1,3,2,1,3,3,2,2,1,2,4,0,4,0,3,0,4,2,2,5,0,0,2,1,2,3,1,2,1,3,1,4,3,0,7,3,2,1,4,3,0,2,3,1,0,0,2,4,4,4,2,4,5,2,1,1,3,1,1,1,2,2,2,1,2,1,1,3,1,1,1,4,1,5,2,5,2,2,1,1,2,5,2,4,4,1,3,2,2,2,2,2,2,2,1,3,2,0,2,1,2,1,1,1,3,3,3,4,2,3,0,4,2,1,1,1,2,2,0,2,1,3,4,1,4,1,1,5,1,2,4,2,2,1,2,2,4,1,2,0,2,3,3,2,4,1,5,3,0,1,2,2,2,0,2,0,4,1,2,1,1,1,3,2,2,4,2,3,1,2,1
Cañar,281396,-2.733333000000000,-78.83333300000000,4,3,4,1,1,4,4,3,2,4,4,2,3,2,4,3,2,3,4,2,5,2,3,4,3,4,1,2,6,2,3,2,5,7,5,0,2,3,2,4,4,2,3,8,2,5,6,6,8,2,1,2,5,3,5,3,5,3,2,2,1,4,4,3,1,3,3,4,4,3,0,1,2,2,2,6,2,2,5,3,3,3,1,3,4,0,3,3,4,2,1,3,1,3,2,6,4,5,3,3,5,2,2,1,0,6,4,4,1,1,4,0,1,3,2,3,2,5,3,1,2,2,1,1,2,3,5,2,10,3,3,5,3,2,4,3,5,2,3,2,1,5,4,4,4,4,4,3,3,1,2,5,1,1,1,1,3,0,0,6,3,4,4,3,3,4,3,3,9,1,4,3,9,4,4,1,4,4,1,5,1,2,14,3,5,3,5,2,2,0,3,1,4,5,3,3,4,8,3,5,6,3,1,5,3,4,3,5,2,4,4,9,2,1,3,3,4,2,5,4,2,3,8,5,6,3,4,3,8,6,2,3,4,5,1,5,3,3,2,3,4,4,4,3,3,2,4,3,6,2,2,1,5,1,2,5,2,2,4,0,2,7,4,4,1,1,2,1,5,3,5,1,3,6,3,2,2,7,0,1,5,4,3,5,3,4,6,4,8,6,2,4,5,2,2,1,2,5,3,6,3,6,2,3,3,3,2,1,9,2,2,1,3,1,1,4,4,1,2,5,2,2,3,3,4,2,0,0,2,1,3,6,2,7,3,4,2,1,1,4,2,3,3,2,0,1,2,3,5,3,1,5,2,6,2,0,1,5,3,3,3,3,3,2,0,0
Chimborazo,524004,-1.674347000000000,-78.64829400000001,8,8,8,6,5,5,10,4,3,7,8,5,5,2,3,3,5,6,4,4,10,8,5,7,8,3,9,8,2,6,5,4,3,7,9,10,6,5,10,8,6,9,8,9,8,4,3,1,8,7,7,9,5,6,2,7,5,8,8,5,7,6,5,5,6,6,8,6,9,9,13,2,7,5,14,5,4,5,12,4,5,8,5,2,7,5,8,8,7,9,8,8,6,7,9,4,6,6,6,8,11,8,9,4,4,12,9,11,6,6,9,4,4,6,8,13,7,10,7,7,4,3,6,8,3,8,2,8,9,8,6,8,11,6,5,5,6,5,7,5,6,5,7,6,4,7,7,9,7,11,10,5,7,4,6,3,3,5,10,7,9,15,5,8,3,8,2,8,8,2,5,7,4,6,7,14,8,3,2,6,8,6,7,7,8,7,6,3,5,8,7,6,5,11,10,9,7,7,12,6,4,7,3,5,4,6,8,3,6,7,4,7,10,0,7,3,11,9,8,9,9,7,7,5,2,6,9,7,8,6,7,11,3,4,6,8,3,7,4,8,8,11,5,10,8,8,6,10,9,7,5,7,5,3,7,7,7,3,6,6,2,8,8,5,5,12,9,8,10,6,7,5,10,8,4,5,5,8,2,10,5,3,2,12,4,5,5,6,6,10,9,4,4,5,6,7,9,4,9,9,5,9,7,9,7,4,3,8,3,13,4,11,6,5,9,12,4,9,2,11,9,8,7,8,7,5,8,3,4,4,5,10,7,4,4,6,4,5,10,6,2,7,5,11,4,3,6,10,5,7,4,11,5,7,10,5,3,6,8,3,8,7,3,7,3,0
Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,3,8,5,5,1,9,9,9,1,6,5,8,5,7,2,6,8,4,7,6,5,2,9,7,10,2,4,9,7,5,8,5,3,3,4,3,4,5,8,3,8,2,7,1,7,6,5,2,9,7,9,6,3,7,1,4,5,4,3,8,5,9,5,2,6,3,6,10,6,4,12,1,4,7,8,4,0,8,6,4,5,5,1,6,4,2,4,5,6,6,7,5,7,5,8,4,7,9,7,6,6,6,0,5,2,5,7,5,5,5,5,4,7,8,5,2,3,9,3,9,7,9,1,8,4,2,9,6,12,4,5,9,2,6,6,2,7,2,4,3,8,5,1,7,5,8,8,7,6,5,6,7,3,8,4,7,7,5,5,4,2,7,8,3,5,4,4,9,7,3,6,9,4,9,5,4,4,6,1,6,7,4,5,9,7,9,5,4,3,6,9,8,7,6,4,5,7,4,5,4,8,11,2,9,4,3,8,7,4,2,8,6,3,7,9,6,8,6,6,4,5,6,4,2,4,7,6,3,5,3,2,4,7,3,4,4,3,8,7,6,6,2,3,5,4,8,2,11,5,5,5,7,4,6,7,8,5,2,4,2,6,6,8,5,3,11,4,6,7,7,4,5,4,2,3,7,6,2,6,3,8,4,7,5,5,1,4,6,3,6,7,8,5,0,8,2,5,3,10,8,3,6,2,8,5,6,9,7,10,6,4,8,2,5,6,3,5,3,6,1,5,9,4,6,8,2,6,3,2,2,3,4,6,5,5,7,2,3,6,2,5,4,7,4,5,6,8,5,4,4,3,5,4,6,1,11,6,6,5,5,8,4,5,2,3,0
El Oro,715751,-3.266667000000000,-79.96666700000000,13,8,11,3,8,7,6,8,3,12,13,14,9,5,12,4,7,4,7,7,8,5,6,7,12,4,4,9,9,4,6,8,6,8,5,4,14,11,6,10,6,7,8,13,9,8,4,9,12,4,9,9,7,7,11,8,6,10,9,11,3,7,9,6,15,4,11,8,7,3,7,4,6,6,4,8,9,2,9,13,6,8,6,14,8,8,9,13,6,8,11,12,9,11,9,9,7,9,14,9,10,6,14,5,14,9,9,17,12,8,6,6,8,8,6,8,8,7,3,5,6,9,8,9,6,9,7,10,7,4,6,9,10,7,7,7,14,8,6,7,5,11,10,13,12,11,7,4,7,5,12,6,6,3,9,5,6,6,9,8,12,5,11,12,8,7,6,5,13,12,11,6,9,4,8,10,12,10,6,5,9,6,4,5,3,7,7,9,9,3,8,10,14,8,9,7,6,7,9,7,4,11,7,8,9,10,7,10,5,4,10,4,7,7,6,6,6,3,5,8,6,9,13,11,7,9,4,5,10,6,10,5,5,7,12,5,9,9,4,7,9,11,10,10,7,9,10,10,9,7,9,8,4,7,9,9,12,9,3,8,9,5,5,13,10,8,8,8,4,6,8,5,7,10,2,7,7,5,9,6,4,10,8,9,5,15,5,8,9,9,16,8,5,10,6,5,11,4,6,5,10,6,8,9,7,3,9,7,8,10,8,3,13,11,8,7,9,9,6,13,10,7,4,3,5,7,6,7,6,5,5,4,8,8,5,4,13,4,12,13,3,5,8,12,9,8,12,9,7,9,6,5,7,10,8,10,11,5,11,14,8,9,1,6,0,0
Esmeraldas,591083,1.050000000000000,-79.20000000000000,13,4,6,8,2,2,5,9,4,4,3,2,5,5,5,5,6,7,2,4,4,1,4,6,8,3,2,2,6,6,4,2,4,3,2,2,7,9,8,3,5,4,3,2,4,6,6,6,5,4,6,3,11,4,9,4,3,6,7,2,7,5,8,3,4,5,7,9,3,2,8,8,6,4,4,4,8,2,7,8,9,8,3,8,5,3,10,6,8,5,4,8,7,5,8,4,5,4,2,8,5,6,6,4,3,6,12,5,1,4,4,5,7,1,2,2,4,4,3,5,4,6,7,7,10,5,7,0,5,0,5,3,7,7,3,1,5,5,3,4,4,9,5,7,3,3,4,2,4,2,6,0,3,6,3,4,6,3,4,5,3,1,3,4,5,4,6,3,2,5,4,5,2,3,7,2,2,3,3,6,4,2,2,5,7,4,9,1,5,3,5,5,4,4,7,4,5,4,4,6,3,5,4,5,5,1,5,5,3,3,4,3,3,3,6,6,5,0,8,5,8,7,2,1,3,3,6,3,6,3,8,5,3,4,8,4,3,2,10,2,6,4,5,4,5,2,4,4,3,4,5,1,3,4,2,4,5,7,1,3,6,2,6,2,7,5,5,3,8,8,3,4,3,6,3,7,6,5,3,3,4,3,6,1,3,3,3,8,1,2,4,5,6,9,3,4,0,5,5,7,6,3,5,5,3,2,0,4,2,3,9,6,6,1,6,4,2,3,4,8,7,6,6,3,3,5,2,3,5,7,5,7,9,1,3,4,4,7,6,6,4,3,2,3,6,4,0,5,2,6,6,6,0,2,1,2,5,2,4,2,3,1,2,3,2,0
Galápagos,33042,-0.7999999999999999,-89.40000000000001,0,2,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Guayas,4387434,-2.183333000000000,-79.88333299999999,63,58,51,50,52,55,50,57,46,50,43,50,58,50,58,51,39,52,48,53,59,38,45,44,60,52,51,38,50,44,55,59,45,48,34,51,61,53,58,59,49,43,58,58,48,56,45,62,49,63,50,60,58,44,51,59,55,57,52,55,62,65,46,53,56,64,42,69,60,76,73,68,70,53,55,63,54,48,65,67,81,57,62,54,67,60,69,63,74,58,57,60,50,57,59,61,62,51,53,39,42,43,57,56,45,41,82,52,51,49,55,50,55,47,59,54,52,47,47,33,38,45,51,49,33,66,53,53,50,50,63,49,43,44,40,52,53,57,46,53,59,49,43,47,33,59,55,39,47,52,55,44,49,61,45,56,49,42,51,53,60,40,70,56,50,49,49,61,32,48,52,56,53,46,49,72,44,45,47,42,53,49,53,51,39,41,38,35,37,47,48,41,61,39,46,41,34,29,43,51,51,53,42,48,47,48,45,52,34,49,48,46,65,51,43,50,48,44,47,48,55,54,49,31,36,50,44,54,51,31,50,47,54,46,40,45,41,43,42,38,61,59,36,53,59,50,55,50,58,41,39,54,36,60,47,43,47,50,60,62,51,53,41,41,49,43,58,51,47,52,51,41,48,36,50,58,55,50,42,44,60,37,45,50,51,56,42,49,46,59,56,37,46,47,45,51,58,60,46,40,47,42,50,48,44,47,59,49,55,52,52,64,59,60,51,47,51,58,47,55,55,49,35,53,43,39,58,54,46,47,48,59,46,35,50,52,44,48,62,60,56,58,43,34,52,49,44,51,39,48,42,55,50,52,41,49,59,58,48,80,67,53,53,53,48,17
