inec_provincia_id,provincia,poblacion,lat,lng,Jan-2016,Feb-2016,Mar-2016,Apr-2016,May-2016,Jun-2016,Jul-2016,Aug-2016,Sep-2016,Oct-2016,Nov-2016,Dec-2016
01,Azuay,881394,-2.8974140000000004,-79.004481,291,255,329,276,284,257,289,277,286,304,284,254
02,Bolívar,209933,-1.6055560000000002,-79.003056,66,79,90,101,91,57,66,76,80,90,81,76
04,Carchi,186869,0.81218,-77.71633,69,63,64,64,70,50,70,66,64,68,58,62
03,Cañar,281396,-2.733333,-78.833333,94,107,82,82,101,92,124,116,89,112,81,75
06,Chimborazo,524004,-1.674347,-78.648294,180,187,210,219,203,189,205,208,207,195,197,181
05,Cotopaxi,488716,-0.933333,-78.616667,182,142,161,166,174,160,182,155,163,156,151,146
07,El Oro,715751,-3.2666670000000004,-79.966667,235,239,238,264,253,239,228,234,236,234,214,239
08,Esmeraldas,591083,1.05,-79.2,147,140,181,144,139,113,133,143,125,131,132,103
20,Galápagos,33042,-0.7999999999999999,-89.4,7,0,1,5,3,2,5,4,7,7,2,3
09,Guayas,4387434,-2.183333,-79.883333,1570,1540,1911,1547,1532,1529,1402,1441,1473,1511,1523,1565
10,Imbabura,476257,0.362678,-78.130667,165,167,154,170,160,167,157,183,147,140,168,177
11,Loja,521154,-3.9833330000000005,-79.2,180,194,207,181,186,182,187,181,192,197,154,137
12,Los Ríos,921763,-1.8,-79.533333,335,311,372,305,340,299,308,338,271,341,321,302
13,Manabí,1562079,-1.056181,-80.455217,534,520,680,1110,489,519,553,551,541,584,540,513
14,Morona Santiago,196535,-2.3000000000000003,-78.116667,40,38,47,58,41,33,46,36,36,54,45,26
15,Napo,133705,-0.989,-77.8159,34,32,30,41,25,32,20,37,20,25,37,41
22,Orellana,161338,-0.466667,-76.966667,44,35,47,47,33,27,29,32,29,31,25,27
88,Otro,0,0,0,4,7,4,1,3,4,5,5,4,2,4,4
16,Pastaza,114202,-1.066667,-78.001111,21,28,19,19,20,17,25,32,28,27,24,16
17,Pichincha,3228233,-0.218611,-78.509722,865,811,876,983,945,906,869,846,828,894,862,915
24,Santa Elena,401178,-2.2267,-80.8583,97,114,112,100,101,109,107,111,126,98,114,103
23,Sto. Domingo Tsáchilas,511151,-0.254167,-79.171944,143,150,141,147,138,150,136,133,151,143,140,140
21,Sucumbíos,230503,0.08472200000000002,-76.882778,63,37,51,69,43,56,47,48,36,38,47,41
18,Tungurahua,590600,-1.241667,-78.619722,237,216,228,229,226,214,252,268,199,219,215,176
19,Zamora Chinchipe,120416,-4.12,-78.8,28,18,21,28,16,28,19,29,22,25,22,23
