provincia,canton,total,acumuladas,lat,lng,semana
Azuay,Camilo Ponce Enríquez,1,1,-3.050000000000000,-79.73333300000000,1
Azuay,Chordeleg,0,0,-2.933333000000000,-78.76666700000000,1
Azuay,Cuenca,44,44,-2.897414000000000,-79.00448100000000,1
Azuay,El Pan,0,0,-2.786111000000000,-78.66500000000001,1
Azuay,Girón,1,1,-3.159028000000000,-79.14756800000001,1
Azuay,Guachapala,0,0,-2.769000000000000,-78.70900000000000,1
Azuay,Gualaceo,7,7,-2.900000000000000,-78.78333300000000,1
Azuay,Nabón,0,0,-3.336060000000000,-79.06368000000001,1
Azuay,Oña,1,1,-3.469640000000000,-79.15431000000000,1
Azuay,Paute,1,1,-2.781800000000000,-78.76000000000001,1
Azuay,Pucará,0,0,-3.233780000000000,-79.46120000000001,1
Azuay,San Fernando,0,0,-3.144500000000000,-79.25200000000000,1
Azuay,Santa Isabel,2,2,-3.274170000000000,-79.31560000000000,1
Azuay,Sevilla de Oro,1,1,-2.799833000000000,-78.65569400000000,1
Azuay,Sígsig,2,2,-3.089700000000000,-78.80320000000000,1
Bolívar,Caluma,1,1,-1.633330000000000,-79.25000000000000,1
Bolívar,Chillanes,4,4,-1.933333000000000,-79.06666700000000,1
Bolívar,Chimbo,0,0,-1.700000000000000,-79.01666700000000,1
Bolívar,Echeandía,0,0,-1.433330000000000,-79.26667000000000,1
Bolívar,Guaranda,5,5,-1.605556000000000,-79.00305600000000,1
Bolívar,Las Naves,0,0,-1.283330000000000,-79.30000000000000,1
Bolívar,San Miguel,3,3,-1.700000000000000,-79.03333300000000,1
Carchi,Bolivar,0,0,0.5070990000000000,-77.86245400000000,1
Carchi,Espejo,1,1,0.6210000000000000,-77.94000000000000,1
Carchi,Mira,0,0,0.5538999999999998,-78.04930000000000,1
Carchi,Montúfar,1,1,0.6100000000000000,-77.84000000000000,1
Carchi,San Pedro de Huaca,0,0,0.6311110000000000,-77.72527800000000,1
