inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,lat,lng,Jan-2017,Feb-2017,Mar-2017,Apr-2017,May-2017,Jun-2017,Jul-2017,Aug-2017,Sep-2017,Oct-2017,Nov-2017,Dec-2017
01,Azuay,881394,0115,Camilo Ponce Enríquez,36423,-3.0500000000000003,-79.733333,1,6,3,5,6,6,8,6,8,2,7,4
01,Azuay,881394,0111,Chordeleg,15176,-2.933333,-78.766667,6,8,3,7,5,3,2,2,3,6,2,5
01,Azuay,881394,0101,Cuenca,636996,-2.8974140000000004,-79.004481,238,228,264,258,277,238,280,237,228,247,246,223
01,Azuay,881394,0112,El Pan,3091,-2.786111,-78.665,0,1,2,2,0,0,0,0,1,1,0,1
01,Azuay,881394,0102,Girón,13037,-3.159028,-79.147568,7,8,10,5,4,12,3,10,11,4,5,8
01,Azuay,881394,0114,Guachapala,3859,-2.769,-78.709,0,2,0,0,2,1,1,0,0,1,1,0
01,Azuay,881394,0103,Gualaceo,49104,-2.9000000000000004,-78.783333,21,17,10,22,18,19,24,6,13,11,15,12
01,Azuay,881394,0104,Nabón,17292,-3.3360600000000002,-79.06368,5,4,3,8,8,4,3,5,3,4,9,5
01,Azuay,881394,0110,Oña,4128,-3.46964,-79.15431,4,1,4,1,1,1,2,1,1,3,4,2
01,Azuay,881394,0105,Paute,29214,-2.7818,-78.76,10,2,10,4,13,10,5,10,14,8,10,8
01,Azuay,881394,0106,Pucará,10584,-3.2337800000000003,-79.4612,6,2,2,0,2,6,5,5,1,3,4,2
01,Azuay,881394,0107,San Fernando,4156,-3.1445000000000003,-79.252,2,2,0,1,2,1,3,3,1,2,1,2
01,Azuay,881394,0108,Santa Isabel,20935,-3.2741700000000002,-79.3156,7,8,7,3,5,3,15,4,4,9,8,8
01,Azuay,881394,0113,Sevilla de Oro,6890,-2.799833,-78.655694,2,1,1,1,0,1,5,0,2,0,1,2
01,Azuay,881394,0109,Sígsig,30509,-3.0897,-78.8032,10,11,10,13,7,6,6,7,7,14,8,7
02,Bolívar,209933,0206,Caluma,16429,-1.6333300000000002,-79.25,5,5,5,2,8,2,3,3,2,7,2,2
02,Bolívar,209933,0202,Chillanes,16850,-1.9333330000000002,-79.066667,6,4,10,6,5,8,3,9,3,9,8,4
02,Bolívar,209933,0203,Chimbo,17378,-1.7000000000000002,-79.016667,2,7,5,4,4,3,7,5,6,7,4,3
02,Bolívar,209933,0204,Echeandía,14081,-1.4333300000000002,-79.26667,2,2,6,4,3,4,3,5,1,8,2,1
02,Bolívar,209933,0201,Guaranda,108763,-1.6055560000000002,-79.003056,26,28,47,43,43,45,40,44,26,37,32,28
02,Bolívar,209933,0207,Las Naves,7428,-1.28333,-79.3,1,0,1,3,4,1,2,1,0,1,0,3
02,Bolívar,209933,0205,San Miguel,29004,-1.7000000000000002,-79.033333,9,8,12,13,2,9,9,8,10,14,8,7
04,Carchi,186869,0402,Bolivar,15528,0.507099,-77.862454,4,2,7,2,5,5,2,5,3,4,3,5
04,Carchi,186869,0403,Espejo,13817,0.621,-77.94,5,3,4,4,3,3,3,6,3,4,2,4
04,Carchi,186869,0404,Mira,11969,0.5538999999999998,-78.0493,5,2,5,4,3,5,4,6,2,2,5,7
04,Carchi,186869,0405,Montúfar,34229,0.61,-77.84,10,10,11,9,3,6,10,11,6,6,4,7
04,Carchi,186869,0406,San Pedro de Huaca,8931,0.631111,-77.725278,0,0,1,2,2,3,1,2,4,3,2,0
04,Carchi,186869,0401,Tulcán,102395,0.81218,-77.71633,29,36,34,48,33,26,29,36,25,38,19,33
03,Cañar,281396,0301,Azogues,86276,-2.733333,-78.833333,29,43,50,52,34,40,42,52,37,36,40,29
03,Cañar,281396,0302,Biblían,23741,-2.7100000000000004,-78.88,8,7,8,6,3,8,5,4,4,7,10,6
03,Cañar,281396,0303,Cañar,68747,-2.4837000000000002,-78.9784,19,21,20,20,16,11,13,19,21,22,8,15
03,Cañar,281396,0306,Déleg,6782,-2.7726,-78.9183,4,4,3,2,2,2,1,3,6,4,5,1
03,Cañar,281396,0305,El Tambo,12462,-2.5081,-78.9249,7,3,1,4,5,5,6,2,1,2,1,2
03,Cañar,281396,0304,La Troncal,76872,-2.4000000000000004,-79.33,13,13,21,19,19,11,12,16,17,19,7,11
03,Cañar,281396,0307,Suscal,6516,-2.4364000000000003,-79.0522,1,1,5,4,0,1,1,1,2,1,0,2
06,Chimborazo,524004,0602,Alausí,45054,-2.2,-78.85,15,20,14,16,20,13,10,15,16,18,13,10
06,Chimborazo,524004,0604,Chambo,13378,-1.7333330000000002,-78.583333,5,7,5,6,3,6,5,4,2,3,3,2
06,Chimborazo,524004,0605,Chunchi,12795,-2.2833330000000003,-78.916667,2,2,3,8,3,3,3,4,1,3,1,5
06,Chimborazo,524004,0603,Colta,44838,-1.7000000000000002,-78.75,17,25,18,15,16,16,24,9,11,21,18,16
06,Chimborazo,524004,0610,Cumandá,17973,-2.2,-79.133333,8,3,3,4,2,5,1,5,0,3,2,1
06,Chimborazo,524004,0606,Guamote,58291,-1.9333330000000002,-78.716667,18,22,16,12,19,21,16,10,22,16,13,8
06,Chimborazo,524004,0607,Guano,48395,-1.583333,-78.633333,17,10,13,14,13,9,8,14,15,14,11,9
06,Chimborazo,524004,0608,Pallatanga,12277,-1.9833330000000002,-78.95,5,0,3,4,3,2,1,6,3,5,4,1
06,Chimborazo,524004,0609,Penipe,6955,-1.5573000000000001,-78.5396,0,7,2,3,5,2,3,3,5,2,1,6
06,Chimborazo,524004,0601,Riobamba,264048,-1.674347,-78.648294,122,108,133,111,142,110,126,112,134,137,114,121
05,Cotopaxi,488716,0502,La Maná,56905,-0.9299999999999999,-79.22,14,8,16,10,18,7,14,11,6,2,12,7
05,Cotopaxi,488716,0501,Latacunga,205624,-0.933333,-78.616667,80,58,71,100,106,93,75,45,35,39,28,28
05,Cotopaxi,488716,0503,Pangua,24612,-1.1333330000000001,-79.066667,4,4,8,5,8,5,11,3,3,3,4,7
05,Cotopaxi,488716,0504,Pujilí,79772,-0.95,-78.69,31,23,29,27,20,11,14,11,11,3,5,2
