provincia,poblacion,lat,lng,Jan-2017,Feb-2017,Mar-2017,Apr-2017,May-2017,Jun-2017,Jul-2017,Aug-2017,Sep-2017,Oct-2017,Nov-2017,Dec-2017
Azuay,881394,-2.897414000000000,-79.00448100000000,319,301,329,330,350,311,362,296,297,315,321,289
Bolívar,209933,-1.605556000000000,-79.00305600000000,51,54,86,75,69,72,67,75,48,83,56,48
Carchi,186869,0.8121800000000000,-77.71633000000000,53,53,62,69,49,48,49,66,43,57,35,56
Cañar,281396,-2.733333000000000,-78.83333300000000,81,92,108,107,79,78,80,97,88,91,71,66
Chimborazo,524004,-1.674347000000000,-78.64829400000001,209,204,210,193,226,187,197,182,209,222,180,179
Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,160,128,157,177,188,133,141,93,71,59,59,49
El Oro,715751,-3.266667000000000,-79.96666700000000,238,204,287,254,237,235,247,261,201,239,236,217
Esmeraldas,591083,1.050000000000000,-79.20000000000000,118,132,125,108,126,135,119,105,154,104,127,103
Galápagos,33042,-0.7999999999999999,-89.40000000000001,5,5,2,7,3,3,6,5,3,2,0,1
Guayas,4387434,-2.183333000000000,-79.88333299999999,1725,1627,2048,1802,1837,1773,1699,1650,1523,1648,1678,1489
Imbabura,476257,0.3626780000000000,-78.13066700000000,194,186,180,168,153,161,183,174,144,150,149,157
Loja,521154,-3.983333000000000,-79.20000000000000,189,186,219,192,205,180,193,186,172,202,183,153
Los Ríos,921763,-1.800000000000000,-79.53333300000000,301,260,345,309,269,262,291,320,274,306,267,256
Manabí,1562079,-1.056181000000000,-80.45521700000000,543,522,592,530,496,437,494,538,458,478,534,463
Morona Santiago,196535,-2.300000000000000,-78.11666700000001,40,39,38,33,33,54,46,41,41,31,28,26
Napo,133705,-0.9890000000000000,-77.81590000000000,34,40,29,24,35,17,32,26,28,32,23,29
Orellana,161338,-0.4666670000000000,-76.96666700000000,33,26,44,28,33,17,30,34,26,35,27,30
Otro,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Pastaza,114202,-1.066667000000000,-78.00111099999999,23,20,26,32,23,15,27,27,19,20,23,22
Pichincha,3228233,-0.2186110000000000,-78.50972200000000,1128,1004,1085,1048,1037,982,1065,985,978,1079,1005,1100
Santa Elena,401178,-2.226700000000000,-80.85830000000000,123,111,161,126,95,110,105,81,97,93,92,82
Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,170,149,189,138,177,170,155,159,170,160,160,156
Sucumbíos,230503,0.08472200000000002,-76.88277800000000,49,60,44,44,55,51,40,49,37,55,54,45
Tungurahua,590600,-1.241667000000000,-78.61972200000000,238,212,247,210,223,253,222,196,190,174,152,184
Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,4,30,22,15,19,25,22,24,22,24,20,18
