inec_provincia_id,provincia,poblacion,lat,lng,Jan-2017,Feb-2017,Mar-2017,Apr-2017,May-2017,Jun-2017,Jul-2017,Aug-2017,Sep-2017,Oct-2017,Nov-2017,Dec-2017
1,Azuay,881394,-2.8974140000000004,-79.004481,319,301,329,330,350,311,362,296,297,315,321,289
2,Bolívar,209933,-1.6055560000000002,-79.003056,51,54,86,75,69,72,67,75,48,83,56,48
4,Carchi,186869,0.81218,-77.71633,53,53,62,69,49,48,49,66,43,57,35,56
3,Cañar,281396,-2.733333,-78.833333,81,92,108,107,79,78,80,97,88,91,71,66
6,Chimborazo,524004,-1.674347,-78.648294,209,204,210,193,226,187,197,182,209,222,180,179
5,Cotopaxi,488716,-0.933333,-78.616667,160,128,157,177,188,133,141,93,71,59,59,49
7,El Oro,715751,-3.2666670000000004,-79.966667,238,204,287,254,237,235,247,261,201,239,236,217
8,Esmeraldas,591083,1.05,-79.2,118,132,125,108,126,135,119,105,154,104,127,103
20,Galápagos,33042,-0.7999999999999999,-89.4,5,5,2,7,3,3,6,5,3,2,0,1
9,Guayas,4387434,-2.183333,-79.883333,1725,1627,2048,1802,1837,1773,1699,1650,1523,1648,1678,1489
10,Imbabura,476257,0.362678,-78.130667,194,186,180,168,153,161,183,174,144,150,149,157
11,Loja,521154,-3.9833330000000005,-79.2,189,186,219,192,205,180,193,186,172,202,183,153
12,Los Ríos,921763,-1.8,-79.533333,301,260,345,309,269,262,291,320,274,306,267,256
13,Manabí,1562079,-1.056181,-80.455217,543,522,592,530,496,437,494,538,458,478,534,463
14,Morona Santiago,196535,-2.3000000000000003,-78.116667,40,39,38,33,33,54,46,41,41,31,28,26
15,Napo,133705,-0.989,-77.8159,34,40,29,24,35,17,32,26,28,32,23,29
22,Orellana,161338,-0.466667,-76.966667,33,26,44,28,33,17,30,34,26,35,27,30
88,Otro,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
16,Pastaza,114202,-1.066667,-78.001111,23,20,26,32,23,15,27,27,19,20,23,22
17,Pichincha,3228233,-0.218611,-78.509722,1128,1004,1085,1048,1037,982,1065,985,978,1079,1005,1100
24,Santa Elena,401178,-2.2267,-80.8583,123,111,161,126,95,110,105,81,97,93,92,82
23,Sto. Domingo Tsáchilas,511151,-0.254167,-79.171944,170,149,189,138,177,170,155,159,170,160,160,156
21,Sucumbíos,230503,0.08472200000000002,-76.882778,49,60,44,44,55,51,40,49,37,55,54,45
18,Tungurahua,590600,-1.241667,-78.619722,238,212,247,210,223,253,222,196,190,174,152,184
19,Zamora Chinchipe,120416,-4.12,-78.8,4,30,22,15,19,25,22,24,22,24,20,18
