provincia,poblacion,lat,lng,01/01/2017,02/01/2017,03/01/2017,04/01/2017,05/01/2017,06/01/2017,07/01/2017,08/01/2017,09/01/2017,10/01/2017,11/01/2017,12/01/2017,13/01/2017,14/01/2017,15/01/2017,16/01/2017,17/01/2017,18/01/2017,19/01/2017,20/01/2017,21/01/2017,22/01/2017,23/01/2017,24/01/2017,25/01/2017,26/01/2017,27/01/2017,28/01/2017,29/01/2017,30/01/2017,31/01/2017,01/02/2017,02/02/2017,03/02/2017,04/02/2017,05/02/2017,06/02/2017,07/02/2017,08/02/2017,09/02/2017,10/02/2017,11/02/2017,12/02/2017,13/02/2017,14/02/2017,15/02/2017,16/02/2017,17/02/2017,18/02/2017,19/02/2017,20/02/2017,21/02/2017,22/02/2017,23/02/2017,24/02/2017,25/02/2017,26/02/2017,27/02/2017,28/02/2017,01/03/2017,02/03/2017,03/03/2017,04/03/2017,05/03/2017,06/03/2017,07/03/2017,08/03/2017,09/03/2017,10/03/2017,11/03/2017,12/03/2017,13/03/2017,14/03/2017,15/03/2017,16/03/2017,17/03/2017,18/03/2017,19/03/2017,20/03/2017,21/03/2017,22/03/2017,23/03/2017,24/03/2017,25/03/2017,26/03/2017,27/03/2017,28/03/2017,29/03/2017,30/03/2017,31/03/2017,01/04/2017,02/04/2017,03/04/2017,04/04/2017,05/04/2017,06/04/2017,07/04/2017,08/04/2017,09/04/2017,10/04/2017,11/04/2017,12/04/2017,13/04/2017,14/04/2017,15/04/2017,16/04/2017,17/04/2017,18/04/2017,19/04/2017,20/04/2017,21/04/2017,22/04/2017,23/04/2017,24/04/2017,25/04/2017,26/04/2017,27/04/2017,28/04/2017,29/04/2017,30/04/2017,01/05/2017,02/05/2017,03/05/2017,04/05/2017,05/05/2017,06/05/2017,07/05/2017,08/05/2017,09/05/2017,10/05/2017,11/05/2017,12/05/2017,13/05/2017,14/05/2017,15/05/2017,16/05/2017,17/05/2017,18/05/2017,19/05/2017,20/05/2017,21/05/2017,22/05/2017,23/05/2017,24/05/2017,25/05/2017,26/05/2017,27/05/2017,28/05/2017,29/05/2017,30/05/2017,31/05/2017,01/06/2017,02/06/2017,03/06/2017,04/06/2017,05/06/2017,06/06/2017,07/06/2017,08/06/2017,09/06/2017,10/06/2017,11/06/2017,12/06/2017,13/06/2017,14/06/2017,15/06/2017,16/06/2017,17/06/2017,18/06/2017,19/06/2017,20/06/2017,21/06/2017,22/06/2017,23/06/2017,24/06/2017,25/06/2017,26/06/2017,27/06/2017,28/06/2017,29/06/2017,30/06/2017,01/07/2017,02/07/2017,03/07/2017,04/07/2017,05/07/2017,06/07/2017,07/07/2017,08/07/2017,09/07/2017,10/07/2017,11/07/2017,12/07/2017,13/07/2017,14/07/2017,15/07/2017,16/07/2017,17/07/2017,18/07/2017,19/07/2017,20/07/2017,21/07/2017,22/07/2017,23/07/2017,24/07/2017,25/07/2017,26/07/2017,27/07/2017,28/07/2017,29/07/2017,30/07/2017,31/07/2017,01/08/2017,02/08/2017,03/08/2017,04/08/2017,05/08/2017,06/08/2017,07/08/2017,08/08/2017,09/08/2017,10/08/2017,11/08/2017,12/08/2017,13/08/2017,14/08/2017,15/08/2017,16/08/2017,17/08/2017,18/08/2017,19/08/2017,20/08/2017,21/08/2017,22/08/2017,23/08/2017,24/08/2017,25/08/2017,26/08/2017,27/08/2017,28/08/2017,29/08/2017,30/08/2017,31/08/2017,01/09/2017,02/09/2017,03/09/2017,04/09/2017,05/09/2017,06/09/2017,07/09/2017,08/09/2017,09/09/2017,10/09/2017,11/09/2017,12/09/2017,13/09/2017,14/09/2017,15/09/2017,16/09/2017,17/09/2017,18/09/2017,19/09/2017,20/09/2017,21/09/2017,22/09/2017,23/09/2017,24/09/2017,25/09/2017,26/09/2017,27/09/2017,28/09/2017,29/09/2017,30/09/2017,01/10/2017,02/10/2017,03/10/2017,04/10/2017,05/10/2017,06/10/2017,07/10/2017,08/10/2017,09/10/2017,10/10/2017,11/10/2017,12/10/2017,13/10/2017,14/10/2017,15/10/2017,16/10/2017,17/10/2017,18/10/2017,19/10/2017,20/10/2017,21/10/2017,22/10/2017,23/10/2017,24/10/2017,25/10/2017,26/10/2017,27/10/2017,28/10/2017,29/10/2017,30/10/2017,31/10/2017,01/11/2017,02/11/2017,03/11/2017,04/11/2017,05/11/2017,06/11/2017,07/11/2017,08/11/2017,09/11/2017,10/11/2017,11/11/2017,12/11/2017,13/11/2017,14/11/2017,15/11/2017,16/11/2017,17/11/2017,18/11/2017,19/11/2017,20/11/2017,21/11/2017,22/11/2017,23/11/2017,24/11/2017,25/11/2017,26/11/2017,27/11/2017,28/11/2017,29/11/2017,30/11/2017,01/12/2017,02/12/2017,03/12/2017,04/12/2017,05/12/2017,06/12/2017,07/12/2017,08/12/2017,09/12/2017,10/12/2017,11/12/2017,12/12/2017,13/12/2017,14/12/2017,15/12/2017,16/12/2017,17/12/2017,18/12/2017,19/12/2017,20/12/2017,21/12/2017,22/12/2017,23/12/2017,24/12/2017,25/12/2017,26/12/2017,27/12/2017,28/12/2017,29/12/2017,30/12/2017,31/12/2017
Azuay,881394,-2.897414000000000,-79.00448100000000,7,12,12,7,6,8,8,1,10,12,11,13,8,16,8,5,8,11,10,8,12,16,7,5,13,9,8,15,9,5,13,9,8,9,6,9,14,14,11,11,12,7,15,14,11,8,10,7,11,9,12,12,11,10,12,5,7,11,10,10,9,13,14,7,11,8,5,9,10,13,8,9,3,9,6,12,6,6,10,11,12,7,8,8,11,8,12,14,12,11,8,10,15,11,6,11,8,11,11,10,12,7,15,5,7,7,8,9,9,10,13,12,17,10,12,6,13,13,4,6,11,15,13,6,11,15,10,10,8,8,9,11,12,10,14,10,9,11,9,10,13,6,13,8,8,10,8,10,12,5,11,4,10,13,9,14,8,10,13,10,8,8,8,16,9,9,9,8,9,15,9,10,10,10,11,6,6,8,10,6,10,12,10,9,10,7,10,9,13,11,7,8,8,12,10,16,12,12,12,8,15,13,9,10,12,11,10,10,11,11,15,6,8,9,10,8,12,8,12,8,10,8,11,11,4,9,8,13,5,10,7,8,9,12,9,5,10,7,8,12,4,4,9,7,16,7,6,15,7,8,8,5,7,14,9,8,9,9,10,15,12,8,6,7,8,10,10,4,12,11,10,9,9,11,16,12,10,9,11,3,13,3,6,13,6,11,11,10,9,14,5,3,12,7,7,8,14,7,13,9,8,8,9,10,8,9,7,7,13,14,11,8,9,11,9,11,11,8,6,13,13,11,8,13,15,3,9,3,6,8,14,12,8,12,12,7,12,11,9,13,11,5,5,4,10,10,6,7,6,4,7,12,13,5,10,12,12,8,7,12,12,10,4,1,0
Bolívar,209933,-1.605556000000000,-79.00305600000000,3,3,1,4,4,0,0,3,4,4,0,4,0,0,0,5,2,6,2,1,3,4,1,0,0,3,1,4,1,1,2,3,0,2,1,1,1,3,2,0,2,2,1,6,4,2,4,2,0,2,5,2,5,5,0,3,3,6,3,3,1,1,5,1,4,5,8,4,4,9,2,4,4,2,4,0,2,0,2,3,6,3,4,1,6,3,1,3,3,6,2,2,4,4,3,2,2,2,4,2,3,6,3,4,3,4,5,3,8,3,3,1,7,1,2,0,2,2,1,4,1,4,4,2,2,2,4,1,2,3,2,5,5,3,3,2,1,2,3,1,3,3,5,5,1,4,1,2,2,1,3,3,2,2,2,7,3,4,3,6,3,3,2,3,2,4,2,5,2,2,2,1,2,4,2,2,1,2,1,8,1,4,1,3,4,4,1,2,0,4,4,2,1,6,1,0,4,2,2,5,6,2,5,3,1,1,4,3,1,3,3,3,5,3,1,3,2,2,1,2,4,2,3,3,3,5,4,3,4,1,2,3,1,2,1,5,1,4,5,3,5,2,2,6,1,0,3,2,4,1,3,2,2,2,1,4,0,5,2,4,1,5,0,2,0,2,0,0,1,0,1,2,1,2,3,5,6,1,3,0,4,5,5,2,2,1,1,3,5,3,4,3,2,3,7,3,1,4,4,1,4,1,5,2,5,2,2,1,2,1,2,0,2,2,1,4,2,2,1,3,0,1,4,3,4,2,2,1,3,5,3,4,2,3,0,2,1,4,3,3,3,2,6,2,4,0,1,2,3,2,2,2,1,4,4,1,2,5,2,1,3,2,0,0,0
Carchi,186869,0.8121800000000000,-77.71633000000000,3,2,1,2,3,3,1,0,2,3,4,1,1,4,3,3,3,2,1,1,1,3,3,0,3,4,1,1,2,1,3,2,4,1,2,2,4,3,2,1,4,2,1,5,5,2,1,0,0,4,2,1,2,1,2,2,0,1,3,3,2,0,1,2,4,3,3,3,3,0,3,3,2,1,2,3,3,5,2,3,2,1,2,1,2,5,2,0,2,2,3,3,0,5,2,2,1,7,2,6,5,3,2,5,1,0,1,2,2,4,4,3,2,0,2,2,3,1,1,3,3,2,2,1,2,1,1,1,4,1,0,1,1,1,2,3,5,2,1,1,1,3,2,3,1,1,2,3,4,3,2,4,2,0,3,1,2,4,2,4,1,5,1,3,5,1,4,0,2,1,3,1,1,2,2,2,2,1,1,2,2,3,4,0,0,2,1,2,3,0,3,1,2,1,4,1,1,1,2,5,5,0,5,1,2,4,2,1,3,1,0,3,4,6,0,2,4,3,0,3,3,4,3,1,7,2,0,1,3,1,1,5,2,1,4,4,2,3,4,0,1,1,2,1,3,4,3,1,1,4,0,2,3,0,2,2,1,2,2,1,1,2,2,1,2,0,3,3,2,1,2,1,1,2,2,3,1,5,1,4,4,3,2,2,1,1,1,2,2,0,2,3,2,2,6,1,2,3,5,1,0,3,0,1,2,2,2,1,4,1,3,2,1,1,2,1,2,0,0,3,1,1,0,3,3,1,2,3,2,5,2,0,0,0,3,2,2,2,2,4,5,1,0,4,4,1,1,2,4,1,2,1,2,2,1,3,4,0,2,1,3,3,0,0,0
Cañar,281396,-2.733333000000000,-78.83333300000000,2,1,5,3,4,2,2,4,4,0,4,8,0,3,1,3,8,1,1,5,4,2,3,2,4,2,1,5,3,3,5,2,4,6,2,3,3,3,4,2,7,4,2,8,5,6,2,0,5,4,6,2,3,2,4,4,4,3,4,8,1,4,3,2,3,2,1,3,4,3,3,7,3,3,5,9,4,8,7,0,7,5,5,3,1,4,4,3,0,6,2,1,9,3,4,5,6,4,2,5,5,3,3,5,7,7,8,8,4,2,5,2,3,5,1,8,1,4,3,4,3,4,4,4,0,5,2,3,1,4,3,2,3,3,4,0,3,3,4,8,4,3,2,1,7,3,2,3,5,3,3,1,2,5,5,4,1,1,2,2,3,1,7,0,3,4,1,7,1,5,3,4,4,5,4,2,1,4,5,3,3,3,5,4,4,5,2,2,0,0,4,4,4,3,1,2,4,3,1,5,2,2,6,5,2,4,5,3,3,1,5,4,3,2,2,2,6,4,1,4,7,3,6,2,2,3,2,3,6,3,2,6,7,7,4,1,5,2,4,9,5,4,3,2,4,4,3,4,4,2,3,2,5,5,5,0,6,1,1,6,0,1,0,2,3,3,3,4,2,4,4,8,7,8,1,1,1,2,5,2,2,2,4,1,3,5,4,3,3,2,7,2,3,6,3,4,6,3,5,3,2,4,3,4,3,2,4,2,5,2,3,2,1,4,2,2,4,1,3,1,4,6,5,7,2,1,2,1,7,3,1,3,4,2,3,2,1,4,4,1,3,1,0,3,3,5,5,6,4,1,6,4,4,1,2,0,3,2,4,2,0,0,2,0,0
Chimborazo,524004,-1.674347000000000,-78.64829400000001,16,4,9,6,13,12,10,7,5,11,8,7,6,3,14,1,7,4,9,4,10,7,8,8,4,5,5,3,10,6,4,7,4,11,7,6,7,8,8,7,10,6,7,7,5,6,8,6,7,4,10,6,5,6,8,3,14,11,11,7,3,6,6,11,3,9,8,3,4,5,12,10,8,8,3,10,8,5,8,12,3,4,12,4,13,6,7,7,10,7,6,11,7,6,4,4,8,10,9,5,3,6,8,12,3,9,6,8,5,9,4,9,3,8,12,5,6,5,6,5,7,8,6,7,6,10,8,7,11,6,8,7,11,9,9,7,10,7,7,7,3,9,6,8,7,3,3,9,7,17,6,7,3,5,7,6,8,12,8,6,4,5,10,8,5,4,9,8,8,12,8,9,7,8,6,1,5,5,6,10,5,4,6,7,3,8,5,4,5,5,6,6,5,10,6,7,9,8,4,6,10,2,10,23,7,3,4,7,8,7,8,5,6,5,9,6,5,7,17,5,3,7,6,6,3,8,4,7,6,6,5,5,7,7,6,0,9,4,3,9,8,7,11,15,7,11,9,10,9,6,6,9,9,6,7,8,9,3,10,6,9,5,7,4,9,3,6,6,5,11,5,4,6,10,8,5,7,6,13,6,11,3,10,12,11,5,6,9,8,5,10,8,9,9,8,6,6,6,7,2,10,3,9,8,7,6,7,8,10,6,6,4,7,8,8,6,7,5,6,9,6,3,7,3,9,5,4,8,3,5,4,11,7,4,12,9,6,4,7,6,4,10,10,4,5,7,5,4,11,5,8,3,6,4,5,7,5,4,8,12,5,8,1,3,2
Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,3,8,8,6,4,4,4,9,5,4,3,10,2,9,6,11,5,8,7,9,2,7,4,6,3,6,9,2,10,7,3,4,2,4,6,8,8,5,4,11,4,2,2,3,2,5,5,7,5,6,10,5,3,6,10,7,4,4,4,4,8,5,3,11,4,9,8,3,3,6,5,5,9,5,4,8,1,7,5,3,7,8,2,7,6,5,8,9,8,7,6,11,11,13,8,3,7,4,6,11,4,8,1,7,9,5,12,9,7,11,7,9,1,4,8,3,3,7,5,8,8,5,4,9,5,6,10,10,1,4,5,6,15,9,4,8,5,7,9,9,9,3,1,3,9,4,7,7,4,11,5,7,5,8,7,5,7,7,5,4,6,3,3,3,4,3,6,6,6,3,7,3,2,5,4,4,3,7,10,5,5,7,8,2,9,9,3,8,1,5,8,6,3,1,6,7,5,7,7,3,4,5,7,8,4,4,2,3,4,5,2,5,6,3,2,6,4,2,4,4,4,2,3,5,5,2,6,5,4,1,4,4,2,3,5,5,5,3,3,0,5,5,1,1,6,5,3,3,7,1,3,3,3,3,1,2,0,2,3,4,1,5,1,4,2,1,2,2,2,4,6,1,2,5,2,1,2,2,1,4,2,1,4,2,2,1,2,0,3,3,1,3,2,1,2,7,4,2,2,3,1,4,3,2,6,1,2,1,1,6,5,1,2,6,5,2,3,4,4,2,2,4,0,3,3,2,1,2,1,1,2,2,3,1,1,4,2,5,3,3,2,3,1,3,1,3,5,1,0,4,3,4,1,1,2,4,2,3,1,1,3,3,2,1,2
El Oro,715751,-3.266667000000000,-79.96666700000000,12,13,9,8,11,10,10,7,5,7,9,11,8,3,4,12,5,9,6,7,8,15,9,5,6,4,3,5,11,10,10,3,4,7,4,7,8,6,5,8,10,9,8,8,6,8,7,5,9,7,9,13,7,7,13,8,12,6,13,19,14,11,8,4,16,9,5,8,12,8,11,10,8,11,16,8,5,7,14,11,11,7,7,12,8,16,5,9,9,5,8,11,7,6,6,8,4,7,12,7,9,7,9,6,11,10,5,9,10,6,13,10,13,10,15,8,10,9,8,14,9,6,10,6,5,8,5,14,5,11,4,9,8,4,12,7,8,6,7,12,7,9,11,6,3,9,13,7,5,17,8,9,15,4,13,9,7,6,6,7,9,12,11,7,5,8,6,8,12,6,9,4,8,4,9,10,18,9,7,9,7,11,9,11,4,11,7,8,10,12,5,10,7,10,7,10,11,7,9,10,5,7,5,9,9,5,14,7,8,9,13,6,10,5,10,5,8,6,11,10,11,8,9,10,5,10,14,7,12,10,7,8,9,7,13,10,6,6,10,4,9,8,6,4,10,8,7,6,9,9,4,9,9,6,8,5,5,3,12,6,11,7,10,7,6,6,8,5,5,2,8,8,8,11,5,8,10,17,8,9,6,4,10,7,7,10,7,4,10,9,10,10,3,10,7,6,8,4,8,8,3,5,14,6,11,9,10,7,7,7,5,7,4,9,7,6,6,8,9,9,8,12,12,8,11,5,9,9,14,8,12,6,8,5,11,8,9,4,9,9,5,8,9,12,10,12,5,10,6,8,10,7,6,8,9,6,6,14,8,9,7,6,0,0,0
Esmeraldas,591083,1.050000000000000,-79.20000000000000,5,3,5,4,4,4,5,1,3,3,3,3,3,5,3,15,5,3,3,5,1,4,0,5,4,5,3,4,10,7,4,5,6,6,3,4,3,7,7,4,6,4,5,7,3,7,4,4,7,4,6,6,6,6,6,4,4,7,6,4,6,7,8,2,6,6,7,9,5,5,4,5,5,5,6,5,4,4,1,7,5,4,5,2,6,5,5,3,4,2,7,7,8,2,7,6,7,4,2,2,4,1,1,3,3,8,6,3,3,3,3,5,2,3,4,2,3,3,0,7,7,4,4,5,6,1,4,2,5,4,6,4,3,6,5,9,2,2,4,3,7,2,6,9,3,9,6,8,2,6,5,9,4,2,6,2,4,8,10,5,9,8,3,4,4,3,2,1,7,4,6,6,6,5,6,11,7,5,3,5,4,5,3,5,6,9,2,5,4,3,3,3,7,4,4,4,3,8,1,8,5,8,5,7,4,6,1,6,5,4,2,4,6,4,4,5,4,3,3,3,2,2,3,2,4,6,1,5,0,1,6,10,6,4,0,2,1,4,6,4,6,5,5,5,8,6,6,2,4,7,6,12,6,2,8,2,5,5,9,6,5,3,4,5,5,3,7,4,4,10,6,9,3,5,4,6,7,1,5,2,5,5,3,6,7,7,3,4,5,2,2,2,3,4,1,4,3,2,3,6,6,2,3,5,2,1,8,6,5,3,6,5,3,6,6,4,6,10,4,7,7,2,3,0,2,5,6,8,5,3,6,6,1,7,5,6,6,9,5,7,5,2,4,5,4,2,2,4,4,1,4,3,1,6,7,2,4,5,5,6,2,0,1,1,0
Galápagos,33042,-0.7999999999999999,-89.40000000000001,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guayas,4387434,-2.183333000000000,-79.88333299999999,48,47,55,59,57,62,46,47,51,60,56,56,86,46,50,59,52,44,45,54,45,57,47,56,51,51,44,50,53,47,49,56,62,41,49,52,47,43,61,52,58,56,68,57,46,52,51,67,64,56,52,76,51,61,48,42,62,53,48,48,60,70,64,63,73,67,62,69,50,64,57,59,60,69,50,73,57,61,74,58,64,69,59,49,51,67,68,65,63,59,69,64,67,62,60,55,63,59,65,57,67,67,58,52,59,50,76,59,65,51,53,37,61,42,37,38,53,54,50,47,69,57,64,55,46,51,48,64,62,62,55,57,53,53,59,50,52,38,67,63,55,50,51,58,63,44,54,49,57,51,50,66,52,69,45,65,54,50,64,54,42,68,54,49,65,58,57,56,62,39,45,43,59,55,63,54,48,53,45,51,47,37,56,68,55,45,40,47,40,44,60,53,48,54,58,55,57,54,35,50,45,59,47,41,49,68,59,53,47,52,51,60,49,50,59,56,54,60,51,39,53,51,50,57,49,45,63,48,50,41,58,47,40,46,51,37,46,60,43,49,54,51,49,48,50,42,44,45,47,52,40,53,44,51,46,51,45,40,41,48,58,41,70,40,48,44,49,50,44,43,39,55,49,54,59,42,66,53,51,52,45,46,42,46,54,46,50,48,53,59,53,47,54,45,52,47,62,49,34,46,50,47,43,65,43,41,51,50,66,66,55,44,55,60,64,64,50,45,48,40,34,67,62,49,67,52,51,51,51,50,51,49,59,54,44,43,50,49,49,42,54,50,43,51,42,44,44,51,46,47,50,56,32,53,56,47,51,48,49,47,44,48,42,33,12
