inec_provincia_id,provincia,inec_canton_id,canton,total,acumuladas,lat,lng,semana
01,Azuay,0115,Camilo Ponce Enríquez,3,3,-3.050000000000000,-79.73333300000000,1
01,Azuay,0111,Chordeleg,0,0,-2.933333000000000,-78.76666700000000,1
01,Azuay,0101,Cuenca,67,67,-2.897414000000000,-79.00448100000000,1
01,Azuay,0112,El Pan,2,2,-2.786111000000000,-78.66500000000001,1
01,Azuay,0102,Girón,2,2,-3.159028000000000,-79.14756800000001,1
01,Azuay,0114,Guachapala,0,0,-2.769000000000000,-78.70900000000000,1
01,Azuay,0103,Gualaceo,4,4,-2.900000000000000,-78.78333300000000,1
01,Azuay,0104,Nabón,0,0,-3.336060000000000,-79.06368000000001,1
01,Azuay,0110,Oña,1,1,-3.469640000000000,-79.15431000000000,1
01,Azuay,0105,Paute,4,4,-2.781800000000000,-78.76000000000001,1
01,Azuay,0106,Pucará,0,0,-3.233780000000000,-79.46120000000001,1
01,Azuay,0107,San Fernando,0,0,-3.144500000000000,-79.25200000000000,1
01,Azuay,0108,Santa Isabel,1,1,-3.274170000000000,-79.31560000000000,1
01,Azuay,0113,Sevilla de Oro,0,0,-2.799833000000000,-78.65569400000000,1
01,Azuay,0109,Sígsig,3,3,-3.089700000000000,-78.80320000000000,1
02,Bolívar,0206,Caluma,1,1,-1.633330000000000,-79.25000000000000,1
02,Bolívar,0202,Chillanes,1,1,-1.933333000000000,-79.06666700000000,1
02,Bolívar,0203,Chimbo,3,3,-1.700000000000000,-79.01666700000000,1
02,Bolívar,0204,Echeandía,0,0,-1.433330000000000,-79.26667000000000,1
02,Bolívar,0201,Guaranda,13,13,-1.605556000000000,-79.00305600000000,1
02,Bolívar,0207,Las Naves,0,0,-1.283330000000000,-79.30000000000000,1
02,Bolívar,0205,San Miguel,3,3,-1.700000000000000,-79.03333300000000,1
04,Carchi,0402,Bolivar,3,3,0.5070990000000000,-77.86245400000000,1
04,Carchi,0403,Espejo,1,1,0.6210000000000000,-77.94000000000000,1
04,Carchi,0404,Mira,0,0,0.5538999999999998,-78.04930000000000,1
04,Carchi,0405,Montúfar,4,4,0.6100000000000000,-77.84000000000000,1
04,Carchi,0406,San Pedro de Huaca,1,1,0.6311110000000000,-77.72527800000000,1
04,Carchi,0401,Tulcán,8,8,0.8121800000000000,-77.71633000000000,1
03,Cañar,0301,Azogues,11,11,-2.733333000000000,-78.83333300000000,1
03,Cañar,0302,Biblían,1,1,-2.710000000000000,-78.88000000000000,1
03,Cañar,0303,Cañar,2,2,-2.483700000000000,-78.97839999999999,1
03,Cañar,0306,Déleg,1,1,-2.772600000000000,-78.91830000000000,1
03,Cañar,0305,El Tambo,0,0,-2.508100000000000,-78.92489999999999,1
03,Cañar,0304,La Troncal,1,1,-2.400000000000000,-79.33000000000000,1
03,Cañar,0307,Suscal,0,0,-2.436400000000000,-79.05220000000000,1
06,Chimborazo,0602,Alausí,2,2,-2.200000000000000,-78.84999999999999,1
06,Chimborazo,0604,Chambo,1,1,-1.733333000000000,-78.58333300000000,1
06,Chimborazo,0605,Chunchi,0,0,-2.283333000000000,-78.91666700000000,1
06,Chimborazo,0603,Colta,4,4,-1.700000000000000,-78.75000000000000,1
06,Chimborazo,0610,Cumandá,0,0,-2.200000000000000,-79.13333299999999,1
06,Chimborazo,0606,Guamote,3,3,-1.933333000000000,-78.71666700000000,1
06,Chimborazo,0607,Guano,2,2,-1.583333000000000,-78.63333299999999,1
06,Chimborazo,0608,Pallatanga,1,1,-1.983333000000000,-78.95000000000000,1
06,Chimborazo,0609,Penipe,1,1,-1.557300000000000,-78.53959999999999,1
06,Chimborazo,0601,Riobamba,40,40,-1.674347000000000,-78.64829400000001,1
05,Cotopaxi,0502,La Maná,1,1,-0.9299999999999999,-79.22000000000000,1
05,Cotopaxi,0501,Latacunga,27,27,-0.9333330000000000,-78.61666700000001,1
05,Cotopaxi,0503,Pangua,3,3,-1.133333000000000,-79.06666700000000,1
05,Cotopaxi,0504,Pujilí,6,6,-0.9500000000000000,-78.69000000000000,1
05,Cotopaxi,0505,Salcedo,3,3,-1.050000000000000,-78.58333300000000,1
05,Cotopaxi,0506,Saquisilí,4,4,-0.8300000000000000,-78.67000000000000,1
05,Cotopaxi,0507,Sigchos,1,1,-0.7000000000000000,-78.88333299999999,1
07,El Oro,0702,Arenillas,3,3,-3.550000000000000,-80.06000000000000,1
07,El Oro,0703,Atahualpa,0,0,-2.900000000000000,-78.93333300000000,1
07,El Oro,0704,Balsas,0,0,-3.762600000000000,-79.82530000000000,1
07,El Oro,0705,Chilla,0,0,-3.450000000000000,-79.58000000000000,1
07,El Oro,0706,El Guabo,4,4,-3.238800000000000,-79.82920000000000,1
07,El Oro,0707,Huaquillas,4,4,-3.481380000000000,-80.24320700000000,1
07,El Oro,0714,Las Lajas,0,0,-3.785000000000000,-80.06166700000000,1
07,El Oro,0701,Machala,41,41,-3.266667000000000,-79.96666700000000,1
07,El Oro,0708,Marcabelí,1,1,-3.786000000000000,-79.89780000000000,1
07,El Oro,0709,Pasaje,8,8,-3.326900000000000,-79.80490000000000,1
07,El Oro,0710,Piñas,3,3,-3.666667000000000,-79.65000000000001,1
07,El Oro,0711,Portovelo,1,1,-3.720000000000000,-79.62000000000000,1
07,El Oro,0712,Santa Rosa,14,14,-3.452222000000000,-79.96166700000001,1
07,El Oro,0713,Zaruma,2,2,-3.433333000000000,-79.59999999999999,1
08,Esmeraldas,0806,Atacames,2,2,0.8666670000000000,-79.83333300000000,1
08,Esmeraldas,0802,Eloy Alfaro,0,0,1.250000000000000,-79,1
08,Esmeraldas,0801,Esmeraldas,21,21,1.050000000000000,-79.20000000000000,1
08,Esmeraldas,0803,Muisne,2,2,0.6067000000000000,-80.01830000000000,1
08,Esmeraldas,0804,Quinindé,5,5,0.3300000000000000,-79.48000000000000,1
08,Esmeraldas,0807,Rioverde,1,1,1.060200000000000,-79.40440000000000,1
08,Esmeraldas,0805,San Lorenzo,0,0,1.265800000000000,-78.84139999999999,1
20,Galápagos,2002,Isabela,0,0,-0.4724000000000000,-90.68110000000000,1
20,Galápagos,2001,San Cristóbal,0,0,-0.7999999999999999,-89.40000000000001,1
20,Galápagos,2003,Santa Cruz,2,2,-0.6333330000000000,-90.36666700000001,1
09,Guayas,0902,Alfredo Baquerizo Moreno,2,2,-1.916667000000000,-79.51666700000000,1
09,Guayas,0903,Balao,5,5,-2.910000000000000,-79.81000000000000,1
09,Guayas,0904,Balzar,3,3,-1.360000000000000,-79.90000000000001,1
09,Guayas,0905,Colimes,2,2,-1.550000000000000,-80.01666700000000,1
09,Guayas,0923,Coronel Marcelino Maridueña,0,0,-2.200000000000000,-79.42000000000000,1
09,Guayas,0906,Daule,10,10,-1.866667000000000,-79.98333300000000,1
09,Guayas,0907,Durán,4,4,-2.166667000000000,-79.83333300000000,1
09,Guayas,0909,El Triunfo,4,4,-2.330000000000000,-79.40000000000001,1
09,Guayas,0908,Empalme,6,6,-1.046111000000000,-79.63361100000000,1
09,Guayas,0927,General Antonio Elizalde,1,1,-2.200000000000000,-79.17000000000000,1
09,Guayas,0901,Guayaquil,321,321,-2.183333000000000,-79.88333299999999,1
09,Guayas,0928,Isidro Ayora,3,3,-1.883333000000000,-80.16666700000000,1
09,Guayas,0924,Lomas de Sargentillo,4,4,-1.883333000000000,-80.08333300000000,1
09,Guayas,0910,Milagro,19,19,-2.126944000000000,-79.59916699999999,1
09,Guayas,0911,Naranjal,4,4,-2.672800000000000,-79.61499999999999,1
09,Guayas,0912,Naranjito,6,6,-2.173000000000000,-79.46710000000000,1
09,Guayas,0925,Nobol,3,3,-1.916671000000000,-80.01153900000000,1
09,Guayas,0913,Palestina,1,1,-1.626300000000000,-79.97700000000000,1
09,Guayas,0914,Pedro Carbo,6,6,-1.833333000000000,-80.23333300000000,1
09,Guayas,0921,Playas,7,7,-2.623330000000000,-80.38750000000000,1
09,Guayas,0919,Salitre,5,5,-1.829444000000000,-79.81555600000000,1
09,Guayas,0916,Samborondón,6,6,-2.183333000000000,-79.88333299999999,1
09,Guayas,0920,San Jacinto De Yaguachi,1,1,-2.120000000000000,-79.69000000000000,1
09,Guayas,0918,Santa Lucía,1,1,-1.713889000000000,-79.98500000000000,1
09,Guayas,0922,Simón Bolivar,0,0,-2.156667000000000,-79.88750000000000,1
10,Imbabura,1002,Antonio Ante,4,4,0.3200000000000000,-78.20999999999999,1
10,Imbabura,1003,Cotacachi,2,2,0.3000000000000000,-78.26666700000000,1
10,Imbabura,1001,Ibarra,17,17,0.3626780000000000,-78.13066700000000,1
10,Imbabura,1004,Otavalo,10,10,0.2333330000000000,-78.26666700000000,1
10,Imbabura,1005,Pimampiro,1,1,0.4000000000000000,-77.97000000000000,1
10,Imbabura,1006,San Miguel de Urcuquí,1,1,0.5200000000000000,-78.20000000000000,1
11,Loja,1102,Calvas,2,2,-4.320000000000000,-79.56000000000000,1
11,Loja,1103,Catamayo,4,4,-3.980000000000000,-79.34999999999999,1
11,Loja,1104,Celica,1,1,-4.102500000000000,-79.95444400000000,1
11,Loja,1105,Chaguarpamba,1,1,-3.850000000000000,-79.65000000000001,1
11,Loja,1106,Espíndola,2,2,-4.583056000000000,-79.42694400000001,1
11,Loja,1107,Gonzanamá,1,1,-4.231389000000000,-79.43527800000000,1
11,Loja,1101,Loja,26,26,-3.983333000000000,-79.20000000000000,1
11,Loja,1108,Macará,4,4,-4.383333000000000,-79.95000000000000,1
11,Loja,1116,Olmedo,0,0,-3.934000000000000,-79.64800000000000,1
11,Loja,1109,Paltas,1,1,-4.050000000000002,-79.65000000000001,1
11,Loja,1114,Pindal,0,0,-4.116100000000000,-80.10760000000001,1
11,Loja,1110,Puyango,1,1,-3.870000000000000,-80.09000000000000,1
11,Loja,1115,Quilanga,1,1,-4.298000000000000,-79.39860000000000,1
11,Loja,1111,Saraguro,5,5,-3.625300000000000,-79.24110000000000,1
11,Loja,1112,Sozoranga,1,1,-4.327778000000000,-79.78972200000000,1
11,Loja,1113,Zapotillo,0,0,-4.386360000000002,-80.24360000000000,1
12,Los Ríos,1202,Baba,3,3,-1.784167000000000,-79.67666699999999,1
12,Los Ríos,1201,Babahoyo,19,19,-1.800000000000000,-79.53333300000000,1
12,Los Ríos,1210,Buena Fe,3,3,-0.8985719999999999,-79.48891600000000,1
12,Los Ríos,1212,Mocache,3,3,-1.183850000000000,-79.50552999999999,1
12,Los Ríos,1203,Montalvo,2,2,-1.793800000000000,-79.28570000000001,1
12,Los Ríos,1209,Palenque,1,1,-1.432800000000000,-79.74950000000000,1
12,Los Ríos,1204,Puebloviejo,2,2,-1.550000000000000,-79.53388900000000,1
12,Los Ríos,1205,Quevedo,21,21,-1.033333000000000,-79.45000000000000,1
12,Los Ríos,1213,Quinsaloma,0,0,-1.206200000000000,-79.31450000000000,1
12,Los Ríos,1206,Urdaneta,1,1,-1.570556000000000,-79.47111099999999,1
12,Los Ríos,1211,Valencia,0,0,-0.9525000000000000,-79.35310000000000,1
12,Los Ríos,1207,Ventanas,4,4,-1.450000000000000,-79.47000000000000,1
12,Los Ríos,1208,Vinces,4,4,-1.558333000000000,-79.75000000000000,1
13,Manabí,1302,Bolívar,2,2,-0.8419440000000000,-80.16194400000001,1
13,Manabí,1303,Chone,17,17,-0.6833330000000000,-80.09999999999999,1
13,Manabí,1304,El Carmen,5,5,-1.314700000000000,-80.01690000000001,1
13,Manabí,1305,Flavio Alfaro,6,6,-0.4054000000000000,-79.90580000000000,1
13,Manabí,1320,Jama,1,1,-0.2014000000000000,-80.26590000000000,1
13,Manabí,1321,Jaramijó,0,0,-0.9487300000000000,-80.63630000000001,1
13,Manabí,1306,Jipijapa,4,4,-1.333330000000000,-80.58329999999999,1
