inec_provincia_id,provincia,inec_canton_id,canton,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
01,Azuay,0115,Camilo Ponce Enríquez,-3.050000000000000,-79.73333300000000,6,14,21,25,27,35,43,47,53,59,62,64
01,Azuay,0111,Chordeleg,-2.933333000000000,-78.76666700000000,4,6,9,14,19,21,26,33,35,39,44,45
01,Azuay,0101,Cuenca,-2.897414000000000,-79.00448100000000,285,522,790,1065,1318,1572,1841,2131,2399,2671,2897,3136
01,Azuay,0112,El Pan,-2.786111000000000,-78.66500000000001,4,6,9,12,13,13,15,15,16,18,18,18
01,Azuay,0102,Girón,-3.159028000000000,-79.14756800000001,4,11,20,28,35,38,46,51,54,64,73,78
01,Azuay,0114,Guachapala,-2.769000000000000,-78.70900000000000,0,1,1,1,3,4,4,4,4,4,5,7
01,Azuay,0103,Gualaceo,-2.900000000000000,-78.78333300000000,15,37,55,65,84,104,118,140,158,169,186,203
01,Azuay,0104,Nabón,-3.336060000000000,-79.06368000000001,4,8,17,26,31,35,40,44,64,67,69,75
01,Azuay,0110,Oña,-3.469640000000000,-79.15431000000000,4,5,5,7,7,7,7,7,8,11,12,12
01,Azuay,0105,Paute,-2.781800000000000,-78.76000000000001,10,24,36,45,58,71,81,89,95,106,110,111
01,Azuay,0106,Pucará,-3.233780000000000,-79.46120000000001,3,5,7,9,12,14,16,19,21,21,23,26
01,Azuay,0107,San Fernando,-3.144500000000000,-79.25200000000000,3,4,5,6,8,10,13,19,20,20,20,21
01,Azuay,0108,Santa Isabel,-3.274170000000000,-79.31560000000000,6,14,17,22,26,30,37,44,48,52,59,63
01,Azuay,0113,Sevilla de Oro,-2.799833000000000,-78.65569400000000,0,1,1,2,2,3,3,5,6,6,9,9
01,Azuay,0109,Sígsig,-3.089700000000000,-78.80320000000000,12,25,37,46,57,66,70,77,96,112,119,125
