provincia,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52
Azuay,-2.897414000000000,-79.00448100000000,87,67,81,94,67,82,81,87,77,79,77,78,83,80,96,73,67,82,65,81,73,76,75,59,85,78,80,80,82,65,78,93,92,73,89,98,67,69,81,78,79,73,74,78,66,72,66,64,68,82,64,51
Bolívar,-1.605556000000000,-79.00305600000000,21,24,17,17,21,22,20,18,17,18,17,14,19,20,14,18,16,17,16,17,11,13,14,27,13,27,14,20,12,14,18,12,14,9,17,15,16,12,12,7,15,16,16,13,15,15,13,12,18,10,16,8
Carchi,0.8121800000000000,-77.71633000000000,17,9,10,14,18,18,13,13,16,5,12,17,15,10,14,14,8,9,14,18,14,5,10,15,19,10,15,9,14,8,11,19,8,18,19,9,17,14,20,18,10,8,14,13,8,20,11,13,19,19,14,8
Cañar,-2.733333000000000,-78.83333300000000,16,21,22,19,25,21,26,15,17,22,28,15,17,18,25,14,10,23,15,16,19,17,28,14,21,22,19,20,22,22,24,19,30,23,19,29,24,27,21,21,27,22,26,17,17,16,19,24,18,24,18,20
Chimborazo,-1.674347000000000,-78.64829400000001,54,59,48,45,58,55,53,46,47,49,44,33,39,53,51,53,37,44,33,51,30,35,42,40,46,34,52,58,50,39,47,53,32,35,42,48,50,54,56,46,42,50,46,43,41,32,38,51,40,36,44,30
Cotopaxi,-0.9333330000000000,-78.61666700000001,45,41,43,39,41,25,42,46,38,42,26,28,30,28,33,45,32,25,39,34,30,37,41,47,37,42,44,36,38,27,29,35,31,27,35,44,25,36,37,32,36,33,33,35,23,34,39,30,33,34,31,25
El Oro,-3.266667000000000,-79.96666700000000,81,53,61,60,56,54,66,59,63,60,61,47,55,49,51,49,50,60,53,56,57,48,51,47,45,46,51,49,67,62,48,48,59,54,68,49,65,61,48,70,65,50,65,52,52,52,59,49,50,72,58,40
Esmeraldas,1.050000000000000,-79.20000000000000,31,43,34,35,32,42,41,32,22,32,25,36,19,35,29,23,37,22,19,38,15,25,30,39,27,23,38,32,26,24,24,31,24,30,39,20,27,26,28,33,38,27,24,32,37,18,37,27,24,24,21,19
Galápagos,-0.8000000000000000,-89.40000000000001,2,1,0,0,0,0,2,1,0,1,1,0,1,0,1,1,2,2,1,1,1,1,2,1,0,1,1,0,2,0,0,2,1,2,1,0,0,0,1,0,1,1,1,2,1,1,6,0,4,2,0,0
Guayas,-2.183333000000000,-79.88333299999999,424,413,387,454,344,341,440,392,415,419,405,380,391,395,390,410,406,380,341,390,382,358,354,370,358,416,388,370,370,352,373,377,420,348,394,354,385,362,373,369,351,391,352,417,383,374,354,382,404,384,395,370
Imbabura,0.3626780000000000,-78.13066700000000,35,35,43,31,46,30,30,38,28,39,41,44,44,44,46,27,39,38,39,40,40,35,34,39,47,41,42,25,28,37,39,42,38,33,36,32,44,26,38,51,29,34,32,43,44,45,41,35,34,37,30,19
