inec_provincia_id,provincia,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52
01,Azuay,-2.897414000000000,-79.00448100000000,87,154,235,329,396,478,559,646,723,802,879,957,1040,1120,1216,1289,1356,1438,1503,1584,1657,1733,1808,1867,1952,2030,2110,2190,2272,2337,2415,2508,2600,2673,2762,2860,2927,2996,3077,3155,3234,3307,3381,3459,3525,3597,3663,3727,3795,3877,3941,3992
02,Bolívar,-1.605556000000000,-79.00305600000000,21,45,62,79,100,122,142,160,177,195,212,226,245,265,279,297,313,330,346,363,374,387,401,428,441,468,482,502,514,528,546,558,572,581,598,613,629,641,653,660,675,691,707,720,735,750,763,775,793,803,819,827
04,Carchi,0.8121800000000000,-77.71633000000000,17,26,36,50,68,86,99,112,128,133,145,162,177,187,201,215,223,232,246,264,278,283,293,308,327,337,352,361,375,383,394,413,421,439,458,467,484,498,518,536,546,554,568,581,589,609,620,633,652,671,685,693
03,Cañar,-2.733333000000000,-78.83333300000000,16,37,59,78,103,124,150,165,182,204,232,247,264,282,307,321,331,354,369,385,404,421,449,463,484,506,525,545,567,589,613,632,662,685,704,733,757,784,805,826,853,875,901,918,935,951,970,994,1012,1036,1054,1074
06,Chimborazo,-1.674347000000000,-78.64829400000001,54,113,161,206,264,319,372,418,465,514,558,591,630,683,734,787,824,868,901,952,982,1017,1059,1099,1145,1179,1231,1289,1339,1378,1425,1478,1510,1545,1587,1635,1685,1739,1795,1841,1883,1933,1979,2022,2063,2095,2133,2184,2224,2260,2304,2334
05,Cotopaxi,-0.9333330000000000,-78.61666700000001,45,86,129,168,209,234,276,322,360,402,428,456,486,514,547,592,624,649,688,722,752,789,830,877,914,956,1000,1036,1074,1101,1130,1165,1196,1223,1258,1302,1327,1363,1400,1432,1468,1501,1534,1569,1592,1626,1665,1695,1728,1762,1793,1818
07,El Oro,-3.266667000000000,-79.96666700000000,81,134,195,255,311,365,431,490,553,613,674,721,776,825,876,925,975,1035,1088,1144,1201,1249,1300,1347,1392,1438,1489,1538,1605,1667,1715,1763,1822,1876,1944,1993,2058,2119,2167,2237,2302,2352,2417,2469,2521,2573,2632,2681,2731,2803,2861,2901
08,Esmeraldas,1.050000000000000,-79.20000000000000,31,74,108,143,175,217,258,290,312,344,369,405,424,459,488,511,548,570,589,627,642,667,697,736,763,786,824,856,882,906,930,961,985,1015,1054,1074,1101,1127,1155,1188,1226,1253,1277,1309,1346,1364,1401,1428,1452,1476,1497,1516
20,Galápagos,-0.8000000000000000,-89.40000000000001,2,3,3,3,3,3,5,6,6,7,8,8,9,9,10,11,13,15,16,17,18,19,21,22,22,23,24,24,26,26,26,28,29,31,32,32,32,32,33,33,34,35,36,38,39,40,46,46,50,52,52,52
09,Guayas,-2.183333000000000,-79.88333299999999,424,837,1224,1678,2022,2363,2803,3195,3610,4029,4434,4814,5205,5600,5990,6400,6806,7186,7527,7917,8299,8657,9011,9381,9739,10155,10543,10913,11283,11635,12008,12385,12805,13153,13547,13901,14286,14648,15021,15390,15741,16132,16484,16901,17284,17658,18012,18394,18798,19182,19577,19947
