inec_provincia_id,provincia,inec_canton_id,canton,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
01,Azuay,0115,Camilo Ponce Enríquez,-3.050000000000000,-79.73333300000000,4,3,6,6,3,2,1,2,3,3,5,6
01,Azuay,0111,Chordeleg,-2.933333000000000,-78.76666700000000,6,6,6,3,2,7,5,5,3,3,7,2
01,Azuay,0101,Cuenca,-2.897414000000000,-79.00448100000000,278,238,242,243,268,269,283,278,256,240,253,245
01,Azuay,0112,El Pan,-2.786111000000000,-78.66500000000001,2,0,0,0,2,3,1,1,1,1,0,0
01,Azuay,0102,Girón,-3.159028000000000,-79.14756800000001,5,5,5,5,6,1,8,8,3,4,9,6
01,Azuay,0114,Guachapala,-2.769000000000000,-78.70900000000000,0,1,0,0,0,0,2,0,3,1,1,0
01,Azuay,0103,Gualaceo,-2.900000000000000,-78.78333300000000,25,23,15,22,19,20,19,20,21,16,14,14
01,Azuay,0104,Nabón,-3.336060000000000,-79.06368000000001,6,7,6,8,8,4,3,6,7,3,11,7
01,Azuay,0110,Oña,-3.469640000000000,-79.15431000000000,2,2,1,2,2,1,2,2,2,4,1,2
01,Azuay,0105,Paute,-2.781800000000000,-78.76000000000001,10,2,10,6,11,7,10,8,10,7,7,8
01,Azuay,0106,Pucará,-3.233780000000000,-79.46120000000001,2,0,4,1,3,2,2,1,3,6,1,2
01,Azuay,0107,San Fernando,-3.144500000000000,-79.25200000000000,1,0,0,1,0,1,1,0,0,2,1,0
01,Azuay,0108,Santa Isabel,-3.274170000000000,-79.31560000000000,6,5,4,6,15,9,4,7,8,6,10,5
01,Azuay,0113,Sevilla de Oro,-2.799833000000000,-78.65569400000000,0,1,1,2,2,0,2,3,1,1,1,0
01,Azuay,0109,Sígsig,-3.089700000000000,-78.80320000000000,14,8,11,11,13,10,8,8,15,9,6,5
02,Bolívar,0206,Caluma,-1.633330000000000,-79.25000000000000,6,6,3,5,3,7,7,3,11,4,2,1
02,Bolívar,0202,Chillanes,-1.933333000000000,-79.06666700000000,8,10,6,2,8,5,3,4,6,3,5,3
02,Bolívar,0203,Chimbo,-1.700000000000000,-79.01666700000000,2,4,7,4,4,3,3,4,4,3,2,1
02,Bolívar,0204,Echeandía,-1.433330000000000,-79.26667000000000,4,6,3,5,3,4,2,4,5,3,5,10
02,Bolívar,0201,Guaranda,-1.605556000000000,-79.00305600000000,39,39,51,32,38,39,38,34,42,40,42,37
