provincia,canton,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Azuay,Camilo Ponce Enríquez,-3.050000000000000,-79.73333300000000,4,7,13,19,22,24,25,27,30,33,38,44
Azuay,Chordeleg,-2.933333000000000,-78.76666700000000,6,12,18,21,23,30,35,40,43,46,53,55
Azuay,Cuenca,-2.897414000000000,-79.00448100000000,278,516,758,1001,1269,1538,1821,2099,2355,2595,2848,3093
Azuay,El Pan,-2.786111000000000,-78.66500000000001,2,2,2,2,4,7,8,9,10,11,11,11
Azuay,Girón,-3.159028000000000,-79.14756800000001,5,10,15,20,26,27,35,43,46,50,59,65
Azuay,Guachapala,-2.769000000000000,-78.70900000000000,0,1,1,1,1,1,3,3,6,7,8,8
Azuay,Gualaceo,-2.900000000000000,-78.78333300000000,25,48,63,85,104,124,143,163,184,200,214,228
Azuay,Nabón,-3.336060000000000,-79.06368000000001,6,13,19,27,35,39,42,48,55,58,69,76
Azuay,Oña,-3.469640000000000,-79.15431000000000,2,4,5,7,9,10,12,14,16,20,21,23
Azuay,Paute,-2.781800000000000,-78.76000000000001,10,12,22,28,39,46,56,64,74,81,88,96
Azuay,Pucará,-3.233780000000000,-79.46120000000001,2,2,6,7,10,12,14,15,18,24,25,27
Azuay,San Fernando,-3.144500000000000,-79.25200000000000,1,1,1,2,2,3,4,4,4,6,7,7
Azuay,Santa Isabel,-3.274170000000000,-79.31560000000000,6,11,15,21,36,45,49,56,64,70,80,85
Azuay,Sevilla de Oro,-2.799833000000000,-78.65569400000000,0,1,2,4,6,6,8,11,12,13,14,14
Azuay,Sígsig,-3.089700000000000,-78.80320000000000,14,22,33,44,57,67,75,83,98,107,113,118
Bolívar,Caluma,-1.633330000000000,-79.25000000000000,6,12,15,20,23,30,37,40,51,55,57,58
Bolívar,Chillanes,-1.933333000000000,-79.06666700000000,8,18,24,26,34,39,42,46,52,55,60,63
Bolívar,Chimbo,-1.700000000000000,-79.01666700000000,2,6,13,17,21,24,27,31,35,38,40,41
Bolívar,Echeandía,-1.433330000000000,-79.26667000000000,4,10,13,18,21,25,27,31,36,39,44,54
Bolívar,Guaranda,-1.605556000000000,-79.00305600000000,39,78,129,161,199,238,276,310,352,392,434,471
Bolívar,Las Naves,-1.283330000000000,-79.30000000000000,1,1,3,3,3,4,5,8,8,8,11,11
Bolívar,San Miguel,-1.700000000000000,-79.03333300000000,13,23,32,39,51,66,80,94,102,110,122,128
Carchi,Bolivar,0.5070990000000000,-77.86245400000000,7,11,20,26,38,42,46,49,51,56,62,63
Carchi,Espejo,0.6210000000000000,-77.94000000000000,8,10,12,18,25,32,39,42,47,49,54,56
Carchi,Mira,0.5538999999999999,-78.04930000000000,5,10,15,19,19,21,28,35,36,43,47,50
Carchi,Montúfar,0.6100000000000000,-77.84000000000000,7,16,25,31,43,51,55,68,77,88,101,107
Carchi,San Pedro de Huaca,0.6311110000000000,-77.72527800000000,0,3,6,9,10,15,19,23,24,26,30,31
Carchi,Tulcán,0.8121800000000000,-77.71633000000000,35,70,101,135,165,199,231,268,314,353,387,430
