inec_provincia_id,provincia,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
01,Azuay,-2.897414000000000,-79.00448100000000,361,301,311,316,354,336,351,349,336,306,327,302
02,Bolívar,-1.605556000000000,-79.00305600000000,73,75,81,55,68,74,68,66,76,61,71,58
04,Carchi,0.8121800000000000,-77.71633000000000,62,58,59,59,62,60,58,67,64,66,66,56
03,Cañar,-2.733333000000000,-78.83333300000000,94,96,94,74,84,101,113,117,84,97,86,59
06,Chimborazo,-1.674347000000000,-78.64829400000001,200,193,228,178,192,189,190,214,219,202,185,171
05,Cotopaxi,-0.9333330000000000,-78.61666700000001,164,128,171,150,156,135,190,170,175,146,159,148
07,El Oro,-3.266667000000000,-79.96666700000000,265,250,291,234,263,228,229,257,284,244,269,221
08,Esmeraldas,1.050000000000000,-79.20000000000000,157,132,167,154,125,141,149,128,143,152,134,121
20,Galápagos,-0.8000000000000000,-89.40000000000001,5,7,0,4,2,2,2,4,3,4,7,4
09,Guayas,-2.183333000000000,-79.88333299999999,1979,1793,1934,1879,1725,1669,1715,1773,1703,1704,1690,1711
10,Imbabura,0.3626780000000000,-78.13066700000000,203,158,152,158,192,162,159,191,169,158,148,147
11,Loja,-3.983333000000000,-79.20000000000000,201,215,200,189,196,190,200,209,202,202,218,173
12,Los Ríos,-1.800000000000000,-79.53333300000000,317,300,338,331,306,299,279,299,307,295,302,249
13,Manabí,-1.056181000000000,-80.45521700000000,608,553,585,565,461,509,528,543,553,586,578,488
14,Morona Santiago,-2.300000000000000,-78.11666700000001,41,30,56,49,43,38,26,41,43,44,40,51
15,Napo,-0.9890000000000000,-77.81590000000000,33,26,36,45,31,49,41,30,26,28,29,25
22,Orellana,-0.4666670000000000,-76.96666700000000,29,38,44,35,34,31,39,40,29,33,29,28
16,Pastaza,-1.066667000000000,-78.00111099999999,20,29,27,28,24,18,33,20,25,22,29,28
17,Pichincha,-0.2186110000000000,-78.50972200000000,1230,1009,1106,1019,1077,1116,1132,1122,1102,1064,1085,1152
24,Santa Elena,-2.226700000000000,-80.85830000000000,119,108,114,110,102,97,120,121,130,76,107,92
23,Sto. Domingo Tsáchilas,-0.2541670000000000,-79.17194400000000,225,153,240,199,182,154,162,174,190,166,145,170
21,Sucumbíos,0.08472200000000001,-76.88277800000000,56,58,45,67,42,53,48,45,55,57,52,44
18,Tungurahua,-1.241667000000000,-78.61972200000000,239,199,268,243,228,215,230,245,256,236,223,198
19,Zamora Chinchipe,-4.120000000000000,-78.80000000000000,25,21,23,18,11,25,16,20,20,27,31,16
