inec_provincia_id,provincia,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
01,Azuay,-2.897414000000000,-79.00448100000000,361,662,973,1289,1643,1979,2330,2679,3015,3321,3648,3950
02,Bolívar,-1.605556000000000,-79.00305600000000,73,148,229,284,352,426,494,560,636,697,768,826
04,Carchi,0.8121800000000000,-77.71633000000000,62,120,179,238,300,360,418,485,549,615,681,737
03,Cañar,-2.733333000000000,-78.83333300000000,94,190,284,358,442,543,656,773,857,954,1040,1099
06,Chimborazo,-1.674347000000000,-78.64829400000001,200,393,621,799,991,1180,1370,1584,1803,2005,2190,2361
05,Cotopaxi,-0.9333330000000000,-78.61666700000001,164,292,463,613,769,904,1094,1264,1439,1585,1744,1892
07,El Oro,-3.266667000000000,-79.96666700000000,265,515,806,1040,1303,1531,1760,2017,2301,2545,2814,3035
08,Esmeraldas,1.050000000000000,-79.20000000000000,157,289,456,610,735,876,1025,1153,1296,1448,1582,1703
20,Galápagos,-0.8000000000000000,-89.40000000000001,5,12,12,16,18,20,22,26,29,33,40,44
09,Guayas,-2.183333000000000,-79.88333299999999,1979,3772,5706,7585,9310,10979,12694,14467,16170,17874,19564,21275
10,Imbabura,0.3626780000000000,-78.13066700000000,203,361,513,671,863,1025,1184,1375,1544,1702,1850,1997
11,Loja,-3.983333000000000,-79.20000000000000,201,416,616,805,1001,1191,1391,1600,1802,2004,2222,2395
12,Los Ríos,-1.800000000000000,-79.53333300000000,317,617,955,1286,1592,1891,2170,2469,2776,3071,3373,3622
13,Manabí,-1.056181000000000,-80.45521700000000,608,1161,1746,2311,2772,3281,3809,4352,4905,5491,6069,6557
14,Morona Santiago,-2.300000000000000,-78.11666700000001,41,71,127,176,219,257,283,324,367,411,451,502
15,Napo,-0.9890000000000000,-77.81590000000000,33,59,95,140,171,220,261,291,317,345,374,399
22,Orellana,-0.4666670000000000,-76.96666700000000,29,67,111,146,180,211,250,290,319,352,381,409
16,Pastaza,-1.066667000000000,-78.00111099999999,20,49,76,104,128,146,179,199,224,246,275,303
17,Pichincha,-0.2186110000000000,-78.50972200000000,1230,2239,3345,4364,5441,6557,7689,8811,9913,10977,12062,13214
24,Santa Elena,-2.226700000000000,-80.85830000000000,119,227,341,451,553,650,770,891,1021,1097,1204,1296
23,Sto. Domingo Tsáchilas,-0.2541670000000000,-79.17194400000000,225,378,618,817,999,1153,1315,1489,1679,1845,1990,2160
21,Sucumbíos,0.08472200000000001,-76.88277800000000,56,114,159,226,268,321,369,414,469,526,578,622
18,Tungurahua,-1.241667000000000,-78.61972200000000,239,438,706,949,1177,1392,1622,1867,2123,2359,2582,2780
19,Zamora Chinchipe,-4.120000000000000,-78.80000000000000,25,46,69,87,98,123,139,159,179,206,237,253
