inec_provincia_id,provincia,poblacion,lat,lng,01/01/2019,02/01/2019,03/01/2019,04/01/2019,05/01/2019,06/01/2019,07/01/2019,08/01/2019,09/01/2019,10/01/2019,11/01/2019,12/01/2019,13/01/2019,14/01/2019,15/01/2019,16/01/2019,17/01/2019,18/01/2019,19/01/2019,20/01/2019,21/01/2019,22/01/2019,23/01/2019,24/01/2019,25/01/2019,26/01/2019,27/01/2019,28/01/2019,29/01/2019,30/01/2019,31/01/2019,01/02/2019,02/02/2019,03/02/2019,04/02/2019,05/02/2019,06/02/2019,07/02/2019,08/02/2019,09/02/2019,10/02/2019,11/02/2019,12/02/2019,13/02/2019,14/02/2019,15/02/2019,16/02/2019,17/02/2019,18/02/2019,19/02/2019,20/02/2019,21/02/2019,22/02/2019,23/02/2019,24/02/2019,25/02/2019,26/02/2019,27/02/2019,28/02/2019,01/03/2019,02/03/2019,03/03/2019,04/03/2019,05/03/2019,06/03/2019,07/03/2019,08/03/2019,09/03/2019,10/03/2019,11/03/2019,12/03/2019,13/03/2019,14/03/2019,15/03/2019,16/03/2019,17/03/2019,18/03/2019,19/03/2019,20/03/2019,21/03/2019,22/03/2019,23/03/2019,24/03/2019,25/03/2019,26/03/2019,27/03/2019,28/03/2019,29/03/2019,30/03/2019,31/03/2019,01/04/2019,02/04/2019,03/04/2019,04/04/2019,05/04/2019,06/04/2019,07/04/2019,08/04/2019,09/04/2019,10/04/2019,11/04/2019,12/04/2019,13/04/2019,14/04/2019,15/04/2019,16/04/2019,17/04/2019,18/04/2019,19/04/2019,20/04/2019,21/04/2019,22/04/2019,23/04/2019,24/04/2019,25/04/2019,26/04/2019,27/04/2019,28/04/2019,29/04/2019,30/04/2019,01/05/2019,02/05/2019,03/05/2019,04/05/2019,05/05/2019,06/05/2019,07/05/2019,08/05/2019,09/05/2019,10/05/2019,11/05/2019,12/05/2019,13/05/2019,14/05/2019,15/05/2019,16/05/2019,17/05/2019,18/05/2019,19/05/2019,20/05/2019,21/05/2019,22/05/2019,23/05/2019,24/05/2019,25/05/2019,26/05/2019,27/05/2019,28/05/2019,29/05/2019,30/05/2019,31/05/2019,01/06/2019,02/06/2019,03/06/2019,04/06/2019,05/06/2019,06/06/2019,07/06/2019,08/06/2019,09/06/2019,10/06/2019,11/06/2019,12/06/2019,13/06/2019,14/06/2019,15/06/2019,16/06/2019,17/06/2019,18/06/2019,19/06/2019,20/06/2019,21/06/2019,22/06/2019,23/06/2019,24/06/2019,25/06/2019,26/06/2019,27/06/2019,28/06/2019,29/06/2019,30/06/2019,01/07/2019,02/07/2019,03/07/2019,04/07/2019,05/07/2019,06/07/2019,07/07/2019,08/07/2019,09/07/2019,10/07/2019,11/07/2019,12/07/2019,13/07/2019,14/07/2019,15/07/2019,16/07/2019,17/07/2019,18/07/2019,19/07/2019,20/07/2019,21/07/2019,22/07/2019,23/07/2019,24/07/2019,25/07/2019,26/07/2019,27/07/2019,28/07/2019,29/07/2019,30/07/2019,31/07/2019,01/08/2019,02/08/2019,03/08/2019,04/08/2019,05/08/2019,06/08/2019,07/08/2019,08/08/2019,09/08/2019,10/08/2019,11/08/2019,12/08/2019,13/08/2019,14/08/2019,15/08/2019,16/08/2019,17/08/2019,18/08/2019,19/08/2019,20/08/2019,21/08/2019,22/08/2019,23/08/2019,24/08/2019,25/08/2019,26/08/2019,27/08/2019,28/08/2019,29/08/2019,30/08/2019,31/08/2019,01/09/2019,02/09/2019,03/09/2019,04/09/2019,05/09/2019,06/09/2019,07/09/2019,08/09/2019,09/09/2019,10/09/2019,11/09/2019,12/09/2019,13/09/2019,14/09/2019,15/09/2019,16/09/2019,17/09/2019,18/09/2019,19/09/2019,20/09/2019,21/09/2019,22/09/2019,23/09/2019,24/09/2019,25/09/2019,26/09/2019,27/09/2019,28/09/2019,29/09/2019,30/09/2019,01/10/2019,02/10/2019,03/10/2019,04/10/2019,05/10/2019,06/10/2019,07/10/2019,08/10/2019,09/10/2019,10/10/2019,11/10/2019,12/10/2019,13/10/2019,14/10/2019,15/10/2019,16/10/2019,17/10/2019,18/10/2019,19/10/2019,20/10/2019,21/10/2019,22/10/2019,23/10/2019,24/10/2019,25/10/2019,26/10/2019,27/10/2019,28/10/2019,29/10/2019,30/10/2019,31/10/2019,01/11/2019,02/11/2019,03/11/2019,04/11/2019,05/11/2019,06/11/2019,07/11/2019,08/11/2019,09/11/2019,10/11/2019,11/11/2019,12/11/2019,13/11/2019,14/11/2019,15/11/2019,16/11/2019,17/11/2019,18/11/2019,19/11/2019,20/11/2019,21/11/2019,22/11/2019,23/11/2019,24/11/2019,25/11/2019,26/11/2019,27/11/2019,28/11/2019,29/11/2019,30/11/2019,01/12/2019,02/12/2019,03/12/2019,04/12/2019,05/12/2019,06/12/2019,07/12/2019,08/12/2019,09/12/2019,10/12/2019,11/12/2019,12/12/2019,13/12/2019,14/12/2019,15/12/2019,16/12/2019,17/12/2019,18/12/2019,19/12/2019,20/12/2019,21/12/2019,22/12/2019,23/12/2019,24/12/2019,25/12/2019,26/12/2019,27/12/2019,28/12/2019,29/12/2019,30/12/2019,31/12/2019
1,Azuay,881394,-2.8974140000000004,-79.004481,12,18,10,14,6,10,10,14,15,8,19,11,12,12,18,10,8,10,5,15,14,11,6,10,16,13,13,10,12,7,12,14,14,9,11,10,11,10,8,7,8,6,12,15,10,13,9,12,8,12,6,11,5,13,13,16,16,17,5,13,8,11,4,13,14,14,12,9,13,7,16,8,7,8,11,17,15,7,9,11,4,7,8,13,10,11,4,12,9,6,13,10,8,9,8,11,17,11,4,9,13,12,16,10,13,7,8,13,17,9,6,13,6,9,13,10,9,12,11,9,13,15,13,13,10,10,16,16,17,13,8,8,10,9,7,10,11,9,14,10,11,17,13,14,9,10,14,7,12,6,9,9,8,9,9,13,17,9,13,15,14,15,13,7,13,10,10,16,9,10,10,13,8,5,7,10,18,14,10,9,13,6,11,14,12,4,10,8,7,10,10,8,14,12,10,14,10,11,17,12,11,11,10,12,21,14,15,11,10,10,14,12,7,10,12,11,8,11,10,15,6,17,12,9,13,14,12,19,7,13,10,10,11,8,19,10,12,15,11,14,11,7,5,17,14,15,12,11,5,15,20,13,9,14,11,14,7,12,8,9,9,9,3,8,7,6,9,16,10,14,13,15,11,17,11,8,10,6,13,14,7,10,9,11,10,8,14,8,10,10,7,8,8,15,9,6,11,8,8,10,13,7,6,14,8,12,9,8,8,13,9,7,9,6,12,16,9,20,15,10,15,11,12,11,14,18,12,5,7,10,15,12,8,6,13,9,10,13,12,13,11,10,13,14,12,8,10,10,12,12,11,21,8,9,9,10,11,8,7,11,10,0,2,2,1
2,Bolívar,209933,-1.6055560000000002,-79.003056,5,2,1,4,5,5,2,1,0,1,2,2,0,2,2,2,3,6,2,1,3,5,2,1,2,2,4,1,3,2,0,3,1,2,0,2,6,4,1,2,6,0,1,5,5,2,2,6,5,0,1,5,1,3,4,1,2,2,3,3,2,4,4,5,3,2,3,1,3,2,2,2,4,3,5,6,1,2,0,0,6,1,1,3,1,4,2,1,3,2,4,4,2,1,4,1,1,2,0,1,0,0,1,2,1,3,1,2,2,3,1,3,2,3,3,3,1,2,1,1,1,0,1,1,2,5,0,3,3,3,0,1,5,4,1,4,3,5,2,2,1,0,0,6,0,3,0,3,4,2,3,4,2,3,3,3,2,4,2,1,6,1,3,1,5,2,2,0,3,1,1,2,1,2,4,4,1,1,3,5,2,1,1,3,1,2,1,7,2,3,0,1,1,3,3,4,2,2,1,1,7,4,1,2,3,2,1,0,5,0,3,1,1,2,1,6,1,5,0,3,1,3,2,1,2,1,1,2,2,5,3,1,1,3,5,1,1,1,2,2,1,2,4,2,6,3,3,1,2,0,5,1,1,6,0,4,4,3,4,3,2,2,1,0,4,4,3,3,0,1,4,1,3,0,2,3,1,1,3,2,1,2,2,3,3,0,1,5,3,1,4,2,1,4,3,2,1,1,0,3,1,2,2,2,2,2,2,7,2,2,1,3,2,3,5,0,4,3,4,2,4,3,0,3,3,0,3,3,2,0,1,3,1,1,4,1,2,2,3,2,3,3,1,1,3,3,2,0,6,1,4,1,1,2,1,1,1,2,3,1,2,1,1,0,0
4,Carchi,186869,0.81218,-77.71633,6,1,2,0,1,4,2,1,3,2,3,3,1,2,3,4,2,0,2,1,3,3,2,1,5,2,0,0,1,0,2,3,2,1,4,1,3,1,2,5,0,2,4,3,0,1,1,2,3,3,1,4,3,2,2,0,1,2,2,3,2,2,1,3,0,1,2,1,1,2,0,0,2,4,1,1,3,0,4,2,2,1,5,0,3,4,3,0,1,5,2,3,3,0,2,0,2,1,0,4,5,1,1,2,1,1,0,3,2,2,6,2,2,2,0,4,3,2,2,1,4,3,0,2,1,3,3,3,1,2,0,10,1,2,0,1,3,0,3,1,1,2,2,1,1,2,2,2,1,1,4,2,0,2,3,1,2,4,0,2,2,4,3,2,2,2,2,5,1,3,2,2,2,2,2,0,2,2,1,3,0,2,3,4,1,2,0,6,2,3,1,2,2,1,2,2,2,0,2,2,1,2,1,1,1,5,2,0,0,3,1,2,1,0,2,1,2,2,3,1,1,1,2,1,3,1,1,3,4,6,0,1,2,2,5,2,5,2,3,5,1,1,3,5,1,1,0,1,4,2,2,3,0,1,1,3,3,2,3,4,4,2,1,3,2,0,2,4,0,3,1,4,2,2,0,4,1,2,3,0,2,1,1,5,0,1,1,1,2,3,3,1,3,2,5,1,2,2,2,7,1,3,2,3,2,3,4,2,2,3,1,4,1,2,4,2,3,0,2,3,1,2,3,1,2,3,2,0,2,2,2,2,3,3,2,0,1,3,3,3,2,3,0,1,2,3,0,0,1,6,0,1,3,6,3,3,0,3,3,3,0,1,0,0,0
3,Cañar,281396,-2.733333,-78.833333,2,5,1,4,3,1,4,3,4,6,2,5,2,0,3,1,3,2,3,7,3,5,1,3,2,4,4,4,1,1,5,5,3,2,5,2,7,3,3,4,4,4,5,1,2,5,4,3,6,5,4,4,0,1,2,2,3,4,3,2,4,1,3,3,2,4,3,3,4,7,4,6,3,3,3,5,3,5,4,2,0,2,2,6,2,1,1,0,4,2,2,6,3,4,3,1,2,2,4,4,1,2,1,4,2,3,2,3,6,1,1,1,0,6,2,1,4,1,0,2,2,4,0,3,4,5,0,2,0,2,5,7,2,2,4,2,3,4,1,3,3,0,1,1,5,4,1,5,1,3,5,5,6,7,3,0,1,5,7,2,2,4,1,7,2,2,5,1,4,5,0,4,3,1,5,5,1,0,2,3,8,7,1,5,3,3,1,2,5,1,3,1,5,3,6,6,2,3,2,5,7,5,2,5,5,3,5,3,3,5,1,5,2,5,4,1,3,3,5,2,5,2,5,4,4,3,4,3,3,10,4,2,4,5,0,8,1,6,5,2,3,6,3,7,1,5,2,2,3,3,3,3,3,2,4,4,5,2,4,2,1,3,2,1,2,1,4,1,2,3,4,3,2,0,4,3,3,1,6,1,3,2,2,7,4,2,2,3,3,4,0,2,2,4,4,7,1,2,8,2,2,7,3,3,3,6,0,6,2,3,5,1,1,3,2,1,2,0,2,3,5,4,1,2,3,3,4,4,4,3,4,4,2,3,1,2,4,1,1,5,1,4,2,3,2,3,2,3,2,0,2,0,2,2,1,3,0,3,3,0,4,0,1,1,1
6,Chimborazo,524004,-1.674347,-78.648294,7,7,8,7,5,6,8,5,6,14,5,4,9,7,10,5,7,7,6,4,5,6,8,2,3,6,5,9,7,6,6,2,6,9,22,6,10,6,5,4,5,5,7,5,3,11,5,17,3,9,6,6,8,6,4,8,6,4,5,6,2,13,20,9,13,10,7,11,8,8,7,5,1,4,5,9,9,7,8,7,8,5,5,6,5,8,6,5,4,7,7,8,11,6,11,4,8,5,3,4,7,5,4,2,4,7,6,8,7,5,9,6,6,7,4,4,4,7,6,3,4,4,4,3,7,6,5,14,5,4,9,9,4,7,5,4,7,8,5,8,5,2,8,6,6,3,9,7,11,7,6,9,8,7,6,4,7,8,5,6,10,5,2,5,5,7,7,5,4,3,12,8,8,7,5,6,7,4,6,2,11,9,4,7,8,9,11,1,9,6,5,1,9,5,9,5,5,9,2,5,8,4,9,3,3,4,7,4,5,11,8,5,8,10,10,10,12,5,5,6,5,7,11,7,5,8,5,9,2,13,11,9,8,6,3,2,5,5,6,2,4,10,5,8,9,8,4,2,12,6,12,4,7,9,5,5,11,8,7,6,11,11,8,6,10,8,6,5,5,8,7,7,4,2,10,3,6,8,14,6,5,5,11,3,5,4,7,6,5,7,6,5,5,6,5,8,6,4,5,8,8,12,7,10,4,7,5,9,6,5,3,6,6,7,5,6,8,4,7,7,5,10,11,8,8,8,5,6,5,5,4,6,6,3,8,6,14,7,4,7,5,9,4,7,7,6,2,7,4,3,11,5,6,9,7,6,10,2,4,3,2,0,3,1,2
5,Cotopaxi,488716,-0.933333,-78.616667,10,5,5,5,7,7,4,5,4,6,8,3,6,4,3,2,8,4,10,6,6,6,3,2,3,10,1,8,6,4,3,5,6,6,4,3,3,6,5,10,6,1,9,5,1,4,2,5,5,7,4,5,5,3,9,2,2,3,2,4,4,7,9,5,5,5,9,8,5,6,4,6,7,4,4,7,7,3,7,3,2,5,3,4,13,4,2,7,7,5,5,5,4,4,3,5,8,4,7,5,10,6,2,3,3,3,3,4,2,8,2,3,8,3,2,5,9,7,5,12,5,7,1,7,10,8,8,1,5,6,7,4,4,4,6,7,3,6,6,6,4,4,2,6,4,5,0,3,4,4,9,6,2,2,3,6,2,5,8,8,1,6,6,0,1,4,11,6,1,5,5,3,2,8,5,5,2,4,4,7,7,10,7,5,5,7,10,3,4,5,8,7,7,6,7,6,0,4,10,8,8,7,6,7,3,7,5,5,8,7,5,3,6,3,8,6,4,3,8,6,7,3,5,9,5,6,3,3,6,6,5,5,3,5,4,8,7,10,10,3,5,5,3,7,5,10,10,4,4,7,12,3,9,4,2,4,9,2,5,2,4,8,5,7,5,8,1,6,2,11,8,7,4,5,5,8,1,2,4,3,2,2,6,6,4,3,8,7,4,6,4,7,6,2,6,2,6,1,6,4,9,3,4,10,5,1,9,6,8,6,6,4,8,6,4,4,6,7,7,6,3,4,7,4,5,4,3,6,2,7,7,5,5,4,6,5,5,6,4,2,7,6,6,8,10,6,4,5,3,10,4,4,8,1,1,6,5,6,4,5,3,3,1,1,3
7,El Oro,715751,-3.2666670000000004,-79.966667,8,7,4,13,14,11,10,5,16,5,10,6,8,8,8,10,5,12,8,9,2,7,11,6,8,8,11,11,4,8,12,12,12,15,10,4,9,5,6,4,6,10,10,10,9,10,11,9,13,4,10,5,7,6,6,13,11,7,16,11,11,13,16,10,9,11,10,4,8,9,9,13,9,4,3,8,5,9,11,9,7,8,7,12,14,4,13,10,13,11,7,12,16,9,5,8,15,11,7,6,6,5,10,10,5,8,7,4,5,7,6,4,7,7,6,5,9,9,11,7,8,5,10,9,8,1,5,5,5,3,13,9,8,9,7,8,10,10,13,9,13,8,14,10,11,11,5,7,9,5,15,4,8,6,10,4,9,7,14,9,10,6,2,4,8,4,11,6,9,8,7,7,8,7,8,7,4,10,14,6,11,4,12,9,7,9,6,5,5,4,5,5,9,10,7,6,7,12,6,15,3,5,11,7,3,11,9,14,8,7,2,6,7,7,10,7,11,12,3,5,12,5,5,5,8,10,10,13,5,5,9,12,10,6,7,7,8,10,6,7,12,15,8,11,5,5,5,17,6,4,15,16,9,14,14,9,13,6,8,10,10,10,8,8,12,8,5,6,14,9,9,7,11,10,7,3,11,9,4,6,10,9,9,8,9,7,9,5,12,9,9,7,9,3,6,7,4,13,6,4,10,13,8,8,10,7,10,13,4,10,10,9,10,9,11,8,4,5,5,8,10,14,5,9,8,10,9,8,9,6,9,11,18,10,10,9,10,8,7,6,7,6,6,4,5,9,6,14,14,10,9,13,4,3,8,4,9,13,11,7,3,0,1,3,2
8,Esmeraldas,591083,1.05,-79.2,4,5,10,6,7,6,4,7,4,5,7,5,3,12,6,2,2,3,4,6,7,6,5,1,6,9,4,4,3,1,3,3,7,5,7,6,7,5,2,2,5,9,9,9,2,3,4,3,1,1,6,5,8,7,3,0,2,8,3,3,5,6,7,11,8,3,3,5,7,4,7,3,6,2,9,7,4,2,4,3,6,5,8,4,5,4,3,8,8,7,9,2,5,9,5,4,4,4,8,6,4,6,4,5,7,2,5,5,4,9,5,8,5,6,5,6,3,4,2,3,2,3,5,6,5,5,1,4,3,2,1,7,3,9,3,4,3,4,4,4,5,4,5,4,3,5,2,5,7,4,3,5,5,6,5,4,4,4,3,3,3,9,8,4,6,6,10,7,7,7,3,5,4,5,1,2,3,6,1,4,1,4,6,8,8,5,3,5,3,5,6,4,4,7,4,7,8,2,8,3,4,2,6,8,6,5,2,8,2,3,1,2,3,5,2,4,2,6,4,6,3,5,3,5,7,0,6,6,3,7,1,4,2,0,11,6,2,5,3,6,7,1,3,8,10,4,1,13,7,4,7,3,5,4,2,2,4,5,7,5,4,1,4,3,6,3,3,3,5,4,2,6,8,9,3,3,5,4,4,8,4,8,3,4,3,4,6,5,3,5,1,3,6,3,3,6,5,4,7,7,10,10,5,1,6,6,5,4,9,4,2,3,4,10,6,5,3,3,4,3,2,1,8,5,2,6,8,1,5,5,6,3,1,4,5,5,4,7,3,6,4,5,8,9,7,8,3,5,4,5,0,5,1,1,3,5,2,4,5,1,1,1,1,2,1
20,Galápagos,33042,-0.7999999999999999,-89.4,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Guayas,4387434,-2.183333,-79.883333,54,79,53,46,55,70,61,59,66,55,90,67,60,66,52,67,56,66,54,59,91,60,72,60,56,69,67,55,73,73,68,66,64,72,85,58,65,64,68,76,68,70,60,73,64,71,64,63,71,68,54,61,53,57,52,57,60,68,41,55,64,55,54,69,52,55,57,58,74,64,57,73,61,61,73,60,61,56,87,73,65,56,61,64,54,62,61,53,70,69,55,68,61,55,52,73,59,60,54,65,55,58,72,65,74,70,63,64,62,52,66,62,73,55,63,70,45,60,69,79,67,54,49,50,71,58,51,63,46,46,56,54,47,61,55,59,53,61,56,71,51,47,64,58,52,46,54,47,66,59,53,52,49,58,53,55,63,62,62,49,51,58,52,64,51,45,72,64,48,64,56,47,45,64,46,44,60,53,66,64,52,63,63,68,53,55,54,65,63,52,49,46,48,54,58,65,42,53,55,54,53,48,58,58,48,53,48,67,60,57,51,54,49,57,54,73,57,48,52,50,55,68,57,52,60,61,52,71,67,65,54,55,58,49,44,71,61,62,60,66,40,55,50,70,39,52,73,51,60,59,56,60,67,63,53,60,56,50,64,54,50,59,65,61,64,55,48,54,46,59,46,58,51,48,64,61,46,59,55,60,44,61,41,60,69,64,45,64,41,61,59,60,51,36,63,64,57,56,47,51,50,55,56,56,51,51,71,50,61,68,46,58,52,42,51,55,37,54,52,55,70,61,72,55,56,64,59,58,55,68,50,54,63,51,65,59,53,58,49,56,53,69,43,52,50,56,76,62,63,54,58,69,48,50,62,50,62,55,51,67,59,46,52,47,17
