provincia,poblacion,lat,lng,Jan-2019,Feb-2019,Mar-2019,Apr-2019,May-2019,Jun-2019,Jul-2019,Aug-2019,Sep-2019,Oct-2019,Nov-2019,Dec-2019
Azuay,881394,-2.897414000000000,-79.00448100000000,318,288,291,283,334,308,313,326,319,286,297,279
Bolívar,209933,-1.605556000000000,-79.00305600000000,88,92,97,81,89,93,87,74,92,82,91,78
Carchi,186869,0.8121800000000000,-77.71633000000000,68,69,69,66,58,67,71,72,72,79,77,61
Cañar,281396,-2.733333000000000,-78.83333300000000,122,113,103,92,93,124,123,131,98,109,98,67
Chimborazo,524004,-1.674347000000000,-78.64829400000001,224,192,234,182,207,202,213,225,230,213,190,183
Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,191,151,199,168,170,153,214,190,202,171,180,173
El Oro,715751,-3.266667000000000,-79.96666700000000,262,253,289,248,268,236,243,258,298,246,274,232
Esmeraldas,591083,1.050000000000000,-79.20000000000000,169,143,182,167,140,156,165,149,163,177,154,131
Galápagos,33042,-0.7999999999999999,-89.40000000000001,8,4,1,3,4,2,4,3,2,3,6,5
Guayas,4387434,-2.183333000000000,-79.88333299999999,1873,1692,1846,1768,1639,1568,1628,1669,1618,1599,1603,1630
Imbabura,476257,0.3626780000000000,-78.13066700000000,217,166,164,171,213,182,162,214,179,165,168,164
Loja,521154,-3.983333000000000,-79.20000000000000,201,210,203,185,195,192,196,208,194,200,221,179
Los Ríos,921763,-1.800000000000000,-79.53333300000000,372,357,386,389,348,336,322,342,362,345,342,282
Manabí,1562079,-1.056181000000000,-80.45521700000000,651,593,641,608,501,545,566,599,600,616,612,522
Morona Santiago,196535,-2.300000000000000,-78.11666700000001,50,39,65,72,46,47,35,47,47,49,48,49
Napo,133705,-0.9890000000000000,-77.81590000000000,37,25,40,38,37,50,49,34,27,28,29,28
Orellana,161338,-0.4666670000000000,-76.96666700000000,29,47,49,45,45,37,42,36,30,39,33,30
Otro,0,0,0,6,4,5,4,5,5,4,6,6,3,10,5
Pastaza,114202,-1.066667000000000,-78.00111099999999,24,38,31,24,29,21,32,22,25,26,36,33
Pichincha,3228233,-0.2186110000000000,-78.50972200000000,1124,899,1000,930,969,986,1023,1017,1004,972,974,1047
Santa Elena,401178,-2.226700000000000,-80.85830000000000,140,120,114,117,110,106,131,136,136,79,124,101
Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,192,135,200,183,154,161,149,143,158,155,133,151
Sucumbíos,230503,0.08472200000000002,-76.88277800000000,60,60,53,68,50,62,57,50,50,58,53,54
Tungurahua,590600,-1.241667000000000,-78.61972200000000,248,205,275,241,234,217,225,263,257,238,218,207
Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,32,35,33,26,22,35,24,31,25,38,39,21
