provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Azuay,881394,Camilo Ponce Enríquez,36423,-3.050000000000000,-79.73333300000000,9,12,19,23,30,34,44,52,56,64,67,73
Azuay,881394,Chordeleg,15176,-2.933333000000000,-78.76666700000000,6,8,11,16,19,24,31,42,54,59,67,73
Azuay,881394,Cuenca,636996,-2.897414000000000,-79.00448100000000,277,517,784,1081,1377,1673,2063,2570,2972,3329,3674,3997
Azuay,881394,El Pan,3091,-2.786111000000000,-78.66500000000001,5,5,6,7,8,9,10,12,14,17,18,18
Azuay,881394,Girón,13037,-3.159028000000000,-79.14756800000001,5,12,21,27,32,41,46,56,70,81,88,102
Azuay,881394,Guachapala,3859,-2.769000000000000,-78.70900000000000,1,4,4,5,6,7,7,9,10,13,15,16
Azuay,881394,Gualaceo,49104,-2.900000000000000,-78.78333300000000,19,36,54,71,87,111,139,173,214,250,264,286
Azuay,881394,Nabón,17292,-3.336060000000000,-79.06368000000001,6,11,18,24,30,36,39,47,60,69,74,77
Azuay,881394,Oña,4128,-3.469640000000000,-79.15431000000000,2,7,10,12,16,16,18,22,28,31,32,35
Azuay,881394,Paute,29214,-2.781800000000000,-78.76000000000001,8,20,37,42,52,56,64,79,89,104,118,131
Azuay,881394,Pucará,10584,-3.233780000000000,-79.46120000000001,4,5,9,10,17,19,22,24,30,32,40,43
Azuay,881394,San Fernando,4156,-3.144500000000000,-79.25200000000000,1,2,4,8,10,10,12,19,22,23,24,27
Azuay,881394,Santa Isabel,20935,-3.274170000000000,-79.31560000000000,7,18,21,26,32,48,59,71,81,92,99,109
Azuay,881394,Sevilla de Oro,6890,-2.799833000000000,-78.65569400000000,2,4,5,8,10,11,16,18,22,24,26,27
Azuay,881394,Sígsig,30509,-3.089700000000000,-78.80320000000000,12,28,46,54,65,80,93,110,121,140,152,163
Bolívar,209933,Caluma,16429,-1.633330000000000,-79.25000000000000,5,9,13,25,33,40,51,59,66,73,79,89
Bolívar,209933,Chillanes,16850,-1.933333000000000,-79.06666700000000,7,19,26,34,41,50,57,66,75,78,82,93
