inec_provincia_id,provincia,poblacion,lat,lng,01/01/2020,02/01/2020,03/01/2020,04/01/2020,05/01/2020,06/01/2020,07/01/2020,08/01/2020,09/01/2020,10/01/2020,11/01/2020,12/01/2020,13/01/2020,14/01/2020,15/01/2020,16/01/2020,17/01/2020,18/01/2020,19/01/2020,20/01/2020,21/01/2020,22/01/2020,23/01/2020,24/01/2020,25/01/2020,26/01/2020,27/01/2020,28/01/2020,29/01/2020,30/01/2020,31/01/2020,01/02/2020,02/02/2020,03/02/2020,04/02/2020,05/02/2020,06/02/2020,07/02/2020,08/02/2020,09/02/2020,10/02/2020,11/02/2020,12/02/2020,13/02/2020,14/02/2020,15/02/2020,16/02/2020,17/02/2020,18/02/2020,19/02/2020,20/02/2020,21/02/2020,22/02/2020,23/02/2020,24/02/2020,25/02/2020,26/02/2020,27/02/2020,28/02/2020,29/02/2020,01/03/2020,02/03/2020,03/03/2020,04/03/2020,05/03/2020,06/03/2020,07/03/2020,08/03/2020,09/03/2020,10/03/2020,11/03/2020,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,03/05/2020,04/05/2020,05/05/2020,06/05/2020,07/05/2020,08/05/2020,09/05/2020,10/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,16/05/2020,17/05/2020,18/05/2020,19/05/2020,20/05/2020,21/05/2020,22/05/2020,23/05/2020,24/05/2020,25/05/2020,26/05/2020,27/05/2020,28/05/2020,29/05/2020,30/05/2020,31/05/2020,01/06/2020,02/06/2020,03/06/2020,04/06/2020,05/06/2020,06/06/2020,07/06/2020,08/06/2020,09/06/2020,10/06/2020,11/06/2020,12/06/2020,13/06/2020,14/06/2020,15/06/2020,16/06/2020,17/06/2020,18/06/2020,19/06/2020,20/06/2020,21/06/2020,22/06/2020,23/06/2020,24/06/2020,25/06/2020,26/06/2020,27/06/2020,28/06/2020,29/06/2020,30/06/2020,01/07/2020,02/07/2020,03/07/2020,04/07/2020,05/07/2020,06/07/2020,07/07/2020,08/07/2020,09/07/2020,10/07/2020,11/07/2020,12/07/2020,13/07/2020,14/07/2020,15/07/2020,16/07/2020,17/07/2020,18/07/2020,19/07/2020,20/07/2020,21/07/2020,22/07/2020,23/07/2020,24/07/2020,25/07/2020,26/07/2020,27/07/2020,28/07/2020,29/07/2020,30/07/2020,31/07/2020,01/08/2020,02/08/2020,03/08/2020,04/08/2020,05/08/2020,06/08/2020,07/08/2020,08/08/2020,09/08/2020,10/08/2020,11/08/2020,12/08/2020,13/08/2020,14/08/2020,15/08/2020,16/08/2020,17/08/2020,18/08/2020,19/08/2020,20/08/2020,21/08/2020,22/08/2020,23/08/2020,24/08/2020,25/08/2020,26/08/2020,27/08/2020,28/08/2020,29/08/2020,30/08/2020,31/08/2020,01/09/2020,02/09/2020,03/09/2020,04/09/2020,05/09/2020,06/09/2020,07/09/2020,08/09/2020,09/09/2020,10/09/2020,11/09/2020,12/09/2020,13/09/2020,14/09/2020,15/09/2020,16/09/2020,17/09/2020,18/09/2020,19/09/2020,20/09/2020,21/09/2020,22/09/2020,23/09/2020,24/09/2020,25/09/2020,26/09/2020,27/09/2020,28/09/2020,29/09/2020,30/09/2020,01/10/2020,02/10/2020,03/10/2020,04/10/2020,05/10/2020,06/10/2020,07/10/2020,08/10/2020,09/10/2020,10/10/2020,11/10/2020,12/10/2020,13/10/2020,14/10/2020,15/10/2020,16/10/2020,17/10/2020,18/10/2020,19/10/2020,20/10/2020,21/10/2020,22/10/2020,23/10/2020,24/10/2020,25/10/2020,26/10/2020,27/10/2020,28/10/2020,29/10/2020,30/10/2020,31/10/2020,01/11/2020,02/11/2020,03/11/2020,04/11/2020,05/11/2020,06/11/2020,07/11/2020,08/11/2020,09/11/2020,10/11/2020,11/11/2020,12/11/2020,13/11/2020,14/11/2020,15/11/2020,16/11/2020,17/11/2020,18/11/2020,19/11/2020,20/11/2020,21/11/2020,22/11/2020,23/11/2020,24/11/2020,25/11/2020,26/11/2020,27/11/2020,28/11/2020,29/11/2020,30/11/2020,01/12/2020,02/12/2020,03/12/2020,04/12/2020,05/12/2020,06/12/2020,07/12/2020,08/12/2020,09/12/2020,10/12/2020,11/12/2020,12/12/2020,13/12/2020,14/12/2020,15/12/2020,16/12/2020,17/12/2020,18/12/2020,19/12/2020,20/12/2020,21/12/2020,22/12/2020,23/12/2020,24/12/2020,25/12/2020,26/12/2020,27/12/2020,28/12/2020,29/12/2020,30/12/2020,31/12/2020
01,Azuay,881394,-2.897414000000000,-79.00448100000000,21,16,14,13,16,13,13,12,15,10,9,10,5,14,9,11,14,11,8,8,9,17,7,12,5,12,10,9,16,11,14,10,6,17,9,9,5,7,10,12,4,14,8,12,7,11,10,15,7,22,22,13,11,14,19,12,6,11,12,8,9,6,19,10,16,8,11,6,10,16,12,14,15,12,9,9,18,10,14,14,8,10,6,12,8,12,12,8,13,12,16,19,5,8,12,23,10,15,19,11,13,11,12,13,11,9,15,8,14,13,14,14,9,10,10,9,11,8,9,8,15,12,9,13,17,10,15,11,15,15,8,13,13,9,9,9,11,9,10,11,12,9,13,16,9,8,13,15,14,8,15,22,8,13,13,20,10,17,12,12,10,9,12,8,7,11,16,11,21,13,13,12,9,10,13,13,18,14,14,15,12,15,18,13,17,11,14,15,13,16,15,15,9,7,18,10,22,12,14,19,21,23,17,11,13,18,16,20,10,18,18,19,26,17,17,19,19,22,21,23,18,16,26,20,25,25,18,14,17,13,25,22,20,23,18,17,21,19,21,33,21,19,14,33,20,19,28,15,35,16,15,27,15,25,9,16,20,15,18,14,17,17,20,20,11,23,14,12,21,21,10,13,15,18,18,20,18,20,17,12,17,19,19,20,19,9,15,10,15,20,14,18,13,15,8,14,18,21,16,11,15,12,18,7,14,13,10,17,20,18,11,10,15,13,14,14,7,17,24,12,15,17,19,9,17,18,15,17,15,12,12,9,5,17,16,17,14,13,16,12,11,19,11,11,7,13,14,8,12,14,11,17,15,13,17,11,17,18,12,14,16,12,17,8,14,9
02,Bolívar,209933,-1.605556000000000,-79.00305600000000,2,2,3,2,1,1,2,2,2,3,2,2,5,1,0,1,3,2,6,5,2,0,1,0,3,2,1,1,1,2,3,3,5,3,3,3,3,5,2,1,3,2,3,2,4,2,5,2,0,2,1,2,4,4,4,5,2,3,5,2,4,3,1,4,2,0,2,1,1,1,1,0,1,1,1,3,2,4,3,0,2,5,2,5,2,3,1,5,3,4,0,3,3,6,4,10,6,5,4,3,6,7,1,3,6,4,4,4,1,2,3,2,2,2,4,5,4,5,4,4,4,4,2,0,4,3,3,5,1,5,4,7,2,3,3,3,4,5,4,8,0,3,0,5,1,3,2,5,3,3,4,4,3,4,1,6,5,0,5,7,4,4,3,9,5,5,0,3,3,3,6,3,3,1,2,5,2,2,2,2,3,1,4,5,2,3,2,3,6,4,4,3,3,3,2,5,1,5,5,4,2,4,7,7,3,4,2,7,3,3,4,5,3,2,7,10,3,7,3,6,9,2,1,1,3,4,3,4,3,3,4,3,4,4,2,5,3,4,2,1,2,4,2,3,2,3,3,6,2,0,4,3,2,4,2,5,2,3,2,6,3,1,2,2,1,2,3,1,1,3,4,3,3,2,3,1,2,4,2,5,2,2,4,2,1,3,1,2,0,3,3,2,3,3,5,3,1,3,2,2,0,3,2,1,3,3,2,5,2,2,1,5,4,2,0,4,0,1,4,4,3,4,4,2,1,3,4,4,2,2,2,1,2,2,3,4,3,2,4,4,3,5,3,8,0,1,1,6,4,5,3,0,1,2,3,2,3,7,2,3,7,3,3,4,2,5
04,Carchi,186869,0.8121800000000000,-77.71633000000000,1,2,2,1,0,2,0,3,1,1,4,2,2,1,5,4,3,3,2,1,4,2,2,1,0,0,0,4,1,1,2,1,1,2,3,2,3,2,1,1,2,4,5,4,2,3,2,1,2,2,2,1,0,1,1,4,0,0,3,2,2,4,2,2,5,2,0,4,3,1,3,2,0,3,3,1,2,4,0,1,0,1,4,1,0,1,2,0,0,1,4,3,1,3,1,3,4,2,3,1,1,2,0,2,1,4,3,0,3,1,1,5,3,2,0,1,1,2,1,1,1,1,2,3,0,0,1,3,4,0,0,3,5,6,2,1,0,6,2,1,2,2,2,6,1,5,1,5,3,0,1,1,1,0,4,3,1,2,3,2,5,3,0,6,3,5,4,2,4,2,1,2,1,4,2,5,0,2,2,1,2,2,4,3,0,4,2,5,4,2,7,3,1,1,4,2,4,4,3,4,5,2,4,7,5,4,5,3,6,3,2,1,5,5,4,3,4,5,6,5,3,4,2,4,4,5,9,6,3,6,5,7,3,3,6,2,6,4,1,4,8,4,2,5,5,5,3,3,4,5,3,3,5,6,5,5,4,8,8,2,5,5,2,5,2,1,1,1,2,4,2,5,5,1,4,0,0,3,6,3,0,4,6,3,5,2,2,1,3,1,0,4,1,2,4,1,5,1,2,4,1,2,4,1,1,2,3,3,4,3,0,1,0,1,4,3,2,1,3,3,1,2,1,2,3,2,2,1,1,3,4,1,1,2,4,5,2,5,0,0,4,2,1,4,4,2,3,4,1,4,3,2,5,4,7,4,1,3,3,2,7,3,3,4,2,3
03,Cañar,281396,-2.733333000000000,-78.83333300000000,8,3,5,6,4,2,6,5,5,3,3,3,7,4,2,0,3,0,2,2,3,1,3,3,3,2,1,5,5,5,4,1,2,5,0,2,2,2,2,1,3,4,3,2,0,2,3,1,1,5,4,2,7,3,7,1,1,2,2,7,3,3,1,0,1,2,3,3,1,2,2,2,2,2,5,4,1,2,3,0,8,2,7,6,6,3,7,4,6,5,5,6,5,6,8,8,10,8,3,6,10,11,7,10,6,5,2,8,5,5,7,10,6,3,3,2,6,4,5,1,1,2,5,0,3,4,7,4,1,5,4,5,5,5,3,2,1,2,2,6,1,3,1,3,4,5,5,1,3,2,3,3,4,5,2,2,2,1,4,4,5,3,2,4,3,1,1,4,3,1,3,6,5,4,4,2,4,2,4,5,4,2,5,3,4,3,4,4,7,1,10,4,8,6,4,7,4,4,6,6,7,6,2,5,6,6,5,3,7,5,4,6,4,6,1,6,4,10,3,8,2,10,8,7,4,8,6,3,15,10,2,6,6,3,5,7,3,10,4,6,6,2,4,3,3,3,6,7,3,7,5,2,7,7,9,2,3,2,3,6,3,5,4,4,10,6,4,5,4,5,2,2,3,6,6,3,8,6,4,3,5,6,6,3,7,4,7,4,2,2,7,7,1,4,1,4,3,9,9,3,5,3,5,9,4,4,2,7,7,3,2,7,3,2,2,0,4,4,2,3,4,2,7,5,4,4,3,6,4,5,6,1,4,2,2,2,4,6,2,3,7,3,3,7,7,2,3,4,3,3,1,4,4,5,5,4,3,2,3,4,3,5,4,4,4,5
06,Chimborazo,524004,-1.674347000000000,-78.64829400000001,7,5,8,10,9,6,5,8,10,11,8,8,6,6,8,6,3,5,11,9,12,3,2,7,7,9,6,4,2,11,6,3,7,9,7,8,5,7,7,7,6,6,2,7,4,7,8,4,5,4,7,7,9,9,8,5,5,8,11,6,5,5,5,14,7,8,10,6,7,8,13,6,6,4,12,4,1,8,7,6,4,4,6,6,6,5,9,10,13,14,10,5,18,10,12,19,15,17,18,13,17,8,12,6,7,13,13,14,10,8,9,14,11,10,14,14,9,11,14,17,8,7,12,9,11,10,11,12,15,3,7,9,12,10,6,10,11,13,13,8,9,8,4,3,17,11,9,10,11,13,13,2,11,14,13,11,7,6,12,8,10,11,8,15,14,11,13,7,7,5,16,10,11,16,9,14,9,6,7,8,14,14,11,3,10,12,14,17,16,11,9,15,19,17,14,21,17,19,16,10,23,23,7,22,13,9,12,17,13,13,15,16,16,19,14,14,11,18,15,10,7,15,14,9,7,13,11,12,10,16,9,18,11,7,10,12,7,7,9,13,15,11,10,11,10,8,5,7,9,12,10,7,7,15,6,12,14,11,4,9,10,10,11,3,7,13,5,13,7,4,9,11,10,8,3,4,4,11,8,13,12,9,8,4,8,5,5,4,11,5,8,11,7,7,7,10,5,9,9,8,7,10,5,6,12,10,4,4,10,5,5,7,7,4,8,11,10,12,10,9,7,12,9,3,8,4,7,10,6,9,8,9,5,11,8,8,10,5,5,13,9,7,6,4,10,5,6,5,3,13,7,9,3,7,12,7,4,4,7,11,9,5,12,11,8,5
05,Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,6,2,2,2,6,6,6,4,4,1,5,3,1,8,7,3,7,5,10,4,2,2,5,7,4,3,3,9,2,8,1,7,4,7,4,8,8,8,7,2,5,3,3,6,6,8,6,2,6,4,6,4,1,7,3,10,8,5,5,5,12,3,8,3,2,6,6,6,6,7,6,7,5,5,10,2,7,5,3,4,9,2,3,4,3,5,6,5,6,3,5,3,11,3,4,6,4,4,2,9,10,7,4,7,5,4,6,7,7,8,5,6,9,2,5,4,6,5,12,6,11,8,6,10,4,3,5,8,10,4,7,1,9,6,4,6,7,7,8,4,8,5,7,11,4,6,11,8,2,8,9,4,10,8,6,9,7,13,9,19,13,13,8,10,11,12,10,9,8,11,7,16,7,6,5,12,13,6,11,11,13,6,9,11,10,10,14,8,6,7,8,12,13,17,6,11,7,8,7,12,12,7,14,4,14,12,14,7,11,13,4,11,7,9,9,9,7,7,4,6,7,4,14,14,10,7,10,10,8,14,7,10,5,6,10,6,6,8,3,14,8,5,10,7,10,8,10,12,8,10,4,5,5,5,9,7,5,6,8,9,8,7,9,9,9,10,6,5,7,10,2,3,5,8,7,6,11,9,6,8,6,5,6,3,7,7,7,6,4,9,5,5,6,6,6,7,6,4,4,7,5,4,5,7,9,9,6,6,6,9,7,9,8,5,6,6,7,5,10,6,5,4,6,8,12,7,6,7,6,17,4,2,9,7,5,12,12,5,5,6,9,7,5,8,4,3,8,6,9,11,10,5,9,6,5,11,7,5,6,4,4,9,12,5,8,7
07,El Oro,715751,-3.266667000000000,-79.96666700000000,10,5,12,9,12,10,11,8,8,10,12,15,10,5,8,13,9,10,8,13,12,3,11,10,12,10,10,11,4,12,10,4,5,4,6,3,15,11,13,10,6,11,3,10,12,5,7,5,4,8,11,8,9,4,8,13,7,10,4,12,11,13,10,6,9,12,6,9,4,14,5,16,11,7,13,5,8,11,10,9,6,6,9,13,8,15,11,12,17,18,18,19,22,28,26,19,20,25,15,24,27,25,13,26,22,24,24,21,18,27,21,26,24,20,24,36,34,24,35,18,27,27,24,17,30,34,32,28,30,25,18,24,22,31,23,30,29,22,18,16,19,17,13,23,23,19,22,25,19,23,18,16,25,16,17,16,15,17,19,20,20,19,15,18,12,13,18,20,18,12,22,17,11,12,12,15,14,7,15,14,8,14,14,16,14,14,12,7,8,13,16,13,8,12,15,15,10,16,18,12,16,19,17,18,15,20,13,12,19,12,14,13,13,19,11,12,13,16,22,14,20,15,11,8,12,17,11,16,6,6,7,13,14,21,12,14,12,11,16,12,11,6,7,13,15,10,19,17,10,16,14,7,13,19,11,20,17,13,19,20,18,13,9,17,15,13,14,10,14,12,15,16,12,9,10,10,10,13,10,9,13,17,19,12,11,8,12,8,12,7,7,13,16,11,8,12,12,6,9,7,12,9,12,10,6,9,12,9,16,10,3,14,10,12,16,12,9,12,10,11,14,12,14,8,10,12,14,11,13,8,7,9,8,7,4,13,13,10,7,9,14,9,5,11,9,8,8,14,11,9,6,11,13,13,11,10,12,10,5,12,10,8,6,13,14,9
08,Esmeraldas,591083,1.050000000000000,-79.20000000000000,12,6,6,0,6,4,7,5,2,2,7,7,3,2,3,4,8,1,3,8,0,3,5,5,3,1,5,3,4,5,4,2,8,12,4,3,6,9,5,4,6,2,6,6,7,9,3,10,6,3,4,5,7,6,4,6,4,4,1,3,4,5,4,4,5,2,4,1,7,3,5,8,7,6,2,1,2,3,5,4,7,6,3,2,2,2,2,5,4,7,1,11,4,7,3,8,4,9,8,6,6,6,4,5,7,5,11,2,6,5,12,13,10,6,4,10,8,13,9,6,11,7,8,7,10,16,11,11,7,14,7,9,11,9,13,11,10,10,13,13,7,8,12,8,13,16,6,12,11,13,12,10,13,14,13,13,11,8,10,6,9,10,11,11,17,11,9,9,6,8,15,6,4,9,10,6,11,11,5,11,10,5,11,9,6,9,9,8,4,4,9,5,8,5,11,7,12,9,6,4,8,8,9,10,9,5,13,5,4,6,7,6,6,9,10,6,6,5,6,7,8,2,6,7,3,4,4,4,4,3,5,8,2,6,3,5,4,8,7,5,7,4,5,5,4,7,1,3,7,5,6,4,4,4,5,6,8,3,5,8,9,4,5,6,2,6,5,2,3,3,3,7,6,4,6,1,2,5,2,5,10,1,4,5,7,3,2,10,3,4,4,3,6,6,4,4,5,1,6,3,4,7,8,4,4,4,2,5,4,4,7,2,2,7,2,4,5,7,4,8,4,4,9,3,4,3,7,7,2,1,3,1,4,6,6,6,0,3,5,6,8,2,3,2,3,3,2,5,4,8,5,6,5,8,3,4,4,8,4,3,5,6,6,8,3,1
20,Galápagos,33042,-0.8000000000000000,-89.40000000000001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09,Guayas,4387434,-2.183333000000000,-79.88333299999999,78,80,73,59,70,69,63,73,67,60,54,63,87,60,47,54,65,58,87,77,58,56,60,47,77,62,58,52,51,52,48,52,54,52,64,41,64,47,63,66,63,62,70,55,67,51,68,48,60,71,52,52,71,55,58,51,78,61,51,75,61,61,67,73,66,74,61,54,68,62,51,63,70,62,63,55,55,78,65,109,103,125,149,219,273,346,428,539,575,657,693,813,774,803,855,755,679,690,645,615,565,532,497,462,401,366,311,299,243,274,266,215,208,188,172,185,164,168,143,142,129,123,119,117,127,101,113,100,100,101,98,106,93,85,60,76,77,73,75,76,73,67,89,56,57,73,76,55,81,70,68,61,72,57,58,66,62,64,78,69,57,76,56,62,56,53,60,59,63,52,60,70,65,60,71,60,51,57,69,60,48,54,68,82,66,63,70,51,63,67,71,63,67,68,60,65,62,48,58,75,71,54,67,70,64,78,83,49,76,59,73,73,63,80,74,82,69,51,49,73,76,67,58,67,66,67,71,64,61,70,68,62,78,71,66,74,52,67,69,61,71,66,58,63,64,60,76,64,62,69,58,73,62,61,49,60,56,49,53,65,70,69,54,57,65,74,52,66,64,62,66,66,59,60,60,55,63,77,64,76,75,61,70,48,91,80,79,61,66,73,61,62,74,72,68,71,51,58,77,68,60,54,74,61,81,73,60,72,61,71,54,68,75,63,66,66,69,80,65,55,75,67,72,81,59,72,79,68,69,85,65,82,91,75,71,66,72,70,58,62,54,70,62,65,72,76,53,73,64,67,74,51,74,66,79,76,64,77,80,61,62,74,83,68,69,54
