provincia,poblacion,lat,lng,01/01/2020,02/01/2020,03/01/2020,04/01/2020,05/01/2020,06/01/2020,07/01/2020,08/01/2020,09/01/2020,10/01/2020,11/01/2020,12/01/2020,13/01/2020,14/01/2020,15/01/2020,16/01/2020,17/01/2020,18/01/2020,19/01/2020,20/01/2020,21/01/2020,22/01/2020,23/01/2020,24/01/2020,25/01/2020,26/01/2020,27/01/2020,28/01/2020,29/01/2020,30/01/2020,31/01/2020,01/02/2020,02/02/2020,03/02/2020,04/02/2020,05/02/2020,06/02/2020,07/02/2020,08/02/2020,09/02/2020,10/02/2020,11/02/2020,12/02/2020,13/02/2020,14/02/2020,15/02/2020,16/02/2020,17/02/2020,18/02/2020,19/02/2020,20/02/2020,21/02/2020,22/02/2020,23/02/2020,24/02/2020,25/02/2020,26/02/2020,27/02/2020,28/02/2020,29/02/2020,01/03/2020,02/03/2020,03/03/2020,04/03/2020,05/03/2020,06/03/2020,07/03/2020,08/03/2020,09/03/2020,10/03/2020,11/03/2020,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,03/05/2020,04/05/2020,05/05/2020,06/05/2020,07/05/2020,08/05/2020,09/05/2020,10/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,16/05/2020,17/05/2020,18/05/2020,19/05/2020,20/05/2020,21/05/2020,22/05/2020,23/05/2020,24/05/2020,25/05/2020,26/05/2020,27/05/2020,28/05/2020,29/05/2020,30/05/2020,31/05/2020,01/06/2020,02/06/2020,03/06/2020,04/06/2020,05/06/2020,06/06/2020,07/06/2020,08/06/2020,09/06/2020,10/06/2020,11/06/2020,12/06/2020,13/06/2020,14/06/2020,15/06/2020,16/06/2020,17/06/2020,18/06/2020,19/06/2020,20/06/2020,21/06/2020,22/06/2020,23/06/2020,24/06/2020,25/06/2020,26/06/2020,27/06/2020,28/06/2020,29/06/2020,30/06/2020,01/07/2020,02/07/2020,03/07/2020,04/07/2020,05/07/2020,06/07/2020,07/07/2020,08/07/2020,09/07/2020,10/07/2020,11/07/2020,12/07/2020,13/07/2020,14/07/2020,15/07/2020,16/07/2020,17/07/2020,18/07/2020,19/07/2020,20/07/2020,21/07/2020,22/07/2020,23/07/2020,24/07/2020,25/07/2020,26/07/2020,27/07/2020,28/07/2020,29/07/2020,30/07/2020,31/07/2020,01/08/2020,02/08/2020,03/08/2020,04/08/2020,05/08/2020,06/08/2020,07/08/2020,08/08/2020,09/08/2020,10/08/2020,11/08/2020,12/08/2020,13/08/2020,14/08/2020,15/08/2020,16/08/2020,17/08/2020,18/08/2020,19/08/2020,20/08/2020,21/08/2020,22/08/2020,23/08/2020,24/08/2020,25/08/2020,26/08/2020,27/08/2020,28/08/2020,29/08/2020,30/08/2020,31/08/2020,01/09/2020,02/09/2020,03/09/2020,04/09/2020,05/09/2020,06/09/2020,07/09/2020,08/09/2020,09/09/2020,10/09/2020,11/09/2020,12/09/2020,13/09/2020,14/09/2020,15/09/2020,16/09/2020,17/09/2020,18/09/2020,19/09/2020,20/09/2020,21/09/2020,22/09/2020,23/09/2020,24/09/2020,25/09/2020,26/09/2020,27/09/2020,28/09/2020,29/09/2020,30/09/2020,01/10/2020,02/10/2020,03/10/2020,04/10/2020,05/10/2020,06/10/2020,07/10/2020,08/10/2020,09/10/2020,10/10/2020,11/10/2020,12/10/2020,13/10/2020,14/10/2020,15/10/2020,16/10/2020,17/10/2020,18/10/2020,19/10/2020,20/10/2020,21/10/2020,22/10/2020,23/10/2020,24/10/2020,25/10/2020,26/10/2020,27/10/2020,28/10/2020,29/10/2020,30/10/2020,31/10/2020,01/11/2020,02/11/2020,03/11/2020,04/11/2020,05/11/2020,06/11/2020,07/11/2020,08/11/2020,09/11/2020,10/11/2020,11/11/2020,12/11/2020,13/11/2020,14/11/2020,15/11/2020,16/11/2020,17/11/2020,18/11/2020,19/11/2020,20/11/2020,21/11/2020,22/11/2020,23/11/2020,24/11/2020,25/11/2020,26/11/2020,27/11/2020,28/11/2020,29/11/2020,30/11/2020,01/12/2020,02/12/2020,03/12/2020,04/12/2020,05/12/2020,06/12/2020,07/12/2020,08/12/2020,09/12/2020,10/12/2020,11/12/2020,12/12/2020,13/12/2020,14/12/2020,15/12/2020,16/12/2020,17/12/2020,18/12/2020,19/12/2020,20/12/2020,21/12/2020,22/12/2020,23/12/2020,24/12/2020,25/12/2020,26/12/2020,27/12/2020,28/12/2020,29/12/2020,30/12/2020,31/12/2020
Azuay,881394,-2.897414000000000,-79.00448100000000,21,37,51,64,80,93,106,118,133,143,152,162,167,181,190,201,215,226,234,242,251,268,275,287,292,304,314,323,339,350,364,374,380,397,406,415,420,427,437,449,453,467,475,487,494,505,515,530,537,559,581,594,605,619,638,650,656,667,679,687,696,702,721,731,747,755,766,772,782,798,810,824,839,851,860,869,887,897,911,925,933,943,949,961,969,981,993,1001,1014,1026,1041,1060,1065,1073,1085,1108,1118,1133,1152,1163,1176,1187,1199,1212,1223,1232,1247,1255,1269,1282,1296,1310,1319,1329,1339,1348,1359,1367,1376,1384,1399,1411,1420,1433,1450,1460,1475,1486,1501,1516,1524,1537,1550,1559,1568,1577,1588,1596,1606,1617,1629,1638,1651,1667,1676,1684,1697,1712,1726,1734,1749,1771,1779,1792,1805,1825,1835,1852,1864,1876,1886,1895,1907,1915,1922,1933,1949,1960,1981,1994,2007,2019,2028,2038,2051,2064,2082,2096,2110,2125,2137,2152,2170,2183,2200,2211,2225,2240,2253,2269,2284,2299,2308,2315,2333,2342,2364,2376,2390,2409,2430,2453,2470,2481,2494,2512,2528,2548,2558,2576,2594,2613,2639,2656,2673,2692,2711,2733,2754,2777,2795,2811,2837,2857,2882,2907,2925,2939,2956,2969,2994,3016,3036,3059,3077,3094,3115,3134,3155,3188,3209,3228,3242,3275,3295,3314,3342,3357,3392,3408,3423,3450,3465,3490,3499,3515,3535,3550,3568,3582,3599,3616,3636,3656,3667,3690,3704,3716,3737,3758,3767,3780,3795,3813,3831,3851,3868,3888,3905,3917,3934,3953,3972,3992,4011,4020,4035,4045,4060,4080,4094,4112,4125,4140,4148,4162,4180,4201,4217,4228,4243,4255,4273,4280,4294,4307,4317,4334,4354,4372,4383,4393,4408,4421,4435,4449,4456,4473,4497,4509,4524,4541,4559,4568,4585,4603,4618,4635,4650,4662,4674,4683,4688,4705,4721,4738,4752,4764,4780,4792,4803,4822,4833,4844,4851,4864,4878,4886,4898,4912,4923,4940,4955,4967,4984,4995,5012,5028,5040,5053,5069,5081,5098,5106,5120,5129
Bolívar,209933,-1.605556000000000,-79.00305600000000,2,4,7,9,10,11,13,15,17,20,22,24,29,30,30,31,34,36,42,47,49,49,50,50,53,55,56,57,58,60,63,66,71,74,77,80,83,88,90,91,94,96,99,101,105,107,112,114,114,116,117,119,123,127,131,136,138,141,146,148,152,155,156,160,162,162,164,165,166,167,168,168,169,170,171,174,176,180,183,183,185,190,192,197,199,202,203,208,211,215,215,218,221,227,231,241,247,252,256,259,265,272,273,276,282,286,290,294,295,297,300,302,304,306,310,315,319,324,328,332,336,340,342,342,346,349,352,357,358,363,367,374,376,379,382,385,389,394,398,406,406,409,409,414,415,418,420,425,428,431,435,439,442,446,447,453,458,458,463,470,474,478,481,490,495,500,500,503,506,509,515,518,521,522,524,529,531,533,535,537,540,541,545,550,552,555,557,560,566,570,574,577,579,582,584,589,590,595,600,604,606,610,617,624,627,631,633,640,643,646,650,655,658,660,667,677,680,687,690,696,705,707,708,709,712,716,719,723,726,729,733,736,740,744,746,751,754,758,760,761,763,767,769,772,774,777,780,786,788,788,792,795,797,801,803,808,810,813,815,821,824,825,827,829,830,832,835,836,837,840,844,847,850,852,855,856,858,862,864,869,871,873,877,879,880,883,884,886,886,889,892,894,897,900,905,908,909,912,914,916,916,919,921,922,925,928,930,935,937,939,940,945,949,951,951,955,955,956,960,964,967,971,975,977,978,981,985,989,991,993,995,996,998,1000,1003,1007,1010,1012,1016,1020,1023,1028,1031,1039,1039,1040,1041,1047,1051,1056,1059,1059,1060,1062,1065,1067,1070,1077,1079,1082,1089,1092,1095,1099,1101,1106
Carchi,186869,0.8121800000000000,-77.71633000000000,1,3,5,6,6,8,8,11,12,13,17,19,21,22,27,31,34,37,39,40,44,46,48,49,49,49,49,53,54,55,57,58,59,61,64,66,69,71,72,73,75,79,84,88,90,93,95,96,98,100,102,103,103,104,105,109,109,109,112,114,116,120,122,124,129,131,131,135,138,139,142,144,144,147,150,151,153,157,157,158,158,159,163,164,164,165,167,167,167,168,172,175,176,179,180,183,187,189,192,193,194,196,196,198,199,203,206,206,209,210,211,216,219,221,221,222,223,225,226,227,228,229,231,234,234,234,235,238,242,242,242,245,250,256,258,259,259,265,267,268,270,272,274,280,281,286,287,292,295,295,296,297,298,298,302,305,306,308,311,313,318,321,321,327,330,335,339,341,345,347,348,350,351,355,357,362,362,364,366,367,369,371,375,378,378,382,384,389,393,395,402,405,406,407,411,413,417,421,424,428,433,435,439,446,451,455,460,463,469,472,474,475,480,485,489,492,496,501,507,512,515,519,521,525,529,534,543,549,552,558,563,570,573,576,582,584,590,594,594,598,606,610,612,617,622,627,630,633,637,642,645,648,653,659,664,669,673,681,689,691,696,701,703,708,710,711,712,713,715,719,721,726,731,732,736,736,736,739,745,748,748,752,758,761,766,768,770,771,774,775,775,779,780,782,786,787,792,793,795,799,800,802,806,807,808,810,813,816,820,823,823,824,824,825,829,832,834,835,838,841,842,844,845,847,850,852,854,855,856,859,863,864,865,867,871,876,878,883,883,883,887,889,890,894,898,900,903,907,908,912,915,917,922,926,933,937,938,941,944,946,953,956,959,963,965,968
Cañar,281396,-2.733333000000000,-78.83333300000000,8,11,16,22,26,28,34,39,44,47,50,53,60,64,66,66,69,69,71,73,76,77,80,83,86,88,89,94,99,104,108,109,111,116,116,118,120,122,124,124,127,131,134,136,136,138,141,142,143,148,152,154,161,164,171,172,173,175,177,184,187,190,191,191,192,194,197,200,201,203,205,207,209,211,216,220,221,223,226,226,234,236,243,249,255,258,265,269,275,280,285,291,296,301,309,317,327,335,338,343,353,364,371,381,387,392,394,402,407,412,419,429,435,438,441,443,449,453,458,459,460,462,466,466,469,473,480,484,485,490,494,499,504,509,512,514,515,517,519,525,526,529,530,533,537,542,547,548,551,553,556,559,563,568,570,572,574,575,579,583,588,591,593,597,600,601,602,606,609,610,613,619,624,628,632,634,638,640,644,649,653,655,660,663,667,670,674,678,685,686,696,700,708,714,718,725,729,733,739,745,752,758,760,765,771,777,782,785,792,797,801,807,811,817,818,824,827,837,840,848,850,860,868,875,879,887,893,896,911,921,923,929,935,938,943,950,953,963,967,973,979,981,985,988,991,994,1000,1007,1010,1017,1022,1024,1031,1038,1047,1049,1052,1054,1057,1063,1066,1071,1075,1079,1089,1095,1099,1104,1108,1113,1115,1117,1120,1126,1132,1135,1143,1149,1153,1156,1161,1167,1173,1176,1183,1187,1194,1198,1200,1202,1209,1216,1217,1221,1222,1226,1229,1238,1247,1250,1255,1258,1263,1272,1276,1280,1282,1289,1296,1299,1301,1308,1311,1313,1315,1315,1319,1323,1325,1328,1332,1334,1341,1346,1350,1354,1357,1363,1367,1372,1378,1379,1383,1385,1387,1389,1393,1399,1401,1404,1411,1414,1417,1424,1431,1433,1436,1440,1443,1446,1447,1451,1454,1459,1464,1468,1471,1473,1476,1480,1483,1488,1491,1494,1498,1503
Chimborazo,524004,-1.674347000000000,-78.64829400000001,7,12,20,30,39,45,50,58,68,79,87,95,101,107,114,120,123,128,139,148,160,163,165,172,179,188,194,198,200,211,217,220,227,236,243,251,256,263,270,277,283,289,291,298,302,309,317,321,326,330,337,344,353,362,370,375,380,388,399,405,410,415,420,434,441,449,459,465,472,480,493,499,505,509,521,524,525,533,540,546,550,554,560,566,572,577,586,596,609,623,633,638,655,665,677,696,711,728,745,758,775,783,795,801,808,821,833,847,857,865,874,888,899,909,923,937,946,957,971,988,996,1003,1015,1024,1035,1045,1056,1068,1083,1086,1093,1102,1114,1124,1130,1140,1151,1164,1177,1185,1194,1202,1206,1209,1226,1237,1246,1256,1267,1280,1293,1295,1306,1320,1333,1344,1351,1357,1369,1377,1387,1398,1406,1420,1434,1445,1458,1465,1472,1477,1493,1503,1514,1530,1539,1553,1562,1568,1575,1583,1597,1611,1622,1625,1635,1647,1661,1678,1694,1705,1714,1729,1748,1764,1778,1799,1816,1835,1851,1861,1884,1907,1914,1936,1949,1958,1970,1987,2000,2013,2028,2044,2059,2078,2092,2106,2117,2135,2150,2160,2167,2182,2196,2205,2212,2225,2236,2248,2258,2274,2283,2301,2312,2319,2329,2341,2348,2355,2364,2377,2392,2403,2413,2424,2434,2442,2447,2454,2462,2474,2484,2491,2498,2513,2519,2531,2545,2556,2560,2569,2579,2589,2600,2603,2610,2623,2628,2641,2648,2652,2660,2671,2681,2689,2692,2696,2700,2711,2719,2732,2744,2753,2761,2765,2773,2778,2783,2787,2798,2803,2811,2822,2829,2836,2843,2853,2858,2867,2876,2884,2891,2901,2906,2912,2924,2934,2938,2942,2952,2957,2962,2969,2976,2980,2988,2999,3009,3021,3031,3040,3047,3059,3068,3071,3079,3083,3090,3100,3106,3115,3123,3132,3137,3148,3156,3164,3174,3179,3184,3197,3206,3213,3219,3223,3233,3238,3243,3248,3251,3264,3271,3280,3283,3290,3302,3309,3313,3317,3324,3335,3344,3349,3361,3372,3380,3384
Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,6,8,10,12,18,24,30,34,38,39,44,47,48,56,63,66,73,78,88,92,94,96,101,108,112,115,118,127,129,137,138,145,149,156,160,168,176,184,191,193,198,201,204,210,216,224,230,232,238,242,248,252,253,260,263,273,280,285,290,295,307,310,318,321,323,329,335,341,347,354,360,367,372,377,387,389,396,401,404,408,417,419,422,426,429,434,440,445,451,454,459,462,473,476,480,486,490,494,496,505,515,522,526,533,538,542,548,555,562,570,575,581,590,592,597,601,607,612,624,630,641,649,655,665,669,672,677,685,695,699,706,707,716,722,726,732,739,746,754,758,766,771,778,789,793,799,810,818,820,828,837,841,851,859,865,874,881,894,903,922,935,948,956,966,977,989,999,1008,1016,1027,1034,1050,1057,1063,1068,1080,1093,1099,1110,1121,1134,1140,1149,1160,1170,1180,1194,1202,1208,1215,1223,1235,1248,1265,1271,1282,1289,1297,1304,1316,1328,1335,1349,1353,1367,1379,1393,1400,1411,1424,1428,1439,1446,1455,1464,1473,1480,1487,1491,1497,1504,1508,1522,1536,1546,1553,1563,1573,1581,1595,1602,1612,1617,1623,1633,1639,1645,1653,1656,1670,1678,1683,1693,1700,1710,1718,1728,1740,1748,1758,1762,1767,1772,1777,1786,1793,1798,1804,1812,1821,1829,1836,1845,1854,1863,1873,1879,1884,1891,1901,1903,1906,1910,1918,1925,1931,1942,1951,1957,1965,1971,1976,1982,1985,1992,1999,2006,2012,2016,2025,2030,2035,2041,2047,2053,2060,2066,2070,2074,2081,2086,2090,2095,2102,2111,2120,2126,2132,2138,2147,2154,2163,2171,2176,2182,2188,2195,2200,2210,2216,2221,2225,2231,2239,2251,2258,2264,2271,2276,2293,2297,2299,2308,2315,2320,2332,2344,2349,2354,2360,2369,2376,2381,2389,2393,2396,2404,2410,2419,2429,2439,2444,2453,2459,2464,2475,2482,2487,2493,2497,2501,2510,2522,2526,2534,2541
El Oro,715751,-3.266667000000000,-79.96666700000000,10,15,27,36,48,58,69,77,85,95,107,122,132,137,145,158,167,177,185,198,210,213,224,233,245,255,265,276,280,292,302,306,311,315,321,324,339,350,363,373,379,390,393,403,415,420,427,432,436,444,455,463,472,476,484,497,504,514,518,530,541,554,564,570,579,591,597,606,610,624,629,645,655,662,675,680,688,699,709,718,724,730,739,752,760,774,785,797,814,832,850,869,891,919,945,964,984,1009,1024,1048,1075,1100,1113,1139,1161,1185,1209,1230,1248,1275,1296,1322,1346,1366,1390,1426,1460,1484,1519,1537,1564,1591,1615,1632,1662,1696,1728,1756,1786,1811,1829,1853,1875,1906,1929,1959,1988,2010,2028,2044,2063,2080,2093,2116,2139,2158,2180,2205,2224,2247,2265,2281,2306,2322,2339,2355,2370,2387,2406,2426,2446,2465,2480,2498,2510,2523,2541,2561,2579,2591,2613,2629,2640,2652,2664,2679,2693,2700,2714,2728,2736,2750,2764,2780,2794,2808,2820,2827,2835,2848,2864,2877,2885,2897,2912,2927,2937,2953,2971,2983,2999,3018,3035,3053,3068,3088,3101,3113,3132,3144,3158,3171,3184,3203,3214,3226,3239,3255,3277,3291,3311,3326,3337,3345,3357,3374,3385,3401,3407,3413,3420,3433,3447,3468,3480,3494,3506,3517,3533,3545,3556,3562,3569,3582,3597,3607,3626,3643,3653,3668,3682,3689,3702,3721,3732,3752,3769,3782,3801,3821,3839,3852,3861,3878,3893,3906,3920,3930,3944,3956,3971,3987,3999,4008,4018,4028,4038,4051,4061,4070,4083,4100,4119,4131,4142,4150,4162,4170,4182,4189,4196,4209,4225,4236,4244,4256,4268,4274,4283,4290,4302,4311,4323,4333,4339,4348,4360,4369,4385,4395,4398,4412,4422,4434,4450,4462,4471,4483,4493,4504,4517,4529,4543,4551,4561,4573,4587,4598,4610,4618,4625,4634,4642,4649,4653,4666,4678,4688,4695,4704,4718,4727,4732,4742,4751,4759,4767,4781,4792,4801,4807,4818,4831,4844,4854,4864,4876,4886,4891,4903,4912,4919,4925,4938,4952,4961
Esmeraldas,591083,1.050000000000000,-79.20000000000000,12,18,24,24,30,34,41,46,48,50,57,64,67,69,72,76,84,85,88,96,96,99,104,109,112,113,118,121,125,130,134,136,144,156,160,163,169,178,183,187,193,195,201,207,214,223,226,236,242,245,249,254,261,267,271,277,281,285,286,289,293,298,302,305,310,312,316,317,324,327,332,340,347,353,355,356,358,361,366,370,377,383,386,388,390,392,394,399,403,410,411,422,426,433,435,443,447,456,464,470,476,482,486,491,498,503,514,516,522,527,539,551,561,567,571,581,589,602,611,617,628,634,642,648,658,674,684,695,702,716,723,732,743,752,765,776,786,796,809,822,829,837,849,857,870,886,892,904,914,925,937,947,959,973,986,999,1010,1018,1028,1034,1043,1053,1064,1075,1092,1103,1112,1121,1127,1135,1150,1156,1160,1169,1179,1185,1196,1207,1212,1223,1232,1237,1248,1257,1263,1272,1281,1289,1293,1297,1306,1311,1319,1324,1335,1342,1354,1363,1369,1373,1381,1389,1398,1408,1417,1422,1435,1440,1444,1450,1457,1463,1469,1478,1488,1494,1500,1505,1511,1518,1526,1528,1534,1541,1544,1548,1552,1556,1560,1563,1568,1576,1578,1584,1587,1592,1596,1604,1611,1616,1623,1627,1632,1637,1641,1648,1649,1652,1659,1664,1670,1674,1678,1682,1686,1692,1700,1703,1708,1716,1725,1729,1734,1740,1742,1748,1753,1755,1758,1761,1764,1771,1776,1780,1786,1787,1789,1794,1796,1801,1811,1812,1816,1821,1828,1831,1833,1843,1846,1850,1854,1857,1863,1869,1873,1877,1882,1883,1889,1892,1896,1903,1911,1915,1919,1923,1925,1930,1934,1938,1945,1947,1949,1956,1958,1962,1967,1974,1978,1986,1990,1994,2003,2006,2010,2013,2020,2027,2029,2030,2033,2034,2038,2044,2050,2056,2056,2059,2064,2070,2078,2080,2083,2085,2088,2091,2093,2098,2102,2110,2115,2120,2124,2132,2135,2138,2141,2149,2153,2156,2161,2165,2171,2179,2182,2183
Galápagos,33042,-0.8000000000000000,-89.40000000000001,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,4,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,13,13,13,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,18,18,18,19,19,20,20,20,20,20,20,20,20,20,21,21,21,21,22,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,27,27,27,27,28,28,28,28,28,28,29,30,30,30,30,30,30,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,32,33,33,33,33,33,33,33,34,34,34,34,34,34,35,35,35,35,35,35,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,38,39,39,39,39,39,39,39,39,39,39,39,39,39,39,40,40,40,40,40,40,40,40,40,41,41,41,42,42,43,43,43,43,44,44,44,44,44,45,45,45,45,45,46,46,46,46,46,48,48,49,49,49,49,49,49,49,49,50,50,50,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
Guayas,4387434,-2.183333000000000,-79.88333299999999,78,158,231,290,360,429,492,565,632,692,746,809,896,956,1003,1057,1122,1180,1267,1344,1401,1457,1517,1564,1641,1703,1761,1813,1864,1916,1964,2016,2070,2122,2186,2227,2289,2336,2399,2465,2528,2590,2660,2715,2781,2832,2900,2948,3008,3079,3131,3183,3254,3309,3367,3418,3496,3557,3608,3683,3744,3805,3872,3945,4011,4085,4146,4200,4268,4330,4381,4444,4514,4576,4639,4694,4749,4827,4892,5001,5104,5229,5378,5596,5869,6214,6642,7179,7753,8410,9103,9914,10685,11488,12341,13096,13771,14460,15104,15718,16283,16814,17309,17769,18170,18535,18846,19145,19387,19661,19926,20141,20348,20535,20707,20892,21056,21222,21365,21507,21635,21758,21877,21994,22121,22222,22335,22435,22535,22636,22734,22840,22932,23017,23077,23153,23230,23303,23378,23454,23527,23594,23683,23739,23796,23869,23945,24000,24081,24151,24219,24280,24352,24409,24467,24533,24595,24659,24737,24806,24863,24939,24995,25057,25113,25166,25226,25285,25348,25400,25460,25530,25595,25655,25726,25786,25837,25894,25963,26023,26071,26125,26193,26275,26341,26404,26474,26525,26588,26655,26726,26789,26856,26924,26984,27049,27111,27159,27217,27292,27363,27417,27484,27554,27618,27696,27779,27828,27904,27963,28036,28109,28172,28252,28326,28408,28477,28528,28577,28650,28726,28793,28850,28917,28983,29050,29121,29185,29246,29316,29384,29446,29524,29595,29661,29735,29787,29854,29923,29984,30055,30121,30179,30242,30306,30366,30442,30506,30568,30637,30695,30768,30830,30891,30940,31000,31055,31104,31157,31222,31292,31361,31415,31472,31537,31611,31663,31729,31793,31855,31921,31987,32046,32106,32166,32221,32284,32361,32425,32501,32576,32637,32707,32755,32846,32926,33005,33066,33132,33205,33266,33328,33402,33474,33542,33613,33664,33722,33799,33867,33927,33981,34055,34116,34195,34268,34328,34400,34461,34531,34585,34651,34726,34789,34855,34921,34990,35070,35135,35190,35264,35331,35403,35484,35543,35615,35694,35762,35831,35915,35979,36061,36152,36227,36297,36362,36434,36504,36562,36624,36678,36748,36810,36874,36946,37022,37075,37147,37211,37277,37351,37402,37475,37541,37619,37695,37759,37835,37914,37975,38037,38111,38194,38262,38331,38383
