inec_provincia_id,provincia,poblacion,lat,lng,01/01/2020,02/01/2020,03/01/2020,04/01/2020,05/01/2020,06/01/2020,07/01/2020,08/01/2020,09/01/2020,10/01/2020,11/01/2020,12/01/2020,13/01/2020,14/01/2020,15/01/2020,16/01/2020,17/01/2020,18/01/2020,19/01/2020,20/01/2020,21/01/2020,22/01/2020,23/01/2020,24/01/2020,25/01/2020,26/01/2020,27/01/2020,28/01/2020,29/01/2020,30/01/2020,31/01/2020,01/02/2020,02/02/2020,03/02/2020,04/02/2020,05/02/2020,06/02/2020,07/02/2020,08/02/2020,09/02/2020,10/02/2020,11/02/2020,12/02/2020,13/02/2020,14/02/2020,15/02/2020,16/02/2020,17/02/2020,18/02/2020,19/02/2020,20/02/2020,21/02/2020,22/02/2020,23/02/2020,24/02/2020,25/02/2020,26/02/2020,27/02/2020,28/02/2020,29/02/2020,01/03/2020,02/03/2020,03/03/2020,04/03/2020,05/03/2020,06/03/2020,07/03/2020,08/03/2020,09/03/2020,10/03/2020,11/03/2020,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,03/05/2020,04/05/2020,05/05/2020,06/05/2020,07/05/2020,08/05/2020,09/05/2020,10/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,16/05/2020,17/05/2020,18/05/2020,19/05/2020,20/05/2020,21/05/2020,22/05/2020,23/05/2020,24/05/2020,25/05/2020,26/05/2020,27/05/2020,28/05/2020,29/05/2020,30/05/2020,31/05/2020,01/06/2020,02/06/2020,03/06/2020,04/06/2020,05/06/2020,06/06/2020,07/06/2020,08/06/2020,09/06/2020,10/06/2020,11/06/2020,12/06/2020,13/06/2020,14/06/2020,15/06/2020,16/06/2020,17/06/2020,18/06/2020,19/06/2020,20/06/2020,21/06/2020,22/06/2020,23/06/2020,24/06/2020,25/06/2020,26/06/2020,27/06/2020,28/06/2020,29/06/2020,30/06/2020,01/07/2020,02/07/2020,03/07/2020,04/07/2020,05/07/2020,06/07/2020,07/07/2020,08/07/2020,09/07/2020,10/07/2020,11/07/2020,12/07/2020,13/07/2020,14/07/2020,15/07/2020,16/07/2020,17/07/2020,18/07/2020,19/07/2020,20/07/2020,21/07/2020,22/07/2020,23/07/2020,24/07/2020,25/07/2020,26/07/2020,27/07/2020,28/07/2020,29/07/2020,30/07/2020,31/07/2020,01/08/2020,02/08/2020,03/08/2020,04/08/2020,05/08/2020,06/08/2020,07/08/2020,08/08/2020,09/08/2020,10/08/2020,11/08/2020,12/08/2020,13/08/2020,14/08/2020,15/08/2020,16/08/2020,17/08/2020,18/08/2020,19/08/2020,20/08/2020,21/08/2020,22/08/2020,23/08/2020,24/08/2020,25/08/2020,26/08/2020,27/08/2020,28/08/2020,29/08/2020,30/08/2020,31/08/2020,01/09/2020,02/09/2020,03/09/2020,04/09/2020,05/09/2020,06/09/2020,07/09/2020,08/09/2020,09/09/2020,10/09/2020,11/09/2020,12/09/2020,13/09/2020,14/09/2020,15/09/2020,16/09/2020,17/09/2020,18/09/2020,19/09/2020,20/09/2020,21/09/2020,22/09/2020,23/09/2020,24/09/2020,25/09/2020,26/09/2020,27/09/2020,28/09/2020,29/09/2020,30/09/2020,01/10/2020,02/10/2020,03/10/2020,04/10/2020,05/10/2020,06/10/2020,07/10/2020,08/10/2020,09/10/2020,10/10/2020,11/10/2020,12/10/2020,13/10/2020,14/10/2020,15/10/2020,16/10/2020,17/10/2020,18/10/2020,19/10/2020,20/10/2020,21/10/2020,22/10/2020,23/10/2020,24/10/2020,25/10/2020,26/10/2020,27/10/2020,28/10/2020,29/10/2020,30/10/2020,31/10/2020,01/11/2020,02/11/2020,03/11/2020,04/11/2020,05/11/2020,06/11/2020,07/11/2020,08/11/2020,09/11/2020,10/11/2020,11/11/2020,12/11/2020,13/11/2020,14/11/2020,15/11/2020,16/11/2020,17/11/2020,18/11/2020,19/11/2020,20/11/2020,21/11/2020,22/11/2020,23/11/2020,24/11/2020,25/11/2020,26/11/2020,27/11/2020,28/11/2020,29/11/2020,30/11/2020,01/12/2020,02/12/2020,03/12/2020,04/12/2020,05/12/2020,06/12/2020,07/12/2020,08/12/2020,09/12/2020,10/12/2020,11/12/2020,12/12/2020,13/12/2020,14/12/2020,15/12/2020,16/12/2020,17/12/2020,18/12/2020,19/12/2020,20/12/2020,21/12/2020,22/12/2020,23/12/2020,24/12/2020,25/12/2020,26/12/2020,27/12/2020,28/12/2020,29/12/2020,30/12/2020,31/12/2020
01,Azuay,881394,-2.897414000000000,-79.00448100000000,21,37,51,64,80,93,106,118,133,143,152,162,167,181,190,201,215,226,234,242,251,268,275,287,292,304,314,323,339,350,364,374,380,397,406,415,420,427,437,449,453,467,475,487,494,505,515,530,537,559,582,595,607,621,640,652,658,669,681,689,698,704,723,733,749,757,768,774,784,800,812,826,841,853,862,871,889,899,913,927,935,946,952,964,972,984,996,1004,1017,1029,1047,1066,1071,1079,1092,1115,1125,1140,1159,1170,1183,1194,1206,1219,1230,1239,1254,1262,1276,1289,1303,1317,1326,1336,1346,1355,1366,1374,1383,1392,1407,1419,1428,1441,1458,1468,1483,1494,1509,1525,1533,1546,1559,1568,1577,1586,1597,1606,1616,1627,1639,1648,1661,1677,1686,1694,1707,1722,1736,1744,1759,1781,1789,1802,1815,1835,1845,1862,1874,1886,1896,1905,1917,1925,1932,1943,1959,1970,1991,2004,2017,2029,2038,2048,2061,2074,2092,2106,2120,2135,2147,2162,2180,2193,2210,2221,2235,2250,2263,2279,2294,2309,2318,2325,2343,2353,2375,2387,2401,2420,2441,2464,2481,2492,2505,2524,2540,2560,2570,2588,2606,2625,2651,2668,2685,2704,2723,2745,2766,2789,2807,2824,2850,2870,2895,2920,2938,2952,2969,2983,3008,3030,3050,3073,3091,3108,3129,3148,3169,3202,3223,3242,3256,3289,3309,3328,3356,3371,3406,3422,3437,3464,3479,3504,3513,3529,3549,3564,3582,3596,3613,3630,3650,3670,3681,3704,3718,3730,3751,3772,3782,3795,3810,3828,3846,3866,3884,3904,3921,3933,3950,3969,3988,4008,4027,4036,4051,4061,4076,4096,4110,4128,4141,4156,4164,4178,4196,4217,4233,4244,4259,4271,4289,4296,4310,4323,4333,4350,4370,4388,4399,4409,4424,4437,4451,4465,4472,4489,4513,4525,4540,4557,4576,4585,4602,4620,4635,4652,4667,4679,4691,4700,4705,4722,4738,4755,4769,4782,4798,4810,4821,4840,4851,4862,4869,4882,4896,4904,4916,4930,4941,4958,4973,4986,5004,5015,5033,5051,5063,5077,5093,5106,5123,5131,5145,5154
02,Bolívar,209933,-1.605556000000000,-79.00305600000000,2,4,7,9,10,11,13,15,17,20,22,24,29,30,30,31,34,36,42,47,49,49,50,50,53,55,56,57,58,60,63,66,71,74,77,80,83,88,90,91,94,96,99,101,105,107,112,114,114,116,117,119,123,127,131,136,138,141,146,148,152,155,156,160,162,162,164,165,166,167,168,168,169,170,171,174,176,180,183,183,185,190,192,197,199,202,203,208,211,215,215,218,221,228,232,242,248,253,257,260,266,273,274,277,283,287,291,295,296,298,301,303,305,307,311,316,320,325,329,333,337,341,343,343,347,350,353,358,359,364,368,375,377,380,383,386,390,395,399,407,407,410,410,415,416,419,421,426,429,432,436,440,443,447,448,454,459,459,464,471,475,479,482,491,496,501,501,504,507,510,516,519,522,523,525,530,532,534,536,538,541,542,546,551,553,556,558,561,567,571,575,578,581,584,586,591,592,597,602,606,608,612,619,626,629,633,635,642,645,648,652,657,660,662,669,679,682,689,692,698,707,709,710,711,714,718,721,725,728,731,735,738,742,746,748,753,756,760,762,763,765,769,771,774,776,779,782,788,790,790,794,797,799,803,805,810,812,815,817,823,826,827,829,831,832,834,837,838,839,842,846,849,852,854,857,858,860,864,866,871,873,875,879,881,882,885,886,888,888,891,894,896,899,902,907,910,911,914,916,918,918,921,923,924,927,930,932,937,939,941,942,947,951,953,953,957,957,958,962,966,969,973,977,979,980,983,987,991,993,995,997,998,1000,1002,1005,1009,1012,1014,1018,1022,1025,1030,1033,1041,1041,1042,1043,1049,1053,1058,1061,1061,1062,1064,1067,1069,1072,1079,1081,1084,1091,1094,1097,1101,1103,1108
04,Carchi,186869,0.8121800000000000,-77.71633000000000,1,3,5,6,6,8,8,11,12,13,17,19,21,22,27,31,34,37,39,40,44,46,48,49,49,49,49,53,54,55,57,58,59,61,64,66,69,71,72,73,75,79,84,88,90,93,95,96,98,100,102,103,103,104,105,109,109,109,112,114,116,120,122,124,129,131,131,135,138,139,142,144,144,147,150,151,153,157,157,158,158,159,163,164,164,165,167,167,167,168,172,175,176,179,180,183,187,189,192,193,194,196,196,198,199,203,206,206,209,210,211,216,219,221,221,222,223,225,226,227,228,229,231,234,234,234,235,238,242,242,242,245,250,256,258,259,259,265,267,268,270,272,274,280,281,286,287,292,295,295,296,297,298,298,302,305,306,308,311,313,318,321,321,327,330,335,339,341,345,347,348,350,351,355,357,362,362,364,366,367,369,371,375,378,378,382,384,389,393,395,402,405,406,407,411,413,417,421,424,428,433,435,439,446,451,455,460,463,469,472,474,475,480,485,489,492,496,501,507,512,515,519,521,525,529,534,543,549,552,558,563,570,573,576,582,584,590,594,595,599,607,611,613,618,623,628,631,634,638,643,646,649,654,660,665,670,674,682,690,692,697,702,704,709,711,712,713,714,716,720,722,727,732,733,737,737,737,740,746,749,749,753,759,762,767,769,771,772,775,776,776,780,781,783,787,788,793,794,796,800,801,803,807,808,809,811,814,817,821,824,824,825,825,826,830,833,835,836,839,842,843,845,846,848,851,853,855,856,857,860,864,865,866,868,872,877,879,884,884,884,888,890,891,895,899,901,904,908,909,913,916,918,923,927,934,938,939,942,945,949,956,959,962,967,969,972
03,Cañar,281396,-2.733333000000000,-78.83333300000000,8,11,16,22,26,28,34,39,44,47,50,53,60,64,66,66,69,69,71,73,76,77,80,83,86,88,89,94,99,104,108,109,111,116,116,118,120,122,124,125,128,132,135,137,137,139,142,143,144,149,153,155,162,165,172,173,174,176,178,185,188,191,192,192,193,195,198,201,202,204,206,208,210,212,217,221,222,224,227,227,235,237,244,250,256,259,266,270,277,282,287,293,298,304,312,320,330,338,341,347,357,369,376,386,392,397,399,407,412,417,424,434,440,443,447,449,455,459,464,465,466,468,473,473,476,480,487,491,492,497,501,506,511,516,519,521,522,524,526,532,533,536,537,540,544,549,554,555,558,560,563,566,570,575,577,579,581,582,586,590,595,598,600,604,607,608,609,613,616,617,620,626,631,635,639,641,645,647,651,656,660,662,667,670,674,677,681,685,692,693,703,707,715,721,725,732,736,740,746,752,759,765,767,772,778,784,789,792,799,804,808,814,818,824,825,831,835,845,848,856,859,869,877,884,888,896,902,905,920,930,932,938,944,947,952,959,962,972,976,982,988,990,994,997,1001,1004,1010,1017,1020,1027,1032,1034,1041,1048,1057,1059,1062,1064,1067,1073,1076,1081,1085,1089,1099,1105,1109,1114,1118,1123,1125,1127,1130,1136,1142,1145,1153,1159,1163,1166,1171,1177,1183,1186,1193,1197,1204,1208,1210,1212,1219,1226,1227,1231,1232,1236,1239,1248,1257,1260,1265,1268,1273,1282,1286,1290,1292,1299,1306,1309,1311,1318,1321,1323,1325,1325,1329,1333,1335,1338,1342,1344,1351,1356,1360,1364,1367,1373,1377,1382,1388,1389,1393,1395,1397,1399,1403,1409,1411,1414,1421,1424,1427,1434,1441,1443,1446,1450,1453,1456,1458,1462,1466,1471,1476,1480,1483,1485,1488,1492,1495,1500,1504,1508,1512,1517
06,Chimborazo,524004,-1.674347000000000,-78.64829400000001,7,12,20,30,39,45,50,58,68,79,87,95,101,107,115,121,124,129,140,149,161,164,166,173,180,189,195,199,201,212,219,222,229,238,245,253,258,265,272,279,285,291,293,300,304,311,319,323,328,332,339,346,355,364,372,377,382,390,401,407,412,417,422,436,443,451,461,467,474,482,495,501,507,511,523,527,528,536,543,549,553,557,563,569,575,580,589,599,612,627,637,642,660,670,682,702,717,734,752,765,782,790,803,809,816,829,842,856,866,874,884,898,909,919,933,947,956,967,981,998,1006,1013,1025,1034,1045,1055,1066,1078,1093,1096,1103,1112,1124,1134,1140,1150,1161,1174,1187,1195,1204,1212,1216,1219,1236,1247,1256,1266,1277,1290,1303,1305,1316,1330,1343,1354,1361,1367,1379,1387,1397,1408,1416,1431,1445,1456,1470,1477,1484,1489,1505,1515,1526,1542,1551,1565,1575,1581,1588,1596,1610,1624,1635,1638,1648,1660,1674,1691,1707,1718,1727,1742,1761,1778,1792,1813,1830,1849,1865,1875,1898,1921,1928,1950,1963,1972,1984,2001,2014,2027,2042,2058,2074,2093,2107,2121,2132,2150,2165,2175,2182,2197,2211,2220,2227,2240,2251,2263,2273,2289,2298,2316,2327,2334,2344,2356,2363,2370,2379,2392,2407,2418,2428,2439,2449,2457,2462,2469,2479,2491,2501,2508,2515,2530,2536,2548,2562,2573,2577,2586,2596,2606,2617,2620,2627,2640,2645,2658,2665,2669,2678,2689,2699,2707,2710,2714,2718,2729,2737,2750,2762,2771,2779,2783,2791,2796,2801,2805,2816,2821,2829,2840,2847,2854,2861,2871,2876,2885,2894,2902,2909,2919,2924,2930,2942,2952,2956,2960,2970,2976,2981,2988,2995,2999,3007,3018,3028,3040,3050,3060,3067,3079,3088,3091,3099,3103,3110,3120,3126,3135,3143,3152,3157,3168,3176,3184,3194,3199,3204,3217,3226,3233,3239,3243,3253,3258,3265,3270,3273,3286,3293,3302,3305,3312,3324,3331,3335,3339,3346,3358,3367,3372,3384,3395,3403,3408
05,Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,6,8,10,12,18,24,30,34,38,39,44,47,48,56,63,66,73,78,88,92,94,96,101,108,112,115,118,127,129,137,138,145,149,156,160,168,176,184,191,193,198,201,204,210,216,224,230,232,238,242,248,252,253,260,263,273,281,286,291,296,308,311,319,322,324,330,336,342,348,355,361,368,373,378,388,390,397,402,405,409,419,421,424,428,431,436,442,447,453,456,461,464,475,478,483,489,493,497,499,508,518,525,529,536,541,545,551,558,565,573,578,584,593,595,600,604,610,615,627,633,644,652,658,668,672,675,680,688,698,702,709,710,719,725,729,735,742,749,757,761,769,774,781,792,796,802,813,821,823,831,840,844,854,862,868,877,884,897,906,925,938,951,959,969,980,992,1002,1011,1019,1030,1037,1053,1060,1066,1071,1083,1096,1102,1113,1124,1137,1143,1152,1163,1173,1183,1198,1206,1212,1219,1227,1239,1252,1269,1275,1286,1293,1301,1308,1320,1332,1340,1354,1358,1372,1384,1398,1405,1416,1429,1433,1444,1451,1460,1469,1478,1485,1492,1496,1502,1509,1513,1527,1541,1551,1558,1568,1578,1586,1600,1607,1617,1622,1628,1638,1644,1650,1658,1661,1675,1683,1688,1698,1705,1715,1723,1733,1745,1753,1763,1767,1772,1777,1782,1791,1798,1803,1809,1817,1826,1834,1841,1850,1859,1868,1878,1884,1889,1896,1906,1908,1911,1916,1924,1931,1937,1948,1957,1963,1971,1977,1982,1988,1991,1998,2005,2012,2018,2022,2031,2036,2041,2047,2053,2059,2066,2072,2076,2080,2087,2092,2096,2101,2108,2117,2126,2132,2138,2144,2153,2160,2169,2177,2182,2188,2194,2201,2206,2216,2222,2227,2231,2237,2245,2257,2264,2270,2278,2284,2301,2305,2307,2316,2323,2328,2340,2352,2357,2362,2368,2377,2384,2389,2397,2401,2404,2412,2418,2427,2438,2448,2453,2462,2468,2473,2484,2491,2496,2502,2506,2510,2519,2531,2536,2544,2551
07,El Oro,715751,-3.266667000000000,-79.96666700000000,10,15,27,36,48,58,69,77,86,97,109,124,134,139,147,160,169,179,187,200,212,215,226,236,248,258,268,279,283,295,305,309,314,318,324,327,342,353,366,376,382,393,396,406,418,423,430,435,439,447,458,466,475,479,487,500,507,517,521,533,544,557,567,573,582,594,600,609,613,627,632,648,659,666,679,684,692,703,713,722,728,734,743,756,764,779,790,803,820,838,856,875,897,925,951,970,990,1015,1030,1054,1081,1107,1120,1146,1168,1193,1217,1238,1256,1283,1305,1331,1355,1375,1399,1435,1469,1493,1528,1546,1573,1600,1624,1641,1671,1706,1738,1767,1797,1822,1840,1864,1886,1917,1940,1970,1999,2021,2039,2055,2075,2092,2106,2129,2152,2171,2193,2218,2237,2260,2278,2294,2319,2335,2352,2368,2383,2400,2419,2439,2459,2478,2493,2511,2523,2536,2554,2575,2593,2606,2628,2645,2656,2668,2680,2695,2709,2716,2731,2745,2753,2767,2781,2798,2812,2826,2838,2845,2853,2866,2882,2895,2903,2916,2931,2946,2956,2972,2990,3002,3018,3037,3054,3072,3087,3107,3120,3132,3151,3163,3178,3191,3204,3223,3234,3246,3259,3275,3297,3311,3331,3346,3357,3365,3377,3394,3405,3421,3427,3433,3440,3453,3467,3488,3500,3514,3526,3537,3553,3565,3576,3582,3589,3603,3618,3628,3647,3664,3674,3690,3704,3711,3724,3743,3754,3774,3791,3804,3823,3843,3861,3874,3883,3900,3915,3928,3942,3952,3966,3978,3993,4009,4021,4030,4040,4050,4060,4073,4083,4093,4106,4123,4142,4154,4165,4174,4186,4194,4206,4213,4220,4233,4249,4260,4268,4280,4292,4298,4307,4314,4326,4335,4347,4357,4363,4372,4384,4393,4410,4420,4423,4437,4447,4459,4475,4487,4496,4508,4518,4529,4543,4555,4569,4577,4587,4600,4614,4625,4638,4646,4653,4662,4670,4677,4681,4694,4707,4717,4724,4733,4747,4756,4761,4772,4781,4789,4797,4811,4822,4831,4837,4849,4862,4875,4887,4897,4909,4919,4924,4936,4946,4954,4960,4973,4988,4997
08,Esmeraldas,591083,1.050000000000000,-79.20000000000000,12,18,24,24,30,34,41,46,48,50,57,64,67,69,72,76,84,85,88,96,96,99,104,109,112,113,118,121,125,130,134,136,144,156,161,164,170,179,184,188,194,196,202,208,215,224,227,237,243,246,250,255,262,268,272,278,282,286,287,290,294,299,303,307,312,314,319,320,327,330,335,343,350,356,358,359,361,364,369,374,381,387,390,392,395,397,399,404,408,415,416,427,431,438,441,449,453,462,470,476,482,488,492,498,505,510,521,523,529,534,546,560,570,576,581,591,600,613,623,629,640,647,655,662,672,688,700,711,718,732,739,748,759,768,781,793,803,813,826,839,846,855,868,876,889,905,911,923,934,947,959,969,982,996,1009,1022,1033,1041,1053,1060,1069,1079,1090,1101,1118,1129,1138,1147,1153,1161,1177,1183,1187,1196,1207,1213,1224,1235,1240,1251,1261,1266,1278,1287,1293,1302,1311,1320,1324,1328,1337,1342,1350,1355,1366,1373,1385,1394,1400,1404,1412,1421,1430,1440,1449,1454,1467,1472,1476,1482,1489,1495,1501,1510,1520,1526,1532,1537,1543,1550,1558,1560,1566,1573,1576,1580,1584,1588,1592,1595,1600,1608,1611,1617,1620,1625,1629,1637,1644,1649,1656,1661,1666,1671,1676,1683,1684,1687,1694,1699,1705,1709,1713,1717,1722,1728,1737,1740,1745,1753,1762,1766,1771,1778,1780,1786,1791,1793,1796,1799,1802,1809,1815,1819,1825,1826,1828,1833,1835,1840,1850,1851,1855,1860,1867,1870,1872,1882,1885,1889,1893,1896,1902,1908,1912,1916,1921,1922,1928,1932,1936,1943,1951,1955,1959,1963,1965,1970,1974,1978,1985,1987,1989,1996,1998,2002,2007,2014,2018,2026,2030,2034,2043,2046,2050,2053,2060,2067,2070,2071,2074,2075,2079,2085,2091,2098,2098,2101,2106,2112,2120,2122,2125,2128,2131,2134,2136,2141,2145,2153,2158,2164,2169,2177,2181,2185,2189,2197,2201,2204,2209,2215,2221,2229,2232,2233
20,Galápagos,33042,-0.8000000000000000,-89.40000000000001,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,4,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,13,13,13,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,18,18,18,19,19,20,20,20,20,20,20,20,20,20,21,21,21,21,22,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,27,27,27,27,28,28,28,28,28,28,29,30,30,30,30,30,30,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,32,33,33,33,33,33,33,33,34,34,34,34,34,34,35,35,35,35,35,35,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,38,39,39,39,39,39,39,39,39,39,39,39,39,39,39,40,40,40,40,40,40,40,40,40,41,41,41,42,42,43,43,43,43,44,44,44,44,44,45,45,45,45,45,46,46,46,46,46,48,48,49,49,49,49,49,49,49,49,50,50,50,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
09,Guayas,4387434,-2.183333000000000,-79.88333299999999,78,158,231,290,360,429,492,565,632,692,746,809,896,956,1003,1057,1122,1180,1267,1344,1402,1458,1518,1565,1642,1704,1762,1814,1865,1917,1965,2017,2071,2123,2188,2229,2293,2340,2403,2469,2532,2594,2664,2719,2786,2837,2905,2953,3013,3084,3136,3188,3259,3314,3372,3423,3501,3562,3613,3688,3748,3809,3877,3950,4016,4090,4151,4205,4273,4335,4386,4449,4519,4581,4644,4699,4754,4832,4897,5006,5109,5234,5384,5603,5877,6223,6651,7195,7774,8432,9127,9940,10714,11517,12373,13131,13813,14506,15153,15770,16335,16868,17366,17828,18231,18597,18908,19207,19451,19727,19994,20209,20417,20605,20777,20963,21127,21295,21439,21581,21710,21833,21952,22069,22196,22297,22410,22510,22611,22712,22811,22917,23010,23095,23156,23232,23309,23382,23457,23533,23606,23673,23762,23818,23875,23948,24024,24079,24160,24230,24298,24359,24431,24488,24546,24612,24675,24739,24817,24886,24943,25019,25075,25137,25193,25246,25306,25365,25428,25480,25540,25610,25675,25735,25806,25866,25917,25974,26043,26103,26152,26206,26274,26356,26422,26485,26555,26606,26669,26736,26807,26870,26937,27005,27065,27130,27192,27240,27298,27373,27444,27498,27565,27635,27699,27777,27860,27909,27985,28044,28117,28190,28253,28333,28407,28489,28558,28609,28658,28731,28807,28874,28932,28999,29065,29132,29203,29267,29328,29398,29466,29528,29606,29677,29743,29817,29869,29936,30005,30067,30138,30204,30262,30325,30389,30449,30525,30589,30651,30720,30778,30851,30914,30975,31024,31084,31140,31189,31243,31308,31378,31447,31501,31558,31623,31697,31749,31815,31879,31941,32007,32073,32132,32192,32252,32307,32370,32447,32511,32587,32662,32723,32793,32841,32932,33012,33091,33152,33218,33291,33352,33414,33488,33560,33629,33700,33751,33809,33886,33954,34014,34068,34142,34203,34284,34357,34417,34489,34550,34621,34675,34743,34818,34881,34947,35013,35082,35162,35227,35282,35357,35424,35496,35577,35636,35708,35788,35856,35925,36010,36075,36157,36249,36324,36395,36461,36533,36603,36661,36723,36777,36848,36910,36975,37047,37124,37177,37250,37315,37382,37456,37507,37581,37647,37726,37802,37866,37945,38024,38085,38147,38222,38306,38374,38443,38498
