provincia,poblacion,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Azuay,881394,-2.897414000000000,-79.00448100000000,364,327,360,365,378,384,488,644,541,486,430,421
Bolívar,209933,-1.605556000000000,-79.00305600000000,63,85,68,122,104,103,119,114,80,73,78,103
Carchi,186869,0.8121800000000000,-77.71633000000000,57,57,59,57,69,75,109,139,116,76,64,101
Cañar,281396,-2.733333000000000,-78.83333300000000,109,77,104,182,101,97,156,180,141,150,113,120
Chimborazo,524004,-1.674347000000000,-78.64829400000001,219,189,232,375,307,319,451,366,268,238,234,232
Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,138,158,166,189,201,300,309,256,219,195,211,224
El Oro,715751,-3.266667000000000,-79.96666700000000,307,228,332,728,729,474,438,401,429,337,321,320
Esmeraldas,591083,1.050000000000000,-79.20000000000000,134,161,130,231,339,307,241,179,156,142,135,150
Galápagos,33042,-0.8000000000000000,-89.40000000000001,5,4,3,3,1,7,2,6,5,4,6,5
Guayas,4387434,-2.183333000000000,-79.88333299999999,1977,1733,5476,12652,2673,1863,2061,2077,1879,2109,2118,2111
Imbabura,476257,0.3626780000000000,-78.13066700000000,188,156,147,181,183,245,330,392,269,206,188,228
Loja,521154,-3.983333000000000,-79.20000000000000,218,176,191,197,230,249,350,389,294,214,206,229
Los Ríos,921763,-1.800000000000000,-79.53333300000000,301,288,366,956,630,458,443,402,323,356,346,333
Manabí,1562079,-1.056181000000000,-80.45521700000000,626,543,633,1867,1366,839,876,847,713,758,776,732
Morona Santiago,196535,-2.300000000000000,-78.11666700000001,49,48,48,32,52,73,77,72,56,53,46,56
Napo,133705,-0.9890000000000000,-77.81590000000000,35,31,15,39,70,88,62,63,36,39,36,46
Orellana,161338,-0.4666670000000000,-76.96666700000000,42,30,34,33,44,86,85,57,40,43,51,36
Pastaza,114202,-1.066667000000000,-78.00111099999999,34,34,25,26,25,47,67,45,31,30,25,32
Pichincha,3228233,-0.2186110000000000,-78.50972200000000,1212,1148,1131,1310,1592,1866,2875,2463,1772,1414,1347,1533
Santa Elena,401178,-2.226700000000000,-80.85830000000000,116,117,179,1186,401,148,120,164,107,141,189,166
Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,206,203,191,254,296,400,437,323,238,217,187,236
Sucumbíos,230503,0.08472200000000001,-76.88277800000000,61,52,52,58,74,105,180,108,61,68,63,55
Tungurahua,590600,-1.241667000000000,-78.61972200000000,254,236,227,288,394,536,619,405,304,301,259,326
Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,26,26,23,26,29,49,45,58,27,19,31,18
