inec_provincia_id,provincia,poblacion,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
01,Azuay,881394,-2.897414000000000,-79.00448100000000,364,323,354,358,373,381,487,636,538,482,428,410
02,Bolívar,209933,-1.605556000000000,-79.00305600000000,63,85,67,121,103,102,118,114,80,73,78,103
04,Carchi,186869,0.8121800000000000,-77.71633000000000,57,57,58,56,69,74,109,138,115,76,63,97
03,Cañar,281396,-2.733333000000000,-78.83333300000000,108,76,101,176,99,96,156,177,138,150,111,117
06,Chimborazo,524004,-1.674347000000000,-78.64829400000001,217,188,228,363,299,316,448,365,265,235,232,228
05,Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,138,158,164,182,200,299,306,254,219,193,209,222
07,El Oro,715751,-3.266667000000000,-79.96666700000000,303,228,321,714,717,471,434,398,426,331,315,311
08,Esmeraldas,591083,1.050000000000000,-79.20000000000000,134,155,122,218,320,292,232,168,143,139,131,135
20,Galápagos,33042,-0.8000000000000000,-89.40000000000001,5,4,3,3,1,7,2,6,5,4,6,5
09,Guayas,4387434,-2.183333000000000,-79.88333299999999,1965,1719,5421,12542,2646,1845,2047,2070,1864,2090,2103,2087
10,Imbabura,476257,0.3626780000000000,-78.13066700000000,185,155,144,179,180,241,328,390,266,202,188,224
11,Loja,521154,-3.983333000000000,-79.20000000000000,217,170,188,194,229,248,345,385,287,211,203,218
12,Los Ríos,921763,-1.800000000000000,-79.53333300000000,299,286,358,926,608,448,435,397,316,346,340,324
13,Manabí,1562079,-1.056181000000000,-80.45521700000000,625,540,617,1803,1337,819,864,833,701,743,757,715
14,Morona Santiago,196535,-2.300000000000000,-78.11666700000001,49,48,46,32,52,72,77,68,54,52,43,52
15,Napo,133705,-0.9890000000000000,-77.81590000000000,35,31,15,37,68,87,62,60,34,38,36,44
22,Orellana,161338,-0.4666670000000000,-76.96666700000000,42,28,33,32,44,83,85,55,40,43,49,31
16,Pastaza,114202,-1.066667000000000,-78.00111099999999,34,34,24,26,25,47,65,44,30,28,22,32
17,Pichincha,3228233,-0.2186110000000000,-78.50972200000000,1211,1145,1124,1298,1590,1861,2871,2458,1763,1407,1340,1527
24,Santa Elena,401178,-2.226700000000000,-80.85830000000000,116,117,176,1166,393,146,117,162,104,137,185,159
23,Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,206,202,189,250,295,394,433,321,235,216,185,232
21,Sucumbíos,230503,0.08472200000000001,-76.88277800000000,60,52,51,56,74,104,180,107,59,68,61,52
18,Tungurahua,590600,-1.241667000000000,-78.61972200000000,254,236,227,284,389,533,617,403,301,299,258,321
19,Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,26,25,23,26,29,49,41,57,27,19,31,16
