provincia,poblacion,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Azuay,881394,-2.897414000000000,-79.00448100000000,364,687,1041,1399,1772,2153,2640,3276,3814,4296,4724,5134
Bolívar,209933,-1.605556000000000,-79.00305600000000,63,148,215,336,439,541,659,773,853,926,1004,1107
Carchi,186869,0.8121800000000000,-77.71633000000000,57,114,172,228,297,371,480,618,733,809,872,969
Cañar,281396,-2.733333000000000,-78.83333300000000,108,184,285,461,560,656,812,989,1127,1277,1388,1505
Chimborazo,524004,-1.674347000000000,-78.64829400000001,217,405,633,996,1295,1611,2059,2424,2689,2924,3156,3384
Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,138,296,460,642,842,1141,1447,1701,1920,2113,2322,2544
El Oro,715751,-3.266667000000000,-79.96666700000000,303,531,852,1566,2283,2754,3188,3586,4012,4343,4658,4969
Esmeraldas,591083,1.050000000000000,-79.20000000000000,134,289,411,629,949,1241,1473,1641,1784,1923,2054,2189
Galápagos,33042,-0.8000000000000000,-89.40000000000001,5,9,12,15,16,23,25,31,36,40,46,51
Guayas,4387434,-2.183333000000000,-79.88333299999999,1965,3684,9105,21647,24293,26138,28185,30255,32119,34209,36312,38399
Imbabura,476257,0.3626780000000000,-78.13066700000000,185,340,484,663,843,1084,1412,1802,2068,2270,2458,2682
Loja,521154,-3.983333000000000,-79.20000000000000,217,387,575,769,998,1246,1591,1976,2263,2474,2677,2895
Los Ríos,921763,-1.800000000000000,-79.53333300000000,299,585,943,1869,2477,2925,3360,3757,4073,4419,4759,5083
Manabí,1562079,-1.056181000000000,-80.45521700000000,625,1165,1782,3585,4922,5741,6605,7438,8139,8882,9639,10354
Morona Santiago,196535,-2.300000000000000,-78.11666700000001,49,97,143,175,227,299,376,444,498,550,593,645
Napo,133705,-0.9890000000000000,-77.81590000000000,35,66,81,118,186,273,335,395,429,467,503,547
Orellana,161338,-0.4666670000000000,-76.96666700000000,42,70,103,135,179,262,347,402,442,485,534,565
Pastaza,114202,-1.066667000000000,-78.00111099999999,34,68,92,118,143,190,255,299,329,357,379,411
Pichincha,3228233,-0.2186110000000000,-78.50972200000000,1211,2356,3480,4778,6368,8229,11100,13558,15321,16728,18068,19595
Santa Elena,401178,-2.226700000000000,-80.85830000000000,116,233,409,1575,1968,2114,2231,2393,2497,2634,2819,2978
Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,206,408,597,847,1142,1536,1969,2290,2525,2741,2926,3158
Sucumbíos,230503,0.08472200000000001,-76.88277800000000,60,112,163,219,293,397,577,684,743,811,872,924
Tungurahua,590600,-1.241667000000000,-78.61972200000000,254,490,717,1001,1390,1923,2540,2943,3244,3543,3801,4122
Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,26,51,74,100,129,178,219,276,303,322,353,369
