inec_provincia_id,provincia,poblacion,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
01,Azuay,881394,-2.897414000000000,-79.00448100000000,364,687,1041,1399,1771,2152,2639,3275,3813,4294,4721,5129
02,Bolívar,209933,-1.605556000000000,-79.00305600000000,63,148,215,336,439,541,658,772,852,925,1003,1106
04,Carchi,186869,0.8121800000000000,-77.71633000000000,57,114,172,228,297,371,480,617,732,808,871,968
03,Cañar,281396,-2.733333000000000,-78.83333300000000,108,184,285,460,559,655,811,988,1126,1276,1387,1503
06,Chimborazo,524004,-1.674347000000000,-78.64829400000001,217,405,633,996,1295,1611,2059,2424,2689,2924,3156,3384
05,Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,138,295,459,641,841,1140,1446,1700,1918,2111,2320,2541
07,El Oro,715751,-3.266667000000000,-79.96666700000000,302,530,850,1564,2281,2750,3184,3582,4008,4339,4653,4961
08,Esmeraldas,591083,1.050000000000000,-79.20000000000000,134,289,411,628,947,1237,1469,1637,1780,1919,2050,2183
20,Galápagos,33042,-0.8000000000000000,-89.40000000000001,5,9,12,15,16,23,25,31,36,40,46,51
09,Guayas,4387434,-2.183333000000000,-79.88333299999999,1964,3683,9103,21635,24280,26125,28172,30242,32106,34195,36297,38383
10,Imbabura,476257,0.3626780000000000,-78.13066700000000,185,340,484,663,843,1084,1412,1802,2068,2269,2457,2677
11,Loja,521154,-3.983333000000000,-79.20000000000000,217,387,575,769,998,1246,1591,1976,2262,2473,2674,2888
12,Los Ríos,921763,-1.800000000000000,-79.53333300000000,298,584,942,1865,2472,2918,3352,3749,4064,4410,4749,5071
13,Manabí,1562079,-1.056181000000000,-80.45521700000000,625,1165,1781,3581,4918,5735,6599,7432,8133,8876,9631,10344
14,Morona Santiago,196535,-2.300000000000000,-78.11666700000001,49,97,143,175,227,299,376,444,498,550,593,644
15,Napo,133705,-0.9890000000000000,-77.81590000000000,35,66,81,118,186,273,335,395,429,467,503,547
22,Orellana,161338,-0.4666670000000000,-76.96666700000000,42,70,103,134,178,261,346,401,441,484,533,563
16,Pastaza,114202,-1.066667000000000,-78.00111099999999,34,68,92,117,142,189,254,298,328,356,378,410
17,Pichincha,3228233,-0.2186110000000000,-78.50972200000000,1211,2356,3480,4778,6368,8229,11100,13557,15320,16727,18066,19592
24,Santa Elena,401178,-2.226700000000000,-80.85830000000000,116,233,409,1571,1964,2110,2227,2389,2493,2630,2814,2973
23,Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,206,408,597,847,1142,1536,1969,2290,2525,2741,2925,3155
21,Sucumbíos,230503,0.08472200000000001,-76.88277800000000,60,112,163,219,293,397,577,684,743,811,872,923
18,Tungurahua,590600,-1.241667000000000,-78.61972200000000,253,489,716,1000,1389,1921,2536,2939,3240,3539,3797,4115
19,Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,26,51,74,100,129,178,219,276,303,322,352,368
