provincia,poblacion,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Semana 53
Azuay,881394,-2.897414000000000,-79.00448100000000,83,82,72,70,76,69,66,104,77,76,88,83,71,94,91,83,77,74,91,72,80,95,93,69,95,97,100,90,115,118,125,138,145,138,148,166,127,121,111,121,123,101,105,90,101,101,109,87,98,83,98,97,97
Bolívar,209933,-1.605556000000000,-79.00305600000000,10,14,18,13,16,20,21,15,25,13,6,19,21,30,32,24,22,23,25,27,21,24,24,37,21,16,20,25,24,34,27,40,19,25,18,19,22,19,15,18,18,14,20,14,21,15,21,15,23,24,18,27,21
Carchi,186869,0.8121800000000000,-77.71633000000000,6,13,20,10,10,14,22,9,12,19,15,9,8,16,13,14,13,11,8,23,16,16,14,24,16,16,17,23,26,30,26,30,33,32,28,30,31,35,13,18,27,13,16,15,14,17,13,13,20,20,26,23,26
Cañar,281396,-2.733333000000000,-78.83333300000000,28,27,18,17,23,13,17,23,23,13,16,20,39,42,54,41,37,17,28,23,20,22,20,22,23,25,25,40,38,33,33,42,51,39,35,32,35,27,36,34,34,33,31,33,31,17,29,28,26,29,24,24,27
Chimborazo,524004,-1.674347000000000,-78.64829400000001,42,56,44,49,39,50,40,45,48,55,56,33,55,87,99,70,81,78,69,71,62,69,74,76,69,69,78,103,120,103,105,90,76,83,72,61,71,58,57,51,62,49,54,58,42,64,50,58,58,42,54,47,60
Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,22,29,41,27,34,44,37,30,47,34,46,32,32,35,40,44,37,58,41,40,47,48,62,86,68,64,73,71,63,72,64,44,73,58,54,65,40,56,49,48,41,43,39,46,51,45,48,51,54,41,54,46,53
El Oro,715751,-3.266667000000000,-79.96666700000000,53,74,63,70,56,62,54,49,65,65,69,55,84,150,149,162,185,172,197,181,129,142,125,117,117,88,92,77,102,114,101,112,81,87,75,99,101,109,93,80,91,67,74,65,74,82,83,62,69,63,73,65,78
Esmeraldas,591083,1.050000000000000,-79.20000000000000,33,34,24,25,31,43,39,41,26,24,38,28,20,40,43,41,62,59,75,73,74,77,81,75,57,63,58,43,57,59,48,40,32,32,40,32,36,40,24,30,34,29,32,34,26,37,34,24,34,20,37,30,32
Galápagos,33042,-0.8000000000000000,-89.40000000000001,0,1,0,2,2,2,0,1,1,0,2,0,1,1,2,0,0,0,0,1,0,0,1,3,0,3,0,1,1,0,1,2,2,1,0,0,2,1,1,1,0,3,0,1,1,2,2,1,3,1,1,0,1
Guayas,4387434,-2.183333000000000,-79.88333299999999,424,449,458,436,367,395,435,409,435,456,439,590,2524,5343,4213,2352,1395,938,740,569,493,484,457,429,429,428,451,450,439,465,498,467,453,489,444,458,418,417,449,440,485,482,471,469,458,464,504,533,451,469,472,492,496
Imbabura,476257,0.3626780000000000,-78.13066700000000,39,33,46,41,42,40,37,37,31,26,37,30,42,38,42,39,34,46,36,47,50,33,56,55,65,47,55,65,83,76,91,91,103,81,80,74,63,65,52,45,52,41,42,52,41,42,46,42,51,52,45,48,54
Loja,521154,-3.983333000000000,-79.20000000000000,38,57,46,38,53,35,45,37,44,46,43,43,45,40,51,40,51,40,58,49,53,49,63,50,68,51,60,68,67,93,97,83,103,80,82,78,76,53,66,43,67,46,47,38,54,48,40,48,49,56,45,47,43
Los Ríos,921763,-1.800000000000000,-79.53333300000000,59,80,56,68,54,61,57,65,98,68,62,62,110,197,227,227,223,155,160,156,122,109,98,117,98,114,83,100,109,91,97,96,91,87,83,76,78,70,71,88,72,82,84,61,80,78,85,73,84,71,61,75,83
Manabí,1562079,-1.056181000000000,-80.45521700000000,122,145,140,143,126,137,125,134,120,114,142,117,157,296,414,462,475,409,366,324,249,216,204,203,204,149,189,214,207,183,190,188,194,174,191,185,182,150,150,153,177,164,182,149,175,195,177,157,186,149,161,149,172
Morona Santiago,196535,-2.300000000000000,-78.11666700000001,6,17,12,9,12,10,14,12,5,15,10,7,10,12,7,10,5,4,8,9,10,23,13,27,15,12,16,17,20,18,17,16,21,10,14,7,15,12,17,9,11,14,12,15,8,10,9,11,11,11,16,7,13
Napo,133705,-0.9890000000000000,-77.81590000000000,10,8,8,5,5,8,5,7,11,1,2,5,2,10,5,8,11,11,13,22,12,18,19,25,13,21,22,15,13,14,11,10,16,15,15,7,11,4,8,8,7,9,13,6,11,4,12,5,10,13,9,9,12
Orellana,161338,-0.4666670000000000,-76.96666700000000,10,10,11,8,3,7,5,8,10,10,7,7,5,7,7,8,7,9,9,12,6,12,16,11,23,25,17,19,27,14,23,12,15,11,9,13,5,10,4,15,8,10,11,9,10,15,9,14,6,4,5,13,7
Pastaza,114202,-1.066667000000000,-78.00111099999999,5,8,9,7,5,5,11,9,10,7,5,5,3,9,5,3,8,7,7,5,3,6,6,6,15,15,12,17,17,12,14,10,12,12,8,5,11,4,8,5,2,11,7,6,3,5,7,5,13,6,8,5,5
Pichincha,3228233,-0.2186110000000000,-78.50972200000000,252,273,267,267,260,265,301,275,271,245,254,228,278,300,301,282,311,328,340,342,378,391,377,413,430,505,537,634,667,684,673,674,580,495,461,444,427,435,370,322,314,325,326,321,283,315,337,303,337,310,369,344,369
Santa Elena,401178,-2.226700000000000,-80.85830000000000,18,23,26,29,31,13,30,38,28,30,20,24,65,213,350,325,201,182,115,71,77,55,36,37,28,35,25,18,37,32,25,39,34,41,34,19,28,28,23,24,29,26,32,40,42,44,51,38,34,29,43,31,38
Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,38,49,47,47,46,43,51,44,65,39,34,35,45,62,62,62,61,53,48,59,76,84,77,109,87,95,101,120,94,88,80,95,70,61,63,66,51,53,51,43,55,51,54,43,36,52,34,49,52,51,40,50,61
Sucumbíos,230503,0.08472200000000001,-76.88277800000000,12,13,11,14,12,10,19,10,14,17,19,8,2,12,11,15,11,14,18,19,18,14,18,28,15,29,36,47,36,42,43,26,32,21,15,17,9,15,13,15,21,11,20,12,9,18,17,12,8,15,13,10,16
Tungurahua,590600,-1.241667000000000,-78.61972200000000,49,54,63,57,47,63,56,55,56,48,43,42,66,66,59,67,78,69,90,77,103,87,109,115,132,134,131,142,146,146,123,88,104,94,73,83,76,67,68,60,61,68,66,75,66,60,65,50,77,63,62,79,73
Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,5,7,9,2,4,5,7,7,5,7,6,3,6,5,9,2,8,5,6,4,8,9,7,14,12,13,13,10,8,9,9,13,15,9,13,6,4,9,5,6,6,2,3,7,10,7,8,3,6,2,4,4,4
