provincia,poblacion,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Semana 53
Azuay,881394,-2.897414000000000,-79.00448100000000,83,165,237,307,383,452,518,625,702,778,867,951,1023,1122,1215,1299,1376,1452,1546,1620,1701,1796,1889,1958,2055,2152,2253,2342,2458,2577,2702,2843,2988,3127,3276,3443,3571,3692,3804,3926,4053,4154,4259,4349,4451,4553,4663,4750,4850,4934,5034,5138,5236
Bolívar,209933,-1.605556000000000,-79.00305600000000,10,24,42,55,71,91,112,127,152,165,171,190,211,243,275,299,321,344,369,396,418,442,466,503,524,541,561,587,611,646,673,713,732,757,775,794,816,835,850,868,886,900,920,934,955,970,991,1006,1029,1053,1071,1098,1119
Carchi,186869,0.8121800000000000,-77.71633000000000,6,19,39,49,59,73,95,104,116,136,151,160,168,184,198,212,225,236,244,267,283,299,314,338,354,370,387,410,436,466,492,522,555,588,617,647,679,714,727,745,772,785,801,816,830,847,860,874,894,914,940,965,994
Cañar,281396,-2.733333000000000,-78.83333300000000,28,55,74,91,114,128,145,168,191,205,221,241,282,325,381,425,463,481,509,533,553,575,596,618,641,666,691,731,769,802,835,880,931,970,1005,1038,1074,1101,1137,1171,1205,1238,1269,1302,1333,1351,1381,1409,1435,1464,1490,1514,1543
Chimborazo,524004,-1.674347000000000,-78.64829400000001,42,98,143,192,233,283,323,368,416,471,527,563,618,709,813,884,966,1047,1118,1190,1253,1324,1398,1475,1545,1615,1693,1797,1917,2021,2127,2217,2294,2377,2449,2512,2583,2641,2699,2750,2813,2863,2918,2976,3019,3084,3134,3192,3250,3294,3348,3396,3457
Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,22,51,92,119,153,197,234,264,312,346,392,426,458,494,536,582,620,678,719,759,806,855,917,1003,1072,1136,1210,1281,1345,1418,1482,1527,1600,1658,1713,1778,1818,1874,1923,1972,2014,2057,2096,2143,2194,2239,2287,2340,2394,2435,2490,2536,2593
El Oro,715751,-3.266667000000000,-79.96666700000000,53,129,192,263,319,381,435,484,551,617,688,745,833,984,1136,1300,1490,1662,1862,2045,2179,2322,2447,2565,2685,2774,2868,2946,3048,3162,3264,3378,3459,3546,3621,3722,3823,3933,4027,4109,4202,4270,4344,4410,4485,4569,4654,4717,4787,4853,4929,4997,5081
Esmeraldas,591083,1.050000000000000,-79.20000000000000,33,67,91,116,147,193,233,275,301,327,365,395,418,460,503,545,614,678,759,835,912,995,1080,1159,1222,1286,1346,1390,1448,1512,1560,1603,1635,1671,1713,1749,1788,1831,1857,1888,1923,1952,1984,2020,2048,2085,2120,2145,2181,2206,2248,2283,2316
Galápagos,33042,-0.8000000000000000,-89.40000000000001,0,1,1,3,5,7,7,8,9,9,11,11,12,13,15,15,15,15,15,16,16,16,17,20,20,23,23,24,25,25,26,28,30,31,31,31,33,34,35,36,36,39,39,40,41,43,45,46,49,50,51,51,52
Guayas,4387434,-2.183333000000000,-79.88333299999999,426,878,1339,1777,2145,2543,2982,3397,3832,4291,4733,5328,7880,13260,17512,19886,21296,22245,22994,23567,24065,24553,25015,25446,25878,26308,26761,27211,27650,28116,28616,29084,29538,30027,30472,30930,31352,31771,32221,32662,33150,33633,34105,34576,35038,35504,36010,36546,36999,37472,37948,38446,38955
