inec_provincia_id,provincia,poblacion,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Semana 53
01,Azuay,881394,-2.897414000000000,-79.00448100000000,83,165,237,307,383,452,518,622,699,775,863,946,1017,1112,1203,1286,1363,1437,1528,1601,1681,1776,1869,1938,2033,2130,2230,2320,2436,2554,2679,2817,2962,3100,3248,3414,3541,3662,3774,3896,4019,4120,4225,4315,4416,4517,4627,4714,4813,4896,4995,5095,5192
02,Bolívar,209933,-1.605556000000000,-79.00305600000000,10,24,42,55,71,91,112,127,152,165,171,190,211,241,273,297,319,342,367,394,415,439,463,500,521,537,557,583,607,641,668,708,727,752,770,789,811,830,845,863,881,895,915,929,950,965,986,1001,1024,1048,1066,1093,1114
04,Carchi,186869,0.8121800000000000,-77.71633000000000,6,19,39,49,59,73,95,104,116,135,150,159,167,183,196,210,223,234,242,265,281,297,311,335,351,367,384,407,433,463,489,519,552,584,613,643,674,709,722,740,767,780,796,811,825,842,855,868,888,908,934,957,985
03,Cañar,281396,-2.733333000000000,-78.83333300000000,28,55,73,90,113,127,144,167,190,203,219,239,278,321,376,417,454,472,500,523,543,565,585,607,630,655,680,720,758,791,824,867,918,957,992,1024,1059,1086,1122,1156,1190,1223,1254,1287,1318,1335,1364,1392,1418,1447,1472,1496,1525
06,Chimborazo,524004,-1.674347000000000,-78.64829400000001,42,98,143,192,231,281,321,366,414,469,525,559,614,702,802,873,954,1032,1101,1172,1234,1303,1377,1454,1523,1592,1670,1774,1894,1997,2103,2193,2269,2352,2424,2486,2557,2615,2673,2724,2786,2835,2889,2947,2989,3053,3103,3161,3219,3262,3316,3363,3424
05,Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,22,51,92,119,153,197,234,264,312,346,392,424,456,491,531,575,612,670,711,751,798,846,908,994,1062,1126,1199,1270,1333,1405,1469,1513,1586,1644,1698,1763,1803,1859,1908,1957,1998,2041,2080,2126,2177,2222,2270,2322,2376,2417,2472,2518,2573
07,El Oro,715751,-3.266667000000000,-79.96666700000000,53,127,190,261,317,379,433,482,547,612,682,737,822,972,1121,1283,1468,1640,1837,2018,2147,2289,2414,2531,2649,2738,2830,2907,3009,3123,3224,3336,3417,3504,3579,3679,3780,3889,3982,4062,4153,4220,4294,4359,4433,4515,4599,4662,4732,4796,4870,4937,5017
08,Esmeraldas,591083,1.050000000000000,-79.20000000000000,33,67,91,116,147,190,229,270,296,321,359,387,407,448,491,532,595,656,732,805,879,959,1041,1116,1173,1236,1295,1338,1395,1454,1502,1542,1574,1606,1646,1678,1715,1755,1779,1810,1844,1873,1905,1939,1965,2002,2036,2060,2094,2114,2153,2187,2220
20,Galápagos,33042,-0.8000000000000000,-89.40000000000001,0,1,1,3,5,7,7,8,9,9,11,11,12,13,15,15,15,15,15,16,16,16,17,20,20,23,23,24,25,25,26,28,30,31,31,31,33,34,35,36,36,39,39,40,41,43,45,46,49,50,51,51,52
09,Guayas,4387434,-2.183333000000000,-79.88333299999999,424,873,1331,1768,2135,2532,2968,3377,3812,4268,4707,5297,7826,13176,17399,19755,21153,22094,22834,23404,23897,24381,24838,25267,25696,26124,26575,27025,27464,27929,28427,28894,29348,29837,30281,30739,31158,31575,32024,32464,32949,33431,33902,34373,34834,35298,35803,36338,36791,37262,37737,38231,38732
10,Imbabura,476257,0.3626780000000000,-78.13066700000000,39,73,119,160,202,243,280,317,348,374,411,441,483,521,563,602,636,682,718,765,815,848,904,959,1024,1072,1127,1192,1276,1352,1443,1534,1637,1718,1798,1872,1935,2000,2052,2098,2150,2191,2233,2285,2326,2368,2414,2456,2507,2561,2606,2655,2710
11,Loja,521154,-3.983333000000000,-79.20000000000000,38,95,141,179,233,268,313,350,394,440,483,526,571,611,662,702,753,793,851,900,953,1002,1065,1115,1183,1234,1294,1362,1429,1523,1620,1703,1807,1887,1969,2048,2124,2177,2243,2287,2354,2400,2447,2486,2541,2589,2629,2678,2727,2784,2833,2882,2925
12,Los Ríos,921763,-1.800000000000000,-79.53333300000000,59,139,195,264,318,379,436,501,599,667,729,791,901,1098,1326,1554,1780,1936,2097,2253,2376,2485,2583,2700,2799,2914,2998,3098,3207,3299,3396,3492,3583,3670,3754,3830,3909,3979,4050,4138,4210,4292,4377,4438,4518,4597,4682,4755,4840,4913,4974,5050,5136
13,Manabí,1562079,-1.056181000000000,-80.45521700000000,122,267,407,550,677,814,941,1075,1195,1309,1451,1569,1726,2025,2441,2905,3381,3790,4158,4484,4733,4949,5155,5358,5562,5712,5901,6115,6322,6505,6696,6884,7078,7254,7446,7631,7813,7964,8114,8267,8444,8608,8792,8942,9118,9314,9491,9651,9838,9989,10150,10299,10477
14,Morona Santiago,196535,-2.300000000000000,-78.11666700000001,6,23,35,44,56,66,80,92,97,112,122,129,139,151,158,168,173,177,185,194,204,227,240,267,282,294,310,327,347,365,382,398,419,429,443,450,465,477,494,503,514,528,540,555,563,573,582,593,605,616,632,640,655
15,Napo,133705,-0.9890000000000000,-77.81590000000000,10,18,26,31,36,44,49,56,67,68,70,75,77,88,93,101,112,123,136,158,170,188,207,232,245,266,288,303,316,330,341,351,367,382,397,404,415,419,427,435,442,451,464,470,481,485,497,502,512,525,534,543,555
22,Orellana,161338,-0.4666670000000000,-76.96666700000000,10,20,31,39,42,49,54,62,72,82,89,96,101,109,116,124,131,140,149,161,167,179,195,207,230,256,273,292,319,333,356,368,383,394,403,416,421,431,435,450,458,468,479,488,498,513,522,536,542,546,551,564,573
16,Pastaza,114202,-1.066667000000000,-78.00111099999999,5,13,22,29,34,39,50,59,69,76,81,86,89,99,104,107,115,122,129,134,137,143,149,155,170,185,197,214,231,243,257,267,279,291,299,304,315,319,327,332,334,345,352,359,362,367,374,379,392,398,406,411,417
17,Pichincha,3228233,-0.2186110000000000,-78.50972200000000,252,525,792,1059,1319,1584,1885,2160,2431,2676,2930,3158,3436,3736,4037,4319,4630,4958,5298,5640,6018,6409,6786,7199,7630,8135,8672,9306,9973,10657,11331,12006,12586,13081,13542,13986,14413,14848,15218,15540,15854,16179,16505,16826,17109,17425,17763,18066,18404,18714,19083,19429,19798
24,Santa Elena,401178,-2.226700000000000,-80.85830000000000,18,41,67,96,127,140,170,208,236,266,286,311,376,589,942,1268,1471,1654,1769,1840,1917,1972,2008,2045,2073,2108,2133,2151,2188,2221,2246,2285,2319,2360,2394,2413,2440,2468,2491,2515,2544,2571,2603,2643,2685,2730,2781,2819,2854,2883,2926,2958,2997
