inec_provincia_id,provincia,poblacion,total,acumuladas,lat,lng,semana
01,Azuay,881394,109,109,-2.897414000000000,-79.00448100000000,1
02,Bolívar,209933,20,20,-1.605556000000000,-79.00305600000000,1
04,Carchi,186869,28,28,0.8121800000000000,-77.71633000000000,1
03,Cañar,281396,32,32,-2.733333000000000,-78.83333300000000,1
06,Chimborazo,524004,85,85,-1.674347000000000,-78.64829400000001,1
05,Cotopaxi,488716,59,59,-0.9333330000000000,-78.61666700000001,1
07,El Oro,715751,81,81,-3.266667000000000,-79.96666700000000,1
08,Esmeraldas,591083,33,33,1.050000000000000,-79.20000000000000,1
20,Galápagos,33042,4,4,-0.7999999999999999,-89.40000000000001,1
09,Guayas,4387434,554,554,-2.183333000000000,-79.88333299999999,1
10,Imbabura,476257,60,60,0.3626780000000000,-78.13066700000000,1
11,Loja,521154,51,51,-3.983333000000000,-79.20000000000000,1
12,Los Ríos,921763,92,92,-1.800000000000000,-79.53333300000000,1
13,Manabí,1562079,154,154,-1.056181000000000,-80.45521700000000,1
14,Morona Santiago,196535,12,12,-2.300000000000000,-78.11666700000001,1
15,Napo,133705,14,14,-0.9890000000000000,-77.81590000000000,1
22,Orellana,161338,11,11,-0.4666670000000000,-76.96666700000000,1
16,Pastaza,114202,2,2,-1.066667000000000,-78.00111099999999,1
17,Pichincha,3228233,375,375,-0.2186110000000000,-78.50972200000000,1
24,Santa Elena,401178,38,38,-2.226700000000000,-80.85830000000000,1
23,Sto. Domingo Tsáchilas,511151,56,56,-0.2541670000000000,-79.17194400000000,1
21,Sucumbíos,230503,18,18,0.08472200000000002,-76.88277800000000,1
18,Tungurahua,590600,106,106,-1.241667000000000,-78.61972200000000,1
19,Zamora Chinchipe,120416,7,7,-4.120000000000000,-78.80000000000000,1
01,Azuay,881394,125,234,-2.897414000000000,-79.00448100000000,2
02,Bolívar,209933,40,60,-1.605556000000000,-79.00305600000000,2
04,Carchi,186869,38,66,0.8121800000000000,-77.71633000000000,2
03,Cañar,281396,38,70,-2.733333000000000,-78.83333300000000,2
06,Chimborazo,524004,66,151,-1.674347000000000,-78.64829400000001,2
05,Cotopaxi,488716,70,129,-0.9333330000000000,-78.61666700000001,2
07,El Oro,715751,101,182,-3.266667000000000,-79.96666700000000,2
08,Esmeraldas,591083,38,71,1.050000000000000,-79.20000000000000,2
20,Galápagos,33042,2,6,-0.7999999999999999,-89.40000000000001,2
09,Guayas,4387434,627,1181,-2.183333000000000,-79.88333299999999,2
10,Imbabura,476257,57,117,0.3626780000000000,-78.13066700000000,2
11,Loja,521154,52,103,-3.983333000000000,-79.20000000000000,2
12,Los Ríos,921763,99,191,-1.800000000000000,-79.53333300000000,2
13,Manabí,1562079,176,330,-1.056181000000000,-80.45521700000000,2
14,Morona Santiago,196535,9,21,-2.300000000000000,-78.11666700000001,2
15,Napo,133705,6,20,-0.9890000000000000,-77.81590000000000,2
22,Orellana,161338,11,22,-0.4666670000000000,-76.96666700000000,2
16,Pastaza,114202,8,10,-1.066667000000000,-78.00111099999999,2
17,Pichincha,3228233,392,767,-0.2186110000000000,-78.50972200000000,2
24,Santa Elena,401178,42,80,-2.226700000000000,-80.85830000000000,2
23,Sto. Domingo Tsáchilas,511151,64,120,-0.2541670000000000,-79.17194400000000,2
21,Sucumbíos,230503,24,42,0.08472200000000002,-76.88277800000000,2
18,Tungurahua,590600,96,202,-1.241667000000000,-78.61972200000000,2
19,Zamora Chinchipe,120416,12,19,-4.120000000000000,-78.80000000000000,2
01,Azuay,881394,115,349,-2.897414000000000,-79.00448100000000,3
02,Bolívar,209933,27,87,-1.605556000000000,-79.00305600000000,3
04,Carchi,186869,35,101,0.8121800000000000,-77.71633000000000,3
03,Cañar,281396,33,103,-2.733333000000000,-78.83333300000000,3
06,Chimborazo,524004,77,228,-1.674347000000000,-78.64829400000001,3
05,Cotopaxi,488716,57,186,-0.9333330000000000,-78.61666700000001,3
07,El Oro,715751,105,287,-3.266667000000000,-79.96666700000000,3
08,Esmeraldas,591083,49,120,1.050000000000000,-79.20000000000000,3
20,Galápagos,33042,5,11,-0.7999999999999999,-89.40000000000001,3
09,Guayas,4387434,623,1804,-2.183333000000000,-79.88333299999999,3
10,Imbabura,476257,62,179,0.3626780000000000,-78.13066700000000,3
11,Loja,521154,66,169,-3.983333000000000,-79.20000000000000,3
12,Los Ríos,921763,110,301,-1.800000000000000,-79.53333300000000,3
13,Manabí,1562079,190,520,-1.056181000000000,-80.45521700000000,3
14,Morona Santiago,196535,13,34,-2.300000000000000,-78.11666700000001,3
15,Napo,133705,15,35,-0.9890000000000000,-77.81590000000000,3
22,Orellana,161338,11,33,-0.4666670000000000,-76.96666700000000,3
16,Pastaza,114202,13,23,-1.066667000000000,-78.00111099999999,3
17,Pichincha,3228233,469,1236,-0.2186110000000000,-78.50972200000000,3
24,Santa Elena,401178,46,126,-2.226700000000000,-80.85830000000000,3
23,Sto. Domingo Tsáchilas,511151,53,173,-0.2541670000000000,-79.17194400000000,3
21,Sucumbíos,230503,19,61,0.08472200000000002,-76.88277800000000,3
18,Tungurahua,590600,135,337,-1.241667000000000,-78.61972200000000,3
19,Zamora Chinchipe,120416,8,27,-4.120000000000000,-78.80000000000000,3
01,Azuay,881394,107,456,-2.897414000000000,-79.00448100000000,4
02,Bolívar,209933,16,103,-1.605556000000000,-79.00305600000000,4
04,Carchi,186869,34,135,0.8121800000000000,-77.71633000000000,4
03,Cañar,281396,24,127,-2.733333000000000,-78.83333300000000,4
06,Chimborazo,524004,65,293,-1.674347000000000,-78.64829400000001,4
05,Cotopaxi,488716,68,254,-0.9333330000000000,-78.61666700000001,4
07,El Oro,715751,116,403,-3.266667000000000,-79.96666700000000,4
08,Esmeraldas,591083,41,161,1.050000000000000,-79.20000000000000,4
20,Galápagos,33042,0,11,-0.7999999999999999,-89.40000000000001,4
09,Guayas,4387434,630,2434,-2.183333000000000,-79.88333299999999,4
10,Imbabura,476257,74,253,0.3626780000000000,-78.13066700000000,4
11,Loja,521154,62,231,-3.983333000000000,-79.20000000000000,4
12,Los Ríos,921763,101,402,-1.800000000000000,-79.53333300000000,4
13,Manabí,1562079,177,697,-1.056181000000000,-80.45521700000000,4
14,Morona Santiago,196535,15,49,-2.300000000000000,-78.11666700000001,4
15,Napo,133705,16,51,-0.9890000000000000,-77.81590000000000,4
22,Orellana,161338,8,41,-0.4666670000000000,-76.96666700000000,4
16,Pastaza,114202,14,37,-1.066667000000000,-78.00111099999999,4
17,Pichincha,3228233,436,1672,-0.2186110000000000,-78.50972200000000,4
24,Santa Elena,401178,42,168,-2.226700000000000,-80.85830000000000,4
23,Sto. Domingo Tsáchilas,511151,51,224,-0.2541670000000000,-79.17194400000000,4
21,Sucumbíos,230503,15,76,0.08472200000000002,-76.88277800000000,4
18,Tungurahua,590600,81,418,-1.241667000000000,-78.61972200000000,4
19,Zamora Chinchipe,120416,4,31,-4.120000000000000,-78.80000000000000,4
01,Azuay,881394,116,572,-2.897414000000000,-79.00448100000000,5
02,Bolívar,209933,24,127,-1.605556000000000,-79.00305600000000,5
04,Carchi,186869,20,155,0.8121800000000000,-77.71633000000000,5
03,Cañar,281396,42,169,-2.733333000000000,-78.83333300000000,5
06,Chimborazo,524004,65,358,-1.674347000000000,-78.64829400000001,5
05,Cotopaxi,488716,72,326,-0.9333330000000000,-78.61666700000001,5
07,El Oro,715751,120,523,-3.266667000000000,-79.96666700000000,5
08,Esmeraldas,591083,46,207,1.050000000000000,-79.20000000000000,5
20,Galápagos,33042,1,12,-0.7999999999999999,-89.40000000000001,5
09,Guayas,4387434,570,3004,-2.183333000000000,-79.88333299999999,5
10,Imbabura,476257,66,319,0.3626780000000000,-78.13066700000000,5
11,Loja,521154,75,306,-3.983333000000000,-79.20000000000000,5
12,Los Ríos,921763,122,524,-1.800000000000000,-79.53333300000000,5
13,Manabí,1562079,218,915,-1.056181000000000,-80.45521700000000,5
14,Morona Santiago,196535,10,59,-2.300000000000000,-78.11666700000001,5
15,Napo,133705,4,55,-0.9890000000000000,-77.81590000000000,5
22,Orellana,161338,13,54,-0.4666670000000000,-76.96666700000000,5
16,Pastaza,114202,7,44,-1.066667000000000,-78.00111099999999,5
17,Pichincha,3228233,420,2092,-0.2186110000000000,-78.50972200000000,5
24,Santa Elena,401178,40,208,-2.226700000000000,-80.85830000000000,5
23,Sto. Domingo Tsáchilas,511151,63,287,-0.2541670000000000,-79.17194400000000,5
21,Sucumbíos,230503,14,90,0.08472200000000002,-76.88277800000000,5
18,Tungurahua,590600,95,513,-1.241667000000000,-78.61972200000000,5
19,Zamora Chinchipe,120416,8,39,-4.120000000000000,-78.80000000000000,5
01,Azuay,881394,121,693,-2.897414000000000,-79.00448100000000,6
02,Bolívar,209933,17,144,-1.605556000000000,-79.00305600000000,6
04,Carchi,186869,19,174,0.8121800000000000,-77.71633000000000,6
03,Cañar,281396,33,202,-2.733333000000000,-78.83333300000000,6
06,Chimborazo,524004,74,432,-1.674347000000000,-78.64829400000001,6
05,Cotopaxi,488716,75,401,-0.9333330000000000,-78.61666700000001,6
07,El Oro,715751,115,638,-3.266667000000000,-79.96666700000000,6
08,Esmeraldas,591083,43,250,1.050000000000000,-79.20000000000000,6
20,Galápagos,33042,1,13,-0.7999999999999999,-89.40000000000001,6
09,Guayas,4387434,625,3629,-2.183333000000000,-79.88333299999999,6
10,Imbabura,476257,62,381,0.3626780000000000,-78.13066700000000,6
11,Loja,521154,74,380,-3.983333000000000,-79.20000000000000,6
12,Los Ríos,921763,106,630,-1.800000000000000,-79.53333300000000,6
13,Manabí,1562079,194,1109,-1.056181000000000,-80.45521700000000,6
14,Morona Santiago,196535,22,81,-2.300000000000000,-78.11666700000001,6
15,Napo,133705,9,64,-0.9890000000000000,-77.81590000000000,6
22,Orellana,161338,10,64,-0.4666670000000000,-76.96666700000000,6
16,Pastaza,114202,5,49,-1.066667000000000,-78.00111099999999,6
17,Pichincha,3228233,406,2498,-0.2186110000000000,-78.50972200000000,6
24,Santa Elena,401178,29,237,-2.226700000000000,-80.85830000000000,6
23,Sto. Domingo Tsáchilas,511151,59,346,-0.2541670000000000,-79.17194400000000,6
21,Sucumbíos,230503,13,103,0.08472200000000002,-76.88277800000000,6
18,Tungurahua,590600,90,603,-1.241667000000000,-78.61972200000000,6
19,Zamora Chinchipe,120416,8,47,-4.120000000000000,-78.80000000000000,6
01,Azuay,881394,110,803,-2.897414000000000,-79.00448100000000,7
02,Bolívar,209933,30,174,-1.605556000000000,-79.00305600000000,7
04,Carchi,186869,15,189,0.8121800000000000,-77.71633000000000,7
03,Cañar,281396,30,232,-2.733333000000000,-78.83333300000000,7
06,Chimborazo,524004,61,493,-1.674347000000000,-78.64829400000001,7
05,Cotopaxi,488716,64,465,-0.9333330000000000,-78.61666700000001,7
07,El Oro,715751,111,749,-3.266667000000000,-79.96666700000000,7
08,Esmeraldas,591083,52,302,1.050000000000000,-79.20000000000000,7
20,Galápagos,33042,2,15,-0.7999999999999999,-89.40000000000001,7
09,Guayas,4387434,638,4267,-2.183333000000000,-79.88333299999999,7
10,Imbabura,476257,51,432,0.3626780000000000,-78.13066700000000,7
11,Loja,521154,81,461,-3.983333000000000,-79.20000000000000,7
12,Los Ríos,921763,115,745,-1.800000000000000,-79.53333300000000,7
13,Manabí,1562079,221,1330,-1.056181000000000,-80.45521700000000,7
14,Morona Santiago,196535,8,89,-2.300000000000000,-78.11666700000001,7
15,Napo,133705,17,81,-0.9890000000000000,-77.81590000000000,7
22,Orellana,161338,13,77,-0.4666670000000000,-76.96666700000000,7
16,Pastaza,114202,6,55,-1.066667000000000,-78.00111099999999,7
17,Pichincha,3228233,407,2905,-0.2186110000000000,-78.50972200000000,7
24,Santa Elena,401178,33,270,-2.226700000000000,-80.85830000000000,7
23,Sto. Domingo Tsáchilas,511151,68,414,-0.2541670000000000,-79.17194400000000,7
21,Sucumbíos,230503,21,124,0.08472200000000002,-76.88277800000000,7
18,Tungurahua,590600,84,687,-1.241667000000000,-78.61972200000000,7
19,Zamora Chinchipe,120416,12,59,-4.120000000000000,-78.80000000000000,7
01,Azuay,881394,132,935,-2.897414000000000,-79.00448100000000,8
02,Bolívar,209933,23,197,-1.605556000000000,-79.00305600000000,8
04,Carchi,186869,19,208,0.8121800000000000,-77.71633000000000,8
03,Cañar,281396,27,259,-2.733333000000000,-78.83333300000000,8
06,Chimborazo,524004,66,559,-1.674347000000000,-78.64829400000001,8
05,Cotopaxi,488716,62,527,-0.9333330000000000,-78.61666700000001,8
07,El Oro,715751,120,869,-3.266667000000000,-79.96666700000000,8
08,Esmeraldas,591083,54,356,1.050000000000000,-79.20000000000000,8
20,Galápagos,33042,2,17,-0.7999999999999999,-89.40000000000001,8
09,Guayas,4387434,634,4901,-2.183333000000000,-79.88333299999999,8
10,Imbabura,476257,58,490,0.3626780000000000,-78.13066700000000,8
11,Loja,521154,57,518,-3.983333000000000,-79.20000000000000,8
12,Los Ríos,921763,128,873,-1.800000000000000,-79.53333300000000,8
13,Manabí,1562079,235,1565,-1.056181000000000,-80.45521700000000,8
14,Morona Santiago,196535,8,97,-2.300000000000000,-78.11666700000001,8
15,Napo,133705,11,92,-0.9890000000000000,-77.81590000000000,8
22,Orellana,161338,8,85,-0.4666670000000000,-76.96666700000000,8
16,Pastaza,114202,11,66,-1.066667000000000,-78.00111099999999,8
17,Pichincha,3228233,393,3298,-0.2186110000000000,-78.50972200000000,8
24,Santa Elena,401178,30,300,-2.226700000000000,-80.85830000000000,8
