provincia,provincia_poblacion,canton,canton_poblacion,total,acumuladas,lat,lng,mes
Azuay,881394,Camilo Ponce Enríquez,36423,8,8,-3.050000000000000,-79.73333300000000,1
Azuay,881394,Chordeleg,15176,6,6,-2.933333000000000,-78.76666700000000,1
Azuay,881394,Cuenca,636996,388,388,-2.897414000000000,-79.00448100000000,1
Azuay,881394,El Pan,3091,1,1,-2.786111000000000,-78.66500000000001,1
Azuay,881394,Girón,13037,17,17,-3.159028000000000,-79.14756800000001,1
Azuay,881394,Guachapala,3859,0,0,-2.769000000000000,-78.70900000000000,1
Azuay,881394,Gualaceo,49104,25,25,-2.900000000000000,-78.78333300000000,1
Azuay,881394,Nabón,17292,10,10,-3.336060000000000,-79.06368000000001,1
Azuay,881394,Oña,4128,2,2,-3.469640000000000,-79.15431000000000,1
Azuay,881394,Paute,29214,6,6,-2.781800000000000,-78.76000000000001,1
Azuay,881394,Pucará,10584,5,5,-3.233780000000000,-79.46120000000001,1
Azuay,881394,San Fernando,4156,4,4,-3.144500000000000,-79.25200000000000,1
Azuay,881394,Santa Isabel,20935,12,12,-3.274170000000000,-79.31560000000000,1
Azuay,881394,Sevilla de Oro,6890,2,2,-2.799833000000000,-78.65569400000000,1
Azuay,881394,Sígsig,30509,19,19,-3.089700000000000,-78.80320000000000,1
Bolívar,209933,Caluma,16429,2,2,-1.633330000000000,-79.25000000000000,1
Bolívar,209933,Chillanes,16850,13,13,-1.933333000000000,-79.06666700000000,1
Bolívar,209933,Chimbo,17378,5,5,-1.700000000000000,-79.01666700000000,1
Bolívar,209933,Echeandía,14081,7,7,-1.433330000000000,-79.26667000000000,1
Bolívar,209933,Guaranda,108763,44,44,-1.605556000000000,-79.00305600000000,1
Bolívar,209933,Las Naves,7428,3,3,-1.283330000000000,-79.30000000000000,1
Bolívar,209933,San Miguel,29004,36,36,-1.700000000000000,-79.03333300000000,1
Carchi,186869,Bolivar,15528,11,11,0.5070990000000000,-77.86245400000000,1
Carchi,186869,Espejo,13817,11,11,0.6210000000000000,-77.94000000000000,1
Carchi,186869,Mira,11969,6,6,0.5538999999999998,-78.04930000000000,1
Carchi,186869,Montúfar,34229,16,16,0.6100000000000000,-77.84000000000000,1
Carchi,186869,San Pedro de Huaca,8931,3,3,0.6311110000000000,-77.72527800000000,1
Carchi,186869,Tulcán,102395,104,104,0.8121800000000000,-77.71633000000000,1
Cañar,281396,Azogues,86276,71,71,-2.733333000000000,-78.83333300000000,1
Cañar,281396,Biblían,23741,9,9,-2.710000000000000,-78.88000000000000,1
Cañar,281396,Cañar,68747,20,20,-2.483700000000000,-78.97839999999999,1
Cañar,281396,Déleg,6782,4,4,-2.772600000000000,-78.91830000000000,1
Cañar,281396,El Tambo,12462,1,1,-2.508100000000000,-78.92489999999999,1
Cañar,281396,La Troncal,76872,34,34,-2.400000000000000,-79.33000000000000,1
Cañar,281396,Suscal,6516,0,0,-2.436400000000000,-79.05220000000000,1
Chimborazo,524004,Alausí,45054,20,20,-2.200000000000000,-78.84999999999999,1
Chimborazo,524004,Chambo,13378,7,7,-1.733333000000000,-78.58333300000000,1
Chimborazo,524004,Chunchi,12795,9,9,-2.283333000000000,-78.91666700000000,1
Chimborazo,524004,Colta,44838,20,20,-1.700000000000000,-78.75000000000000,1
Chimborazo,524004,Cumandá,17973,8,8,-2.200000000000000,-79.13333299999999,1
Chimborazo,524004,Guamote,58291,26,26,-1.933333000000000,-78.71666700000000,1
Chimborazo,524004,Guano,48395,21,21,-1.583333000000000,-78.63333299999999,1
Chimborazo,524004,Pallatanga,12277,1,1,-1.983333000000000,-78.95000000000000,1
Chimborazo,524004,Penipe,6955,3,3,-1.557300000000000,-78.53959999999999,1
Chimborazo,524004,Riobamba,264048,202,202,-1.674347000000000,-78.64829400000001,1
Cotopaxi,488716,La Maná,56905,15,15,-0.9300000000000000,-79.22000000000000,1
Cotopaxi,488716,Latacunga,205624,174,174,-0.9333330000000000,-78.61666700000001,1
