inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,lat,lng,Enero,Febrero,Marzo,Abril
01,Azuay,881394,0115,Camilo Ponce Enríquez,36423,-3.05,-79.733333,8,15,25,26
01,Azuay,881394,0111,Chordeleg,15176,-2.933333,-78.766667,6,11,14,14
01,Azuay,881394,0101,Cuenca,636996,-2.897414,-79.004481,385,759,1142,1250
01,Azuay,881394,0112,El Pan,3091,-2.786111,-78.665,1,3,6,6
01,Azuay,881394,0102,Girón,13037,-3.159028,-79.147568,17,28,45,50
01,Azuay,881394,0114,Guachapala,3859,-2.769,-78.709,0,3,3,3
01,Azuay,881394,0103,Gualaceo,49104,-2.9,-78.783333,25,42,64,75
01,Azuay,881394,0104,Nabón,17292,-3.33606,-79.06368,10,19,25,27
01,Azuay,881394,0110,Oña,4128,-3.46964,-79.15431,2,5,7,8
01,Azuay,881394,0105,Paute,29214,-2.7818,-78.76,6,21,30,33
01,Azuay,881394,0106,Pucará,10584,-3.23378,-79.4612,5,10,17,18
01,Azuay,881394,0107,San Fernando,4156,-3.1445,-79.252,4,5,8,9
01,Azuay,881394,0108,Santa Isabel,20935,-3.27417,-79.3156,12,19,30,31
01,Azuay,881394,0113,Sevilla de Oro,6890,-2.799833,-78.655694,2,5,9,9
01,Azuay,881394,0109,Sígsig,30509,-3.0897,-78.8032,19,29,51,54
02,Bolívar,209933,0206,Caluma,16429,-1.63333,-79.25,2,15,25,26
02,Bolívar,209933,0202,Chillanes,16850,-1.933333,-79.066667,12,21,35,39
02,Bolívar,209933,0203,Chimbo,17378,-1.7,-79.016667,5,13,25,28
02,Bolívar,209933,0204,Echeandía,14081,-1.43333,-79.26667,7,12,19,21
02,Bolívar,209933,0201,Guaranda,108763,-1.605556,-79.003056,44,87,167,198
02,Bolívar,209933,0207,Las Naves,7428,-1.28333,-79.3,3,4,6,8
02,Bolívar,209933,0205,San Miguel,29004,-1.7,-79.033333,36,51,70,78
04,Carchi,186869,0402,Bolivar,15528,0.507099,-77.862454,11,14,20,22
04,Carchi,186869,0403,Espejo,13817,0.621,-77.94,11,16,28,30
04,Carchi,186869,0404,Mira,11969,0.5539,-78.0493,6,12,15,17
04,Carchi,186869,0405,Montúfar,34229,0.61,-77.84,16,29,45,48
04,Carchi,186869,0406,San Pedro de Huaca,8931,0.631111,-77.725278,3,7,10,11
04,Carchi,186869,0401,Tulcán,102395,0.81218,-77.71633,103,145,197,217
03,Cañar,281396,0301,Azogues,86276,-2.733333,-78.833333,70,136,205,222
03,Cañar,281396,0302,Biblían,23741,-2.71,-78.88,9,15,19,20
03,Cañar,281396,0303,Cañar,68747,-2.4837,-78.9784,19,38,71,76
03,Cañar,281396,0306,Déleg,6782,-2.7726,-78.9183,4,7,12,13
03,Cañar,281396,0305,El Tambo,12462,-2.5081,-78.9249,1,6,13,13
03,Cañar,281396,0304,La Troncal,76872,-2.4,-79.33,34,61,100,109
03,Cañar,281396,0307,Suscal,6516,-2.4364,-79.0522,0,2,5,6
06,Chimborazo,524004,0602,Alausí,45054,-2.2,-78.85,19,36,48,52
06,Chimborazo,524004,0604,Chambo,13378,-1.733333,-78.583333,6,15,22,23
06,Chimborazo,524004,0605,Chunchi,12795,-2.283333,-78.916667,9,16,26,26
06,Chimborazo,524004,0603,Colta,44838,-1.7,-78.75,20,40,63,71
06,Chimborazo,524004,0610,Cumandá,17973,-2.2,-79.133333,8,14,23,24
06,Chimborazo,524004,0606,Guamote,58291,-1.933333,-78.716667,25,48,68,74
06,Chimborazo,524004,0607,Guano,48395,-1.583333,-78.633333,21,34,53,55
06,Chimborazo,524004,0608,Pallatanga,12277,-1.983333,-78.95,1,6,11,13
06,Chimborazo,524004,0609,Penipe,6955,-1.5573,-78.5396,3,6,9,11
06,Chimborazo,524004,0601,Riobamba,264048,-1.674347,-78.648294,200,357,564,642
05,Cotopaxi,488716,0502,La Maná,56905,-0.93,-79.22,10,30,50,56
05,Cotopaxi,488716,0501,Latacunga,205624,-0.933333,-78.616667,173,351,503,569
05,Cotopaxi,488716,0503,Pangua,24612,-1.133333,-79.066667,12,26,35,36
05,Cotopaxi,488716,0504,Pujilí,79772,-0.95,-78.69,27,48,80,94
05,Cotopaxi,488716,0505,Salcedo,67100,-1.05,-78.583333,31,56,87,97
05,Cotopaxi,488716,0506,Saquisilí,31426,-0.83,-78.67,12,22,27,30
05,Cotopaxi,488716,0507,Sigchos,23277,-0.7,-78.883333,7,10,18,19
07,El Oro,715751,0702,Arenillas,33473,-3.55,-80.06,10,28,45,49
07,El Oro,715751,0703,Atahualpa,6436,-2.9,-78.933333,3,6,9,10
07,El Oro,715751,0704,Balsas,9233,-3.7626,-79.8253,0,2,5,5
07,El Oro,715751,0705,Chilla,2379,-3.45,-79.58,0,2,3,4
07,El Oro,715751,0706,El Guabo,63645,-3.2388,-79.8292,29,52,70,77
07,El Oro,715751,0707,Huaquillas,60440,-3.48138,-80.243207,23,50,69,83
07,El Oro,715751,0714,Las Lajas,4963,-3.785,-80.061667,2,4,8,9
07,El Oro,715751,0701,Machala,289141,-3.266667,-79.966667,255,523,815,948
07,El Oro,715751,0708,Marcabelí,6259,-3.786,-79.8978,2,5,8,8
07,El Oro,715751,0709,Pasaje,87723,-3.3269,-79.8049,44,87,121,138
07,El Oro,715751,0710,Piñas,30206,-3.666667,-79.65,22,50,73,82
07,El Oro,715751,0711,Portovelo,14028,-3.72,-79.62,3,5,10,10
07,El Oro,715751,0712,Santa Rosa,82171,-3.452222,-79.961667,29,53,91,106
07,El Oro,715751,0713,Zaruma,25654,-3.433333,-79.6,16,26,39,40
08,Esmeraldas,591083,0806,Atacames,55495,0.866667,-79.833333,13,22,38,42
08,Esmeraldas,591083,0802,Eloy Alfaro,45629,1.25,-79,5,5,8,8
08,Esmeraldas,591083,0801,Esmeraldas,218727,1.05,-79.2,90,197,369,421
08,Esmeraldas,591083,0803,Muisne,31106,0.6067,-80.0183,3,10,19,20
08,Esmeraldas,591083,0804,Quinindé,145879,0.33,-79.48,31,65,124,131
08,Esmeraldas,591083,0807,Rioverde,31475,1.0602,-79.4044,10,16,26,26
08,Esmeraldas,591083,0805,San Lorenzo,62772,1.2658,-78.8414,13,23,30,32
20,Galápagos,33042,2002,Isabela,3073,-0.4724,-90.6811,0,0,1,1
20,Galápagos,33042,2001,San Cristóbal,9667,-0.8,-89.4,9,12,19,21
20,Galápagos,33042,2003,Santa Cruz,20302,-0.633333,-90.366667,3,6,9,9
09,Guayas,4387434,0902,Alfredo Baquerizo Moreno,32110,-1.916667,-79.516667,10,19,27,30
09,Guayas,4387434,0903,Balao,26348,-2.91,-79.81,10,16,20,23
