provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9
Azuay,881394,Camilo Ponce Enríquez,36423,-3.050000000000000,-79.73333300000000,3,4,5,7,8,11,13,13,13
Azuay,881394,Chordeleg,15176,-2.933333000000000,-78.76666700000000,1,2,5,5,5,6,8,9,9
Azuay,881394,Cuenca,636996,-2.897414000000000,-79.00448100000000,86,175,264,344,441,526,599,658,689
Azuay,881394,El Pan,3091,-2.786111000000000,-78.66500000000001,0,0,1,1,3,3,3,3,3
Azuay,881394,Girón,13037,-3.159028000000000,-79.14756800000001,1,7,10,16,19,22,23,25,27
Azuay,881394,Guachapala,3859,-2.769000000000000,-78.70900000000000,0,0,0,0,0,1,1,2,2
Azuay,881394,Gualaceo,49104,-2.900000000000000,-78.78333300000000,2,12,19,22,23,27,34,38,39
Azuay,881394,Nabón,17292,-3.336060000000000,-79.06368000000001,4,6,7,8,10,11,14,14,14
Azuay,881394,Oña,4128,-3.469640000000000,-79.15431000000000,0,0,0,2,2,4,4,5,6
Azuay,881394,Paute,29214,-2.781800000000000,-78.76000000000001,2,2,3,5,8,12,14,15,17
Azuay,881394,Pucará,10584,-3.233780000000000,-79.46120000000001,0,2,4,4,5,6,8,8,8
Azuay,881394,San Fernando,4156,-3.144500000000000,-79.25200000000000,0,2,3,4,4,4,4,4,4
Azuay,881394,Santa Isabel,20935,-3.274170000000000,-79.31560000000000,3,4,5,8,8,10,12,13,13
Azuay,881394,Sevilla de Oro,6890,-2.799833000000000,-78.65569400000000,0,0,1,2,2,3,3,3,3
Azuay,881394,Sígsig,30509,-3.089700000000000,-78.80320000000000,7,14,15,19,21,23,26,27,28
Bolívar,209933,Caluma,16429,-1.633330000000000,-79.25000000000000,0,2,2,2,4,7,12,13,13
Bolívar,209933,Chillanes,16850,-1.933333000000000,-79.06666700000000,0,3,6,10,13,13,14,15,16
Bolívar,209933,Chimbo,17378,-1.700000000000000,-79.01666700000000,1,2,3,4,6,6,10,10,11
Bolívar,209933,Echeandía,14081,-1.433330000000000,-79.26667000000000,2,6,6,7,8,12,12,12,12
Bolívar,209933,Guaranda,108763,-1.605556000000000,-79.00305600000000,8,22,37,41,51,57,67,75,81
Bolívar,209933,Las Naves,7428,-1.283330000000000,-79.30000000000000,1,1,1,2,2,2,2,2,2
Bolívar,209933,San Miguel,29004,-1.700000000000000,-79.03333300000000,7,23,31,34,40,44,46,48,49
Carchi,186869,Bolivar,15528,0.5070990000000000,-77.86245400000000,1,8,9,10,12,12,13,13,13
Carchi,186869,Espejo,13817,0.6210000000000000,-77.94000000000000,1,4,8,10,11,13,14,15,17
Carchi,186869,Mira,11969,0.5538999999999999,-78.04930000000000,2,2,3,5,6,6,8,9,9
Carchi,186869,Montúfar,34229,0.6100000000000000,-77.84000000000000,3,7,11,15,19,24,26,27,27
Carchi,186869,San Pedro de Huaca,8931,0.6311110000000000,-77.72527800000000,0,1,2,3,5,6,6,6,7
Carchi,186869,Tulcán,102395,0.8121800000000000,-77.71633000000000,20,42,66,90,100,110,119,125,126
Cañar,281396,Azogues,86276,-2.733333000000000,-78.83333300000000,14,32,52,65,91,104,115,122,130
Cañar,281396,Biblían,23741,-2.710000000000000,-78.88000000000000,4,5,7,8,11,11,12,12,12
Cañar,281396,Cañar,68747,-2.483700000000000,-78.97839999999999,4,10,14,18,55,86,105,116,117
Cañar,281396,Déleg,6782,-2.772600000000000,-78.91830000000000,1,2,3,3,3,4,5,5,6
Cañar,281396,El Tambo,12462,-2.508100000000000,-78.92489999999999,0,0,0,0,1,1,1,2,2
Cañar,281396,La Troncal,76872,-2.400000000000000,-79.33000000000000,9,20,24,29,35,43,46,47,48
Cañar,281396,Suscal,6516,-2.436400000000000,-79.05220000000000,0,0,0,0,0,2,2,2,2
Chimborazo,524004,Alausí,45054,-2.200000000000000,-78.84999999999999,3,8,13,16,23,25,27,28,28
