inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18
01,Azuay,881394,0115,Camilo Ponce Enríquez,36423,-3.05,-79.733333,3,4,6,8,9,13,15,16,17,19,20,26,28,30,31,32,34,35
01,Azuay,881394,0111,Chordeleg,15176,-2.933333,-78.766667,1,2,5,5,5,7,9,10,10,11,13,13,13,13,16,17,17,17
01,Azuay,881394,0101,Cuenca,636996,-2.897414,-79.004481,86,179,268,349,448,537,619,724,810,892,981,1078,1166,1262,1369,1480,1598,1662
01,Azuay,881394,0112,El Pan,3091,-2.786111,-78.665,0,0,1,1,3,3,3,3,3,4,6,6,6,6,7,7,8,8
01,Azuay,881394,0102,Girón,13037,-3.159028,-79.147568,1,7,10,16,19,22,24,27,32,37,40,44,52,53,59,62,66,68
01,Azuay,881394,0114,Guachapala,3859,-2.769,-78.709,0,0,0,0,0,2,3,4,4,4,4,4,4,5,5,5,6,6
01,Azuay,881394,0103,Gualaceo,49104,-2.9,-78.783333,2,12,19,22,23,28,35,39,41,48,53,60,67,75,78,89,93,93
01,Azuay,881394,0104,Nabón,17292,-3.33606,-79.06368,4,6,7,8,10,11,14,17,19,20,21,22,23,25,26,27,29,34
01,Azuay,881394,0110,Oña,4128,-3.46964,-79.15431,0,0,0,2,2,4,4,5,6,6,6,7,7,8,10,11,11,11
01,Azuay,881394,0105,Paute,29214,-2.7818,-78.76,2,2,3,5,8,12,15,20,22,23,25,28,29,34,37,41,45,47
01,Azuay,881394,0106,Pucará,10584,-3.23378,-79.4612,0,2,5,5,6,7,9,10,10,13,14,16,19,22,23,24,24,24
01,Azuay,881394,0107,San Fernando,4156,-3.1445,-79.252,0,2,3,4,4,4,4,5,5,7,7,8,9,10,10,10,12,12
01,Azuay,881394,0108,Santa Isabel,20935,-3.27417,-79.3156,3,4,5,8,8,10,12,15,17,18,21,27,27,29,33,34,38,39
01,Azuay,881394,0113,Sevilla de Oro,6890,-2.799833,-78.655694,0,0,1,2,2,4,4,5,5,5,9,9,9,9,9,9,9,9
01,Azuay,881394,0109,Sígsig,30509,-3.0897,-78.8032,7,14,15,19,21,24,27,29,34,36,47,49,52,54,58,62,66,71
02,Bolívar,209933,0206,Caluma,16429,-1.63333,-79.25,0,2,2,2,4,7,12,15,16,19,20,24,25,26,27,29,31,31
02,Bolívar,209933,0202,Chillanes,16850,-1.933333,-79.066667,0,3,6,10,13,13,16,19,20,22,28,32,37,39,41,42,44,44
02,Bolívar,209933,0203,Chimbo,17378,-1.7,-79.016667,2,3,4,5,7,7,12,13,15,18,22,25,28,30,35,35,36,37
02,Bolívar,209933,0204,Echeandía,14081,-1.43333,-79.26667,2,6,6,7,8,12,12,12,14,15,16,17,19,22,23,24,27,27
02,Bolívar,209933,0201,Guaranda,108763,-1.605556,-79.003056,8,22,37,41,51,57,71,84,97,114,136,153,175,198,221,233,251,266
02,Bolívar,209933,0207,Las Naves,7428,-1.28333,-79.3,1,1,1,2,2,2,3,3,4,4,5,5,6,7,9,11,12,12
02,Bolívar,209933,0205,San Miguel,29004,-1.7,-79.033333,7,23,31,35,41,45,47,50,54,57,63,68,70,78,82,88,92,92
04,Carchi,186869,0402,Bolivar,15528,0.507099,-77.862454,1,8,9,10,12,12,13,13,14,17,19,19,20,21,21,26,28,28
04,Carchi,186869,0403,Espejo,13817,0.621,-77.94,1,4,8,10,11,13,14,15,17,21,23,26,27,29,31,32,33,33
04,Carchi,186869,0404,Mira,11969,0.5539,-78.0493,2,3,4,6,7,8,10,12,12,12,13,15,17,18,19,19,20,20
04,Carchi,186869,0405,Montúfar,34229,0.61,-77.84,3,7,11,15,19,24,26,28,28,35,39,42,44,47,48,51,57,58
04,Carchi,186869,0406,San Pedro de Huaca,8931,0.631111,-77.725278,0,1,2,3,5,6,6,7,9,9,10,10,10,12,12,12,15,15
04,Carchi,186869,0401,Tulcán,102395,0.81218,-77.71633,20,42,66,90,100,110,119,132,139,148,165,179,190,209,219,233,258,277
03,Cañar,281396,0301,Azogues,86276,-2.733333,-78.833333,14,32,53,67,94,107,119,133,150,168,185,198,211,226,243,260,273,281
03,Cañar,281396,0302,Biblían,23741,-2.71,-78.88,4,5,7,8,12,12,14,14,15,15,16,18,19,21,23,24,24,26
03,Cañar,281396,0303,Cañar,68747,-2.4837,-78.9784,4,10,14,18,19,26,31,37,45,55,60,68,75,84,89,92,97,97
03,Cañar,281396,0306,Déleg,6782,-2.7726,-78.9183,1,2,3,3,3,4,5,6,7,7,8,11,11,12,12,13,13,13
03,Cañar,281396,0305,El Tambo,12462,-2.5081,-78.9249,0,0,0,0,1,1,3,5,6,8,10,11,12,12,13,13,13,13
03,Cañar,281396,0304,La Troncal,76872,-2.4,-79.33,9,20,24,29,35,45,53,57,61,74,83,96,100,108,122,133,140,142
03,Cañar,281396,0307,Suscal,6516,-2.4364,-79.0522,0,0,0,0,0,2,2,2,2,3,4,5,5,8,8,8,8,8
06,Chimborazo,524004,0602,Alausí,45054,-2.2,-78.85,3,8,13,16,23,26,29,34,36,39,42,45,47,51,54,57,59,61
06,Chimborazo,524004,0604,Chambo,13378,-1.733333,-78.583333,2,4,5,6,8,9,11,15,16,17,20,22,23,23,25,29,31,33
06,Chimborazo,524004,0605,Chunchi,12795,-2.283333,-78.916667,7,7,9,9,11,14,15,16,17,21,25,26,27,27,30,31,33,35
06,Chimborazo,524004,0603,Colta,44838,-1.7,-78.75,9,10,12,16,22,29,31,36,43,49,54,60,65,70,75,83,88,88
06,Chimborazo,524004,0610,Cumandá,17973,-2.2,-79.133333,1,3,5,8,10,11,12,14,17,19,19,24,24,25,27,27,29,31
06,Chimborazo,524004,0606,Guamote,58291,-1.933333,-78.716667,6,9,15,23,29,32,38,46,50,55,61,68,73,79,86,89,93,97
06,Chimborazo,524004,0607,Guano,48395,-1.583333,-78.633333,5,10,14,19,22,27,29,32,38,44,45,49,53,53,56,63,66,69
06,Chimborazo,524004,0608,Pallatanga,12277,-1.983333,-78.95,0,0,1,1,3,4,4,6,7,10,10,10,12,16,16,19,23,24
06,Chimborazo,524004,0609,Penipe,6955,-1.5573,-78.5396,0,1,1,2,4,4,5,5,5,5,5,8,9,10,10,10,10,11
06,Chimborazo,524004,0601,Riobamba,264048,-1.674347,-78.648294,51,98,151,189,222,272,313,348,395,439,489,538,592,655,713,782,834,883
05,Cotopaxi,488716,0502,La Maná,56905,-0.93,-79.22,0,4,8,9,14,20,25,29,37,43,44,48,52,56,62,64,71,74
05,Cotopaxi,488716,0501,Latacunga,205624,-0.933333,-78.616667,37,82,116,159,207,261,300,337,375,399,443,477,515,559,617,669,711,737
05,Cotopaxi,488716,0503,Pangua,24612,-1.133333,-79.066667,1,7,10,12,15,16,18,26,27,28,31,35,36,36,38,40,44,46
05,Cotopaxi,488716,0504,Pujilí,79772,-0.95,-78.69,7,12,17,26,33,36,41,47,52,59,64,80,84,95,102,108,115,117
05,Cotopaxi,488716,0505,Salcedo,67100,-1.05,-78.583333,6,10,18,26,30,37,47,51,56,64,72,79,89,93,95,100,104,104
05,Cotopaxi,488716,0506,Saquisilí,31426,-0.83,-78.67,5,9,9,11,15,18,19,21,22,22,24,26,28,31,32,34,37,40
05,Cotopaxi,488716,0507,Sigchos,23277,-0.7,-78.883333,2,3,4,7,8,8,10,10,10,13,15,18,18,19,23,27,31,33
07,El Oro,715751,0702,Arenillas,33473,-3.55,-80.06,1,5,6,8,11,16,16,26,29,35,37,41,44,48,48,51,52,53
07,El Oro,715751,0703,Atahualpa,6436,-2.9,-78.933333,2,3,3,3,5,6,6,6,6,8,8,8,10,10,12,12,12,12
07,El Oro,715751,0704,Balsas,9233,-3.7626,-79.8253,0,0,0,0,0,0,2,2,2,3,4,6,6,6,6,6,7,7
07,El Oro,715751,0705,Chilla,2379,-3.45,-79.58,0,0,0,0,1,1,1,2,3,3,3,3,3,4,4,4,6,6
07,El Oro,715751,0706,El Guabo,63645,-3.2388,-79.8292,3,12,21,28,36,43,43,51,53,61,62,68,73,76,84,97,109,113
07,El Oro,715751,0707,Huaquillas,60440,-3.48138,-80.243207,4,8,14,21,30,34,42,48,50,56,62,67,72,85,96,103,115,118
07,El Oro,715751,0714,Las Lajas,4963,-3.785,-80.061667,2,2,2,2,2,2,3,4,4,5,7,7,9,9,10,11,11,11
07,El Oro,715751,0701,Machala,289141,-3.266667,-79.966667,44,101,165,235,311,368,441,503,573,627,697,779,860,952,1036,1148,1253,1313
07,El Oro,715751,0708,Marcabelí,6259,-3.786,-79.8978,1,2,2,2,2,4,5,5,6,6,7,8,9,9,9,9,9,9
07,El Oro,715751,0709,Pasaje,87723,-3.3269,-79.8049,9,15,28,38,44,59,71,82,86,95,100,112,126,140,152,168,180,186
07,El Oro,715751,0710,Piñas,30206,-3.666667,-79.65,6,11,15,20,25,35,42,50,51,57,66,73,81,93,97,106,113,115
07,El Oro,715751,0711,Portovelo,14028,-3.72,-79.62,2,2,3,3,3,3,4,5,7,9,10,10,12,13,16,17,19,21
07,El Oro,715751,0712,Santa Rosa,82171,-3.452222,-79.961667,4,12,17,25,29,36,41,50,61,65,79,84,97,110,120,134,140,144
07,El Oro,715751,0713,Zaruma,25654,-3.433333,-79.6,3,8,9,14,18,24,24,25,27,32,36,36,39,41,43,44,47,47
08,Esmeraldas,591083,0806,Atacames,55495,0.866667,-79.833333,2,5,8,13,16,18,20,22,27,29,32,37,40,43,46,50,50,53
08,Esmeraldas,591083,0802,Eloy Alfaro,45629,1.25,-79,2,3,3,4,4,4,5,5,6,8,9,9,9,9,12,12,12,12
08,Esmeraldas,591083,0801,Esmeraldas,218727,1.05,-79.2,15,33,64,86,107,140,170,199,235,272,322,358,404,446,489,531,553,569
08,Esmeraldas,591083,0803,Muisne,31106,0.6067,-80.0183,1,2,2,3,5,7,8,10,12,15,16,19,21,21,21,22,24,26
08,Esmeraldas,591083,0804,Quinindé,145879,0.33,-79.48,6,17,26,32,44,49,57,66,75,81,93,121,129,135,145,154,161,163
08,Esmeraldas,591083,0807,Rioverde,31475,1.0602,-79.4044,1,1,4,8,11,11,12,14,15,21,24,25,26,27,29,30,30,31
08,Esmeraldas,591083,0805,San Lorenzo,62772,1.2658,-78.8414,3,6,8,10,11,12,14,20,21,25,27,28,28,30,33,38,42,42
20,Galápagos,33042,2002,Isabela,3073,-0.4724,-90.6811,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
20,Galápagos,33042,2001,San Cristóbal,9667,-0.8,-89.4,2,4,9,9,10,10,11,12,13,15,17,19,20,21,23,24,25,25
20,Galápagos,33042,2003,Santa Cruz,20302,-0.633333,-90.366667,2,2,2,2,2,3,4,5,7,8,8,8,8,8,8,9,12,12
09,Guayas,4387434,0902,Alfredo Baquerizo Moreno,32110,-1.916667,-79.516667,1,4,8,9,9,13,15,18,19,21,21,25,27,30,32,36,38,38
09,Guayas,4387434,0903,Balao,26348,-2.91,-79.81,2,5,6,8,9,11,12,14,15,15,19,19,22,24,24,26,28,28
09,Guayas,4387434,0904,Balzar,60260,-1.36,-79.9,2,8,14,18,20,23,30,39,48,53,60,66,75,83,95,103,111,116
09,Guayas,4387434,0905,Colimes,26169,-1.55,-80.016667,3,6,8,9,9,9,10,10,12,14,16,16,21,27,29,32,33,37
09,Guayas,4387434,0923,Coronel Marcelino Maridueña,13132,-2.2,-79.42,0,1,2,2,2,2,5,5,5,7,8,9,9,9,11,14,14,15
09,Guayas,4387434,0906,Daule,173684,-1.866667,-79.983333,16,32,45,62,79,93,106,119,131,151,168,191,214,243,269,284,312,328
09,Guayas,4387434,0907,Durán,315724,-2.166667,-79.833333,9,28,47,58,71,87,105,117,135,154,178,202,219,239,267,293,313,331
09,Guayas,4387434,0909,El Triunfo,59636,-2.33,-79.4,4,11,15,18,23,28,34,40,46,50,54,59,66,75,81,86,89,90
09,Guayas,4387434,0908,Empalme,86073,-1.046111,-79.633611,8,15,21,27,36,46,55,62,76,86,96,101,109,117,131,145,160,163
09,Guayas,4387434,0927,General Antonio Elizalde,13156,-2.2,-79.17,2,3,5,8,11,13,14,14,17,18,22,25,28,28,29,30,31,33
09,Guayas,4387434,0901,Guayaquil,2723665,-2.183333,-79.883333,443,923,1380,1851,2276,2749,3229,3725,4191,4710,5238,5810,6423,7070,7769,8472,9103,9619
09,Guayas,4387434,0928,Isidro Ayora,14582,-1.883333,-80.166667,0,1,3,3,3,4,5,6,6,7,7,7,7,11,11,13,13,13
09,Guayas,4387434,0924,Lomas de Sargentillo,24220,-1.883333,-80.083333,0,2,3,5,5,6,8,10,10,13,15,17,17,21,24,26,27,28
09,Guayas,4387434,0910,Milagro,199835,-2.126944,-79.599167,28,61,102,151,194,228,262,303,340,375,419,467,508,563,591,637,677,699
