provincia,poblacion,lat,lng,01/01/2021,02/01/2021,03/01/2021,04/01/2021,05/01/2021,06/01/2021,07/01/2021,08/01/2021,09/01/2021,10/01/2021,11/01/2021,12/01/2021,13/01/2021,14/01/2021,15/01/2021,16/01/2021,17/01/2021,18/01/2021,19/01/2021,20/01/2021,21/01/2021,22/01/2021,23/01/2021,24/01/2021,25/01/2021,26/01/2021,27/01/2021,28/01/2021,29/01/2021,30/01/2021,31/01/2021,01/02/2021,02/02/2021,03/02/2021,04/02/2021,05/02/2021,06/02/2021,07/02/2021,08/02/2021,09/02/2021,10/02/2021,11/02/2021,12/02/2021,13/02/2021,14/02/2021,15/02/2021,16/02/2021,17/02/2021,18/02/2021,19/02/2021,20/02/2021,21/02/2021,22/02/2021,23/02/2021
Azuay,881394,-2.897414000000000,-79.00448100000000,17,29,49,64,79,97,106,125,143,158,175,190,208,227,239,255,279,291,312,327,345,359,371,391,402,417,441,456,467,481,496,514,531,543,560,579,599,608,629,641,651,667,678,695,713,732,750,765,778,787,797,806,817,817
Bolívar,209933,-1.605556000000000,-79.00305600000000,5,7,7,10,12,16,18,21,21,26,29,32,34,42,47,49,66,71,76,81,84,85,89,93,94,98,100,101,102,105,107,112,114,118,122,124,128,131,135,136,139,141,144,145,148,149,152,156,157,159,163,169,170,171
Carchi,186869,0.8121800000000000,-77.71633000000000,5,9,16,18,20,21,27,35,38,43,48,53,59,65,73,77,80,89,92,94,99,105,109,115,123,128,133,137,141,146,149,151,156,157,160,166,168,168,170,172,176,181,183,184,186,188,189,194,194,197,198,201,201,201
Cañar,281396,-2.733333000000000,-78.83333300000000,4,8,12,14,22,27,36,36,39,44,48,51,56,64,73,77,80,84,87,91,97,99,106,111,117,120,122,126,127,127,134,137,141,147,155,164,165,171,171,178,180,188,194,198,201,203,206,207,208,210,213,217,222,222
Chimborazo,524004,-1.674347000000000,-78.64829400000001,9,17,25,34,49,58,71,88,101,108,116,121,129,140,150,162,174,189,201,207,215,231,239,249,258,262,270,285,293,303,311,322,330,337,346,356,363,374,383,393,402,414,424,428,442,450,453,464,474,482,488,495,500,503
Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,13,18,23,30,35,43,51,59,66,79,97,106,118,128,132,141,148,153,157,161,172,181,191,202,207,222,228,239,244,255,270,281,295,300,311,324,330,340,352,364,378,386,398,405,410,417,423,436,444,454,456,462,465,467
El Oro,715751,-3.266667000000000,-79.96666700000000,17,27,38,45,55,64,77,93,105,117,126,142,158,168,180,200,217,227,240,255,275,287,302,317,330,344,364,378,398,413,426,444,455,475,492,505,521,543,558,575,584,604,612,625,635,648,664,676,691,699,710,722,731,737
Esmeraldas,591083,1.050000000000000,-79.20000000000000,6,10,15,21,23,28,33,36,38,42,49,58,61,66,69,73,78,85,89,98,102,109,112,121,127,131,133,137,138,145,155,161,164,169,177,181,183,191,198,200,206,214,219,222,228,237,243,250,252,256,259,262,266,266
Galápagos,33042,-0.8000000000000000,-89.40000000000001,0,0,1,2,2,2,3,4,4,5,5,5,5,5,5,6,7,8,9,10,10,11,11,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,15,15,15,15
Guayas,4387434,-2.183333000000000,-79.88333299999999,77,153,227,294,384,456,540,614,706,779,880,957,1044,1131,1214,1296,1399,1475,1560,1646,1742,1838,1934,2018,2109,2200,2306,2396,2476,2563,2632,2702,2796,2873,2943,3018,3108,3195,3284,3378,3450,3536,3613,3702,3802,3887,3981,4067,4155,4242,4336,4411,4481,4517
Imbabura,476257,0.3626780000000000,-78.13066700000000,9,14,21,32,36,43,53,60,71,80,88,94,103,114,123,130,137,146,155,163,174,183,192,197,207,213,226,232,241,254,267,275,288,297,305,311,322,332,337,343,358,365,371,380,392,398,403,412,419,421,426,432,440,443
Loja,521154,-3.983333000000000,-79.20000000000000,6,12,19,30,39,49,56,61,66,69,79,83,88,97,105,112,115,120,130,139,156,165,171,177,187,195,200,204,207,216,231,242,254,261,271,279,291,298,312,317,326,331,345,353,361,371,379,388,396,405,413,415,417,419
Los Ríos,921763,-1.800000000000000,-79.53333300000000,13,33,38,56,69,84,96,103,116,127,141,148,160,176,195,206,223,230,246,261,275,297,312,325,348,360,372,387,397,412,420,441,462,476,488,502,517,535,548,565,581,589,597,612,620,628,648,662,676,688,694,708,727,730
Manabí,1562079,-1.056181000000000,-80.45521700000000,24,52,81,104,119,142,163,182,213,233,248,274,294,319,348,376,405,437,462,492,516,537,559,587,612,638,658,681,702,723,751,783,806,828,855,892,917,955,983,1007,1035,1060,1081,1099,1121,1145,1168,1193,1220,1242,1267,1284,1302,1312
Morona Santiago,196535,-2.300000000000000,-78.11666700000001,4,5,8,12,13,14,16,18,20,20,22,24,25,25,27,28,28,28,31,33,35,35,37,39,39,39,43,47,49,51,53,54,56,57,60,61,61,62,67,69,69,70,73,75,81,83,84,84,84,85,86,86,87,87
Napo,133705,-0.9890000000000000,-77.81590000000000,2,5,6,9,11,11,13,17,20,20,20,24,24,24,24,24,25,25,26,29,32,37,39,40,41,45,46,48,49,51,55,55,55,56,56,56,59,59,59,59,61,61,61,62,66,68,69,73,74,76,80,82,83,84
Orellana,161338,-0.4666670000000000,-76.96666700000000,4,4,5,6,7,7,8,11,14,16,17,17,20,20,21,23,27,28,28,31,32,34,36,38,41,42,42,42,44,44,45,48,48,48,50,51,55,57,58,60,60,60,62,63,63,63,66,67,70,71,71,71,72,72
Pastaza,114202,-1.066667000000000,-78.00111099999999,2,3,5,5,5,5,5,7,7,7,7,7,8,9,11,13,15,16,20,23,23,26,27,28,30,33,34,36,38,39,40,40,40,42,43,44,45,47,47,47,48,49,50,52,52,53,53,53,56,56,57,57,60,60
Pichincha,3228233,-0.2186110000000000,-78.50972200000000,60,104,157,211,264,316,372,427,475,529,577,630,678,724,783,860,918,983,1066,1117,1178,1254,1327,1385,1432,1498,1560,1629,1699,1752,1818,1881,1938,1991,2050,2111,2160,2225,2289,2336,2397,2454,2517,2574,2624,2690,2742,2801,2859,2913,2968,3016,3068,3084
Santa Elena,401178,-2.226700000000000,-80.85830000000000,3,7,11,16,21,25,32,37,42,47,54,57,67,74,78,83,88,95,103,110,114,122,125,131,139,149,154,159,161,163,169,173,179,184,188,196,202,207,211,214,218,220,224,227,231,235,240,244,247,253,255,259,261,261
Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,10,17,20,26,38,46,53,62,67,74,86,97,109,115,120,126,137,140,147,153,158,167,176,188,192,203,211,220,224,235,238,243,254,263,274,283,286,295,300,310,319,326,334,344,347,356,365,372,382,392,401,410,416,419
Sucumbíos,230503,0.08472200000000001,-76.88277800000000,6,8,9,11,12,15,18,20,21,25,25,32,35,35,42,43,46,51,55,58,62,63,65,65,66,67,73,73,75,78,80,84,85,88,89,91,93,94,96,97,98,99,103,103,106,110,111,117,119,120,122,125,128,131
Tungurahua,590600,-1.241667000000000,-78.61972200000000,13,18,30,47,64,80,93,109,121,135,144,162,180,190,201,215,230,250,276,298,314,329,347,365,373,385,404,418,422,431,444,459,471,483,500,509,523,537,548,564,573,589,596,614,622,635,647,659,667,672,681,689,694,701
Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,1,1,2,2,4,5,7,8,8,9,9,12,14,14,16,19,21,23,25,25,25,27,27,27,27,28,29,29,30,30,30,31,31,32,33,35,37,37,38,38,40,42,42,43,44,44,45,46,47,47,49,49,51,51
