inec_provincia_id,provincia,poblacion,lat,lng,01/01/2021,02/01/2021,03/01/2021,04/01/2021,05/01/2021,06/01/2021,07/01/2021,08/01/2021,09/01/2021,10/01/2021,11/01/2021,12/01/2021,13/01/2021,14/01/2021,15/01/2021,16/01/2021,17/01/2021,18/01/2021,19/01/2021,20/01/2021,21/01/2021,22/01/2021,23/01/2021,24/01/2021,25/01/2021,26/01/2021,27/01/2021,28/01/2021,29/01/2021,30/01/2021,31/01/2021,01/02/2021,02/02/2021,03/02/2021,04/02/2021,05/02/2021,06/02/2021,07/02/2021,08/02/2021,09/02/2021,10/02/2021,11/02/2021,12/02/2021,13/02/2021,14/02/2021,15/02/2021,16/02/2021,17/02/2021,18/02/2021,19/02/2021,20/02/2021,21/02/2021,22/02/2021,23/02/2021,24/02/2021,25/02/2021,26/02/2021,27/02/2021,28/02/2021,01/03/2021,02/03/2021,03/03/2021,04/03/2021,05/03/2021,06/03/2021,07/03/2021,08/03/2021,09/03/2021,10/03/2021,11/03/2021,12/03/2021,13/03/2021,14/03/2021,15/03/2021,16/03/2021,17/03/2021,18/03/2021,19/03/2021,20/03/2021,21/03/2021,22/03/2021,23/03/2021,24/03/2021,25/03/2021,26/03/2021,27/03/2021,28/03/2021,29/03/2021,30/03/2021,31/03/2021,01/04/2021,02/04/2021,03/04/2021,04/04/2021,05/04/2021,06/04/2021,07/04/2021,08/04/2021,09/04/2021,10/04/2021,11/04/2021,12/04/2021,13/04/2021,14/04/2021,15/04/2021,16/04/2021,17/04/2021,18/04/2021,19/04/2021,20/04/2021,21/04/2021,22/04/2021,23/04/2021,24/04/2021,25/04/2021,26/04/2021,27/04/2021,28/04/2021,29/04/2021,30/04/2021,01/05/2021,02/05/2021,03/05/2021,04/05/2021,05/05/2021,06/05/2021,07/05/2021,08/05/2021,09/05/2021,10/05/2021,11/05/2021,12/05/2021,13/05/2021,14/05/2021,15/05/2021,16/05/2021
01,Azuay,881394,-2.897414,-79.004481,17,29,49,64,79,97,106,125,143,158,175,190,208,228,241,258,283,295,316,331,349,363,376,397,408,423,447,463,474,488,503,522,539,551,569,588,608,617,640,654,665,683,697,716,737,757,775,791,805,816,833,846,865,909,923,937,953,962,978,994,1011,1026,1039,1052,1074,1084,1097,1115,1132,1143,1158,1172,1193,1216,1228,1240,1259,1273,1294,1317,1336,1354,1375,1395,1408,1426,1448,1466,1486,1495,1512,1524,1537,1562,1582,1594,1608,1633,1650,1667,1686,1699,1723,1732,1753,1775,1797,1824,1841,1865,1893,1919,1936,1949,1967,1986,2015,2039,2057,2076,2096,2118,2138,2159,2187,2203,2222,2242,2262,2279,2302,2322,2336,2344,2345,2345
02,Bolívar,209933,-1.605556,-79.003056,5,7,7,10,12,16,18,21,21,27,30,33,35,43,48,50,67,72,77,82,85,86,90,94,95,99,101,102,103,106,109,114,116,120,124,126,130,133,137,138,141,143,146,147,150,153,157,161,162,165,171,180,183,187,192,195,197,199,203,206,207,212,216,220,221,227,233,237,240,247,248,254,256,264,268,270,278,282,288,297,301,304,310,315,324,328,331,337,347,350,353,357,363,367,372,377,383,390,392,398,407,414,416,420,426,434,441,445,448,453,455,460,464,466,469,476,481,488,490,495,500,501,506,508,514,518,522,526,530,534,535,536,537,538,538,538
04,Carchi,186869,0.81218,-77.71633,5,9,16,18,20,21,28,36,39,44,50,55,61,67,75,79,82,91,94,96,101,107,111,117,125,130,135,139,143,148,151,153,158,160,163,169,171,171,173,175,179,184,187,188,190,192,193,198,198,201,202,205,205,207,210,213,217,219,224,226,227,228,230,231,232,236,238,242,244,246,249,255,259,265,266,271,275,276,279,286,291,295,297,301,303,305,308,310,313,317,319,322,324,325,328,335,340,343,347,350,353,354,356,357,360,363,365,368,372,375,378,382,385,387,391,396,400,404,411,419,425,429,434,437,441,446,451,455,462,467,470,471,473,474,474,474
03,Cañar,281396,-2.733333,-78.833333,4,8,12,14,22,27,36,36,39,44,48,51,56,64,74,78,81,85,88,92,98,101,108,113,119,122,124,128,129,130,137,140,144,150,158,168,170,176,176,184,186,195,201,206,209,213,217,220,223,230,235,239,245,248,250,253,257,264,266,268,272,278,282,291,292,298,300,309,314,325,333,338,342,345,347,357,364,371,374,379,384,386,395,402,405,411,420,421,425,429,431,435,440,446,450,456,459,465,473,479,485,492,493,496,504,511,518,524,526,530,537,544,545,549,557,559,565,568,569,572,580,583,588,592,595,597,601,605,610,615,624,628,630,630,630,630
06,Chimborazo,524004,-1.674347,-78.648294,9,17,25,34,49,59,72,90,103,110,118,123,131,142,152,164,176,191,203,209,217,234,242,252,261,265,273,288,297,307,315,326,335,343,352,362,369,380,390,400,411,424,434,438,454,463,466,477,487,499,506,513,522,534,542,554,560,568,578,584,596,607,613,627,644,650,666,674,686,693,699,710,724,740,750,759,772,781,793,796,808,822,837,844,854,865,877,888,897,910,921,933,943,953,970,988,998,1010,1019,1030,1037,1045,1058,1067,1084,1098,1110,1122,1136,1149,1170,1181,1192,1202,1220,1232,1246,1251,1263,1278,1290,1300,1314,1337,1354,1367,1377,1392,1403,1418,1425,1437,1443,1450,1453,1455
05,Cotopaxi,488716,-0.933333,-78.616667,13,18,24,31,37,45,53,61,69,82,100,109,121,131,135,144,151,156,160,164,175,184,195,206,211,226,232,243,248,259,274,285,299,304,316,330,336,346,358,370,384,392,406,414,420,430,436,449,459,472,476,484,490,507,515,529,531,538,545,554,559,565,578,589,595,603,610,613,622,627,634,642,652,660,667,678,685,695,707,717,728,742,750,757,765,776,787,793,801,807,816,824,835,846,855,867,881,893,900,907,914,937,946,952,965,979,986,995,1005,1020,1029,1045,1050,1059,1068,1078,1087,1099,1105,1114,1123,1140,1145,1155,1165,1173,1186,1196,1204,1219,1227,1237,1248,1252,1253,1253
07,El Oro,715751,-3.266667,-79.966667,19,29,40,47,57,66,79,96,108,121,130,146,162,172,184,204,221,231,245,260,280,293,308,325,339,353,374,389,411,426,439,457,468,488,505,519,536,558,574,594,606,628,640,657,672,686,703,716,733,747,767,782,795,812,830,841,857,874,900,913,924,935,944,961,979,999,1012,1028,1041,1056,1065,1083,1103,1130,1142,1155,1175,1185,1206,1220,1235,1252,1264,1280,1299,1321,1344,1356,1378,1393,1419,1444,1460,1484,1510,1526,1543,1568,1589,1616,1641,1666,1677,1698,1716,1735,1757,1778,1816,1832,1859,1886,1914,1936,1958,1988,2014,2036,2068,2080,2104,2125,2145,2168,2191,2213,2222,2245,2258,2277,2295,2312,2326,2330,2331,2332
08,Esmeraldas,591083,1.05,-79.2,6,10,15,22,24,29,35,39,42,46,53,62,65,71,74,78,83,90,94,104,110,119,122,131,138,142,146,151,153,160,172,178,183,188,197,201,204,214,222,226,232,240,245,251,257,266,273,281,285,291,296,302,311,315,322,332,336,344,352,357,364,371,377,388,398,407,415,422,428,433,444,455,467,483,489,500,510,519,531,539,563,570,580,591,594,604,613,625,632,640,653,659,665,675,682,692,701,708,716,722,729,743,757,761,767,775,782,794,808,815,824,834,840,847,858,865,873,877,880,888,896,899,906,916,922,932,939,944,955,960,967,973,976,978,978,978
20,Galápagos,33042,-0.8,-89.4,0,0,1,2,2,2,3,4,4,5,5,5,5,5,5,6,7,8,9,10,10,11,11,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,15,16,16,16,16,16,16,16,18,19,19,20,20,20,20,22,22,23,24,24,24,24,25,26,26,27,27,27,27,27,28,28,29,29,29,29,29,29,29,29,29,30,30,30,30,30,30,30,30,30,31,31,31,31,31,32,33,33,34,34,35,35,35,35,35,35,35,35,36,37,38,39,39,39,39,39,39,40,40,40,40,40,40,41,41,41
09,Guayas,4387434,-2.183333,-79.883333,78,155,229,297,388,460,544,618,710,783,885,964,1051,1138,1223,1305,1408,1484,1569,1655,1752,1849,1946,2030,2122,2213,2322,2412,2494,2582,2653,2724,2819,2897,2969,3044,3134,3222,3311,3407,3480,3567,3645,3735,3839,3926,4023,4110,4200,4292,4392,4472,4550,4662,4754,4844,4923,5022,5104,5210,5294,5383,5468,5552,5642,5726,5825,5936,6021,6123,6208,6303,6403,6493,6586,6690,6793,6906,7010,7115,7230,7325,7427,7542,7655,7773,7888,8010,8132,8237,8360,8471,8584,8682,8803,8936,9058,9198,9308,9435,9560,9701,9806,9952,10081,10211,10335,10451,10596,10743,10884,10994,11129,11252,11345,11461,11568,11710,11814,11930,12047,12172,12284,12400,12529,12644,12741,12844,12942,13023,13114,13219,13309,13373,13436,13460
