provincia,poblacion,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio
Azuay,881394,-2.897414000000000,-79.00448100000000,504,478,524,597,597,472,194
Bolívar,209933,-1.605556000000000,-79.00305600000000,110,94,147,145,111,75,42
Carchi,186869,0.8121800000000000,-77.71633000000000,151,73,95,103,113,101,52
Cañar,281396,-2.733333000000000,-78.83333300000000,138,132,167,150,153,109,47
Chimborazo,524004,-1.674347000000000,-78.64829400000001,317,264,334,374,364,273,107
Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,276,272,264,311,314,235,98
El Oro,715751,-3.266667000000000,-79.96666700000000,441,465,493,703,533,371,145
Esmeraldas,591083,1.050000000000000,-79.20000000000000,174,190,292,265,230,175,72
Galápagos,33042,-0.8000000000000000,-89.40000000000001,12,6,11,8,6,4,2
Guayas,4387434,-2.183333000000000,-79.88333299999999,2660,2460,3142,3721,2948,2170,1124
Imbabura,476257,0.3626780000000000,-78.13066700000000,272,237,250,326,358,239,111
Loja,521154,-3.983333000000000,-79.20000000000000,249,285,451,513,345,246,89
Los Ríos,921763,-1.800000000000000,-79.53333300000000,437,468,582,653,536,373,191
Manabí,1562079,-1.056181000000000,-80.45521700000000,771,861,1131,1177,843,658,253
Morona Santiago,196535,-2.300000000000000,-78.11666700000001,57,47,61,59,57,49,17
Napo,133705,-0.9890000000000000,-77.81590000000000,57,41,50,51,58,44,32
Orellana,161338,-0.4666670000000000,-76.96666700000000,46,44,55,57,55,43,14
Pastaza,114202,-1.066667000000000,-78.00111099999999,41,29,47,46,60,33,17
Pichincha,3228233,-0.2186110000000000,-78.50972200000000,1828,1625,1931,2481,2276,1640,890
Santa Elena,401178,-2.226700000000000,-80.85830000000000,177,130,199,266,159,135,66
Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,245,267,386,425,320,232,89
Sucumbíos,230503,0.08472200000000001,-76.88277800000000,84,75,102,118,98,57,22
Tungurahua,590600,-1.241667000000000,-78.61972200000000,447,351,359,531,507,340,140
Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,32,36,40,86,50,19,8
