provincia,poblacion,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre
Azuay,881394,-2.897414000000000,-79.00448100000000,505,984,1508,2106,2705,3185,3665,4057,4194
Bolívar,209933,-1.605556000000000,-79.00305600000000,110,204,352,497,608,684,768,853,891
Carchi,186869,0.8121800000000000,-77.71633000000000,151,224,320,425,538,641,739,814,843
Cañar,281396,-2.733333000000000,-78.83333300000000,139,271,439,590,745,857,988,1093,1126
Chimborazo,524004,-1.674347000000000,-78.64829400000001,317,581,916,1294,1661,1942,2215,2438,2515
Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,278,551,815,1126,1442,1677,1888,2063,2120
El Oro,715751,-3.266667000000000,-79.96666700000000,442,907,1403,2110,2645,3022,3348,3682,3798
Esmeraldas,591083,1.050000000000000,-79.20000000000000,174,364,657,928,1166,1351,1520,1669,1724
Galápagos,33042,-0.8000000000000000,-89.40000000000001,12,18,29,37,43,47,51,58,59
Guayas,4387434,-2.183333000000000,-79.88333299999999,2662,5123,8271,12002,14954,17136,19264,21168,21991
Imbabura,476257,0.3626780000000000,-78.13066700000000,273,510,760,1087,1446,1685,1911,2093,2176
Loja,521154,-3.983333000000000,-79.20000000000000,249,535,987,1500,1848,2103,2330,2551,2624
Los Ríos,921763,-1.800000000000000,-79.53333300000000,440,909,1498,2153,2691,3072,3461,3825,3962
Manabí,1562079,-1.056181000000000,-80.45521700000000,773,1638,2780,3960,4811,5488,6059,6666,6877
Morona Santiago,196535,-2.300000000000000,-78.11666700000001,57,104,165,225,282,335,377,437,446
Napo,133705,-0.9890000000000000,-77.81590000000000,57,98,148,198,256,300,352,382,397
Orellana,161338,-0.4666670000000000,-76.96666700000000,46,90,146,203,259,305,355,390,402
Pastaza,114202,-1.066667000000000,-78.00111099999999,41,70,117,163,223,258,293,325,338
Pichincha,3228233,-0.2186110000000000,-78.50972200000000,1828,3453,5386,7867,10143,11788,13466,14768,15299
Santa Elena,401178,-2.226700000000000,-80.85830000000000,178,309,509,782,943,1079,1218,1336,1375
Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,245,513,902,1332,1656,1892,2093,2287,2357
Sucumbíos,230503,0.08472200000000001,-76.88277800000000,84,159,262,382,482,540,616,694,714
Tungurahua,590600,-1.241667000000000,-78.61972200000000,447,798,1159,1693,2202,2546,2826,3062,3169
Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,32,68,108,194,245,267,289,319,324
