inec_provincia_id,provincia,poblacion,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre
01,Azuay,881394,-2.897414000000000,-79.00448100000000,505,984,1508,2106,2705,3186,3666,4060,4276
02,Bolívar,209933,-1.605556000000000,-79.00305600000000,110,204,353,498,609,685,769,856,909
04,Carchi,186869,0.8121800000000000,-77.71633000000000,151,224,320,425,538,641,739,815,864
03,Cañar,281396,-2.733333000000000,-78.83333300000000,139,271,439,590,746,858,989,1099,1152
06,Chimborazo,524004,-1.674347000000000,-78.64829400000001,317,581,916,1294,1662,1943,2217,2444,2558
05,Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,278,551,815,1126,1442,1677,1888,2063,2164
07,El Oro,715751,-3.266667000000000,-79.96666700000000,442,907,1403,2110,2645,3022,3348,3687,3878
08,Esmeraldas,591083,1.050000000000000,-79.20000000000000,174,365,659,931,1172,1358,1529,1683,1774
20,Galápagos,33042,-0.8000000000000000,-89.40000000000001,12,18,29,37,43,47,51,58,61
09,Guayas,4387434,-2.183333000000000,-79.88333299999999,2662,5123,8270,12001,14954,17136,19265,21173,22417
10,Imbabura,476257,0.3626780000000000,-78.13066700000000,273,510,760,1087,1446,1685,1914,2097,2227
11,Loja,521154,-3.983333000000000,-79.20000000000000,249,535,987,1500,1848,2104,2333,2558,2682
12,Los Ríos,921763,-1.800000000000000,-79.53333300000000,440,910,1499,2156,2694,3075,3464,3830,4048
13,Manabí,1562079,-1.056181000000000,-80.45521700000000,774,1639,2782,3962,4813,5490,6063,6677,7030
14,Morona Santiago,196535,-2.300000000000000,-78.11666700000001,57,104,165,225,282,335,377,439,452
15,Napo,133705,-0.9890000000000000,-77.81590000000000,57,98,148,198,256,300,352,382,407
22,Orellana,161338,-0.4666670000000000,-76.96666700000000,46,90,146,203,259,305,355,390,410
16,Pastaza,114202,-1.066667000000000,-78.00111099999999,41,70,117,163,223,258,293,326,346
17,Pichincha,3228233,-0.2186110000000000,-78.50972200000000,1828,3454,5387,7868,10145,11790,13469,14773,15576
24,Santa Elena,401178,-2.226700000000000,-80.85830000000000,178,309,510,783,944,1080,1219,1338,1404
23,Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,245,513,902,1332,1656,1892,2093,2289,2405
21,Sucumbíos,230503,0.08472200000000001,-76.88277800000000,85,160,263,383,483,541,617,695,728
18,Tungurahua,590600,-1.241667000000000,-78.61972200000000,447,799,1160,1694,2203,2547,2827,3065,3245
19,Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,32,68,108,195,246,268,290,321,328
