inec_provincia_id,provincia,poblacion,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33
01,Azuay,881394,-2.897414000000000,-79.00448100000000,109,234,348,455,570,691,801,933,1039,1150,1276,1410,1525,1651,1791,1938,2098,2251,2400,2527,2629,2736,2863,2973,3077,3188,3302,3406,3511,3612,3703,3778,3780
02,Bolívar,209933,-1.605556000000000,-79.00305600000000,20,60,87,103,127,144,174,197,221,250,291,326,362,402,440,464,497,528,546,570,599,618,636,647,668,688,711,725,740,763,776,793,796
04,Carchi,186869,0.8121800000000000,-77.71633000000000,28,66,101,135,155,174,189,208,220,243,272,295,312,341,357,380,418,451,470,490,516,539,561,592,615,637,664,687,707,724,738,749,753
03,Cañar,281396,-2.733333000000000,-78.83333300000000,32,70,102,126,168,201,231,258,292,337,374,416,444,483,523,557,588,618,655,697,727,751,774,806,833,854,882,916,943,974,1001,1016,1016
06,Chimborazo,524004,-1.674347000000000,-78.64829400000001,85,151,228,292,357,431,490,556,629,704,776,858,934,1019,1106,1206,1292,1397,1484,1551,1627,1703,1757,1828,1887,1945,2002,2079,2143,2190,2245,2282,2283
05,Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,58,128,184,252,324,398,462,524,582,632,698,768,827,896,977,1051,1125,1193,1270,1338,1403,1462,1520,1570,1627,1678,1725,1773,1824,1864,1902,1942,1944
07,El Oro,715751,-3.266667000000000,-79.96666700000000,81,182,286,401,521,635,746,866,965,1069,1187,1311,1453,1610,1753,1941,2112,2256,2381,2485,2580,2689,2778,2858,2936,3028,3092,3180,3224,3305,3381,3438,3440
08,Esmeraldas,591083,1.050000000000000,-79.20000000000000,32,69,118,159,204,247,298,349,405,466,538,614,678,735,805,875,924,989,1051,1094,1134,1176,1220,1264,1311,1348,1386,1423,1450,1498,1528,1556,1558
20,Galápagos,33042,-0.8000000000000000,-89.40000000000001,4,6,11,11,12,13,15,17,21,24,26,28,29,30,32,34,38,39,40,42,42,42,44,46,46,46,47,48,50,50,51,52,53
09,Guayas,4387434,-2.183333000000000,-79.88333299999999,554,1179,1802,2430,3000,3620,4258,4891,5515,6195,6909,7685,8488,9371,10267,11169,12009,12800,13448,14077,14634,15135,15642,16167,16690,17193,17693,18165,18643,19088,19517,19894,19910
10,Imbabura,476257,0.3626780000000000,-78.13066700000000,60,117,178,251,317,379,430,488,534,584,635,699,772,825,908,993,1094,1175,1278,1343,1412,1470,1540,1592,1645,1690,1751,1797,1843,1891,1936,1967,1967
11,Loja,521154,-3.983333000000000,-79.20000000000000,50,102,168,230,304,378,459,515,593,681,800,907,1032,1141,1273,1397,1515,1607,1690,1751,1818,1879,1949,1998,2067,2109,2159,2207,2251,2309,2351,2376,2379
12,Los Ríos,921763,-1.800000000000000,-79.53333300000000,92,191,301,401,522,628,743,869,997,1139,1246,1376,1536,1699,1850,2003,2146,2281,2408,2523,2632,2738,2826,2916,2999,3067,3186,3260,3348,3418,3491,3552,3553
13,Manabí,1562079,-1.056181000000000,-80.45521700000000,152,328,514,689,906,1099,1318,1553,1761,1998,2302,2571,2869,3160,3434,3699,3929,4155,4342,4532,4695,4865,5022,5162,5319,5451,5600,5730,5859,5972,6086,6189,6193
14,Morona Santiago,196535,-2.300000000000000,-78.11666700000001,12,21,34,49,59,81,88,96,109,124,132,147,163,176,194,207,220,230,242,258,271,281,288,306,317,331,340,350,358,367,384,393,393
15,Napo,133705,-0.9890000000000000,-77.81590000000000,14,20,35,51,55,64,81,92,102,117,128,138,148,161,174,186,197,206,217,233,246,261,275,286,294,306,321,332,339,348,354,359,359
22,Orellana,161338,-0.4666670000000000,-76.96666700000000,11,22,33,41,54,64,77,85,95,104,123,135,148,162,174,183,203,221,238,245,253,262,274,285,294,305,310,323,331,350,356,357,357
16,Pastaza,114202,-1.066667000000000,-78.00111099999999,2,10,23,36,43,48,54,65,73,86,100,110,116,125,137,146,162,183,194,206,217,224,236,243,251,259,265,274,282,289,295,301,301
17,Pichincha,3228233,-0.2186110000000000,-78.50972200000000,374,766,1235,1671,2090,2496,2903,3296,3709,4133,4559,5013,5523,6048,6619,7259,7873,8438,8953,9468,9932,10334,10717,11094,11474,11856,12231,12630,12983,13353,13647,13948,13956
24,Santa Elena,401178,-2.226700000000000,-80.85830000000000,38,80,125,167,206,235,268,298,342,373,424,477,526,590,661,730,774,816,853,882,923,956,990,1021,1049,1082,1109,1148,1177,1207,1227,1245,1246
23,Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,56,120,172,223,286,344,412,490,562,648,745,825,932,1052,1133,1246,1334,1410,1488,1565,1623,1675,1733,1790,1840,1887,1932,1967,2015,2068,2114,2158,2158
