provincia,poblacion,total,lat,lng,created_at
Azuay,881394,13,-2.897414000000000,-79.00448100000000,16/04/2020
Bolívar,209933,4,-1.605556000000000,-79.00305600000000,16/04/2020
Carchi,186869,3,0.8121800000000000,-77.71633000000000,16/04/2020
Cañar,281396,0,-2.733333000000000,-78.83333300000000,16/04/2020
Chimborazo,524004,9,-1.674347000000000,-78.64829400000001,16/04/2020
Cotopaxi,488716,5,-0.9333330000000000,-78.61666700000001,16/04/2020
El Oro,715751,17,-3.266667000000000,-79.96666700000000,16/04/2020
Esmeraldas,591083,10,1.050000000000000,-79.20000000000000,16/04/2020
Galápagos,33042,0,-0.7999999999999999,-89.40000000000001,16/04/2020
Guayas,4387434,246,-2.183333000000000,-79.88333299999999,16/04/2020
Imbabura,476257,5,0.3626780000000000,-78.13066700000000,16/04/2020
Loja,521154,3,-3.983333000000000,-79.20000000000000,16/04/2020
Los Ríos,921763,19,-1.800000000000000,-79.53333300000000,16/04/2020
Manabí,1562079,48,-1.056181000000000,-80.45521700000000,16/04/2020
Morona Santiago,196535,1,-2.300000000000000,-78.11666700000001,16/04/2020
Napo,133705,0,-0.9890000000000000,-77.81590000000000,16/04/2020
Orellana,161338,0,-0.4666670000000000,-76.96666700000000,16/04/2020
Pastaza,114202,0,-1.066667000000000,-78.00111099999999,16/04/2020
Pichincha,3228233,43,-0.2186110000000000,-78.50972200000000,16/04/2020
Santa Elena,401178,35,-2.226700000000000,-80.85830000000000,16/04/2020
Sto. Domingo Tsáchilas,511151,6,-0.2541670000000000,-79.17194400000000,16/04/2020
Sucumbíos,230503,0,0.08472200000000002,-76.88277800000000,16/04/2020
Tungurahua,590600,7,-1.241667000000000,-78.61972200000000,16/04/2020
Zamora Chinchipe,120416,0,-4.120000000000000,-78.80000000000000,16/04/2020
Azuay,881394,8,-2.897414000000000,-79.00448100000000,17/04/2020
Bolívar,209933,3,-1.605556000000000,-79.00305600000000,17/04/2020
Carchi,186869,0,0.8121800000000000,-77.71633000000000,17/04/2020
Cañar,281396,8,-2.733333000000000,-78.83333300000000,17/04/2020
Chimborazo,524004,11,-1.674347000000000,-78.64829400000001,17/04/2020
Cotopaxi,488716,5,-0.9333330000000000,-78.61666700000001,17/04/2020
El Oro,715751,15,-3.266667000000000,-79.96666700000000,17/04/2020
Esmeraldas,591083,2,1.050000000000000,-79.20000000000000,17/04/2020
Galápagos,33042,0,-0.7999999999999999,-89.40000000000001,17/04/2020
Guayas,4387434,235,-2.183333000000000,-79.88333299999999,17/04/2020
Imbabura,476257,5,0.3626780000000000,-78.13066700000000,17/04/2020
Loja,521154,5,-3.983333000000000,-79.20000000000000,17/04/2020
Los Ríos,921763,22,-1.800000000000000,-79.53333300000000,17/04/2020
Manabí,1562079,37,-1.056181000000000,-80.45521700000000,17/04/2020
Morona Santiago,196535,3,-2.300000000000000,-78.11666700000001,17/04/2020
Napo,133705,2,-0.9890000000000000,-77.81590000000000,17/04/2020
Orellana,161338,1,-0.4666670000000000,-76.96666700000000,17/04/2020
Pastaza,114202,1,-1.066667000000000,-78.00111099999999,17/04/2020
Pichincha,3228233,40,-0.2186110000000000,-78.50972200000000,17/04/2020
Santa Elena,401178,25,-2.226700000000000,-80.85830000000000,17/04/2020
Sto. Domingo Tsáchilas,511151,6,-0.2541670000000000,-79.17194400000000,17/04/2020
Sucumbíos,230503,2,0.08472200000000002,-76.88277800000000,17/04/2020
Tungurahua,590600,11,-1.241667000000000,-78.61972200000000,17/04/2020
Zamora Chinchipe,120416,0,-4.120000000000000,-78.80000000000000,17/04/2020
Azuay,881394,8,-2.897414000000000,-79.00448100000000,18/04/2020
Bolívar,209933,0,-1.605556000000000,-79.00305600000000,18/04/2020
Carchi,186869,2,0.8121800000000000,-77.71633000000000,18/04/2020
Cañar,281396,4,-2.733333000000000,-78.83333300000000,18/04/2020
Chimborazo,524004,6,-1.674347000000000,-78.64829400000001,18/04/2020
Cotopaxi,488716,4,-0.9333330000000000,-78.61666700000001,18/04/2020
El Oro,715751,12,-3.266667000000000,-79.96666700000000,18/04/2020
Esmeraldas,591083,5,1.050000000000000,-79.20000000000000,18/04/2020
Galápagos,33042,0,-0.7999999999999999,-89.40000000000001,18/04/2020
Guayas,4387434,202,-2.183333000000000,-79.88333299999999,18/04/2020
Imbabura,476257,4,0.3626780000000000,-78.13066700000000,18/04/2020
Loja,521154,2,-3.983333000000000,-79.20000000000000,18/04/2020
Los Ríos,921763,15,-1.800000000000000,-79.53333300000000,18/04/2020
Manabí,1562079,46,-1.056181000000000,-80.45521700000000,18/04/2020
Morona Santiago,196535,2,-2.300000000000000,-78.11666700000001,18/04/2020
Napo,133705,3,-0.9890000000000000,-77.81590000000000,18/04/2020
Orellana,161338,1,-0.4666670000000000,-76.96666700000000,18/04/2020
Pastaza,114202,0,-1.066667000000000,-78.00111099999999,18/04/2020
Pichincha,3228233,32,-0.2186110000000000,-78.50972200000000,18/04/2020
Santa Elena,401178,22,-2.226700000000000,-80.85830000000000,18/04/2020
Sto. Domingo Tsáchilas,511151,7,-0.2541670000000000,-79.17194400000000,18/04/2020
Sucumbíos,230503,0,0.08472200000000002,-76.88277800000000,18/04/2020
Tungurahua,590600,12,-1.241667000000000,-78.61972200000000,18/04/2020
Zamora Chinchipe,120416,0,-4.120000000000000,-78.80000000000000,18/04/2020
Azuay,881394,9,-2.897414000000000,-79.00448100000000,19/04/2020
Bolívar,209933,1,-1.605556000000000,-79.00305600000000,19/04/2020
Carchi,186869,1,0.8121800000000000,-77.71633000000000,19/04/2020
Cañar,281396,4,-2.733333000000000,-78.83333300000000,19/04/2020
Chimborazo,524004,5,-1.674347000000000,-78.64829400000001,19/04/2020
Cotopaxi,488716,5,-0.9333330000000000,-78.61666700000001,19/04/2020
El Oro,715751,18,-3.266667000000000,-79.96666700000000,19/04/2020
Esmeraldas,591083,4,1.050000000000000,-79.20000000000000,19/04/2020
Galápagos,33042,0,-0.7999999999999999,-89.40000000000001,19/04/2020
Guayas,4387434,228,-2.183333000000000,-79.88333299999999,19/04/2020
Imbabura,476257,5,0.3626780000000000,-78.13066700000000,19/04/2020
Loja,521154,8,-3.983333000000000,-79.20000000000000,19/04/2020
Los Ríos,921763,25,-1.800000000000000,-79.53333300000000,19/04/2020
Manabí,1562079,55,-1.056181000000000,-80.45521700000000,19/04/2020
Morona Santiago,196535,1,-2.300000000000000,-78.11666700000001,19/04/2020
Napo,133705,1,-0.9890000000000000,-77.81590000000000,19/04/2020
Orellana,161338,1,-0.4666670000000000,-76.96666700000000,19/04/2020
Pastaza,114202,2,-1.066667000000000,-78.00111099999999,19/04/2020
Pichincha,3228233,28,-0.2186110000000000,-78.50972200000000,19/04/2020
Santa Elena,401178,34,-2.226700000000000,-80.85830000000000,19/04/2020
Sto. Domingo Tsáchilas,511151,7,-0.2541670000000000,-79.17194400000000,19/04/2020
Sucumbíos,230503,5,0.08472200000000002,-76.88277800000000,19/04/2020
Tungurahua,590600,5,-1.241667000000000,-78.61972200000000,19/04/2020
Zamora Chinchipe,120416,0,-4.120000000000000,-78.80000000000000,19/04/2020
Azuay,881394,12,-2.897414000000000,-79.00448100000000,20/04/2020
Bolívar,209933,2,-1.605556000000000,-79.00305600000000,20/04/2020
Carchi,186869,0,0.8121800000000000,-77.71633000000000,20/04/2020
Cañar,281396,5,-2.733333000000000,-78.83333300000000,20/04/2020
Chimborazo,524004,4,-1.674347000000000,-78.64829400000001,20/04/2020
Cotopaxi,488716,4,-0.9333330000000000,-78.61666700000001,20/04/2020
El Oro,715751,11,-3.266667000000000,-79.96666700000000,20/04/2020
Esmeraldas,591083,11,1.050000000000000,-79.20000000000000,20/04/2020
Galápagos,33042,0,-0.7999999999999999,-89.40000000000001,20/04/2020
Guayas,4387434,222,-2.183333000000000,-79.88333299999999,20/04/2020
Imbabura,476257,4,0.3626780000000000,-78.13066700000000,20/04/2020
Loja,521154,6,-3.983333000000000,-79.20000000000000,20/04/2020
Los Ríos,921763,20,-1.800000000000000,-79.53333300000000,20/04/2020
Manabí,1562079,61,-1.056181000000000,-80.45521700000000,20/04/2020
Morona Santiago,196535,0,-2.300000000000000,-78.11666700000001,20/04/2020
Napo,133705,1,-0.9890000000000000,-77.81590000000000,20/04/2020
Orellana,161338,3,-0.4666670000000000,-76.96666700000000,20/04/2020
Pastaza,114202,0,-1.066667000000000,-78.00111099999999,20/04/2020
Pichincha,3228233,54,-0.2186110000000000,-78.50972200000000,20/04/2020
Santa Elena,401178,18,-2.226700000000000,-80.85830000000000,20/04/2020
Sto. Domingo Tsáchilas,511151,12,-0.2541670000000000,-79.17194400000000,20/04/2020
Sucumbíos,230503,2,0.08472200000000002,-76.88277800000000,20/04/2020
Tungurahua,590600,10,-1.241667000000000,-78.61972200000000,20/04/2020
Zamora Chinchipe,120416,0,-4.120000000000000,-78.80000000000000,20/04/2020
