inec_provincia_id,provincia,poblacion,total,acumuladas,lat,lng,mes
01,Azuay,881394,503,503,-2.897414000000000,-79.00448100000000,1
02,Bolívar,209933,109,109,-1.605556000000000,-79.00305600000000,1
04,Carchi,186869,150,150,0.8121800000000000,-77.71633000000001,1
03,Cañar,281396,137,137,-2.733333000000000,-78.83333300000000,1
06,Chimborazo,524004,314,314,-1.674347000000000,-78.64829399999999,1
05,Cotopaxi,488716,274,274,-0.9333330000000000,-78.61666699999999,1
07,El Oro,715751,439,439,-3.266667000000000,-79.96666700000000,1
08,Esmeraldas,591083,171,171,1.050000000000000,-79.20000000000000,1
20,Galápagos,33042,12,12,-0.8000000000000000,-89.40000000000001,1
09,Guayas,4387434,2653,2653,-2.183333000000000,-79.88333299999999,1
10,Imbabura,476257,272,272,0.3626780000000000,-78.13066700000000,1
11,Loja,521154,246,246,-3.983333000000000,-79.20000000000000,1
12,Los Ríos,921763,433,433,-1.800000000000000,-79.53333300000000,1
13,Manabí,1562079,766,766,-1.056181000000000,-80.45521699999999,1
14,Morona Santiago,196535,57,57,-2.300000000000000,-78.11666699999999,1
15,Napo,133705,56,56,-0.9890000000000000,-77.81590000000000,1
22,Orellana,161338,46,46,-0.4666670000000000,-76.96666700000000,1
16,Pastaza,114202,41,41,-1.066667000000000,-78.00111099999999,1
17,Pichincha,3228233,1825,1825,-0.2186110000000000,-78.50972200000000,1
24,Santa Elena,401178,175,175,-2.226700000000000,-80.85830000000000,1
23,Sto. Domingo Tsáchilas,511151,243,243,-0.2541670000000000,-79.17194400000000,1
21,Sucumbíos,230503,83,83,0.08472199999999999,-76.88277800000000,1
18,Tungurahua,590600,447,447,-1.241667000000000,-78.61972200000000,1
19,Zamora Chinchipe,120416,32,32,-4.120000000000000,-78.80000000000001,1
01,Azuay,881394,475,978,-2.897414000000000,-79.00448100000000,2
02,Bolívar,209933,94,203,-1.605556000000000,-79.00305600000000,2
04,Carchi,186869,73,223,0.8121800000000000,-77.71633000000001,2
03,Cañar,281396,129,266,-2.733333000000000,-78.83333300000000,2
06,Chimborazo,524004,263,577,-1.674347000000000,-78.64829399999999,2
05,Cotopaxi,488716,271,545,-0.9333330000000000,-78.61666699999999,2
07,El Oro,715751,460,899,-3.266667000000000,-79.96666700000000,2
08,Esmeraldas,591083,180,351,1.050000000000000,-79.20000000000000,2
20,Galápagos,33042,6,18,-0.8000000000000000,-89.40000000000001,2
09,Guayas,4387434,2450,5103,-2.183333000000000,-79.88333299999999,2
10,Imbabura,476257,237,509,0.3626780000000000,-78.13066700000000,2
11,Loja,521154,283,529,-3.983333000000000,-79.20000000000000,2
12,Los Ríos,921763,458,891,-1.800000000000000,-79.53333300000000,2
13,Manabí,1562079,848,1614,-1.056181000000000,-80.45521699999999,2
14,Morona Santiago,196535,47,104,-2.300000000000000,-78.11666699999999,2
15,Napo,133705,41,97,-0.9890000000000000,-77.81590000000000,2
22,Orellana,161338,42,88,-0.4666670000000000,-76.96666700000000,2
16,Pastaza,114202,29,70,-1.066667000000000,-78.00111099999999,2
17,Pichincha,3228233,1615,3440,-0.2186110000000000,-78.50972200000000,2
24,Santa Elena,401178,129,304,-2.226700000000000,-80.85830000000000,2
23,Sto. Domingo Tsáchilas,511151,267,510,-0.2541670000000000,-79.17194400000000,2
21,Sucumbíos,230503,75,158,0.08472199999999999,-76.88277800000000,2
18,Tungurahua,590600,350,797,-1.241667000000000,-78.61972200000000,2
19,Zamora Chinchipe,120416,33,65,-4.120000000000000,-78.80000000000001,2
01,Azuay,881394,515,1493,-2.897414000000000,-79.00448100000000,3
02,Bolívar,209933,147,350,-1.605556000000000,-79.00305600000000,3
04,Carchi,186869,93,316,0.8121800000000000,-77.71633000000001,3
03,Cañar,281396,162,428,-2.733333000000000,-78.83333300000000,3
06,Chimborazo,524004,331,908,-1.674347000000000,-78.64829399999999,3
05,Cotopaxi,488716,262,807,-0.9333330000000000,-78.61666699999999,3
07,El Oro,715751,492,1391,-3.266667000000000,-79.96666700000000,3
08,Esmeraldas,591083,288,639,1.050000000000000,-79.20000000000000,3
20,Galápagos,33042,11,29,-0.8000000000000000,-89.40000000000001,3
09,Guayas,4387434,3132,8235,-2.183333000000000,-79.88333299999999,3
10,Imbabura,476257,248,757,0.3626780000000000,-78.13066700000000,3
11,Loja,521154,437,966,-3.983333000000000,-79.20000000000000,3
12,Los Ríos,921763,572,1463,-1.800000000000000,-79.53333300000000,3
13,Manabí,1562079,1109,2723,-1.056181000000000,-80.45521699999999,3
14,Morona Santiago,196535,60,164,-2.300000000000000,-78.11666699999999,3
15,Napo,133705,50,147,-0.9890000000000000,-77.81590000000000,3
22,Orellana,161338,52,140,-0.4666670000000000,-76.96666700000000,3
16,Pastaza,114202,46,116,-1.066667000000000,-78.00111099999999,3
17,Pichincha,3228233,1923,5363,-0.2186110000000000,-78.50972200000000,3
24,Santa Elena,401178,195,499,-2.226700000000000,-80.85830000000000,3
23,Sto. Domingo Tsáchilas,511151,384,894,-0.2541670000000000,-79.17194400000000,3
21,Sucumbíos,230503,101,259,0.08472199999999999,-76.88277800000000,3
18,Tungurahua,590600,359,1156,-1.241667000000000,-78.61972200000000,3
19,Zamora Chinchipe,120416,40,105,-4.120000000000000,-78.80000000000001,3
01,Azuay,881394,573,2066,-2.897414000000000,-79.00448100000000,4
02,Bolívar,209933,144,494,-1.605556000000000,-79.00305600000000,4
04,Carchi,186869,101,417,0.8121800000000000,-77.71633000000001,4
03,Cañar,281396,141,569,-2.733333000000000,-78.83333300000000,4
06,Chimborazo,524004,364,1272,-1.674347000000000,-78.64829399999999,4
05,Cotopaxi,488716,304,1111,-0.9333330000000000,-78.61666699999999,4
07,El Oro,715751,681,2072,-3.266667000000000,-79.96666700000000,4
08,Esmeraldas,591083,241,880,1.050000000000000,-79.20000000000000,4
20,Galápagos,33042,8,37,-0.8000000000000000,-89.40000000000001,4
09,Guayas,4387434,3679,11914,-2.183333000000000,-79.88333299999999,4
10,Imbabura,476257,319,1076,0.3626780000000000,-78.13066700000000,4
11,Loja,521154,484,1450,-3.983333000000000,-79.20000000000000,4
12,Los Ríos,921763,634,2097,-1.800000000000000,-79.53333300000000,4
13,Manabí,1562079,1109,3832,-1.056181000000000,-80.45521699999999,4
14,Morona Santiago,196535,54,218,-2.300000000000000,-78.11666699999999,4
15,Napo,133705,48,195,-0.9890000000000000,-77.81590000000000,4
22,Orellana,161338,52,192,-0.4666670000000000,-76.96666700000000,4
16,Pastaza,114202,45,161,-1.066667000000000,-78.00111099999999,4
17,Pichincha,3228233,2461,7824,-0.2186110000000000,-78.50972200000000,4
24,Santa Elena,401178,261,760,-2.226700000000000,-80.85830000000000,4
23,Sto. Domingo Tsáchilas,511151,409,1303,-0.2541670000000000,-79.17194400000000,4
21,Sucumbíos,230503,117,376,0.08472199999999999,-76.88277800000000,4
18,Tungurahua,590600,519,1675,-1.241667000000000,-78.61972200000000,4
19,Zamora Chinchipe,120416,78,183,-4.120000000000000,-78.80000000000001,4
01,Azuay,881394,215,2281,-2.897414000000000,-79.00448100000000,5
02,Bolívar,209933,38,532,-1.605556000000000,-79.00305600000000,5
04,Carchi,186869,50,467,0.8121800000000000,-77.71633000000001,5
03,Cañar,281396,47,616,-2.733333000000000,-78.83333300000000,5
06,Chimborazo,524004,145,1417,-1.674347000000000,-78.64829399999999,5
05,Cotopaxi,488716,112,1223,-0.9333330000000000,-78.61666699999999,5
07,El Oro,715751,205,2277,-3.266667000000000,-79.96666700000000,5
08,Esmeraldas,591083,66,946,1.050000000000000,-79.20000000000000,5
20,Galápagos,33042,3,40,-0.8000000000000000,-89.40000000000001,5
09,Guayas,4387434,1209,13123,-2.183333000000000,-79.88333299999999,5
10,Imbabura,476257,127,1203,0.3626780000000000,-78.13066700000000,5
11,Loja,521154,125,1575,-3.983333000000000,-79.20000000000000,5
12,Los Ríos,921763,187,2284,-1.800000000000000,-79.53333300000000,5
13,Manabí,1562079,297,4129,-1.056181000000000,-80.45521699999999,5
14,Morona Santiago,196535,13,231,-2.300000000000000,-78.11666699999999,5
15,Napo,133705,14,209,-0.9890000000000000,-77.81590000000000,5
22,Orellana,161338,21,213,-0.4666670000000000,-76.96666700000000,5
16,Pastaza,114202,26,187,-1.066667000000000,-78.00111099999999,5
17,Pichincha,3228233,870,8694,-0.2186110000000000,-78.50972200000000,5
24,Santa Elena,401178,54,814,-2.226700000000000,-80.85830000000000,5
23,Sto. Domingo Tsáchilas,511151,125,1428,-0.2541670000000000,-79.17194400000000,5
21,Sucumbíos,230503,41,417,0.08472199999999999,-76.88277800000000,5
18,Tungurahua,590600,216,1891,-1.241667000000000,-78.61972200000000,5
19,Zamora Chinchipe,120416,18,201,-4.120000000000000,-78.80000000000001,5
