provincia,total,created_at
Azuay,27,20/03/2020
Bolívar,0,20/03/2020
Cañar,6,20/03/2020
Carchi,0,20/03/2020
Chimborazo,3,20/03/2020
Cotopaxi,2,20/03/2020
El Oro,2,20/03/2020
Esmeraldas,0,20/03/2020
Galápagos,0,20/03/2020
Guayas,223,20/03/2020
Imbabura,5,20/03/2020
Loja,2,20/03/2020
Los Ríos,40,20/03/2020
Manabí,4,20/03/2020
Morona Santiago,4,20/03/2020
Napo,3,20/03/2020
Orellana,0,20/03/2020
Pastaza,3,20/03/2020
Pichincha,176,20/03/2020
Santa Elena,1,20/03/2020
Sto. Domingo Tsáchilas,9,20/03/2020
Sucumbios,13,20/03/2020
Tungurahua,8,20/03/2020
Zamora Chinchipe,2,20/03/2020
Azuay,52,21/03/2020
Bolívar,0,21/03/2020
Cañar,7,21/03/2020
Carchi,1,21/03/2020
Chimborazo,10,21/03/2020
Cotopaxi,2,21/03/2020
El Oro,2,21/03/2020
Esmeraldas,1,21/03/2020
Galápagos,0,21/03/2020
Guayas,257,21/03/2020
Imbabura,9,21/03/2020
Loja,4,21/03/2020
Los Ríos,39,21/03/2020
Manabí,5,21/03/2020
Morona Santiago,11,21/03/2020
Napo,3,21/03/2020
Orellana,0,21/03/2020
Pastaza,3,21/03/2020
Pichincha,204,21/03/2020
Santa Elena,1,21/03/2020
Sto. Domingo Tsáchilas,11,21/03/2020
Sucumbios,14,21/03/2020
Tungurahua,9,21/03/2020
Zamora Chinchipe,4,21/03/2020
Azuay,60,22/03/2020
Bolívar,3,22/03/2020
Cañar,8,22/03/2020
Carchi,1,22/03/2020
Chimborazo,11,22/03/2020
Cotopaxi,3,22/03/2020
El Oro,4,22/03/2020
Esmeraldas,1,22/03/2020
Galápagos,0,22/03/2020
Guayas,422,22/03/2020
Imbabura,11,22/03/2020
Loja,4,22/03/2020
Los Ríos,53,22/03/2020
Manabí,9,22/03/2020
Morona Santiago,14,22/03/2020
Napo,3,22/03/2020
Orellana,0,22/03/2020
Pastaza,4,22/03/2020
Pichincha,220,22/03/2020
Santa Elena,1,22/03/2020
Sto. Domingo Tsáchilas,11,22/03/2020
Sucumbios,14,22/03/2020
Tungurahua,10,22/03/2020
Zamora Chinchipe,5,22/03/2020
Azuay,120,23/03/2020
Bolívar,3,23/03/2020
Cañar,17,23/03/2020
Carchi,1,23/03/2020
Chimborazo,12,23/03/2020
Cotopaxi,5,23/03/2020
El Oro,8,23/03/2020
Esmeraldas,6,23/03/2020
Galápagos,0,23/03/2020
Guayas,480,23/03/2020
Imbabura,13,23/03/2020
Loja,8,23/03/2020
Los Ríos,66,23/03/2020
Manabí,19,23/03/2020
Morona Santiago,18,23/03/2020
Napo,3,23/03/2020
Orellana,0,23/03/2020
Pastaza,6,23/03/2020
Pichincha,262,23/03/2020
Santa Elena,2,23/03/2020
Sto. Domingo Tsáchilas,11,23/03/2020
Sucumbios,14,23/03/2020
Tungurahua,10,23/03/2020
Zamora Chinchipe,7,23/03/2020
Azuay,136,24/03/2020
Bolívar,3,24/03/2020
Cañar,19,24/03/2020
Carchi,2,24/03/2020
Chimborazo,12,24/03/2020
Cotopaxi,8,24/03/2020
El Oro,14,24/03/2020
Esmeraldas,7,24/03/2020
Galápagos,0,24/03/2020
Guayas,534,24/03/2020
Imbabura,16,24/03/2020
Loja,14,24/03/2020
Los Ríos,70,24/03/2020
Manabí,30,24/03/2020
Morona Santiago,20,24/03/2020
Napo,3,24/03/2020
Orellana,0,24/03/2020
Pastaza,6,24/03/2020
Pichincha,285,24/03/2020
Santa Elena,2,24/03/2020
Sto. Domingo Tsáchilas,11,24/03/2020
Sucumbios,14,24/03/2020
Tungurahua,12,24/03/2020
Zamora Chinchipe,7,24/03/2020
Azuay,167,25/03/2020
Bolívar,4,25/03/2020
Cañar,25,25/03/2020
Carchi,2,25/03/2020
Chimborazo,12,25/03/2020
Cotopaxi,8,25/03/2020
El Oro,21,25/03/2020
Esmeraldas,8,25/03/2020
Galápagos,0,25/03/2020
Guayas,583,25/03/2020
Imbabura,16,25/03/2020
Loja,20,25/03/2020
Los Ríos,75,25/03/2020
Manabí,43,25/03/2020
Morona Santiago,29,25/03/2020
Napo,3,25/03/2020
Orellana,0,25/03/2020
Pastaza,6,25/03/2020
Pichincha,316,25/03/2020
Santa Elena,2,25/03/2020
Sto. Domingo Tsáchilas,12,25/03/2020
Sucumbios,15,25/03/2020
Tungurahua,12,25/03/2020
Zamora Chinchipe,8,25/03/2020
