informacion,20/01/2021,21/01/2021,22/01/2021,23/01/2021,24/01/2021,25/01/2021,26/01/2021,27/01/2021,28/01/2021,29/01/2021,30/01/2021,31/01/2021,01/02/2021,02/02/2021,03/02/2021,04/02/2021,05/02/2021,06/02/2021,07/02/2021,08/02/2021,09/02/2021,10/02/2021,11/02/2021,12/02/2021,13/02/2021,14/02/2021,15/02/2021,16/02/2021,17/02/2021,18/02/2021,19/02/2021,20/02/2021,21/02/2021,22/02/2021,23/02/2021,24/02/2021,25/02/2021,26/02/2021,27/02/2021,28/02/2021,01/03/2021,02/03/2021,03/03/2021,04/03/2021,05/03/2021,06/03/2021,07/03/2021,08/03/2021,09/03/2021,10/03/2021,11/03/2021,12/03/2021,13/03/2021,14/03/2021,15/03/2021,16/03/2021,17/03/2021,18/03/2021,19/03/2021,20/03/2021,21/03/2021,22/03/2021,23/03/2021,24/03/2021,25/03/2021,26/03/2021,27/03/2021,28/03/2021,29/03/2021,30/03/2021,31/03/2021,01/04/2021,02/04/2021,03/04/2021,04/04/2021,05/04/2021,06/04/2021,07/04/2021,08/04/2021,09/04/2021,10/04/2021,11/04/2021,12/04/2021,13/04/2021,14/04/2021,15/04/2021,16/04/2021,17/04/2021,18/04/2021,19/04/2021,20/04/2021,21/04/2021,22/04/2021,23/04/2021,24/04/2021,25/04/2021,26/04/2021,27/04/2021,28/04/2021,29/04/2021,30/04/2021,01/05/2021,02/05/2021,03/05/2021,04/05/2021,05/05/2021,06/05/2021,07/05/2021,08/05/2021,09/05/2021,10/05/2021,11/05/2021,12/05/2021,13/05/2021,14/05/2021,15/05/2021,16/05/2021,17/05/2021,18/05/2021,19/05/2021,20/05/2021,21/05/2021,22/05/2021,23/05/2021,24/05/2021,25/05/2021,26/05/2021,27/05/2021,28/05/2021,29/05/2021,30/05/2021,31/05/2021,01/06/2021,02/06/2021,03/06/2021,04/06/2021,05/06/2021,06/06/2021,07/06/2021,08/06/2021,09/06/2021,10/06/2021,11/06/2021,12/06/2021,13/06/2021,14/06/2021,15/06/2021,16/06/2021,17/06/2021,18/06/2021,19/06/2021,20/06/2021,21/06/2021,22/06/2021,23/06/2021,24/06/2021,25/06/2021,26/06/2021,27/06/2021,28/06/2021,29/06/2021,30/06/2021,01/07/2021,02/07/2021,03/07/2021,04/07/2021,05/07/2021,06/07/2021,07/07/2021,08/07/2021,09/07/2021,10/07/2021,11/07/2021,12/07/2021,13/07/2021,14/07/2021,15/07/2021,16/07/2021,17/07/2021,18/07/2021,19/07/2021,20/07/2021,21/07/2021,22/07/2021,23/07/2021,24/07/2021,25/07/2021,26/07/2021,27/07/2021,28/07/2021,29/07/2021,30/07/2021,31/07/2021,01/08/2021,02/08/2021,03/08/2021,04/08/2021,05/08/2021,06/08/2021,07/08/2021,08/08/2021,09/08/2021,10/08/2021,11/08/2021,12/08/2021,13/08/2021,14/08/2021,15/08/2021,16/08/2021,17/08/2021,18/08/2021,19/08/2021,20/08/2021,21/08/2021,22/08/2021,23/08/2021,24/08/2021,25/08/2021,26/08/2021,27/08/2021,28/08/2021,29/08/2021,30/08/2021,31/08/2021,01/09/2021,02/09/2021,03/09/2021,04/09/2021,05/09/2021,06/09/2021,07/09/2021,08/09/2021,09/09/2021,10/09/2021,11/09/2021,12/09/2021,13/09/2021,14/09/2021,15/09/2021,16/09/2021
Arribadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CanSino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,446000,446000,446000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000,,,,,,,,
Oxford/AstraZeneca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,84000,420000,420000,420000,420000,420000,420000,420000,420000,420000,420000,420000,420000,420000,420000,420000,420000,420000,420000,420000,420000,420000,420000,420000,420000,420000,420000,420000,420000,624000,624000,624000,624000,624000,624000,624000,624000,624000,624000,624000,624000,624000,624000,624000,624000,828000,828000,828000,828000,1164000,1164000,1164000,1164000,1164000,1164000,1164000,1164000,1164000,1370000,1370000,1370000,1370000,1370000,1370000,1370000,1370000,1370000,1370000,1370000,1370000,1370000,1370000,1370000,1370000,1370000,1370000,1370000,1370000,1370000,1370000,1370000,1370000,1370000,1370000,1370000,1648800,1648800,1648800,1648800,1648800,1648800,1648800,1648800,1648800,1648800,1648800,1648800,1648800,1648800,1648800,1648800,1648800,1648800,1648800,1648800,1648800,1648800,1648800,1648800,1648800,1648800,1648800,1648800,1648800,1648800,1750560,1750560,1750560,1750560,1913760,1913760,1913760,1913760,1913760,1913760,1913760,2308710,2308710,2308710,2308710,2308710,2308710,2531610,2531610,2531610,2531610,2531610,2531610,2531610,,,,,,,,
Pfizer/BioNTech,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,24570,24570,24570,24570,24570,24570,24570,42120,42120,42120,42120,42120,42120,42120,73710,73710,73710,73710,73710,73710,73710,147420,147420,147420,147420,147420,147420,147420,209430,209430,209430,209430,209430,209430,209430,274950,274950,274950,274950,274950,274950,274950,341640,341640,341640,341640,341640,395460,395460,395460,395460,395460,395460,395460,395460,395460,449280,449280,449280,449280,449280,449280,449280,504270,504270,504270,504270,504270,504270,504270,559260,559260,559260,559260,559260,559260,659880,659880,659880,659880,659880,659880,659880,760569,760569,760569,760569,760569,760569,760569,931389,931389,931389,931389,931389,931389,931389,1102209,1102209,1102209,1102209,1102209,1102209,1102209,1209849,1209849,1209849,1209849,1209849,1209849,1209849,1318659,1318659,1318659,1318659,1318659,1318659,1318659,1427469,1427469,1427469,1427469,1427469,1427469,1427469,1536279,1536279,1536279,1536279,1536279,1536279,1536279,1645089,1645089,2645089,2645089,2645089,2645089,2645089,2645089,2704759,2704759,2704759,2704759,2704759,2704759,2780809,3159889,3159889,3159889,3159889,3159889,3159889,4337729,4337729,4337729,4337729,4337729,4337729,4592789,4592789,4592789,4592789,4592789,4592789,4592789,4592789,4864229,4864229,4864229,4864229,4864229,4864229,4864229,5068979,5068979,5068979,5068979,5068979,5068979,5068979,5262029,5262029,5262029,5262029,5262029,5262029,5262029,5459759,5459759,5459759,5459759,5459759,5459759,5459759,5781509,5781509,5781509,5781509,5781509,5781509,5781509,5781509,5995609,,,,,,,,
Sinovac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,320000,320000,320000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1023520,1023520,1023520,1023520,1023520,1023520,1023520,1023520,1023520,1023520,1023520,1023520,1023520,1723520,1723520,1723520,1723520,1723520,1723520,1723520,1723520,1723520,1723520,1723520,1723520,1723520,1723520,1723520,1723520,1723520,1723520,2223520,2223520,2223520,2223520,2223520,2223520,2223520,2223520,2223520,2223520,2223520,2223520,2223520,2223520,2223520,2223520,4223520,4223520,4223520,4223520,4223520,5723520,5723520,6223520,6223520,6223520,6223520,6223520,6223520,6223520,6223520,6223520,9223520,9223520,9223520,9223520,9223520,9223520,9223520,9223520,9223520,9223520,9223520,9223520,9223520,9223520,9223520,9223520,9223520,9223520,9223520,9223520,9223520,9223520,9223520,9223520,9223520,9223520,9223520,11223520,11223520,11223520,11223520,11223520,11223520,11223520,11223520,13223520,13223520,13223520,13223520,13223520,13223520,13223520,13223520,13223520,13223520,13223520,13223520,13223520,13223520,13223520,13223520,13223520,13223520,,,,,,,,
Total,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,24570,24570,24570,24570,24570,24570,24570,42120,42120,42120,42120,42120,42120,42120,73710,73710,73710,93710,93710,93710,93710,167420,167420,167420,167420,167420,167420,167420,313430,313430,313430,313430,313430,313430,313430,378950,378950,378950,378950,378950,378950,378950,445640,445640,445640,445640,445640,499460,499460,799460,799460,799460,1499460,1499460,1499460,1499460,1553280,1553280,1553280,1553280,1553280,1553280,1553280,1608270,1608270,1608270,1944270,1944270,1944270,1944270,1999260,1999260,1999260,1999260,1999260,1999260,2099880,2099880,2099880,2099880,2099880,2099880,2099880,2200569,2200569,2200569,2200569,2200569,2204089,2204089,2374909,2374909,2374909,2374909,2578909,2578909,2578909,2749729,2749729,2749729,2749729,3449729,3449729,3449729,3557369,3557369,3557369,3557369,3557369,3557369,3761369,3870179,3870179,3870179,4206179,4206179,4206179,4206179,4314989,4814989,4814989,4814989,4814989,5020989,5020989,5129799,5129799,5129799,5129799,5129799,5129799,5129799,5238609,5238609,6238609,8238609,8238609,8238609,8238609,8238609,9798279,9798279,10298279,10298279,10298279,10298279,10374329,10753409,10753409,10753409,11032209,14032209,14032209,15210049,15210049,15210049,15210049,15210049,15210049,15465109,15465109,15465109,15465109,15465109,15465109,15465109,15465109,15936549,15936549,15936549,15936549,15936549,15936549,15936549,16141299,16141299,16141299,16141299,18141299,18141299,18243059,18436109,18682109,18682109,18845309,18899309,20899309,20899309,21097039,21097039,21097039,21491989,21491989,21491989,21491989,21813739,21813739,22036639,22036639,22036639,22036639,22036639,22036639,22250739,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Administradas (Reportada por fecha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,0,0,108,108,108,108,108,2982,2982,2982,2982,2982,2982,2982,2982,6228,6228,6228,6228,6228,6228,6228,6228,6228,6228,6228,6228,6228,8190,8190,8190,8190,8190,8190,8190,24492,24492,24492,24492,24492,42114,42114,42114,59316,71148,71148,71148,74472,75258,75258,95915,123176,139359,139359,141191,141191,141191,141191,141191,141191,178970,178970,182261,191179,191179,230770,235000,235000,244866,244866,244866,283106,283106,283106,301069,335093,356783,356783,363255,363255,363255,363255,363255,363255,480962,485132,514151,545132,554369,577711,601229,643702,675510,711204,732717,743937,765489,816175,861393,920865,987452,1036794,1067472,1067472,1141262,1182085,1215676,1245822,1245822,1289962,1289962,1339196,1355698,1405898,1456293,1485936,1524724,1560453,1583399,1627070,1727805,1727805,1893053,1946346,1946346,2025156,2025156,2110324,2172656,2205483,2225005,2225005,2387698,2447889,2529218,2597836,2645983,2665806,2717072,2788245,2788245,2788245,2788245,2788245,3081172,3081172,3133387,3133387,3133387,3133387,3558254,3580667,3658226,3725385,3797663,3879573,3944256,3991635,4024007,4091026,4152557,4222588,4301966,4345970,4451790,4517579,4647258,4794852,4958392,5142998,5358688,5619115,5786147,5786147,6383862,6890876,7281701,7591739,7882979,8178327,8467877,8707304,9055887,9295351,9510668,9677880,9880401,10051176,10295022,10584021,10929785,11221939,11419806,11419806,11732461,11917800,12138621,12384109,12649538,12883619,13351482,13351482,13351482,14097131,14363025,14578314,14684326,14742430,14742430,15516237,15879437,16235098,16500237,16693126,16835733,17067706,17284842,17513775,17750269,18003827,18195864,19260796,19260796,19512448,19704153,19704153,19704153,19962941,20022702,20103182,20170825,20225580,20272332,20320001,20320001,20320001,20320001,20320001,20426849,20456671
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
