provincia,total,created_at
Azuay,0,13/03/2020
Cañar,0,13/03/2020
Bolívar,0,13/03/2020
Carchi,0,13/03/2020
Chimborazo,0,13/03/2020
Cotopaxi,0,13/03/2020
El Oro,0,13/03/2020
Esmeraldas,0,13/03/2020
Galápagos,0,13/03/2020
Guayas,2,13/03/2020
Imbabura,0,13/03/2020
Loja,0,13/03/2020
Los Ríos,0,13/03/2020
Manabí,0,13/03/2020
Napo,0,13/03/2020
Orellana,0,13/03/2020
Morona Santiago,0,13/03/2020
Pastaza,0,13/03/2020
Pichincha,0,13/03/2020
Santa Elena,0,13/03/2020
Sto. Domingo Tsáchilas,0,13/03/2020
Sucumbíos,0,13/03/2020
Tungurahua,0,13/03/2020
Zamora Chinchipe,0,13/03/2020
Azuay,0,14/03/2020
Cañar,0,14/03/2020
Bolívar,0,14/03/2020
Carchi,0,14/03/2020
Chimborazo,0,14/03/2020
Cotopaxi,0,14/03/2020
El Oro,0,14/03/2020
Esmeraldas,0,14/03/2020
Galápagos,0,14/03/2020
Guayas,2,14/03/2020
Imbabura,0,14/03/2020
Loja,0,14/03/2020
Los Ríos,0,14/03/2020
Manabí,0,14/03/2020
Napo,0,14/03/2020
Orellana,0,14/03/2020
Morona Santiago,0,14/03/2020
Pastaza,0,14/03/2020
Pichincha,0,14/03/2020
Santa Elena,0,14/03/2020
Sto. Domingo Tsáchilas,0,14/03/2020
Sucumbíos,0,14/03/2020
Tungurahua,0,14/03/2020
Zamora Chinchipe,0,14/03/2020
Azuay,0,15/03/2020
Cañar,0,15/03/2020
Bolívar,0,15/03/2020
Carchi,0,15/03/2020
Chimborazo,0,15/03/2020
Cotopaxi,0,15/03/2020
El Oro,0,15/03/2020
Esmeraldas,0,15/03/2020
Galápagos,0,15/03/2020
Guayas,2,15/03/2020
Imbabura,0,15/03/2020
Loja,0,15/03/2020
Los Ríos,0,15/03/2020
Manabí,0,15/03/2020
Napo,0,15/03/2020
Orellana,0,15/03/2020
Morona Santiago,0,15/03/2020
Pastaza,0,15/03/2020
Pichincha,0,15/03/2020
Santa Elena,0,15/03/2020
Sto. Domingo Tsáchilas,0,15/03/2020
Sucumbíos,0,15/03/2020
Tungurahua,0,15/03/2020
Zamora Chinchipe,0,15/03/2020
Azuay,0,16/03/2020
Cañar,0,16/03/2020
Bolívar,0,16/03/2020
Carchi,0,16/03/2020
Chimborazo,0,16/03/2020
Cotopaxi,0,16/03/2020
El Oro,0,16/03/2020
Esmeraldas,0,16/03/2020
Galápagos,0,16/03/2020
Guayas,2,16/03/2020
Imbabura,0,16/03/2020
Loja,0,16/03/2020
Los Ríos,0,16/03/2020
Manabí,0,16/03/2020
Napo,0,16/03/2020
Orellana,0,16/03/2020
Morona Santiago,0,16/03/2020
Pastaza,0,16/03/2020
Pichincha,0,16/03/2020
Santa Elena,0,16/03/2020
Sto. Domingo Tsáchilas,0,16/03/2020
Sucumbíos,0,16/03/2020
Tungurahua,0,16/03/2020
Zamora Chinchipe,0,16/03/2020
Azuay,0,17/03/2020
Cañar,0,17/03/2020
Bolívar,0,17/03/2020
Carchi,0,17/03/2020
Chimborazo,0,17/03/2020
Cotopaxi,0,17/03/2020
El Oro,0,17/03/2020
Esmeraldas,0,17/03/2020
Galápagos,0,17/03/2020
Guayas,2,17/03/2020
Imbabura,0,17/03/2020
Loja,0,17/03/2020
Los Ríos,0,17/03/2020
Manabí,0,17/03/2020
Napo,0,17/03/2020
Orellana,0,17/03/2020
Morona Santiago,0,17/03/2020
Pastaza,0,17/03/2020
Pichincha,0,17/03/2020
Santa Elena,0,17/03/2020
Sto. Domingo Tsáchilas,0,17/03/2020
Sucumbíos,0,17/03/2020
Tungurahua,0,17/03/2020
Zamora Chinchipe,0,17/03/2020
Azuay,0,18/03/2020
Cañar,0,18/03/2020
Bolívar,0,18/03/2020
Carchi,0,18/03/2020
Chimborazo,0,18/03/2020
Cotopaxi,0,18/03/2020
El Oro,0,18/03/2020
Esmeraldas,0,18/03/2020
Galápagos,0,18/03/2020
