inec_provincia_id,provincia,poblacion,lat,lng,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020
1,Azuay,881394,-2.8974140000000004,-79.004481,0,0,0,1,1,2,3,4,5,5,5,5,6,6,6,6,6,7,7,7,7,11,11,11,11,11,11,11,11,11,11,11,11
2,Bolívar,209933,-1.6055560000000002,-79.003056,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,5,5,6,6,6,7,7,7,7,7,7
4,Carchi,186869,0.81218,-77.71633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,Cañar,281396,-2.733333,-78.833333,0,0,0,1,1,2,2,2,2,2,2,2,2,2,3,3,4,4,6,6,6,8,8,8,8,8,9,9,9,9,9,9,9
6,Chimborazo,524004,-1.674347,-78.648294,0,0,1,0,0,0,0,0,1,1,2,2,11,13,14,14,15,15,17,18,18,18,18,23,24,24,25,26,27,27,27,27,27
5,Cotopaxi,488716,-0.933333,-78.616667,1,1,0,1,1,1,1,1,1,1,1,1,4,4,5,5,6,7,8,8,9,9,9,10,11,11,11,11,13,13,13,13,13
7,El Oro,715751,-3.2666670000000004,-79.966667,3,3,3,4,4,4,9,10,10,11,13,14,14,15,19,21,23,27,34,39,39,39,41,46,51,56,56,57,59,59,59,59,59
8,Esmeraldas,591083,1.05,-79.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,12,12,12,12,12
20,Galápagos,33042,-0.7999999999999999,-89.4,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,Guayas,4387434,-2.183333,-79.883333,21,25,30,37,40,52,63,82,102,122,126,130,138,144,154,159,165,168,172,173,185,187,193,207,208,232,238,242,245,245,245,245,245
10,Imbabura,476257,0.362678,-78.130667,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,5,5,5,5,5,5,8,8,8,8,8,8,8
11,Loja,521154,-3.9833330000000005,-79.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,5,5,5,6,6,7,7,7,7,7
12,Los Ríos,921763,-1.8,-79.533333,3,3,5,5,5,6,6,6,9,10,10,10,11,11,11,13,14,13,13,13,13,16,16,18,18,19,19,19,19,19,19,19,19
13,Manabí,1562079,-1.056181,-80.455217,0,1,1,1,1,1,2,2,2,2,2,3,8,14,17,20,22,29,32,32,33,34,35,41,42,43,43,44,50,50,50,50,50
14,Morona Santiago,196535,-2.3000000000000003,-78.116667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Napo,133705,-0.989,-77.8159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2
22,Orellana,161338,-0.466667,-76.966667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Pastaza,114202,-1.066667,-78.001111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2
17,Pichincha,3228233,-0.218611,-78.509722,3,4,4,4,5,5,5,5,5,6,6,10,10,15,17,25,26,26,26,31,33,34,38,39,43,44,44,52,54,54,54,54,54
24,Santa Elena,401178,-2.2267,-80.8583,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
23,Sto. Domingo Tsáchilas,511151,-0.254167,-79.171944,0,0,0,0,0,0,0,0,0,2,2,2,4,4,6,6,6,8,9,9,10,11,11,11,13,13,13,14,15,15,15,15,15
21,Sucumbíos,230503,0.08472200000000002,-76.882778,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,Tungurahua,590600,-1.241667,-78.619722,0,0,0,0,0,0,1,1,1,2,3,3,3,3,4,4,5,5,6,6,6,7,7,7,8,9,9,9,9,9,9,9,9
19,Zamora Chinchipe,120416,-4.12,-78.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
