inec_provincia_id,provincia,poblacion,lat,lng,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,03/05/2020,04/05/2020,05/05/2020,06/05/2020,07/05/2020,08/05/2020,09/05/2020,10/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,16/05/2020,17/05/2020,18/05/2020,19/05/2020,20/05/2020,21/05/2020,22/05/2020,23/05/2020,24/05/2020,25/05/2020,26/05/2020,27/05/2020,28/05/2020,29/05/2020,30/05/2020,31/05/2020,01/06/2020,02/06/2020,03/06/2020,04/06/2020,05/06/2020,06/06/2020,07/06/2020,08/06/2020,09/06/2020,10/06/2020,11/06/2020,12/06/2020,13/06/2020,14/06/2020,15/06/2020,16/06/2020,17/06/2020,18/06/2020,19/06/2020,20/06/2020,21/06/2020,22/06/2020,23/06/2020,24/06/2020
01,Azuay,881394,-2.8974140000000004,-79.004481,0,0,0,1,1,2,3,4,5,5,5,5,6,6,6,6,6,7,7,7,7,11,11,11,11,11,11,11,11,11,11,11,11,15,15,15,16,16,16,16,16,18,22,22,22,24,24,25,25,25,27,29,29,29,29,30,31,33,33,33,33,33,33,33,33,33,33,33,33,36,36,36,36,36,36,38,41,41,41,41,41,41,41,44,47,47,47,47,48,48,48
02,Bolívar,209933,-1.6055560000000002,-79.003056,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,5,5,6,6,6,7,7,7,7,7,7,10,10,11,13,13,13,13,13,14,14,16,15,18,18,18,18,18,18,18,19,20,20,20,20,22,22,22,24,24,24,24,24,24,24,24,28,29,29,29,29,29,29,29,29,30,31,31,31,31,31,31,31,32,32,32,32,32,34
04,Carchi,186869,0.81218,-77.71633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,6,6,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,10,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,13,13,14,14,14,14,16,16,16,16,16,17
03,Cañar,281396,-2.733333,-78.833333,0,0,0,1,1,2,2,2,2,2,2,2,2,2,3,3,4,4,6,6,6,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,13,15,21,22,22,22,22,22,24,25,25,25,27,27,28,29,29,29,29,29,30,30,30,30,30,30,30,31,31,32,32,33,33,34,34,34,35,37,37,37,37,37,37,37,37,37,37,40,40
06,Chimborazo,524004,-1.674347,-78.648294,0,0,1,0,0,0,0,0,1,1,2,2,11,13,14,14,15,15,17,18,18,18,18,23,24,24,25,26,27,27,27,27,27,31,32,35,37,45,52,54,54,54,54,54,54,66,67,70,70,70,84,85,87,90,91,92,96,100,100,100,103,103,106,106,108,108,109,110,111,111,117,117,117,117,117,118,120,122,125,125,126,126,127,133,133,139,139,140,141,144,144
05,Cotopaxi,488716,-0.933333,-78.616667,1,1,0,1,1,1,1,1,1,1,1,1,4,4,5,5,6,7,8,8,9,9,9,10,11,11,11,11,13,13,13,13,18,19,19,19,19,25,25,25,25,26,26,26,26,36,37,38,38,38,38,38,38,38,40,42,42,46,46,46,51,51,52,52,53,53,54,56,57,57,59,59,60,61,61,62,64,65,66,68,68,68,70,72,83,97,101,103,103,106,108
07,El Oro,715751,-3.2666670000000004,-79.966667,3,3,3,4,4,4,9,10,10,11,13,14,14,15,19,21,23,27,34,39,39,39,41,46,51,56,56,57,59,59,59,59,61,69,79,80,83,103,106,106,106,109,110,108,108,114,114,126,126,126,137,145,145,147,147,151,152,162,162,164,176,177,180,180,181,183,183,184,189,192,193,194,194,196,197,198,199,205,218,218,221,221,223,234,239,239,240,240,240,240,242
08,Esmeraldas,591083,1.05,-79.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,12,12,12,12,15,17,19,19,20,28,28,29,29,30,34,35,35,43,42,49,49,49,54,54,56,58,61,61,65,65,71,71,72,74,80,80,80,80,80,84,85,91,92,93,95,95,96,96,98,98,101,101,102,108,109,109,121,129,129,129,130,130,136
20,Galápagos,33042,-0.7999999999999999,-89.4,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
09,Guayas,4387434,-2.183333,-79.883333,21,25,30,37,40,52,63,82,102,122,126,130,138,144,154,159,165,168,172,173,185,187,193,207,208,232,238,242,245,245,245,245,276,433,378,380,514,665,683,683,683,720,726,761,764,1059,1063,1174,1174,1175,1184,1213,1226,1238,1254,1269,1284,1354,1362,1362,1390,1393,1394,1397,1397,1402,1405,1410,1418,1430,1456,1461,1468,1468,1469,1476,1476,1478,1488,1491,1493,1494,1499,1500,1516,1529,1542,1542,1543,1545,1547
10,Imbabura,476257,0.362678,-78.130667,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,5,5,5,5,5,5,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,10,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,15,16,16,18,18,19,19,21,22,25,27,28,28,29,31,33,33
11,Loja,521154,-3.9833330000000005,-79.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,4,4,4,5,5,5,6,6,7,7,7,7,9,11,10,10,11,16,16,14,14,12,12,11,11,14,14,14,14,14,17,19,19,19,20,20,20,20,20,20,20,20,21,21,21,21,21,24,25,26,27,28,28,28,28,29,29,33,34,35,35,36,37,37,38,38,38,38,38,40,41
12,Los Ríos,921763,-1.8,-79.533333,3,3,5,5,5,6,6,6,9,10,10,10,11,11,11,13,14,13,13,13,13,16,16,18,18,19,19,19,19,19,19,19,27,31,36,38,38,58,59,59,59,59,59,59,60,76,77,92,93,95,126,139,151,160,161,169,170,179,180,180,191,193,194,194,195,195,195,198,205,209,211,213,214,215,215,234,234,237,239,239,239,239,239,239,241,245,246,251,251,251,252
13,Manabí,1562079,-1.056181,-80.455217,0,1,1,1,1,1,2,2,2,2,2,3,8,14,17,20,22,29,32,32,33,34,35,41,42,43,43,44,50,50,50,50,52,59,101,106,111,125,206,206,206,209,219,226,226,252,257,275,278,279,325,328,337,343,346,350,357,363,372,375,399,405,421,422,428,430,434,447,450,456,456,484,486,487,489,492,502,508,513,526,526,531,533,535,546,548,560,560,561,570,571
14,Morona Santiago,196535,-2.3000000000000003,-78.116667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,5,5,5,6,6,6,6,7,7,8,8,8,8,8,8,8,8,8,9,9,9,10,10
15,Napo,133705,-0.989,-77.8159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,7,7,7,9,9,10,10,10,10,10,10,10,11,15,15,15,15,18,20,20,21,21,22,24,24,24,29,29,30,30,30,30,30,30,30,30,30,30,30,30
22,Orellana,161338,-0.466667,-76.966667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,7,7,7,7,7,7,7,7,8,9,9,12,14,14,15,15,15,15,16
16,Pastaza,114202,-1.066667,-78.001111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,8,9,9,12,13,13,15,15,15,16
17,Pichincha,3228233,-0.218611,-78.509722,3,4,4,4,5,5,5,5,5,6,6,10,10,15,17,25,26,26,26,31,33,34,38,39,43,44,44,52,54,54,54,54,57,64,66,68,75,88,91,91,91,93,93,97,99,105,106,114,114,114,181,209,215,216,220,227,239,240,251,256,259,259,268,296,300,301,304,307,311,319,320,324,326,328,337,343,348,358,377,386,391,395,415,416,421,430,436,448,455,456,464
24,Santa Elena,401178,-2.2267,-80.8583,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,43,46,47,47,49,85,164,166,166,166,171,173,174,191,193,190,193,193,242,243,245,265,266,273,273,277,277,277,280,281,281,281,281,281,281,281,281,281,285,286,286,286,286,288,288,288,289,297,305,313,316,316,316,318,318,318,319,319,322
23,Sto. Domingo Tsáchilas,511151,-0.254167,-79.171944,0,0,0,0,0,0,0,0,0,2,2,2,4,4,6,6,6,8,9,9,10,11,11,11,13,13,13,14,15,15,15,15,19,20,20,21,23,34,35,36,36,36,37,37,37,39,43,48,48,48,51,52,52,54,55,55,56,58,63,63,66,67,71,71,73,74,74,75,78,78,79,81,81,83,87,88,91,94,94,94,95,95,95,99,103,106,108,109,110,111,111
21,Sucumbíos,230503,0.08472200000000002,-76.882778,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,7,7,7,8,8,8,8,8,8,10,10,12,13,13,13,14,14,14,16,16,16
18,Tungurahua,590600,-1.241667,-78.619722,0,0,0,0,0,0,1,1,1,2,3,3,3,3,4,4,5,5,6,6,6,7,7,7,8,9,9,9,9,9,9,9,9,12,17,17,19,32,32,32,32,32,32,32,32,34,34,37,37,37,48,51,52,56,57,57,58,59,59,60,60,60,65,68,68,68,68,68,68,68,68,77,77,77,77,77,78,80,80,81,81,81,81,82,85,87,87,87,92,93,94
19,Zamora Chinchipe,120416,-4.12,-78.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,7,7,7,7,9,9,10,11,11,11,11,13,13,13,13,16
