provincia,poblacion,lat,lng,01/01/2021,02/01/2021,03/01/2021,04/01/2021,05/01/2021,06/01/2021,07/01/2021,08/01/2021,09/01/2021,10/01/2021,11/01/2021,12/01/2021,13/01/2021,14/01/2021,15/01/2021,16/01/2021,17/01/2021,18/01/2021,19/01/2021,20/01/2021,21/01/2021,22/01/2021,23/01/2021,24/01/2021,25/01/2021,26/01/2021,27/01/2021,28/01/2021,29/01/2021,30/01/2021,31/01/2021,01/02/2021,02/02/2021,03/02/2021,04/02/2021,05/02/2021,06/02/2021,07/02/2021,08/02/2021,09/02/2021,10/02/2021,11/02/2021,12/02/2021,13/02/2021,14/02/2021,15/02/2021,16/02/2021,17/02/2021,18/02/2021,19/02/2021,20/02/2021,21/02/2021,22/02/2021,23/02/2021,24/02/2021,25/02/2021,26/02/2021,27/02/2021,28/02/2021,01/03/2021,02/03/2021,03/03/2021,04/03/2021,05/03/2021,06/03/2021,07/03/2021,08/03/2021,09/03/2021,10/03/2021,11/03/2021,12/03/2021,13/03/2021,14/03/2021,15/03/2021,16/03/2021,17/03/2021,18/03/2021,19/03/2021,20/03/2021,21/03/2021,22/03/2021,23/03/2021,24/03/2021,25/03/2021,26/03/2021,27/03/2021,28/03/2021,29/03/2021,30/03/2021,31/03/2021,01/04/2021,02/04/2021,03/04/2021,04/04/2021,05/04/2021,06/04/2021,07/04/2021,08/04/2021,09/04/2021,10/04/2021,11/04/2021,12/04/2021,13/04/2021,14/04/2021,15/04/2021,16/04/2021,17/04/2021,18/04/2021,19/04/2021,20/04/2021,21/04/2021,22/04/2021,23/04/2021,24/04/2021,25/04/2021
Azuay,881394,-2.897414000000000,-79.00448100000000,222,222,222,222,225,225,226,226,226,226,226,226,226,226,227,228,228,228,245,245,247,249,249,249,249,251,257,261,263,267,267,267,277,278,278,279,280,280,280,289,291,293,294,297,297,297,297,297,297,297,300,300,300,301,301,304,304,305,305,305,305,312,312,316,316,316,316,316,316,316,321,321,321,321,321,321,322,322,324,324,324,324,324,325,337,337,338,338,338,338,343,344,344,344,345,345,350,352,354,355,355,355,355,356,357,358,358,358,358,360,361,366,368,372,372
Bolívar,209933,-1.605556000000000,-79.00305600000000,72,73,72,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,74,74,75,75,75,75,75,75,75,75,75,75,75,75,76,76,76,76,76,76,76,76,77,77,77,77,79,80,81,81,81,81,81,81,82,82,82,82,82,83,83,83,83,83,83,83,83,84,84,84,84,84,84,84,84,84,84,84,84,85,85,85,85,86,86,87,87,87,87,88,88,88,88,88,88,88,89,89,89,91,92,92,92,94,98,98,98,98
Carchi,186869,0.8121800000000000,-77.71633000000000,122,123,122,124,125,125,126,126,130,130,133,134,135,138,140,141,141,141,148,148,149,153,154,156,156,160,162,163,164,165,166,167,169,169,169,170,171,171,171,172,172,173,175,176,176,176,176,176,180,183,183,183,183,183,184,185,186,186,187,187,191,192,192,193,194,194,194,194,194,196,197,197,197,197,198,199,199,200,200,200,200,203,204,205,205,207,207,207,207,210,211,212,212,212,213,214,215,217,219,219,219,219,219,219,219,219,219,219,219,219,219,226,226,228,228
Cañar,281396,-2.733333000000000,-78.83333300000000,103,103,103,103,104,104,104,104,104,104,104,104,104,104,104,105,105,105,108,108,108,108,108,108,108,108,108,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,110,110,110,110,110,110,110,110,110,110,110,110,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,113,113,113,113,113,113,113,113,114,114,115,115,115,115,116,116,116,116,116,117,117,118,118,118,118,118,121,121,121,121,121,121,121,121,121,122,122,122,122,122,122,122,125,125,125
Chimborazo,524004,-1.674347000000000,-78.64829400000001,345,345,345,345,346,354,356,357,357,357,357,358,360,360,360,361,361,361,363,365,366,366,366,366,366,366,366,367,368,386,386,386,386,387,387,387,387,387,387,387,387,387,387,387,392,392,392,392,394,394,394,394,394,394,396,397,397,398,398,398,398,399,399,401,401,401,401,401,401,401,401,401,402,402,403,403,403,403,403,404,404,406,407,407,408,408,408,408,409,409,409,409,409,409,409,409,412,412,412,413,413,413,413,413,413,413,413,416,416,416,416,416,416,417,417
Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,312,312,312,312,315,315,316,316,316,316,316,316,322,325,325,326,326,326,328,328,328,329,330,331,335,335,338,338,338,343,343,346,349,350,352,353,353,353,353,354,356,356,359,361,363,363,363,363,368,368,372,373,373,373,374,378,378,385,388,388,389,390,390,390,390,390,390,391,391,391,391,392,392,392,392,393,394,394,394,394,394,394,397,397,397,397,397,397,397,397,397,399,401,401,402,402,403,403,403,404,405,405,406,407,407,407,407,407,407,407,408,412,413,413,413
El Oro,715751,-3.266667000000000,-79.96666700000000,571,572,571,573,574,576,577,577,577,577,577,582,583,583,584,585,585,585,594,594,598,602,605,610,615,622,624,625,628,629,631,632,633,638,643,643,646,647,647,655,658,659,665,668,668,684,697,699,707,707,709,710,710,711,715,715,718,720,721,721,721,722,724,726,727,727,727,729,729,730,733,737,737,738,739,749,751,751,755,756,761,765,765,768,769,770,770,770,773,779,782,784,784,788,788,788,793,801,806,816,818,818,826,830,835,838,840,842,842,847,850,861,868,871,871
Esmeraldas,591083,1.050000000000000,-79.20000000000000,241,241,241,241,241,241,242,242,242,242,242,242,242,242,242,242,242,242,243,243,245,246,246,246,246,246,246,246,246,247,247,247,247,247,247,247,247,247,247,251,251,252,255,255,260,260,260,260,260,260,263,264,264,264,265,266,267,267,267,267,267,272,272,274,275,276,276,276,277,277,277,277,277,277,277,277,282,285,288,288,288,288,290,295,295,302,302,302,302,302,302,302,303,303,303,304,304,305,312,316,317,317,317,320,321,321,324,324,324,324,326,326,333,344,344
Galápagos,33042,-0.8000000000000000,-89.40000000000001,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Guayas,4387434,-2.183333000000000,-79.88333299999999,1859,1859,1859,1863,1864,1865,1865,1865,1866,1866,1866,1866,1866,1866,1867,1868,1870,1872,1874,1877,1895,1910,1924,1925,1925,1927,1928,1943,1947,1948,1949,1949,1950,1951,1956,1956,1959,1959,1959,1959,1959,1976,1991,1997,2028,2038,2048,2048,2049,2053,2053,2055,2055,2055,2059,2060,2066,2070,2070,2074,2074,2078,2078,2084,2084,2084,2084,2085,2087,2089,2090,2091,2099,2099,2099,2101,2103,2105,2108,2109,2123,2123,2124,2125,2127,2129,2132,2134,2140,2145,2145,2146,2146,2146,2155,2156,2157,2158,2158,2160,2161,2161,2162,2164,2166,2183,2221,2243,2243,2244,2257,2288,2307,2310,2310
