provincia,poblacion,lat,lng,Enero,Febrero,Marzo,Abril
Azuay,881394,-2.897414000000000,-79.00448100000000,45,38,33,35
Bolívar,209933,-1.605556000000000,-79.00305600000000,4,6,4,14
Carchi,186869,0.8121800000000000,-77.71633000000000,44,21,23,21
Cañar,281396,-2.733333000000000,-78.83333300000000,6,3,5,8
Chimborazo,524004,-1.674347000000000,-78.64829400000001,42,12,11,9
Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,32,45,9,18
El Oro,715751,-3.266667000000000,-79.96666700000000,62,90,58,105
Esmeraldas,591083,1.050000000000000,-79.20000000000000,6,20,35,46
Galápagos,33042,-0.8000000000000000,-89.40000000000001,4,0,1,0
Guayas,4387434,-2.183333000000000,-79.88333299999999,90,121,75,224
Imbabura,476257,0.3626780000000000,-78.13066700000000,17,27,27,42
Loja,521154,-3.983333000000000,-79.20000000000000,15,30,73,92
Los Ríos,921763,-1.800000000000000,-79.53333300000000,4,15,29,24
Manabí,1562079,-1.056181000000000,-80.45521700000000,115,161,221,265
Morona Santiago,196535,-2.300000000000000,-78.11666700000001,3,2,7,6
Napo,133705,-0.9890000000000000,-77.81590000000000,2,4,6,4
Orellana,161338,-0.4666670000000000,-76.96666700000000,3,3,3,4
Pastaza,114202,-1.066667000000000,-78.00111099999999,4,0,6,1
Pichincha,3228233,-0.2186110000000000,-78.50972200000000,83,188,198,258
Santa Elena,401178,-2.226700000000000,-80.85830000000000,22,3,0,1
Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,40,47,63,82
Sucumbíos,230503,0.08472200000000001,-76.88277800000000,10,1,17,22
Tungurahua,590600,-1.241667000000000,-78.61972200000000,49,42,5,6
Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,2,2,10,17
