provincia,poblacion,total,nuevas,lat,lng,semana
Azuay,881394,226,4,-2.897414000000000,-79.00448100000000,1
Bolívar,209933,73,1,-1.605556000000000,-79.00305600000000,1
Carchi,186869,130,8,0.8121800000000000,-77.71633000000000,1
Cañar,281396,104,1,-2.733333000000000,-78.83333300000000,1
Chimborazo,524004,357,12,-1.674347000000000,-78.64829400000001,1
Cotopaxi,488716,316,4,-0.9333330000000000,-78.61666700000001,1
El Oro,715751,577,6,-3.266667000000000,-79.96666700000000,1
Esmeraldas,591083,242,1,1.050000000000000,-79.20000000000000,1
Galápagos,33042,6,1,-0.7999999999999999,-89.40000000000001,1
Guayas,4387434,1866,7,-2.183333000000000,-79.88333299999999,1
Imbabura,476257,217,3,0.3626780000000000,-78.13066700000000,1
Loja,521154,247,1,-3.983333000000000,-79.20000000000000,1
Los Ríos,921763,362,1,-1.800000000000000,-79.53333300000000,1
Manabí,1562079,1325,24,-1.056181000000000,-80.45521700000000,1
Morona Santiago,196535,37,1,-2.300000000000000,-78.11666700000001,1
Napo,133705,78,0,-0.9890000000000000,-77.81590000000000,1
Orellana,161338,53,0,-0.4666670000000000,-76.96666700000000,1
Pastaza,114202,64,1,-1.066667000000000,-78.00111099999999,1
Pichincha,3228233,2033,6,-0.2186110000000000,-78.50972200000000,1
Santa Elena,401178,389,4,-2.226700000000000,-80.85830000000000,1
Sto. Domingo Tsáchilas,511151,385,9,-0.2541670000000000,-79.17194400000000,1
Sucumbíos,230503,100,2,0.08472200000000002,-76.88277800000000,1
Tungurahua,590600,350,9,-1.241667000000000,-78.61972200000000,1
Zamora Chinchipe,120416,56,0,-4.120000000000000,-78.80000000000000,1
Azuay,881394,228,2,-2.897414000000000,-79.00448100000000,2
Bolívar,209933,73,0,-1.605556000000000,-79.00305600000000,2
Carchi,186869,141,11,0.8121800000000000,-77.71633000000000,2
Cañar,281396,105,1,-2.733333000000000,-78.83333300000000,2
Chimborazo,524004,361,4,-1.674347000000000,-78.64829400000001,2
Cotopaxi,488716,326,10,-0.9333330000000000,-78.61666700000001,2
El Oro,715751,585,8,-3.266667000000000,-79.96666700000000,2
Esmeraldas,591083,242,0,1.050000000000000,-79.20000000000000,2
Galápagos,33042,6,0,-0.7999999999999999,-89.40000000000001,2
Guayas,4387434,1870,4,-2.183333000000000,-79.88333299999999,2
Imbabura,476257,222,5,0.3626780000000000,-78.13066700000000,2
Loja,521154,247,0,-3.983333000000000,-79.20000000000000,2
Los Ríos,921763,363,1,-1.800000000000000,-79.53333300000000,2
Manabí,1562079,1355,30,-1.056181000000000,-80.45521700000000,2
Morona Santiago,196535,37,0,-2.300000000000000,-78.11666700000001,2
Napo,133705,79,1,-0.9890000000000000,-77.81590000000000,2
Orellana,161338,53,0,-0.4666670000000000,-76.96666700000000,2
Pastaza,114202,65,1,-1.066667000000000,-78.00111099999999,2
Pichincha,3228233,2061,28,-0.2186110000000000,-78.50972200000000,2
Santa Elena,401178,392,3,-2.226700000000000,-80.85830000000000,2
Sto. Domingo Tsáchilas,511151,393,8,-0.2541670000000000,-79.17194400000000,2
Sucumbíos,230503,101,1,0.08472200000000002,-76.88277800000000,2
Tungurahua,590600,353,3,-1.241667000000000,-78.61972200000000,2
Zamora Chinchipe,120416,56,0,-4.120000000000000,-78.80000000000000,2
Azuay,881394,249,21,-2.897414000000000,-79.00448100000000,3
Bolívar,209933,73,0,-1.605556000000000,-79.00305600000000,3
Carchi,186869,156,15,0.8121800000000000,-77.71633000000000,3
Cañar,281396,108,3,-2.733333000000000,-78.83333300000000,3
Chimborazo,524004,366,5,-1.674347000000000,-78.64829400000001,3
Cotopaxi,488716,331,5,-0.9333330000000000,-78.61666700000001,3
El Oro,715751,610,25,-3.266667000000000,-79.96666700000000,3
Esmeraldas,591083,246,4,1.050000000000000,-79.20000000000000,3
Galápagos,33042,7,1,-0.7999999999999999,-89.40000000000001,3
Guayas,4387434,1925,55,-2.183333000000000,-79.88333299999999,3
Imbabura,476257,228,6,0.3626780000000000,-78.13066700000000,3
Loja,521154,255,8,-3.983333000000000,-79.20000000000000,3
Los Ríos,921763,365,2,-1.800000000000000,-79.53333300000000,3
Manabí,1562079,1378,23,-1.056181000000000,-80.45521700000000,3
Morona Santiago,196535,38,1,-2.300000000000000,-78.11666700000001,3
Napo,133705,80,1,-0.9890000000000000,-77.81590000000000,3
Orellana,161338,55,2,-0.4666670000000000,-76.96666700000000,3
Pastaza,114202,65,0,-1.066667000000000,-78.00111099999999,3
Pichincha,3228233,2083,22,-0.2186110000000000,-78.50972200000000,3
Santa Elena,401178,406,14,-2.226700000000000,-80.85830000000000,3
Sto. Domingo Tsáchilas,511151,401,8,-0.2541670000000000,-79.17194400000000,3
Sucumbíos,230503,107,6,0.08472200000000002,-76.88277800000000,3
Tungurahua,590600,380,27,-1.241667000000000,-78.61972200000000,3
Zamora Chinchipe,120416,56,0,-4.120000000000000,-78.80000000000000,3
Azuay,881394,267,18,-2.897414000000000,-79.00448100000000,4
Bolívar,209933,75,2,-1.605556000000000,-79.00305600000000,4
Carchi,186869,166,10,0.8121800000000000,-77.71633000000000,4
Cañar,281396,109,1,-2.733333000000000,-78.83333300000000,4
Chimborazo,524004,386,20,-1.674347000000000,-78.64829400000001,4
Cotopaxi,488716,343,12,-0.9333330000000000,-78.61666700000001,4
El Oro,715751,631,21,-3.266667000000000,-79.96666700000000,4
Esmeraldas,591083,247,1,1.050000000000000,-79.20000000000000,4
Galápagos,33042,8,1,-0.7999999999999999,-89.40000000000001,4
Guayas,4387434,1949,24,-2.183333000000000,-79.88333299999999,4
Imbabura,476257,231,3,0.3626780000000000,-78.13066700000000,4
Loja,521154,261,6,-3.983333000000000,-79.20000000000000,4
Los Ríos,921763,365,0,-1.800000000000000,-79.53333300000000,4
