inec_provincia_id,provincia,poblacion,total,nuevas,lat,lng,semana
01,Azuay,881394,395,395,-2.897414000000000,-79.00448100000000,1
02,Bolívar,209933,57,57,-1.605556000000000,-79.00305600000000,1
04,Carchi,186869,147,147,0.8121800000000000,-77.71633000000000,1
03,Cañar,281396,55,55,-2.733333000000000,-78.83333300000000,1
06,Chimborazo,524004,218,218,-1.674347000000000,-78.64829400000001,1
05,Cotopaxi,488716,220,220,-0.9333330000000000,-78.61666700000001,1
07,El Oro,715751,434,434,-3.266667000000000,-79.96666700000000,1
08,Esmeraldas,591083,70,70,1.050000000000000,-79.20000000000000,1
20,Galápagos,33042,67,67,-0.7999999999999999,-89.40000000000001,1
09,Guayas,4387434,1108,1108,-2.183333000000000,-79.88333299999999,1
10,Imbabura,476257,202,202,0.3626780000000000,-78.13066700000000,1
11,Loja,521154,166,166,-3.983333000000000,-79.20000000000000,1
12,Los Ríos,921763,175,175,-1.800000000000000,-79.53333300000000,1
13,Manabí,1562079,497,497,-1.056181000000000,-80.45521700000000,1
14,Morona Santiago,196535,107,107,-2.300000000000000,-78.11666700000001,1
15,Napo,133705,56,56,-0.9890000000000000,-77.81590000000000,1
22,Orellana,161338,13,13,-0.4666670000000000,-76.96666700000000,1
16,Pastaza,114202,14,14,-1.066667000000000,-78.00111099999999,1
17,Pichincha,3228233,1885,1885,-0.2186110000000000,-78.50972200000000,1
24,Santa Elena,401178,83,83,-2.226700000000000,-80.85830000000000,1
23,Sto. Domingo Tsáchilas,511151,145,145,-0.2541670000000000,-79.17194400000000,1
21,Sucumbíos,230503,28,28,0.08472200000000002,-76.88277800000000,1
18,Tungurahua,590600,298,298,-1.241667000000000,-78.61972200000000,1
19,Zamora Chinchipe,120416,16,16,-4.120000000000000,-78.80000000000000,1
01,Azuay,881394,968,573,-2.897414000000000,-79.00448100000000,2
02,Bolívar,209933,156,99,-1.605556000000000,-79.00305600000000,2
04,Carchi,186869,462,315,0.8121800000000000,-77.71633000000000,2
03,Cañar,281396,215,160,-2.733333000000000,-78.83333300000000,2
06,Chimborazo,524004,528,310,-1.674347000000000,-78.64829400000001,2
05,Cotopaxi,488716,688,468,-0.9333330000000000,-78.61666700000001,2
07,El Oro,715751,1028,594,-3.266667000000000,-79.96666700000000,2
08,Esmeraldas,591083,175,105,1.050000000000000,-79.20000000000000,2
20,Galápagos,33042,216,149,-0.7999999999999999,-89.40000000000001,2
09,Guayas,4387434,2273,1165,-2.183333000000000,-79.88333299999999,2
10,Imbabura,476257,662,460,0.3626780000000000,-78.13066700000000,2
11,Loja,521154,581,415,-3.983333000000000,-79.20000000000000,2
12,Los Ríos,921763,451,276,-1.800000000000000,-79.53333300000000,2
13,Manabí,1562079,1205,708,-1.056181000000000,-80.45521700000000,2
14,Morona Santiago,196535,281,174,-2.300000000000000,-78.11666700000001,2
15,Napo,133705,131,75,-0.9890000000000000,-77.81590000000000,2
22,Orellana,161338,39,26,-0.4666670000000000,-76.96666700000000,2
16,Pastaza,114202,45,31,-1.066667000000000,-78.00111099999999,2
17,Pichincha,3228233,5252,3367,-0.2186110000000000,-78.50972200000000,2
24,Santa Elena,401178,250,167,-2.226700000000000,-80.85830000000000,2
23,Sto. Domingo Tsáchilas,511151,423,278,-0.2541670000000000,-79.17194400000000,2
21,Sucumbíos,230503,60,32,0.08472200000000002,-76.88277800000000,2
18,Tungurahua,590600,733,435,-1.241667000000000,-78.61972200000000,2
19,Zamora Chinchipe,120416,46,30,-4.120000000000000,-78.80000000000000,2
01,Azuay,881394,1568,600,-2.897414000000000,-79.00448100000000,3
02,Bolívar,209933,318,162,-1.605556000000000,-79.00305600000000,3
04,Carchi,186869,1006,544,0.8121800000000000,-77.71633000000000,3
03,Cañar,281396,422,207,-2.733333000000000,-78.83333300000000,3
06,Chimborazo,524004,787,259,-1.674347000000000,-78.64829400000001,3
05,Cotopaxi,488716,1077,389,-0.9333330000000000,-78.61666700000001,3
07,El Oro,715751,1573,545,-3.266667000000000,-79.96666700000000,3
08,Esmeraldas,591083,301,126,1.050000000000000,-79.20000000000000,3
20,Galápagos,33042,288,72,-0.7999999999999999,-89.40000000000001,3
