provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,03/05/2020,04/05/2020,05/05/2020,06/05/2020,07/05/2020,08/05/2020,09/05/2020,10/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,16/05/2020,17/05/2020,18/05/2020,19/05/2020,20/05/2020,21/05/2020
Azuay,881394,Camilo Ponce Enríquez,36423,-3.050000000000000,-79.73333300000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,3,3,3,5,7,7,4,5,5,6,6,6,8,8,8,16,16,16,17,22,31,31
Azuay,881394,Chordeleg,15176,-2.933333000000000,-78.76666700000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Azuay,881394,Cuenca,636996,-2.897414000000000,-79.00448100000000,0,1,1,1,5,5,14,18,18,18,22,26,29,32,37,37,46,47,68,83,88,88,88,88,88,88,95,100,131,134,158,162,170,177,181,184,188,193,201,214,238,250,250,250,250,250,361,369,396,421,433,467,482,482,465,484,491,491,493,503,496,499,503,566,580,602,608,629,650,657
Azuay,881394,El Pan,3091,-2.786111000000000,-78.66500000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1
Azuay,881394,Girón,13037,-3.159028000000000,-79.14756800000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,4,3,4,3,4,4,4,4,4,4,4,4,4,4
Azuay,881394,Guachapala,3859,-2.769000000000000,-78.70900000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Azuay,881394,Gualaceo,49104,-2.900000000000000,-78.78333300000000,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5,6,7,7,7,7,7,7,7,7,7,18,16,16,17,18,20,20,20,12,20,14,14,14,14,16,16,16,17,17,17,17,17,19,20
Azuay,881394,Nabón,17292,-3.336060000000000,-79.06368000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Azuay,881394,Oña,4128,-3.469640000000000,-79.15431000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azuay,881394,Paute,29214,-2.781800000000000,-78.76000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,6,6,6,6,8,8,8,8,8,8,16,15,15,15,17,20,20,20,13,17,23,23,23,23,24,24,24,25,25,25,25,27,30,30
Azuay,881394,Pucará,10584,-3.233780000000000,-79.46120000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azuay,881394,San Fernando,4156,-3.144500000000000,-79.25200000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azuay,881394,Santa Isabel,20935,-3.274170000000000,-79.31560000000000,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,5,5,6,6,7,7,7,7,7,7,7,7,12,12,12,13,13,14,14,14,9,13,10,10,10,10,10,10,10,11,11,11,11,12,12,13
Azuay,881394,Sevilla de Oro,6890,-2.799833000000000,-78.65569400000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Azuay,881394,Sígsig,30509,-3.089700000000000,-78.80320000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,4,4,6,6,6,6,6,6,6,6,6,6,10,10,10,12,12,13,14,14,6,12,7,7,7,7,7,7,7,7,7,7,7,8,9,9
Bolívar,209933,Caluma,16429,-1.633330000000000,-79.25000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,7,7,7,14,11,11,13,16,17,20,20,26,30,34,34,34,34,35,36,36,44,44,44,46,49,51,51
Bolívar,209933,Chillanes,16850,-1.933333000000000,-79.06666700000000,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,20,20,20,20,20,20,15,15,13,23,10,11,11,11,11,11,11,12,12,14,14,14,14,17
Bolívar,209933,Chimbo,17378,-1.700000000000000,-79.01666700000000,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,7,10,10,10,10,11,9,9,10,12,8,8,8,8,8,8,8,10,11,11,11,12,12,12
Bolívar,209933,Echeandía,14081,-1.433330000000000,-79.26667000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,6,8,8,9,9,9,9,9,9,9,18,16,16,19,23,35,35,35,26,28,35,35,37,37,41,41,41,41,42,49,49,50,54,57
Bolívar,209933,Guaranda,108763,-1.605556000000000,-79.00305600000000,0,0,0,0,0,2,2,4,4,6,7,7,8,8,9,9,9,9,10,11,12,12,12,13,13,13,13,15,16,16,16,16,16,16,19,19,22,24,25,25,28,29,29,29,29,29,49,58,62,74,78,92,77,77,73,88,57,60,61,60,64,64,64,77,85,85,93,105,111,119
Bolívar,209933,Las Naves,7428,-1.283330000000000,-79.30000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,6,4,4,4,4,5,7,7,4,5,7,6,7,7,10,10,10,11,12,13,13,13,15,15
Bolívar,209933,San Miguel,29004,-1.700000000000000,-79.03333300000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,6,6,7,7,7,7,7,7,11,10,10,11,11,11,13,13,11,11,8,9,9,9,10,10,10,11,12,14,14,14,14,17
Carchi,186869,Bolivar,15528,0.5070990000000000,-77.86245400000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,3,3,3,5,5,5,5,5,5,5,5,5,6,6,7,8,9,10,10,10,9,9,9,9,9,9,10,10,10,10,11,11,11,11,12,12
Carchi,186869,Espejo,13817,0.6210000000000000,-77.94000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,6
Carchi,186869,Mira,11969,0.5538999999999998,-78.04930000000000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,4
Carchi,186869,Montúfar,34229,0.6100000000000000,-77.84000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,8,8,10,8,8,8,8,8,8,8,8,8,8,8
Carchi,186869,San Pedro de Huaca,8931,0.6311110000000000,-77.72527800000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,8,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Carchi,186869,Tulcán,102395,0.8121800000000000,-77.71633000000000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,3,4,6,6,8,8,9,9,10,11,13,13,14,14,14,14,14,16,19,20,20,20,21,21,21,21,21,31,31,33,36,40,42,45,45,60,60,64,64,66,64,71,71,71,71,74,74,76,78,81,82
Cañar,281396,Azogues,86276,-2.733333000000000,-78.83333300000000,0,0,0,0,0,0,3,3,3,4,4,4,7,9,9,9,11,11,14,15,15,15,15,15,15,15,15,16,19,19,20,20,21,21,23,23,27,29,30,32,32,32,32,32,32,32,70,68,68,69,69,78,79,79,50,73,43,43,43,43,44,44,44,48,48,48,48,48,48,51
Cañar,281396,Biblían,23741,-2.710000000000000,-78.88000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,11,11,12,13,14,18,19,19,11,13,7,7,7,7,8,8,8,9,9,9,9,9,9,9
Cañar,281396,Cañar,68747,-2.483700000000000,-78.97839999999999,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,4,5,5,5,5,5,5,8,8,8,9,10,11,12,12,12,12,12,12,12,12,13,13,13,13,13,13,21,21,21,21,22,26,25,25,15,23,14,14,14,14,14,14,14,15,16,16,18,18,24,24
Cañar,281396,Déleg,6782,-2.772600000000000,-78.91830000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3
Cañar,281396,El Tambo,12462,-2.508100000000000,-78.92489999999999,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,2,2,4,4,4,5,5,5,5,5,5,7,7,8,8,8,8,9,9,10,11,11,11,11,11,11,12,12,12,12,12,26,25,25,25,25,30,29,29,14,28,12,12,12,12,12,12,12,13,13,13,13,13,13,13
Cañar,281396,La Troncal,76872,-2.400000000000000,-79.33000000000000,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,7,9,9,15,21,22,25,25,28,28,28,28,38,47,50,51,52,53,54,62,62,65,75,82,84,96,99,99,99,99,99,153,159,167,180,194,220,232,232,178,208,160,160,162,161,169,169,169,179,181,186,194,194,195,195
Cañar,281396,Suscal,6516,-2.436400000000000,-79.05220000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,3,4,5
Chimborazo,524004,Alausí,45054,-2.200000000000000,-78.84999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,6,7,8,7,7,8,8,8,8,12,9,12,12,12,12,14,14,14,15,15,15
