provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4
Azuay,881394,Camilo Ponce Enríquez,36423,-3.050000000000000,-79.73333300000000,10,75,68,13
Azuay,881394,Chordeleg,15176,-2.933333000000000,-78.76666700000000,1,19,16,18
Azuay,881394,Cuenca,636996,-2.897414000000000,-79.00448100000000,154,687,1007,795
Azuay,881394,El Pan,3091,-2.786111000000000,-78.66500000000001,6,18,6,8
Azuay,881394,Girón,13037,-3.159028000000000,-79.14756800000001,0,9,17,7
Azuay,881394,Guachapala,3859,-2.769000000000000,-78.70900000000000,8,10,8,12
Azuay,881394,Gualaceo,49104,-2.900000000000000,-78.78333300000000,14,80,67,44
Azuay,881394,Nabón,17292,-3.336060000000000,-79.06368000000001,6,13,17,23
Azuay,881394,Oña,4128,-3.469640000000000,-79.15431000000000,3,5,16,5
Azuay,881394,Paute,29214,-2.781800000000000,-78.76000000000001,15,72,89,29
Azuay,881394,Pucará,10584,-3.233780000000000,-79.46120000000001,0,9,20,1
Azuay,881394,San Fernando,4156,-3.144500000000000,-79.25200000000000,1,20,17,1
Azuay,881394,Santa Isabel,20935,-3.274170000000000,-79.31560000000000,18,37,30,24
Azuay,881394,Sevilla de Oro,6890,-2.799833000000000,-78.65569400000000,14,18,20,20
Azuay,881394,Sígsig,30509,-3.089700000000000,-78.80320000000000,13,41,63,55
Bolívar,209933,Caluma,16429,-1.633330000000000,-79.25000000000000,81,173,134,60
Bolívar,209933,Chillanes,16850,-1.933333000000000,-79.06666700000000,44,71,79,34
Bolívar,209933,Chimbo,17378,-1.700000000000000,-79.01666700000000,33,100,70,56
Bolívar,209933,Echeandía,14081,-1.433330000000000,-79.26667000000000,55,82,74,24
Bolívar,209933,Guaranda,108763,-1.605556000000000,-79.00305600000000,77,195,216,183
Bolívar,209933,Las Naves,7428,-1.283330000000000,-79.30000000000000,13,28,34,3
Bolívar,209933,San Miguel,29004,-1.700000000000000,-79.03333300000000,98,152,176,118
Carchi,186869,Bolivar,15528,0.5070990000000000,-77.86245400000000,5,38,39,15
Carchi,186869,Espejo,13817,0.6210000000000000,-77.94000000000000,4,28,34,29
Carchi,186869,Mira,11969,0.5538999999999999,-78.04930000000000,6,37,47,22
Carchi,186869,Montúfar,34229,0.6100000000000000,-77.84000000000000,9,56,76,80
Carchi,186869,San Pedro de Huaca,8931,0.6311110000000000,-77.72527800000000,0,7,17,9
Carchi,186869,Tulcán,102395,0.8121800000000000,-77.71633000000000,31,216,254,224
Cañar,281396,Azogues,86276,-2.733333000000000,-78.83333300000000,184,611,709,671
Cañar,281396,Biblían,23741,-2.710000000000000,-78.88000000000000,64,145,150,151
Cañar,281396,Cañar,68747,-2.483700000000000,-78.97839999999999,53,216,151,219
Cañar,281396,Déleg,6782,-2.772600000000000,-78.91830000000000,8,10,21,13
Cañar,281396,El Tambo,12462,-2.508100000000000,-78.92489999999999,13,44,42,38
Cañar,281396,La Troncal,76872,-2.400000000000000,-79.33000000000000,115,151,159,79
Cañar,281396,Suscal,6516,-2.436400000000000,-79.05220000000000,3,7,16,7
Chimborazo,524004,Alausí,45054,-2.200000000000000,-78.84999999999999,21,52,61,10
Chimborazo,524004,Chambo,13378,-1.733333000000000,-78.58333300000000,2,14,34,27
Chimborazo,524004,Chunchi,12795,-2.283333000000000,-78.91666700000000,4,13,14,23
Chimborazo,524004,Colta,44838,-1.700000000000000,-78.75000000000000,11,24,51,35
Chimborazo,524004,Cumandá,17973,-2.200000000000000,-79.13333299999999,4,26,64,15
Chimborazo,524004,Guamote,58291,-1.933333000000000,-78.71666700000000,3,16,33,13
Chimborazo,524004,Guano,48395,-1.583333000000000,-78.63333299999999,11,128,122,105
Chimborazo,524004,Pallatanga,12277,-1.983333000000000,-78.95000000000000,0,5,7,4
Chimborazo,524004,Penipe,6955,-1.557300000000000,-78.53959999999999,0,7,18,16
Chimborazo,524004,Riobamba,264048,-1.674347000000000,-78.64829400000001,195,682,1026,806
Cotopaxi,488716,La Maná,56905,-0.9300000000000000,-79.22000000000000,3,97,28,46
Cotopaxi,488716,Latacunga,205624,-0.9333330000000000,-78.61666700000001,124,343,470,288
Cotopaxi,488716,Pangua,24612,-1.133333000000000,-79.06666700000000,2,23,32,9
Cotopaxi,488716,Pujilí,79772,-0.9500000000000000,-78.69000000000000,24,153,220,116
Cotopaxi,488716,Salcedo,67100,-1.050000000000000,-78.58333300000000,110,85,153,162
Cotopaxi,488716,Saquisilí,31426,-0.8300000000000000,-78.67000000000000,8,43,81,36
Cotopaxi,488716,Sigchos,23277,-0.7000000000000000,-78.88333299999999,2,16,37,33
El Oro,715751,Arenillas,33473,-3.550000000000000,-80.06000000000000,19,178,133,54
El Oro,715751,Atahualpa,6436,-2.900000000000000,-78.93333300000000,4,24,55,18
El Oro,715751,Balsas,9233,-3.762600000000000,-79.82530000000000,39,68,65,67
El Oro,715751,Chilla,2379,-3.450000000000000,-79.58000000000000,0,17,16,1
El Oro,715751,El Guabo,63645,-3.238800000000000,-79.82920000000000,30,268,260,57
El Oro,715751,Huaquillas,60440,-3.481380000000000,-80.24320700000000,23,213,232,60
El Oro,715751,Las Lajas,4963,-3.785000000000000,-80.06166700000000,6,35,34,22
El Oro,715751,Machala,289141,-3.266667000000000,-79.96666700000000,427,3183,4437,1101
El Oro,715751,Marcabelí,6259,-3.786000000000000,-79.89780000000000,26,45,62,46
El Oro,715751,Pasaje,87723,-3.326900000000000,-79.80490000000000,164,753,551,152
