inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,lat,lng,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52
01,Azuay,881394,0115,Camilo Ponce Enríquez,36423,-3.050000000000000,-79.73333300000000,0,0,0,0,0,0,1,5,6,16,31,36,42,52,56,67,75,90,103,113,121,126,136,155,155,161,168,172,172,176,176,177,177,180,181,183,185,187,188,191,192,193
01,Azuay,881394,0111,Chordeleg,15176,-2.933333000000000,-78.76666700000000,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,4,5,8,14,19,22,25,29,36,45,57,67,73,77,80,84,84,91,91,92,92,95,99,101,102,102
01,Azuay,881394,0101,Cuenca,636996,-2.897414000000000,-79.00448100000000,1,18,46,88,158,193,250,467,493,602,679,740,884,1086,1235,1469,1686,1959,2295,2572,2910,3328,3541,3883,4445,5244,5725,6502,7063,7412,7619,7949,8280,8434,8626,8777,9003,9383,9758,10088,10484,10694
01,Azuay,881394,0112,El Pan,3091,-2.786111000000000,-78.66500000000001,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,1,2,2,2,2,16,19,20,23,30,51,62,70,76,83,84,85,86,87,87,87,87,87,88,89,89
01,Azuay,881394,0102,Girón,13037,-3.159028000000000,-79.14756800000001,0,0,0,0,0,0,1,2,4,4,4,4,6,6,6,6,6,6,6,7,11,16,24,24,29,34,38,43,50,56,58,60,63,70,74,79,95,104,114,125,128,129
01,Azuay,881394,0114,Guachapala,3859,-2.769000000000000,-78.70900000000000,0,0,0,0,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,10,12,15,18,26,35,52,57,66,78,82,93,94,96,97,98,99,99,99,100
01,Azuay,881394,0103,Gualaceo,49104,-2.900000000000000,-78.78333300000000,0,0,2,3,4,7,7,20,14,17,20,21,22,22,23,25,29,39,45,60,93,125,159,181,219,272,324,377,426,460,476,494,505,529,538,550,557,569,584,591,606,606
01,Azuay,881394,0104,Nabón,17292,-3.336060000000000,-79.06368000000001,0,0,0,0,1,1,1,3,3,3,3,3,4,4,4,6,6,6,6,8,11,15,17,19,21,29,34,40,42,44,45,46,47,48,49,50,50,52,53,59,64,64
01,Azuay,881394,0110,Oña,4128,-3.469640000000000,-79.15431000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,4,8,10,14,15,15,15,15,15,15,15,15,15,15,15,16
01,Azuay,881394,0105,Paute,29214,-2.781800000000000,-78.76000000000001,0,0,2,3,5,6,8,20,23,25,30,34,36,38,41,50,56,64,74,89,130,174,207,228,250,304,339,387,427,450,478,499,533,565,572,595,612,630,639,651,666,669
01,Azuay,881394,0106,Pucará,10584,-3.233780000000000,-79.46120000000001,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,9,9,10,10,11,11,11,11,12,13,14,14,14,15,17,17,18,18,18,19,19,20,20,20
01,Azuay,881394,0107,San Fernando,4156,-3.144500000000000,-79.25200000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,5,5,6,9,9,9,10,11,11,11,11,11,11,12,12,14,18,19,20,20,20
01,Azuay,881394,0108,Santa Isabel,20935,-3.274170000000000,-79.31560000000000,0,1,3,3,5,6,7,14,10,11,13,14,14,17,17,18,30,40,49,74,80,82,92,98,108,121,132,142,166,186,189,212,226,241,244,257,270,287,290,292,298,299
01,Azuay,881394,0113,Sevilla de Oro,6890,-2.799833000000000,-78.65569400000000,0,0,0,1,2,2,2,4,3,3,3,3,4,5,8,8,8,9,9,9,9,13,27,34,47,75,90,102,106,115,121,123,126,127,130,131,132,140,143,148,150,150
01,Azuay,881394,0109,Sígsig,30509,-3.089700000000000,-78.80320000000000,0,0,0,1,2,6,6,13,7,7,9,9,12,12,17,19,25,32,38,49,66,69,72,76,84,98,111,126,133,138,144,150,151,151,152,156,156,159,164,167,173,176
02,Bolívar,209933,0206,Caluma,16429,-1.633330000000000,-79.25000000000000,0,0,0,2,2,2,7,17,34,44,53,54,64,82,93,97,112,114,129,140,148,152,157,174,177,179,187,187,190,193,196,209,231,248,249,255,259,260,261,265,265,267
