provincia,poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022,09/01/2022,10/01/2022,11/01/2022,12/01/2022,13/01/2022,14/01/2022,15/01/2022,16/01/2022,17/01/2022,18/01/2022,19/01/2022,20/01/2022,21/01/2022,22/01/2022,23/01/2022,24/01/2022,25/01/2022,26/01/2022,27/01/2022,28/01/2022,29/01/2022,30/01/2022,31/01/2022,01/02/2022,02/02/2022,03/02/2022,04/02/2022,05/02/2022,06/02/2022,07/02/2022,08/02/2022,09/02/2022,10/02/2022,11/02/2022,12/02/2022,13/02/2022,14/02/2022,15/02/2022,16/02/2022,17/02/2022,18/02/2022,19/02/2022,20/02/2022,21/02/2022,22/02/2022,23/02/2022,24/02/2022,25/02/2022,26/02/2022,27/02/2022,28/02/2022,01/03/2022,02/03/2022,03/03/2022,04/03/2022,05/03/2022,06/03/2022,07/03/2022,08/03/2022,09/03/2022,10/03/2022,11/03/2022,12/03/2022,13/03/2022,14/03/2022,15/03/2022,16/03/2022,17/03/2022,18/03/2022,19/03/2022,20/03/2022,21/03/2022,22/03/2022,23/03/2022,24/03/2022,25/03/2022,26/03/2022,27/03/2022,28/03/2022,29/03/2022,30/03/2022,31/03/2022,01/04/2022,02/04/2022,03/04/2022,04/04/2022,05/04/2022,06/04/2022,07/04/2022,08/04/2022,09/04/2022,10/04/2022,11/04/2022,12/04/2022,13/04/2022,14/04/2022,15/04/2022,16/04/2022,17/04/2022,18/04/2022,19/04/2022,20/04/2022,21/04/2022,22/04/2022,23/04/2022,24/04/2022,25/04/2022,26/04/2022,27/04/2022,28/04/2022,29/04/2022,30/04/2022,01/05/2022,02/05/2022,03/05/2022,04/05/2022,05/05/2022,06/05/2022,07/05/2022,08/05/2022,09/05/2022,10/05/2022,11/05/2022,12/05/2022,13/05/2022,14/05/2022,15/05/2022,16/05/2022,17/05/2022,18/05/2022,19/05/2022,20/05/2022,21/05/2022,22/05/2022,23/05/2022,24/05/2022,25/05/2022,26/05/2022,27/05/2022,28/05/2022,29/05/2022,30/05/2022,31/05/2022,01/06/2022,02/06/2022,03/06/2022,04/06/2022,05/06/2022,06/06/2022,07/06/2022,08/06/2022,09/06/2022,10/06/2022,11/06/2022,12/06/2022,13/06/2022,14/06/2022,15/06/2022,16/06/2022,17/06/2022,18/06/2022,19/06/2022,20/06/2022,21/06/2022,22/06/2022,23/06/2022,24/06/2022,25/06/2022,26/06/2022,27/06/2022,28/06/2022,29/06/2022,30/06/2022,01/07/2022,02/07/2022,03/07/2022,04/07/2022,05/07/2022,06/07/2022,07/07/2022,08/07/2022,09/07/2022,10/07/2022,11/07/2022,12/07/2022,13/07/2022,14/07/2022,15/07/2022,16/07/2022,17/07/2022,18/07/2022,19/07/2022,20/07/2022,21/07/2022,22/07/2022,23/07/2022,24/07/2022,25/07/2022,26/07/2022,27/07/2022,28/07/2022,29/07/2022,30/07/2022,31/07/2022,01/08/2022,02/08/2022,03/08/2022,04/08/2022,05/08/2022,06/08/2022,07/08/2022,08/08/2022,09/08/2022,10/08/2022,11/08/2022,12/08/2022,13/08/2022,14/08/2022,15/08/2022,16/08/2022,17/08/2022,18/08/2022,19/08/2022,20/08/2022,21/08/2022,22/08/2022,23/08/2022,24/08/2022,25/08/2022,26/08/2022,27/08/2022,28/08/2022,29/08/2022,30/08/2022,31/08/2022,01/09/2022,02/09/2022,03/09/2022
Azuay,881394,-2.897414000000000,-79.00448100000000,32,10,14,17,67,39,28,67,31,76,109,200,144,268,212,104,116,280,213,176,261,278,137,121,202,203,293,236,270,72,101,275,324,363,411,274,123,207,393,301,504,398,173,54,153,195,428,139,265,103,41,17,166,87,95,91,53,22,11,23,10,41,31,51,13,67,145,133,69,67,56,2,22,181,126,26,39,43,9,7,18,31,39,249,129,11,2,49,25,37,74,74,88,6,28,67,20,28,19,8,6,27,73,28,80,6,8,6,52,60,49,38,44,4,8,41,14,20,28,13,20,5,8,24,12,8,11,1,4,14,6,25,23,31,4,3,16,21,21,17,22,6,4,32,44,71,38,66,21,6,116,173,69,38,69,14,14,99,98,71,55,87,28,22,112,120,98,123,179,43,15,205,139,128,133,176,49,9,92,61,130,155,55,38,10,108,59,95,114,95,22,9,200,162,86,97,120,18,21,166,173,104,72,142,43,34,147,137,84,110,218,59,59,51,97,36,41,37,15,14,54,33,37,27,13,8,11,141,31,108,70,103,45,13,53,91,142,30,31,0,46,55,27,29,64,37
Bolívar,209933,-1.605556000000000,-79.00305600000000,7,5,19,49,35,82,47,78,91,73,88,163,104,162,105,106,51,139,140,123,106,127,97,34,83,113,130,118,137,109,14,64,75,68,98,40,17,21,62,48,72,52,28,7,5,60,39,24,23,28,6,2,37,13,25,19,11,2,2,0,3,7,33,13,5,2,16,8,12,24,9,2,7,7,21,4,3,4,2,1,10,3,11,3,6,6,2,23,8,4,1,1,1,1,1,2,2,1,5,0,0,6,0,1,10,0,1,0,1,1,3,1,0,0,0,0,0,1,2,1,0,0,0,2,0,0,0,0,0,0,1,1,2,0,0,0,5,4,5,0,2,0,0,0,3,5,6,6,2,1,6,81,0,16,3,1,0,6,10,12,10,5,3,0,9,34,5,15,6,3,0,7,6,6,23,5,1,2,7,18,11,9,10,0,1,15,11,29,15,18,10,4,35,49,49,42,68,21,17,69,140,124,89,123,35,23,87,146,95,155,205,58,60,30,75,32,35,21,2,3,20,24,21,25,3,2,0,49,5,34,19,56,2,4,32,8,24,12,1,0,9,16,23,9,11,11
Carchi,186869,0.8121800000000000,-77.71633000000000,1,2,1,9,5,8,3,11,18,5,64,86,36,75,24,92,19,79,76,105,116,43,29,8,35,153,114,69,295,145,22,42,33,91,120,41,15,12,76,37,39,158,53,8,5,59,44,24,23,19,6,1,20,10,23,19,14,15,2,1,3,13,15,12,0,2,7,8,9,100,2,1,0,5,15,9,2,7,0,2,1,10,6,6,14,2,7,12,2,3,6,14,2,0,0,2,2,1,6,0,1,0,1,1,2,0,0,0,1,0,0,2,0,0,0,4,2,0,3,2,1,0,0,1,3,2,0,0,0,1,1,1,0,3,0,0,2,1,1,1,3,7,0,0,2,1,5,0,2,0,3,13,2,5,3,0,0,1,1,6,8,5,2,0,7,4,5,11,1,2,1,6,7,6,7,7,3,0,9,9,14,4,13,2,0,6,10,15,22,16,4,0,13,21,26,28,57,2,5,41,21,46,40,81,5,7,19,39,18,39,39,14,15,57,191,22,34,7,1,3,19,14,12,26,0,1,2,34,10,9,40,10,2,1,8,16,14,6,5,0,6,5,5,7,2,1
Cañar,281396,-2.733333000000000,-78.83333300000000,78,23,44,43,73,30,72,51,127,67,139,135,204,120,218,301,52,244,177,144,175,209,247,77,267,320,262,252,205,118,73,163,240,127,209,124,120,32,66,125,214,77,46,91,14,58,70,54,58,38,16,30,31,64,57,43,34,6,7,1,37,20,23,31,6,6,53,99,46,36,17,6,8,26,25,13,22,6,3,1,10,8,18,11,9,2,1,8,8,4,7,13,12,1,4,9,5,2,12,3,3,5,19,20,14,0,2,1,4,9,3,5,8,3,0,0,5,9,1,1,5,1,2,8,3,0,3,1,0,3,6,3,5,4,0,1,1,4,6,8,8,7,0,10,5,3,3,7,3,2,11,379,7,6,5,2,3,6,19,13,18,28,4,2,14,41,22,23,42,12,4,35,41,67,45,15,11,14,38,37,22,37,12,6,3,53,20,48,39,39,8,7,41,97,37,35,43,23,4,69,40,56,59,90,28,10,56,62,49,69,58,33,13,25,116,66,56,33,9,13,32,36,26,10,7,3,5,56,17,18,17,35,8,10,19,6,20,15,0,0,15,9,9,7,6,7
Chimborazo,524004,-1.674347000000000,-78.64829400000001,51,28,8,23,28,32,20,59,81,41,99,200,111,150,177,189,65,224,216,196,219,329,181,96,215,200,249,294,239,123,74,215,119,147,131,36,29,28,66,57,86,74,67,17,34,37,47,49,34,32,16,19,37,12,25,70,28,20,5,3,17,70,40,13,5,5,25,30,27,15,37,3,2,11,25,8,8,7,0,4,5,9,10,3,19,5,2,3,4,8,4,2,4,0,0,15,8,5,25,2,0,1,5,3,9,0,0,0,3,3,3,4,2,0,0,3,3,5,3,6,1,0,0,13,1,6,1,1,0,2,4,2,0,2,0,1,5,1,8,6,5,1,0,1,4,2,2,2,0,0,6,75,6,10,5,3,7,8,9,19,7,20,4,2,10,12,8,10,4,8,0,7,13,9,9,9,0,4,8,12,5,5,1,1,2,18,20,11,4,8,10,6,8,17,21,20,41,8,4,48,80,85,66,76,21,31,96,67,64,96,111,33,75,62,85,12,17,6,0,1,20,7,3,9,0,1,2,133,4,53,21,13,12,2,22,26,4,3,1,0,1,7,3,1,4,7
Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,39,13,21,36,54,21,9,85,47,11,164,68,86,138,63,230,13,159,151,180,161,265,92,72,150,92,238,138,231,205,32,160,117,137,138,80,28,15,89,50,89,72,54,11,11,84,32,66,40,53,11,8,31,21,37,20,28,7,3,1,6,19,9,25,3,3,16,13,19,13,11,3,0,10,8,17,7,9,2,0,4,4,25,5,13,5,5,11,2,5,5,1,0,0,9,8,2,3,41,0,0,3,1,5,3,0,0,0,0,3,4,3,3,0,2,2,2,3,2,7,0,0,1,2,1,1,0,1,0,3,1,4,2,3,0,0,2,4,3,8,5,5,0,0,12,3,4,9,1,0,10,36,14,15,10,5,2,25,20,32,19,19,5,1,26,22,14,19,12,4,5,14,21,20,11,12,1,1,9,4,14,6,6,4,2,19,17,25,35,20,5,4,29,40,49,54,60,12,9,110,125,128,138,128,80,26,102,147,51,131,177,60,29,49,37,12,11,16,0,0,19,15,16,20,0,0,2,135,7,70,61,32,2,12,78,68,12,24,6,1,14,13,25,17,11,11
El Oro,715751,-3.266667000000000,-79.96666700000000,226,34,169,61,65,95,136,146,259,144,560,401,308,871,1180,2155,1439,1612,1195,774,466,743,890,286,619,454,573,596,374,301,177,405,552,367,722,533,298,260,376,75,254,110,113,125,19,38,110,241,96,149,106,61,57,63,95,189,136,4,8,2,5,19,14,20,14,2,9,23,15,37,41,1,6,99,18,3,16,23,4,4,10,10,8,9,8,9,7,4,6,4,5,3,2,1,6,9,2,3,36,4,2,1,6,3,3,3,0,2,4,7,2,8,0,0,0,4,1,10,4,1,1,2,0,2,0,0,0,3,1,0,2,2,4,1,2,0,1,3,2,7,0,1,0,0,3,3,6,0,1,1,11,248,8,3,5,11,1,15,14,14,1,11,7,2,7,13,47,16,16,8,4,16,27,37,23,15,7,12,40,32,42,37,50,9,7,54,40,55,86,77,23,9,75,86,93,117,118,38,16,91,118,149,118,221,25,37,95,139,79,190,120,92,85,63,160,61,64,46,2,9,54,30,28,28,1,0,0,135,14,48,42,48,18,9,78,50,55,46,20,3,76,50,54,90,30,15
Esmeraldas,591083,1.050000000000000,-79.20000000000000,16,3,1,9,15,14,12,11,29,21,151,104,116,257,108,37,56,103,120,142,78,175,162,93,248,101,123,83,306,10,6,59,26,45,105,62,4,3,52,19,49,29,64,7,6,32,32,12,30,37,12,1,13,10,22,17,22,1,1,0,2,9,13,21,1,4,11,9,16,6,5,0,0,2,3,2,3,1,0,0,5,0,3,2,4,0,0,0,3,6,0,1,0,0,1,0,1,2,12,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,1,4,3,0,0,0,0,0,2,2,-1,0,0,2,0,2,1,1,0,0,0,1,1,1,1,0,0,0,116,1,7,0,0,0,4,112,135,82,20,2,0,1,71,26,4,4,0,0,12,4,6,11,11,1,0,22,25,39,8,5,0,0,40,52,35,38,29,0,1,44,53,43,34,50,4,4,49,54,45,60,21,9,17,13,33,24,73,107,7,9,37,165,38,26,1,1,4,21,20,16,21,0,0,0,66,10,12,27,11,0,0,6,12,18,3,2,0,3,16,10,1,4,4
Galápagos,33042,-0.8000000000000000,-89.40000000000001,3,3,2,4,2,7,7,4,40,65,145,53,43,65,42,19,7,52,64,82,62,27,16,19,19,45,78,56,118,5,28,24,49,19,27,11,8,8,23,17,16,11,3,3,2,2,6,8,7,2,0,1,10,8,6,4,4,0,0,0,1,3,1,9,0,0,7,4,8,3,3,0,0,3,1,0,1,1,0,0,1,3,4,0,1,0,0,1,1,3,1,4,1,0,4,0,0,4,11,0,0,2,1,2,0,0,0,0,0,0,0,1,0,0,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,2,0,0,0,1,37,3,3,2,0,0,0,0,2,1,2,0,1,0,3,0,1,1,0,0,2,1,1,2,3,0,0,1,1,2,1,0,0,0,4,3,2,6,2,0,0,4,4,1,6,3,2,2,2,4,2,6,5,2,2,39,14,4,4,13,54,57,1,15,9,5,2,2,1,7,7,6,1,1,0,0,5,1,4,1,1,1,0,8,5,4,4,0,0,5,1,8,1,1,1
Guayas,4387434,-2.183333000000000,-79.88333299999999,805,109,95,173,1656,1297,307,1200,810,246,3910,4494,661,2981,3535,4306,565,2169,3012,1661,858,2171,1706,183,1574,521,1407,710,573,231,91,921,848,412,671,590,436,345,460,459,593,508,307,331,252,287,290,427,129,264,177,71,228,185,145,129,179,90,68,50,56,131,111,69,32,27,74,136,97,76,28,2,14,51,373,37,105,48,4,5,27,36,40,20,51,30,7,33,51,208,26,23,2,0,184,40,15,20,131,4,0,12,16,24,20,1,2,1,38,17,12,14,8,12,8,33,12,17,20,19,2,2,2,39,20,24,21,17,0,34,68,60,42,22,12,0,77,49,62,84,55,17,3,1,162,83,105,107,18,0,153,1016,77,14,189,6,3,193,143,106,32,166,9,5,225,114,42,226,149,33,3,226,198,137,187,126,3,21,377,187,211,189,50,18,5,540,199,272,360,283,21,3,723,445,387,420,447,20,15,777,454,441,547,617,34,23,128,680,610,870,496,126,54,72,208,59,43,34,8,12,54,36,36,27,10,3,16,250,16,95,98,155,5,18,74,61,97,83,70,0,11,30,26,21,19,26
Imbabura,476257,0.3626780000000000,-78.13066700000000,29,21,18,41,17,21,28,128,127,109,253,387,189,259,279,192,201,304,194,230,346,278,218,120,176,336,330,303,472,273,72,273,327,217,352,100,96,48,281,163,200,154,190,56,55,131,127,103,77,160,62,19,100,58,44,62,59,24,0,12,11,99,1038,37,13,5,30,16,14,38,15,3,5,12,12,18,14,3,2,3,19,15,29,13,21,8,2,16,7,7,7,41,3,0,7,19,7,3,176,3,11,2,1,2,4,2,4,0,2,2,1,3,4,0,0,0,0,5,7,3,3,5,5,2,2,9,3,2,0,4,2,1,3,5,0,0,2,1,7,1,2,3,1,2,5,8,4,4,3,1,2,117,14,22,4,3,2,11,13,12,12,8,2,5,12,21,13,16,19,5,3,18,15,16,19,11,3,5,23,28,26,8,26,7,3,39,21,22,30,26,11,1,37,66,63,69,53,25,12,146,94,132,77,133,55,30,87,136,50,126,160,72,40,71,371,29,32,19,0,0,40,13,21,14,0,0,0,174,12,59,24,57,7,4,44,18,9,8,2,0,5,19,1,8,20,10
