inec_provincia_id,provincia,poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022,09/01/2022,10/01/2022,11/01/2022,12/01/2022,13/01/2022,14/01/2022,15/01/2022,16/01/2022
01,Azuay,881394,-2.897414000000000,-79.00448100000000,32,10,14,17,67,39,28,67,31,76,109,200,144,268,212,104
02,Bolívar,209933,-1.605556000000000,-79.00305600000000,7,5,19,49,35,82,47,78,91,73,88,163,104,162,105,106
04,Carchi,186869,0.8121800000000000,-77.71633000000000,1,2,1,9,5,8,3,11,18,5,64,86,36,75,24,92
03,Cañar,281396,-2.733333000000000,-78.83333300000000,78,23,44,43,73,30,72,51,127,67,139,135,204,120,218,301
06,Chimborazo,524004,-1.674347000000000,-78.64829400000001,51,28,8,23,28,32,20,59,81,41,99,200,111,150,177,189
05,Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,39,13,21,36,54,21,9,85,47,11,164,68,86,138,63,230
07,El Oro,715751,-3.266667000000000,-79.96666700000000,226,34,169,61,65,95,136,146,259,144,560,401,308,871,1180,2155
08,Esmeraldas,591083,1.050000000000000,-79.20000000000000,16,3,1,9,15,14,12,11,29,21,151,104,116,257,108,37
20,Galápagos,33042,-0.8000000000000000,-89.40000000000001,3,3,2,4,2,7,7,4,40,65,145,53,43,65,42,19
09,Guayas,4387434,-2.183333000000000,-79.88333299999999,805,109,95,173,1656,1297,307,1200,810,246,3910,4494,661,2981,3535,4306
10,Imbabura,476257,0.3626780000000000,-78.13066700000000,29,21,18,41,17,21,28,128,127,109,253,387,189,259,279,192
11,Loja,521154,-3.983333000000000,-79.20000000000000,76,17,20,19,54,52,30,52,137,126,182,212,128,241,341,185
12,Los Ríos,921763,-1.800000000000000,-79.53333300000000,54,11,23,22,67,79,49,48,88,53,186,221,82,312,174,142
13,Manabí,1562079,-1.056181000000000,-80.45521700000000,201,76,73,117,222,233,207,355,292,157,584,455,169,592,592,749
14,Morona Santiago,196535,-2.300000000000000,-78.11666700000001,9,3,4,8,27,34,23,21,9,20,75,82,52,123,61,45
15,Napo,133705,-0.9890000000000000,-77.81590000000000,4,0,3,5,11,18,27,18,30,15,20,30,13,87,145,41
22,Orellana,161338,-0.4666670000000000,-76.96666700000000,3,7,5,3,4,2,1,5,13,5,24,21,25,39,62,20
16,Pastaza,114202,-1.066667000000000,-78.00111099999999,2,1,7,1,4,5,4,9,5,3,18,38,12,11,24,19
17,Pichincha,3228233,-0.2186110000000000,-78.50972200000000,448,277,261,498,333,480,260,482,641,495,2201,2532,2049,1966,3255,1657
24,Santa Elena,401178,-2.226700000000000,-80.85830000000000,20,8,13,8,23,36,20,23,51,4,117,87,39,163,124,75
23,Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,30,30,8,4,7,15,14,21,43,27,56,142,29,34,57,26
21,Sucumbíos,230503,0.08472200000000001,-76.88277800000000,6,2,3,12,4,6,6,25,65,24,57,37,73,82,122,34
18,Tungurahua,590600,-1.241667000000000,-78.61972200000000,60,19,63,71,60,62,22,51,42,57,113,127,104,224,135,283
19,Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,2,2,2,2,4,9,3,3,18,8,26,71,16,58,55,20
