inec_provincia_id,provincia,poblacion,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15
01,Azuay,881394,-2.897414000000000,-79.00448100000000,395,573,600,661,337,386,344,302,419,336,281,334,385,477,67
02,Bolívar,209933,-1.605556000000000,-79.00305600000000,57,99,162,180,139,165,177,315,262,210,285,274,386,186,33
04,Carchi,186869,0.8121800000000000,-77.71633000000000,147,315,544,355,178,145,79,238,123,72,72,78,138,133,43
03,Cañar,281396,-2.733333000000000,-78.83333300000000,55,160,207,189,129,116,72,92,124,125,134,110,156,157,17
06,Chimborazo,524004,-1.674347000000000,-78.64829400000001,218,310,259,219,145,151,145,263,219,226,194,174,258,209,66
05,Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,220,468,389,325,266,217,137,345,205,153,166,215,295,223,42
07,El Oro,715751,-3.266667000000000,-79.96666700000000,434,594,545,486,482,621,468,557,676,524,473,557,736,751,226
08,Esmeraldas,591083,1.050000000000000,-79.20000000000000,70,105,126,92,126,155,136,207,163,241,193,170,268,198,25
20,Galápagos,33042,-0.8000000000000000,-89.40000000000001,67,149,72,37,23,14,6,19,8,5,8,11,12,9,0
09,Guayas,4387434,-2.183333000000000,-79.88333299999999,1108,1165,946,991,790,1130,1033,1558,1106,1113,2129,1351,1657,1662,539
10,Imbabura,476257,0.3626780000000000,-78.13066700000000,202,460,380,347,375,270,129,321,245,230,146,265,296,319,153
11,Loja,521154,-3.983333000000000,-79.20000000000000,166,415,366,448,223,326,366,366,331,382,520,594,761,576,106
12,Los Ríos,921763,-1.800000000000000,-79.53333300000000,175,276,307,346,262,336,396,526,439,318,505,375,376,384,189
13,Manabí,1562079,-1.056181000000000,-80.45521700000000,497,708,579,675,484,822,526,1106,1266,999,1038,918,799,973,393
14,Morona Santiago,196535,-2.300000000000000,-78.11666700000001,107,174,109,87,37,68,29,52,63,62,59,53,124,120,2
15,Napo,133705,-0.9890000000000000,-77.81590000000000,56,75,63,65,22,86,51,74,59,32,24,119,71,51,5
22,Orellana,161338,-0.4666670000000000,-76.96666700000000,13,26,9,32,22,63,15,25,25,26,63,53,54,58,13
16,Pastaza,114202,-1.066667000000000,-78.00111099999999,14,31,40,20,20,26,9,60,28,27,30,14,17,26,6
17,Pichincha,3228233,-0.2186110000000000,-78.50972200000000,1885,3367,3199,3327,2669,3326,2851,3978,1842,2052,3284,5300,3561,3806,1638
24,Santa Elena,401178,-2.226700000000000,-80.85830000000000,83,167,58,66,35,59,120,106,79,23,140,68,35,83,63
23,Sto. Domingo Tsáchilas,511151,-0.2541670000000000,-79.17194400000000,145,278,257,174,253,126,185,471,379,292,281,313,303,243,20
21,Sucumbíos,230503,0.08472200000000001,-76.88277800000000,28,32,91,58,37,34,31,84,79,74,139,169,175,158,18
18,Tungurahua,590600,-1.241667000000000,-78.61972200000000,298,435,464,319,376,267,118,361,171,150,135,275,230,205,54
19,Zamora Chinchipe,120416,-4.120000000000000,-78.80000000000000,16,30,38,37,24,32,27,56,37,46,78,94,106,129,4
