inec_provincia_id,provincia,poblacion,lat,lng,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52
01,Azuay,881394,-2.897414000000000,-79.00448100000000,1,19,53,99,178,223,285,551,569,693,797,869,1030,1249,1414,1677,1935,2262,2651,3013,3469,4008,4346,4777,5454,6453,7120,8086,8815,9286,9575,9997,10402,10658,10883,11098,11383,11843,12271,12655,13106,13379
02,Bolívar,209933,-1.605556000000000,-79.00305600000000,0,8,14,27,33,49,66,191,167,230,298,312,367,452,515,626,755,832,988,1053,1160,1245,1336,1378,1438,1503,1600,1716,1762,1809,1875,1947,2043,2111,2142,2216,2315,2380,2427,2463,2491,2516
04,Carchi,186869,0.8121800000000000,-77.71633000000000,0,0,6,12,24,33,38,66,96,105,137,152,184,204,231,278,365,459,587,774,923,1233,1468,1763,1935,2068,2219,2400,2583,2735,2817,2908,2977,3053,3116,3158,3212,3284,3346,3398,3469,3565
03,Cañar,281396,-2.733333000000000,-78.83333300000000,0,4,26,59,97,137,166,377,241,277,306,331,371,413,450,537,559,608,643,691,755,872,925,1106,1321,1443,1620,1713,1890,1939,1985,2029,2083,2110,2184,2222,2278,2419,2520,2576,2672,2767
06,Chimborazo,524004,-1.674347000000000,-78.64829400000001,0,9,15,32,74,112,130,215,256,299,368,398,480,544,618,732,823,980,1104,1253,1464,1651,1764,1882,2020,2091,2176,2215,2264,2316,2372,2414,2462,2516,2586,2655,2748,2840,2919,2978,3080,3175
05,Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,0,0,5,17,42,54,68,135,168,230,329,395,586,750,868,1036,1236,1472,1632,1931,2132,2389,2603,2861,3002,3222,3360,3569,3708,3973,4122,4225,4354,4575,4664,4788,4963,5090,5199,5274,5412,5535
07,El Oro,715751,-3.266667000000000,-79.96666700000000,0,6,25,56,150,257,300,624,672,920,1025,1094,1309,1514,1790,2013,2173,2354,2626,2904,3248,3588,3870,4103,4376,4707,5053,5277,5382,5640,5833,6028,6295,6477,6577,6870,7073,7362,7541,7730,7985,8153
08,Esmeraldas,591083,1.050000000000000,-79.20000000000000,0,2,7,16,38,89,115,223,290,456,640,852,1172,1478,1755,2024,2207,2523,2868,2970,3231,3325,3415,3482,3543,3581,3639,3678,3723,3791,3858,4050,4159,4271,4412,4518,4557,4845,4873,4935,5000,5017
20,Galápagos,33042,-0.8000000000000000,-89.40000000000001,0,0,4,11,11,54,54,71,70,74,76,76,76,77,77,86,100,100,101,101,103,104,106,109,109,109,182,186,197,199,200,212,220,227,230,233,375,587,847,861,893,903
09,Guayas,4387434,-2.183333000000000,-79.88333299999999,19,607,1377,2524,5381,6446,7502,13053,11705,13055,13787,14061,14422,14639,14786,14988,16104,16480,17015,17315,17583,17915,18327,18489,18831,19050,19899,20192,20351,20516,20735,21110,21515,22263,22817,23227,23656,24277,25452,26078,26564,26871
