provincia,poblacion,total,nuevas,lat,lng,semana
Azuay,881394,14109,340,-2.897414000000000,-79.00448100000000,1
Bolívar,209933,2581,34,-1.605556000000000,-79.00305600000000,1
Carchi,186869,3849,136,0.8121800000000000,-77.71633000000000,1
Cañar,281396,2929,38,-2.733333000000000,-78.83333300000000,1
Chimborazo,524004,3466,179,-1.674347000000000,-78.64829400000001,1
Cotopaxi,488716,5958,198,-0.9333330000000000,-78.61666700000001,1
El Oro,715751,8796,358,-3.266667000000000,-79.96666700000000,1
Esmeraldas,591083,5107,47,1.050000000000000,-79.20000000000000,1
Galápagos,33042,987,65,-0.7999999999999999,-89.40000000000001,1
Guayas,4387434,28600,970,-2.183333000000000,-79.88333299999999,1
Imbabura,476257,6334,200,0.3626780000000000,-78.13066700000000,1
Loja,521154,7822,153,-3.983333000000000,-79.20000000000000,1
Los Ríos,921763,5094,141,-1.800000000000000,-79.53333300000000,1
Manabí,1562079,15526,394,-1.056181000000000,-80.45521700000000,1
Morona Santiago,196535,3817,96,-2.300000000000000,-78.11666700000001,1
Napo,133705,1747,53,-0.9890000000000000,-77.81590000000000,1
Orellana,161338,2131,13,-0.4666670000000000,-76.96666700000000,1
Pastaza,114202,2427,12,-1.066667000000000,-78.00111099999999,1
Pichincha,3228233,77665,1787,-0.2186110000000000,-78.50972200000000,1
Santa Elena,401178,2744,73,-2.226700000000000,-80.85830000000000,1
Sto. Domingo Tsáchilas,511151,6074,145,-0.2541670000000000,-79.17194400000000,1
Sucumbíos,230503,3042,10,0.08472200000000002,-76.88277800000000,1
Tungurahua,590600,7856,278,-1.241667000000000,-78.61972200000000,1
Zamora Chinchipe,120416,1688,15,-4.120000000000000,-78.80000000000000,1
Azuay,881394,13769,212,-2.897414000000000,-79.00448100000000,53
Bolívar,209933,2547,20,-1.605556000000000,-79.00305600000000,53
Carchi,186869,3713,84,0.8121800000000000,-77.71633000000000,53
Cañar,281396,2891,87,-2.733333000000000,-78.83333300000000,53
Chimborazo,524004,3287,34,-1.674347000000000,-78.64829400000001,53
Cotopaxi,488716,5760,105,-0.9333330000000000,-78.61666700000001,53
El Oro,715751,8438,115,-3.266667000000000,-79.96666700000000,53
Esmeraldas,591083,5060,16,1.050000000000000,-79.20000000000000,53
Galápagos,33042,922,4,-0.7999999999999999,-89.40000000000001,53
Guayas,4387434,27630,313,-2.183333000000000,-79.88333299999999,53
Imbabura,476257,6134,71,0.3626780000000000,-78.13066700000000,53
Loja,521154,7669,77,-3.983333000000000,-79.20000000000000,53
Los Ríos,921763,4953,54,-1.800000000000000,-79.53333300000000,53
Manabí,1562079,15132,172,-1.056181000000000,-80.45521700000000,53
Morona Santiago,196535,3721,80,-2.300000000000000,-78.11666700000001,53
Napo,133705,1694,26,-0.9890000000000000,-77.81590000000000,53
Orellana,161338,2118,8,-0.4666670000000000,-76.96666700000000,53
Pastaza,114202,2415,4,-1.066667000000000,-78.00111099999999,53
Pichincha,3228233,75878,413,-0.2186110000000000,-78.50972200000000,53
Santa Elena,401178,2671,40,-2.226700000000000,-80.85830000000000,53
Sto. Domingo Tsáchilas,511151,5929,15,-0.2541670000000000,-79.17194400000000,53
Sucumbíos,230503,3032,23,0.08472200000000002,-76.88277800000000,53
Tungurahua,590600,7578,125,-1.241667000000000,-78.61972200000000,53
Zamora Chinchipe,120416,1673,4,-4.120000000000000,-78.80000000000000,53
