vaccine,doses,arrived_at,month,year
Pfizer/BioNTech,6825,ene-21,enero,2021
Pfizer/BioNTech,33930,feb-21,febrero,2021
Pfizer/BioNTech,299520,mar-21,marzo,2021
Sinovac,20000,mar-21,marzo,2021
Oxford/AstraZeneca,84000,mar-21,marzo,2021
Pfizer/BioNTech,217620,abr-21,abril,2021
Sinovac,1000000,abr-21,abril,2021
Oxford/AstraZeneca,336000,abr-21,abril,2021
Pfizer/BioNTech,542880,may-21,mayo,2021
Sinovac,703520,may-21,mayo,2021
Oxford/AstraZeneca,200000,may-21,mayo,2021
Pfizer/BioNTech,542880,jun-21,junio,2021
Sinovac,500600,jun-21,junio,2021
Oxford/AstraZeneca,746000,jun-21,junio,2021
Pfizer/BioNTech,2947701,jul-21,julio,2021
Sinovac,7000000,jul-21,julio,2021
Oxford/AstraZeneca,693400,jul-21,julio,2021
Pfizer/BioNTech,1188720,ago-21,agosto,2021
Sinovac,4000000,ago-21,agosto,2021
Oxford/AstraZeneca,659710,ago-21,agosto,2021
CanSino,500000,ago-21,agosto,2021
Pfizer/BioNTech,882180,sept-21,septiembre,2021
Oxford/AstraZeneca,392200,sept-21,septiembre,2021
CanSino,300000,sept-21,septiembre,2021
Pfizer/BioNTech,568620,oct-21,octubre,2021
Sinovac,1000000,oct-21,octubre,2021
Oxford/AstraZeneca,734400,oct-21,octubre,2021
Pfizer/BioNTech,590850,nov-21,noviembre,2021
Sinovac,625200,nov-21,noviembre,2021
Oxford/AstraZeneca,1020000,nov-21,noviembre,2021
Pfizer/BioNTech,1916400,dic-21,diciembre,2021
Sinovac,1351500,dic-21,diciembre,2021
Oxford/AstraZeneca,1000000,dic-21,diciembre,2021
Oxford/AstraZeneca,1577000,ene-22,enero,2022
Pfizer/BioNTech,1511640,feb-22,febrero,2022
Sinovac,3000000,feb-22,febrero,2022
