zona,fabricante,dosis_total,primera_dosis,segunda_dosis,dosis_unica,dosis_refuerzo,administered_at
3,Pfizer/BioNTech,17,17,0,0,0,20/01/2021
3,Pfizer/BioNTech,35,35,0,0,0,21/01/2021
4,Pfizer/BioNTech,1,1,0,0,0,21/01/2021
8,Pfizer/BioNTech,1327,1327,0,0,0,21/01/2021
9,Pfizer/BioNTech,1645,1645,0,0,0,21/01/2021
3,Pfizer/BioNTech,35,35,0,0,0,22/01/2021
4,Pfizer/BioNTech,1,1,0,0,0,22/01/2021
6,Pfizer/BioNTech,794,794,0,0,0,22/01/2021
8,Pfizer/BioNTech,1327,1327,0,0,0,22/01/2021
9,Pfizer/BioNTech,1654,1654,0,0,0,22/01/2021
3,Pfizer/BioNTech,35,35,0,0,0,23/01/2021
4,Pfizer/BioNTech,1,1,0,0,0,23/01/2021
6,Pfizer/BioNTech,794,794,0,0,0,23/01/2021
8,Pfizer/BioNTech,1327,1327,0,0,0,23/01/2021
9,Pfizer/BioNTech,1691,1691,0,0,0,23/01/2021
3,Pfizer/BioNTech,35,35,0,0,0,24/01/2021
4,Pfizer/BioNTech,1,1,0,0,0,24/01/2021
6,Pfizer/BioNTech,794,794,0,0,0,24/01/2021
8,Pfizer/BioNTech,1327,1327,0,0,0,24/01/2021
9,Pfizer/BioNTech,1691,1691,0,0,0,24/01/2021
1,Pfizer/BioNTech,2,2,0,0,0,25/01/2021
3,Pfizer/BioNTech,313,313,0,0,0,25/01/2021
4,Pfizer/BioNTech,988,988,0,0,0,25/01/2021
6,Pfizer/BioNTech,794,794,0,0,0,25/01/2021
8,Pfizer/BioNTech,1328,1328,0,0,0,25/01/2021
9,Pfizer/BioNTech,1691,1691,0,0,0,25/01/2021
1,Pfizer/BioNTech,654,654,0,0,0,26/01/2021
2,Pfizer/BioNTech,108,108,0,0,0,26/01/2021
3,Pfizer/BioNTech,313,313,0,0,0,26/01/2021
4,Pfizer/BioNTech,988,988,0,0,0,26/01/2021
6,Pfizer/BioNTech,794,794,0,0,0,26/01/2021
8,Pfizer/BioNTech,1328,1328,0,0,0,26/01/2021
9,Pfizer/BioNTech,1691,1691,0,0,0,26/01/2021
1,Pfizer/BioNTech,654,654,0,0,0,27/01/2021
2,Pfizer/BioNTech,108,108,0,0,0,27/01/2021
3,Pfizer/BioNTech,313,313,0,0,0,27/01/2021
4,Pfizer/BioNTech,1276,1276,0,0,0,27/01/2021
5,Pfizer/BioNTech,416,416,0,0,0,27/01/2021
6,Pfizer/BioNTech,794,794,0,0,0,27/01/2021
8,Pfizer/BioNTech,1328,1328,0,0,0,27/01/2021
9,Pfizer/BioNTech,1691,1691,0,0,0,27/01/2021
1,Pfizer/BioNTech,658,658,0,0,0,28/01/2021
2,Pfizer/BioNTech,108,108,0,0,0,28/01/2021
3,Pfizer/BioNTech,422,422,0,0,0,28/01/2021
4,Pfizer/BioNTech,1276,1276,0,0,0,28/01/2021
5,Pfizer/BioNTech,525,525,0,0,0,28/01/2021
6,Pfizer/BioNTech,794,794,0,0,0,28/01/2021
8,Pfizer/BioNTech,1328,1328,0,0,0,28/01/2021
9,Pfizer/BioNTech,1691,1691,0,0,0,28/01/2021
1,Pfizer/BioNTech,658,658,0,0,0,29/01/2021
2,Pfizer/BioNTech,108,108,0,0,0,29/01/2021
3,Pfizer/BioNTech,422,422,0,0,0,29/01/2021
4,Pfizer/BioNTech,1276,1276,0,0,0,29/01/2021
5,Pfizer/BioNTech,525,525,0,0,0,29/01/2021
6,Pfizer/BioNTech,794,794,0,0,0,29/01/2021
8,Pfizer/BioNTech,1532,1532,0,0,0,29/01/2021
9,Pfizer/BioNTech,1775,1775,0,0,0,29/01/2021
9,Sinovac,1,1,0,0,0,29/01/2021
1,Pfizer/BioNTech,658,658,0,0,0,30/01/2021
2,Pfizer/BioNTech,108,108,0,0,0,30/01/2021
3,Pfizer/BioNTech,422,422,0,0,0,30/01/2021
4,Pfizer/BioNTech,1276,1276,0,0,0,30/01/2021
5,Pfizer/BioNTech,525,525,0,0,0,30/01/2021
6,Pfizer/BioNTech,794,794,0,0,0,30/01/2021
8,Pfizer/BioNTech,1532,1532,0,0,0,30/01/2021
9,Pfizer/BioNTech,1775,1775,0,0,0,30/01/2021
9,Sinovac,1,1,0,0,0,30/01/2021
1,Pfizer/BioNTech,658,658,0,0,0,31/01/2021
2,Pfizer/BioNTech,108,108,0,0,0,31/01/2021
3,Pfizer/BioNTech,424,424,0,0,0,31/01/2021
4,Pfizer/BioNTech,1276,1276,0,0,0,31/01/2021
5,Pfizer/BioNTech,525,525,0,0,0,31/01/2021
6,Pfizer/BioNTech,794,794,0,0,0,31/01/2021
7,Pfizer/BioNTech,40,40,0,0,0,31/01/2021
8,Pfizer/BioNTech,1532,1532,0,0,0,31/01/2021
9,Pfizer/BioNTech,1775,1775,0,0,0,31/01/2021
9,Sinovac,1,1,0,0,0,31/01/2021
1,Pfizer/BioNTech,658,658,0,0,0,01/02/2021
2,Pfizer/BioNTech,108,108,0,0,0,01/02/2021
3,Pfizer/BioNTech,424,424,0,0,0,01/02/2021
4,Pfizer/BioNTech,1276,1276,0,0,0,01/02/2021
5,Pfizer/BioNTech,716,716,0,0,0,01/02/2021
6,Pfizer/BioNTech,984,984,0,0,0,01/02/2021
7,Pfizer/BioNTech,1047,1047,0,0,0,01/02/2021
8,Pfizer/BioNTech,1532,1532,0,0,0,01/02/2021
9,Pfizer/BioNTech,1775,1775,0,0,0,01/02/2021
9,Sinovac,1,1,0,0,0,01/02/2021
1,Pfizer/BioNTech,658,658,0,0,0,02/02/2021
2,Pfizer/BioNTech,485,485,0,0,0,02/02/2021
3,Pfizer/BioNTech,995,995,0,0,0,02/02/2021
4,Pfizer/BioNTech,1276,1276,0,0,0,02/02/2021
5,Pfizer/BioNTech,968,968,0,0,0,02/02/2021
6,Pfizer/BioNTech,984,984,0,0,0,02/02/2021
7,Pfizer/BioNTech,1047,1047,0,0,0,02/02/2021
8,Pfizer/BioNTech,1532,1532,0,0,0,02/02/2021
9,Pfizer/BioNTech,1776,1776,0,0,0,02/02/2021
9,Sinovac,1,1,0,0,0,02/02/2021
1,Pfizer/BioNTech,658,658,0,0,0,03/02/2021
2,Pfizer/BioNTech,485,485,0,0,0,03/02/2021
3,Pfizer/BioNTech,995,995,0,0,0,03/02/2021
4,Pfizer/BioNTech,1276,1276,0,0,0,03/02/2021
5,Pfizer/BioNTech,968,968,0,0,0,03/02/2021
6,Pfizer/BioNTech,984,984,0,0,0,03/02/2021
7,Pfizer/BioNTech,1047,1047,0,0,0,03/02/2021
8,Pfizer/BioNTech,2878,2878,0,0,0,03/02/2021
9,Pfizer/BioNTech,3066,3065,1,0,0,03/02/2021
9,Sinovac,1,1,0,0,0,03/02/2021
9,Oxford/AstraZeneca,1,1,0,0,0,04/02/2021
1,Pfizer/BioNTech,658,658,0,0,0,04/02/2021
2,Pfizer/BioNTech,485,485,0,0,0,04/02/2021
3,Pfizer/BioNTech,995,995,0,0,0,04/02/2021
4,Pfizer/BioNTech,1276,1276,0,0,0,04/02/2021
5,Pfizer/BioNTech,986,986,0,0,0,04/02/2021
6,Pfizer/BioNTech,984,984,0,0,0,04/02/2021
7,Pfizer/BioNTech,1047,1047,0,0,0,04/02/2021
8,Pfizer/BioNTech,2926,2926,0,0,0,04/02/2021
9,Pfizer/BioNTech,3108,3066,42,0,0,04/02/2021
9,Sinovac,1,1,0,0,0,04/02/2021
9,Oxford/AstraZeneca,1,1,0,0,0,05/02/2021
1,Pfizer/BioNTech,658,658,0,0,0,05/02/2021
2,Pfizer/BioNTech,485,485,0,0,0,05/02/2021
3,Pfizer/BioNTech,995,995,0,0,0,05/02/2021
4,Pfizer/BioNTech,1277,1277,0,0,0,05/02/2021
5,Pfizer/BioNTech,986,986,0,0,0,05/02/2021
6,Pfizer/BioNTech,984,984,0,0,0,05/02/2021
7,Pfizer/BioNTech,1047,1047,0,0,0,05/02/2021
8,Pfizer/BioNTech,2926,2926,0,0,0,05/02/2021
9,Pfizer/BioNTech,3110,3068,42,0,0,05/02/2021
9,Sinovac,1,1,0,0,0,05/02/2021
9,Oxford/AstraZeneca,1,1,0,0,0,06/02/2021
1,Pfizer/BioNTech,658,658,0,0,0,06/02/2021
2,Pfizer/BioNTech,485,485,0,0,0,06/02/2021
3,Pfizer/BioNTech,996,996,0,0,0,06/02/2021
4,Pfizer/BioNTech,1277,1277,0,0,0,06/02/2021
5,Pfizer/BioNTech,986,986,0,0,0,06/02/2021
6,Pfizer/BioNTech,984,984,0,0,0,06/02/2021
7,Pfizer/BioNTech,1047,1047,0,0,0,06/02/2021
8,Pfizer/BioNTech,2926,2926,0,0,0,06/02/2021
9,Pfizer/BioNTech,3110,3068,42,0,0,06/02/2021
9,Sinovac,1,1,0,0,0,06/02/2021
9,Oxford/AstraZeneca,1,1,0,0,0,07/02/2021
1,Pfizer/BioNTech,658,658,0,0,0,07/02/2021
2,Pfizer/BioNTech,485,485,0,0,0,07/02/2021
3,Pfizer/BioNTech,996,996,0,0,0,07/02/2021
4,Pfizer/BioNTech,1277,1277,0,0,0,07/02/2021
5,Pfizer/BioNTech,986,986,0,0,0,07/02/2021
6,Pfizer/BioNTech,984,984,0,0,0,07/02/2021
7,Pfizer/BioNTech,1047,1047,0,0,0,07/02/2021
8,Pfizer/BioNTech,2926,2926,0,0,0,07/02/2021
9,Pfizer/BioNTech,3110,3068,42,0,0,07/02/2021
9,Sinovac,1,1,0,0,0,07/02/2021
9,Oxford/AstraZeneca,1,1,0,0,0,08/02/2021
1,Pfizer/BioNTech,658,658,0,0,0,08/02/2021
2,Pfizer/BioNTech,485,485,0,0,0,08/02/2021
3,Pfizer/BioNTech,996,996,0,0,0,08/02/2021
4,Pfizer/BioNTech,1277,1277,0,0,0,08/02/2021
5,Pfizer/BioNTech,986,986,0,0,0,08/02/2021
6,Pfizer/BioNTech,984,984,0,0,0,08/02/2021
7,Pfizer/BioNTech,1047,1047,0,0,0,08/02/2021
8,Pfizer/BioNTech,2927,2927,0,0,0,08/02/2021
9,Pfizer/BioNTech,3111,3069,42,0,0,08/02/2021
9,Sinovac,1,1,0,0,0,08/02/2021
9,Oxford/AstraZeneca,1,1,0,0,0,09/02/2021
1,Pfizer/BioNTech,658,658,0,0,0,09/02/2021
2,Pfizer/BioNTech,485,485,0,0,0,09/02/2021
3,Pfizer/BioNTech,996,996,0,0,0,09/02/2021
4,Pfizer/BioNTech,1277,1277,0,0,0,09/02/2021
5,Pfizer/BioNTech,986,986,0,0,0,09/02/2021
6,Pfizer/BioNTech,984,984,0,0,0,09/02/2021
7,Pfizer/BioNTech,1047,1047,0,0,0,09/02/2021
8,Pfizer/BioNTech,2927,2927,0,0,0,09/02/2021
9,Pfizer/BioNTech,3111,3069,42,0,0,09/02/2021
9,Sinovac,1,1,0,0,0,09/02/2021
9,Oxford/AstraZeneca,1,1,0,0,0,10/02/2021
1,Pfizer/BioNTech,658,658,0,0,0,10/02/2021
2,Pfizer/BioNTech,485,485,0,0,0,10/02/2021
3,Pfizer/BioNTech,996,996,0,0,0,10/02/2021
4,Pfizer/BioNTech,1277,1277,0,0,0,10/02/2021
5,Pfizer/BioNTech,986,986,0,0,0,10/02/2021
6,Pfizer/BioNTech,984,984,0,0,0,10/02/2021
7,Pfizer/BioNTech,1047,1047,0,0,0,10/02/2021
8,Pfizer/BioNTech,2932,2927,5,0,0,10/02/2021
9,Pfizer/BioNTech,3111,3069,42,0,0,10/02/2021
9,Sinovac,1,1,0,0,0,10/02/2021
9,Oxford/AstraZeneca,1,1,0,0,0,11/02/2021
1,Pfizer/BioNTech,658,658,0,0,0,11/02/2021
2,Pfizer/BioNTech,485,485,0,0,0,11/02/2021
3,Pfizer/BioNTech,997,997,0,0,0,11/02/2021
4,Pfizer/BioNTech,1277,1277,0,0,0,11/02/2021
5,Pfizer/BioNTech,986,986,0,0,0,11/02/2021
6,Pfizer/BioNTech,984,984,0,0,0,11/02/2021
7,Pfizer/BioNTech,1047,1047,0,0,0,11/02/2021
8,Pfizer/BioNTech,3598,2943,655,0,0,11/02/2021
9,Pfizer/BioNTech,3967,3084,883,0,0,11/02/2021
5,Sinovac,1,1,0,0,0,11/02/2021
